Rk,G,Date,Age,Tm,Opp,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Caris LeVert,Shared Games with Cedi Osman,Shared Games with Darius Garland,Shared Games with Donovan Mitchell,Shared Games with Dylan Windler,Shared Games with Evan Mobley,Shared Games with Isaac Okoro,Shared Games with Isaiah Mobley,Shared Games with Jarrett Allen,Shared Games with Kevin Love,Shared Games with Lamar Stevens,Shared Games with Mamadi Diakite,Shared Games with Raul Neto,Shared Games with Ricky Rubio,Shared Games with Robin Lopez,Caris LeVert,Cedi Osman,Darius Garland,Donovan Mitchell,Dylan Windler,Evan Mobley,Isaac Okoro,Isaiah Mobley,Jarrett Allen,Kevin Love,Lamar Stevens,Mamadi Diakite,Raul Neto,Ricky Rubio,Robin Lopez,Sam Merrill,co_inf with Caris LeVert,co_inf with Cedi Osman,co_inf with Darius Garland,co_inf with Donovan Mitchell,co_inf with Dylan Windler,co_inf with Evan Mobley,co_inf with Isaac Okoro,co_inf with Isaiah Mobley,co_inf with Jarrett Allen,co_inf with Kevin Love,co_inf with Lamar Stevens,co_inf with Mamadi Diakite,co_inf with Raul Neto,co_inf with Ricky Rubio,co_inf with Robin Lopez,co_inf with Sam Merrill,Shared Games with Danny Green,Danny Green,Dejounte Murray,co_inf with Danny Green,co_inf with Dejounte Murray,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS,PER,WS,BPM,OBPM,DBPM,Co_Points_Share,TS%,3PAr,FTr,VORP,OWS,New Column,Result
1.0,1.0,2022-10-19,25-333,CLE,TOR,0,21.666666666666668,3.0,4.0,.750,1.0,2.0,.500,1,2.0,.500,1.0,2.0,3.0,2.0,0.0,1.0,0.0,1.0,8.0,9.0,-11,2.0,2.0,1.0,37,42,35,36,2,43,39,7,36,14,28,12,29,22,23,74.0,77.0,69.0,68.0,3.0,79.0,76.0,12.0,68.0,62.0,62.0,22.0,48.0,33.0,37.0,5.0,0.5,0.5454545454545454,0.5072463768115942,0.5294117647058824,0.6666666666666666,0.5443037974683544,0.5131578947368421,0.5833333333333334,0.5294117647058824,0.2258064516129032,0.4516129032258064,0.5454545454545454,0.6041666666666666,0.6666666666666666,0.6216216216216216,0.0,5,11.0,74.0,0.4545454545454545,0.0,16,8.0,64.0,4.0,8.599999999999996,81.2,5.075,8.5,1.8,-0.7,-2.9,2.1,0.0223791417707767,0.55,0.718,0.13,0.3,0.4,L (-3),L (-3)
2.0,2.0,2022-10-22,25-336,CLE,CHI,0,4.116666666666666,2.0,3.0,.667,1.0,2.0,.500,0,0.0,,0.0,2.0,2.0,1.0,0.0,0.0,1.0,0.0,5.0,4.0,+6,1.0,1.0,1.0,37,42,35,36,2,43,39,7,36,14,28,12,29,22,23,74.0,77.0,69.0,68.0,3.0,79.0,76.0,12.0,68.0,62.0,62.0,22.0,48.0,33.0,37.0,5.0,0.5,0.5454545454545454,0.5072463768115942,0.5294117647058824,0.6666666666666666,0.5443037974683544,0.5131578947368421,0.5833333333333334,0.5294117647058824,0.2258064516129032,0.4516129032258064,0.5454545454545454,0.6041666666666666,0.6666666666666666,0.6216216216216216,0.0,5,11.0,74.0,0.4545454545454545,0.0,16,4.0,87.0,5.4375,4.0,99.59999999999998,6.224999999999999,8.5,1.8,-0.7,-2.9,2.1,0.0223791417707767,0.55,0.718,0.13,0.3,0.4,W (+32),W (+32)
3.0,3.0,2022-10-23,25-337,CLE,WAS,0,21.3,3.0,4.0,.750,2.0,3.0,.667,4,5.0,.800,1.0,2.0,3.0,2.0,0.0,1.0,0.0,1.0,12.0,13.0,+19,1.0,1.0,1.0,37,42,35,36,2,43,39,7,36,14,28,12,29,22,23,74.0,77.0,69.0,68.0,3.0,79.0,76.0,12.0,68.0,62.0,62.0,22.0,48.0,33.0,37.0,5.0,0.5,0.5454545454545454,0.5072463768115942,0.5294117647058824,0.6666666666666666,0.5443037974683544,0.5131578947368421,0.5833333333333334,0.5294117647058824,0.2258064516129032,0.4516129032258064,0.5454545454545454,0.6041666666666666,0.6666666666666666,0.6216216216216216,0.0,5,11.0,74.0,0.4545454545454545,0.0,16,9.0,63.0,3.9375,11.399999999999997,82.39999999999999,5.15,8.5,1.8,-0.7,-2.9,2.1,0.0223791417707767,0.55,0.718,0.13,0.3,0.4,W (+10),W (+10)
4.0,4.0,2022-10-26,25-340,CLE,ORL,1,29.716666666666665,4.0,7.0,.571,4.0,7.0,.571,0,0.0,,0.0,3.0,3.0,0.0,1.0,0.0,0.0,2.0,12.0,9.8,+9,0.0,0.0,,37,42,35,36,2,43,39,7,36,14,28,12,29,22,23,74.0,77.0,69.0,68.0,3.0,79.0,76.0,12.0,68.0,62.0,62.0,22.0,48.0,33.0,37.0,5.0,0.5,0.5454545454545454,0.5072463768115942,0.5294117647058824,0.6666666666666666,0.5443037974683544,0.5131578947368421,0.5833333333333334,0.5294117647058824,0.2258064516129032,0.4516129032258064,0.5454545454545454,0.6041666666666666,0.6666666666666666,0.6216216216216216,0.0,5,11.0,74.0,0.4545454545454545,0.0,16,9.0,47.0,2.9375,9.8,66.19999999999999,4.137499999999999,8.5,1.8,-0.7,-2.9,2.1,0.0223791417707767,0.55,0.718,0.13,0.3,0.4,W (+11),W (+11)
5.0,5.0,2022-10-28,25-342,CLE,BOS,1,38.91666666666666,1.0,3.0,.333,1.0,2.0,.500,1,2.0,.500,0.0,6.0,6.0,1.0,0.0,0.0,1.0,4.0,4.0,1.8,+20,1.0,0.0,0.0,37,42,35,36,2,43,39,7,36,14,28,12,29,22,23,74.0,77.0,69.0,68.0,3.0,79.0,76.0,12.0,68.0,62.0,62.0,22.0,48.0,33.0,37.0,5.0,0.5,0.5454545454545454,0.5072463768115942,0.5294117647058824,0.6666666666666666,0.5443037974683544,0.5131578947368421,0.5833333333333334,0.5294117647058824,0.2258064516129032,0.4516129032258064,0.5454545454545454,0.6041666666666666,0.6666666666666666,0.6216216216216216,0.0,5,11.0,74.0,0.4545454545454545,0.0,16,5.0,68.0,4.25,1.4000000000000008,99.7,6.23125,8.5,1.8,-0.7,-2.9,2.1,0.0223791417707767,0.55,0.718,0.13,0.3,0.4,W (+9),W (+9)
6.0,6.0,2022-10-30,25-344,CLE,NYK,1,33.483333333333334,8.0,11.0,.727,6.0,8.0,.750,0,0.0,,1.0,3.0,4.0,3.0,0.0,0.0,0.0,4.0,22.0,19.6,+20,3.0,2.0,0.6666666666666666,37,42,35,36,2,43,39,7,36,14,28,12,29,22,23,74.0,77.0,69.0,68.0,3.0,79.0,76.0,12.0,68.0,62.0,62.0,22.0,48.0,33.0,37.0,5.0,0.5,0.5454545454545454,0.5072463768115942,0.5294117647058824,0.6666666666666666,0.5443037974683544,0.5131578947368421,0.5833333333333334,0.5294117647058824,0.2258064516129032,0.4516129032258064,0.5454545454545454,0.6041666666666666,0.6666666666666666,0.6216216216216216,0.0,5,11.0,74.0,0.4545454545454545,0.0,16,18.0,58.0,3.625,19.6,63.19999999999999,3.9499999999999993,8.5,1.8,-0.7,-2.9,2.1,0.0223791417707767,0.55,0.718,0.13,0.3,0.4,W (+13),W (+13)
7.0,7.0,2022-11-02,25-347,CLE,BOS,0,24.3,2.0,7.0,.286,0.0,3.0,.000,2,2.0,1.000,1.0,3.0,4.0,0.0,2.0,0.0,1.0,4.0,6.0,2.9,+2,4.0,2.0,0.5,37,42,35,36,2,43,39,7,36,14,28,12,29,22,23,74.0,77.0,69.0,68.0,3.0,79.0,76.0,12.0,68.0,62.0,62.0,22.0,48.0,33.0,37.0,5.0,0.5,0.5454545454545454,0.5072463768115942,0.5294117647058824,0.6666666666666666,0.5443037974683544,0.5131578947368421,0.5833333333333334,0.5294117647058824,0.2258064516129032,0.4516129032258064,0.5454545454545454,0.6041666666666666,0.6666666666666666,0.6216216216216216,0.0,5,11.0,74.0,0.4545454545454545,0.0,16,2.0,75.0,4.6875,2.100000000000001,86.10000000000001,5.3812500000000005,8.5,1.8,-0.7,-2.9,2.1,0.0223791417707767,0.55,0.718,0.13,0.3,0.4,W (+1),W (+1)
8.0,8.0,2022-11-04,25-349,CLE,DET,1,23.433333333333334,0.0,4.0,.000,0.0,3.0,.000,0,0.0,,0.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,0.0,-1.6,+2,1.0,0.0,0.0,37,42,35,36,2,43,39,7,36,14,28,12,29,22,23,74.0,77.0,69.0,68.0,3.0,79.0,76.0,12.0,68.0,62.0,62.0,22.0,48.0,33.0,37.0,5.0,0.5,0.5454545454545454,0.5072463768115942,0.5294117647058824,0.6666666666666666,0.5443037974683544,0.5131578947368421,0.5833333333333334,0.5294117647058824,0.2258064516129032,0.4516129032258064,0.5454545454545454,0.6041666666666666,0.6666666666666666,0.6216216216216216,0.0,5,11.0,74.0,0.4545454545454545,0.0,16,0.0,89.0,5.5625,-1.6,102.7,6.41875,8.5,1.8,-0.7,-2.9,2.1,0.0223791417707767,0.55,0.718,0.13,0.3,0.4,W (+24),W (+24)
9.0,9.0,2022-11-06,25-351,CLE,LAL,0,24.83333333333333,1.0,3.0,.333,0.0,2.0,.000,0,0.0,,1.0,5.0,6.0,1.0,1.0,1.0,0.0,4.0,2.0,3.3,+13,1.0,1.0,1.0,37,42,35,36,2,43,39,7,36,14,28,12,29,22,23,74.0,77.0,69.0,68.0,3.0,79.0,76.0,12.0,68.0,62.0,62.0,22.0,48.0,33.0,37.0,5.0,0.5,0.5454545454545454,0.5072463768115942,0.5294117647058824,0.6666666666666666,0.5443037974683544,0.5131578947368421,0.5833333333333334,0.5294117647058824,0.2258064516129032,0.4516129032258064,0.5454545454545454,0.6041666666666666,0.6666666666666666,0.6216216216216216,0.0,5,11.0,74.0,0.4545454545454545,0.0,16,8.0,60.0,3.75,3.3000000000000003,86.39999999999999,5.4,8.5,1.8,-0.7,-2.9,2.1,0.0223791417707767,0.55,0.718,0.13,0.3,0.4,W (+14),W (+14)
10.0,10.0,2022-11-07,25-352,CLE,LAC,0,14.566666666666666,2.0,4.0,.500,2.0,3.0,.667,0,0.0,,0.0,1.0,1.0,0.0,1.0,0.0,0.0,2.0,6.0,4.5,-1,1.0,0.0,0.0,37,42,35,36,2,43,39,7,36,14,28,12,29,22,23,74.0,77.0,69.0,68.0,3.0,79.0,76.0,12.0,68.0,62.0,62.0,22.0,48.0,33.0,37.0,5.0,0.5,0.5454545454545454,0.5072463768115942,0.5294117647058824,0.6666666666666666,0.5443037974683544,0.5131578947368421,0.5833333333333334,0.5294117647058824,0.2258064516129032,0.4516129032258064,0.5454545454545454,0.6041666666666666,0.6666666666666666,0.6216216216216216,0.0,5,11.0,74.0,0.4545454545454545,0.0,16,4.0,84.0,5.25,4.5,93.2,5.825,8.5,1.8,-0.7,-2.9,2.1,0.0223791417707767,0.55,0.718,0.13,0.3,0.4,L (-2),L (-2)
