Unnamed: 0,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Caris LeVert,Shared Games with Cedi Osman,Shared Games with Darius Garland,Shared Games with Dean Wade,Shared Games with Donovan Mitchell,Shared Games with Dylan Windler,Shared Games with Evan Mobley,Shared Games with Isaiah Mobley,Shared Games with Jarrett Allen,Shared Games with Kevin Love,Shared Games with Lamar Stevens,Shared Games with Mamadi Diakite,Shared Games with Raul Neto,Shared Games with Ricky Rubio,Shared Games with Robin Lopez,Caris LeVert,Cedi Osman,Darius Garland,Dean Wade,Donovan Mitchell,Dylan Windler,Evan Mobley,Isaiah Mobley,Jarrett Allen,Kevin Love,Lamar Stevens,Mamadi Diakite,Raul Neto,Ricky Rubio,Robin Lopez,Sam Merrill,co_inf with Caris LeVert,co_inf with Cedi Osman,co_inf with Darius Garland,co_inf with Dean Wade,co_inf with Donovan Mitchell,co_inf with Dylan Windler,co_inf with Evan Mobley,co_inf with Isaiah Mobley,co_inf with Jarrett Allen,co_inf with Kevin Love,co_inf with Lamar Stevens,co_inf with Mamadi Diakite,co_inf with Raul Neto,co_inf with Ricky Rubio,co_inf with Robin Lopez,co_inf with Sam Merrill,Shared Games with Danny Green,Danny Green,Dejounte Murray,co_inf with Danny Green,co_inf with Dejounte Murray,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS
0,1,1,2022-10-19,21-266,CLE,@,TOR,L (-3),0,11:45,0.0,1.0,.000,0.0,1.0,.000,0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,-3.3,0,0.0,0.0,,70,71,65,39,64,3,74,10,65,41,56,19,45,27,34,74.0,77.0,69.0,44.0,68.0,3.0,79.0,12.0,68.0,62.0,62.0,22.0,48.0,33.0,37.0,5.0,0.945945945945946,0.922077922077922,0.9420289855072465,0.8863636363636364,0.9411764705882352,1.0,0.9367088607594936,0.8333333333333334,0.9558823529411764,0.6612903225806451,0.9032258064516128,0.8636363636363636,0.9375,0.8181818181818182,0.918918918918919,0.0,7,11.0,74.0,0.6363636363636364,0.0,16,-2.0,74.0,4.625,-3.3,93.1,5.81875
1,2,2,2022-10-22,21-269,CLE,@,CHI,W (+32),1,26:56,1.0,5.0,.200,0.0,2.0,.000,0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,3.0,1.0,2.0,-4.2,-4,3.0,1.0,0.3333333333333333,70,71,65,39,64,3,74,10,65,41,56,19,45,27,34,74.0,77.0,69.0,44.0,68.0,3.0,79.0,12.0,68.0,62.0,62.0,22.0,48.0,33.0,37.0,5.0,0.945945945945946,0.922077922077922,0.9420289855072465,0.8863636363636364,0.9411764705882352,1.0,0.9367088607594936,0.8333333333333334,0.9558823529411764,0.6612903225806451,0.9032258064516128,0.8636363636363636,0.9375,0.8181818181818182,0.918918918918919,0.0,7,11.0,74.0,0.6363636363636364,0.0,16,-5.0,96.0,6.0,-4.2,107.79999999999998,6.737499999999999
2,3,3,2022-10-23,21-270,CLE,,WAS,W (+10),1,20:19,1.0,4.0,.250,0.0,2.0,.000,0,0.0,,0.0,2.0,2.0,0.0,1.0,0.0,0.0,2.0,2.0,0.4,-5,2.0,1.0,0.5,70,71,65,39,64,3,74,10,65,41,56,19,45,27,34,74.0,77.0,69.0,44.0,68.0,3.0,79.0,12.0,68.0,62.0,62.0,22.0,48.0,33.0,37.0,5.0,0.945945945945946,0.922077922077922,0.9420289855072465,0.8863636363636364,0.9411764705882352,1.0,0.9367088607594936,0.8333333333333334,0.9558823529411764,0.6612903225806451,0.9032258064516128,0.8636363636363636,0.9375,0.8181818181818182,0.918918918918919,0.0,7,11.0,74.0,0.6363636363636364,0.0,16,1.0,71.0,4.4375,0.4000000000000001,93.39999999999998,5.837499999999999
3,4,4,2022-10-26,21-273,CLE,,ORL,W (+11),0,11:29,1.0,2.0,.500,0.0,1.0,.000,0,0.0,,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,1.3,-10,1.0,1.0,1.0,70,71,65,39,64,3,74,10,65,41,56,19,45,27,34,74.0,77.0,69.0,44.0,68.0,3.0,79.0,12.0,68.0,62.0,62.0,22.0,48.0,33.0,37.0,5.0,0.945945945945946,0.922077922077922,0.9420289855072465,0.8863636363636364,0.9411764705882352,1.0,0.9367088607594936,0.8333333333333334,0.9558823529411764,0.6612903225806451,0.9032258064516128,0.8636363636363636,0.9375,0.8181818181818182,0.918918918918919,0.0,7,11.0,74.0,0.6363636363636364,0.0,16,1.0,55.0,3.4375,1.2999999999999998,74.7,4.66875
4,5,5,2022-10-28,21-275,CLE,@,BOS,W (+9),0,5:22,1.0,3.0,.333,0.0,2.0,.000,0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,2.0,-1.9,-12,1.0,1.0,1.0,70,71,65,39,64,3,74,10,65,41,56,19,45,27,34,74.0,77.0,69.0,44.0,68.0,3.0,79.0,12.0,68.0,62.0,62.0,22.0,48.0,33.0,37.0,5.0,0.945945945945946,0.922077922077922,0.9420289855072465,0.8863636363636364,0.9411764705882352,1.0,0.9367088607594936,0.8333333333333334,0.9558823529411764,0.6612903225806451,0.9032258064516128,0.8636363636363636,0.9375,0.8181818181818182,0.918918918918919,0.0,7,11.0,74.0,0.6363636363636364,0.0,16,-2.0,75.0,4.6875,-1.9,103.0,6.4375
5,6,6,2022-10-30,21-277,CLE,,NYK,W (+13),0,21:33,0.0,3.0,.000,0.0,2.0,.000,2,2.0,1.000,0.0,4.0,4.0,2.0,1.0,1.0,1.0,1.0,2.0,2.8,+24,1.0,0.0,0.0,70,71,65,39,64,3,74,10,65,41,56,19,45,27,34,74.0,77.0,69.0,44.0,68.0,3.0,79.0,12.0,68.0,62.0,62.0,22.0,48.0,33.0,37.0,5.0,0.945945945945946,0.922077922077922,0.9420289855072465,0.8863636363636364,0.9411764705882352,1.0,0.9367088607594936,0.8333333333333334,0.9558823529411764,0.6612903225806451,0.9032258064516128,0.8636363636363636,0.9375,0.8181818181818182,0.918918918918919,0.0,7,11.0,74.0,0.6363636363636364,0.0,16,4.0,72.0,4.5,2.0000000000000004,80.8,5.05
6,7,7,2022-11-02,21-280,CLE,,BOS,W (+1),0,7:52,0.0,0.0,,0.0,0.0,,0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,-1.8,-6,0.0,0.0,,70,71,65,39,64,3,74,10,65,41,56,19,45,27,34,74.0,77.0,69.0,44.0,68.0,3.0,79.0,12.0,68.0,62.0,62.0,22.0,48.0,33.0,37.0,5.0,0.945945945945946,0.922077922077922,0.9420289855072465,0.8863636363636364,0.9411764705882352,1.0,0.9367088607594936,0.8333333333333334,0.9558823529411764,0.6612903225806451,0.9032258064516128,0.8636363636363636,0.9375,0.8181818181818182,0.918918918918919,0.0,7,11.0,74.0,0.6363636363636364,0.0,16,-1.0,78.0,4.875,-1.8,90.00000000000001,5.625000000000001
7,8,8,2022-11-04,21-282,CLE,@,DET,W (+24),1,22:43,4.0,6.0,.667,0.0,1.0,.000,1,1.0,1.000,0.0,4.0,4.0,0.0,1.0,0.0,0.0,1.0,9.0,8.2,0,5.0,4.0,0.8,70,71,65,39,64,3,74,10,65,41,56,19,45,27,34,74.0,77.0,69.0,44.0,68.0,3.0,79.0,12.0,68.0,62.0,62.0,22.0,48.0,33.0,37.0,5.0,0.945945945945946,0.922077922077922,0.9420289855072465,0.8863636363636364,0.9411764705882352,1.0,0.9367088607594936,0.8333333333333334,0.9558823529411764,0.6612903225806451,0.9032258064516128,0.8636363636363636,0.9375,0.8181818181818182,0.918918918918919,0.0,7,11.0,74.0,0.6363636363636364,0.0,16,7.0,82.0,5.125,7.799999999999999,93.29999999999998,5.831249999999999
8,9,9,2022-11-06,21-284,CLE,@,LAL,W (+14),0,5:56,0.0,1.0,.000,0.0,0.0,,0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-1.1,-2,1.0,0.0,0.0,70,71,65,39,64,3,74,10,65,41,56,19,45,27,34,74.0,77.0,69.0,44.0,68.0,3.0,79.0,12.0,68.0,62.0,62.0,22.0,48.0,33.0,37.0,5.0,0.945945945945946,0.922077922077922,0.9420289855072465,0.8863636363636364,0.9411764705882352,1.0,0.9367088607594936,0.8333333333333334,0.9558823529411764,0.6612903225806451,0.9032258064516128,0.8636363636363636,0.9375,0.8181818181818182,0.918918918918919,0.0,7,11.0,74.0,0.6363636363636364,0.0,16,-1.0,69.0,4.3125,-1.1,90.8,5.675
9,10,10,2022-11-07,21-285,CLE,@,LAC,L (-2),0,17:33,0.0,2.0,.000,0.0,0.0,,3,4.0,.750,0.0,3.0,3.0,2.0,1.0,0.0,2.0,3.0,3.0,1.3,0,2.0,0.0,0.0,70,71,65,39,64,3,74,10,65,41,56,19,45,27,34,74.0,77.0,69.0,44.0,68.0,3.0,79.0,12.0,68.0,62.0,62.0,22.0,48.0,33.0,37.0,5.0,0.945945945945946,0.922077922077922,0.9420289855072465,0.8863636363636364,0.9411764705882352,1.0,0.9367088607594936,0.8333333333333334,0.9558823529411764,0.6612903225806451,0.9032258064516128,0.8636363636363636,0.9375,0.8181818181818182,0.918918918918919,0.0,7,11.0,74.0,0.6363636363636364,0.0,16,1.0,87.0,5.4375,0.1,97.6,6.1
