Rk,G,Date,Age,Tm,Opp,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Alondes Williams,Shared Games with Ben Simmons,Shared Games with Cam Thomas,Shared Games with David Duke Jr.,Shared Games with Day'Ron Sharpe,Shared Games with Edmond Sumner,Shared Games with Joe Harris,Shared Games with Kessler Edwards,Shared Games with Kevin Durant,Shared Games with Kyrie Irving,Shared Games with Nic Claxton,Shared Games with Patty Mills,Shared Games with RaiQuan Gray,Shared Games with Royce O'Neale,Shared Games with Seth Curry,Shared Games with T.J. Warren,Shared Games with Yuta Watanabe,Alondes Williams,Ben Simmons,Cam Thomas,David Duke Jr.,Day'Ron Sharpe,Edmond Sumner,Joe Harris,Kessler Edwards,Kevin Durant,Kyrie Irving,Nic Claxton,Patty Mills,RaiQuan Gray,Royce O'Neale,Seth Curry,T.J. Warren,Yuta Watanabe,co_inf with Alondes Williams,co_inf with Ben Simmons,co_inf with Cam Thomas,co_inf with David Duke Jr.,co_inf with Day'Ron Sharpe,co_inf with Edmond Sumner,co_inf with Joe Harris,co_inf with Kessler Edwards,co_inf with Kevin Durant,co_inf with Kyrie Irving,co_inf with Nic Claxton,co_inf with Patty Mills,co_inf with RaiQuan Gray,co_inf with Royce O'Neale,co_inf with Seth Curry,co_inf with T.J. Warren,co_inf with Yuta Watanabe,Shared Games with Christian Wood,Shared Games with Dorian Finney-Smith,Shared Games with Dwight Powell,Shared Games with Dāvis Bertāns,Shared Games with Frank Ntilikina,Shared Games with Jaden Hardy,Shared Games with JaVale McGee,Shared Games with Josh Green,Shared Games with Luka Dončić,Shared Games with Maxi Kleber,Shared Games with McKinley Wright IV,Shared Games with Reggie Bullock,Shared Games with Spencer Dinwiddie,Shared Games with Theo Pinson,Shared Games with Tim Hardaway Jr.,Shared Games with Nerlens Noel,Shared Games with Moses Brown,Shared Games with Justin Holiday,A.J. Lawson,Chris Silva,Christian Wood,Derrick Favors,Dwight Powell,Dāvis Bertāns,Facundo Campazzo,Frank Ntilikina,Jaden Hardy,JaVale McGee,Josh Green,Justin Holiday,Kemba Walker,Luka Dončić,Maxi Kleber,McKinley Wright IV,Reggie Bullock,Theo Pinson,Tim Hardaway Jr.,Tyler Dorsey,co_inf with Christian Wood,co_inf with Dwight Powell,co_inf with Dāvis Bertāns,co_inf with Frank Ntilikina,co_inf with Jaden Hardy,co_inf with JaVale McGee,co_inf with Josh Green,co_inf with Luka Dončić,co_inf with Maxi Kleber,co_inf with McKinley Wright IV,co_inf with Reggie Bullock,co_inf with Theo Pinson,co_inf with Tim Hardaway Jr.,co_inf with Tyler Dorsey,co_inf with A.J. Lawson,co_inf with Chris Silva,co_inf with Derrick Favors,co_inf with Facundo Campazzo,co_inf with Justin Holiday,co_inf with Kemba Walker,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS,Co_Points_Share,New Column,Result
1.0,1.0,2022-10-19,33-047,BRK,NOP,0,2.7333333333333334,1.0,1.0,1.000,1.0,1.0,1.000,0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.7,+5,0.0,0.0,,1,15,20,9,16,22,25,8,18,24,25,20,1,25,19,10,19,1.0,42.0,57.0,23.0,48.0,53.0,74.0,36.0,47.0,60.0,76.0,40.0,1,76.0,61.0,42.0,58.0,1.0,0.3571428571428571,0.3508771929824561,0.391304347826087,0.3333333333333333,0.4150943396226415,0.3378378378378378,0.2222222222222222,0.3829787234042553,0.4,0.3289473684210526,0.5,1.0,0.3289473684210526,0.3114754098360656,0.238095238095238,0.3275862068965517,8,17,8,2,5,6,3,8,8,4,1,7,19,3,6,4,8,7,15.0,1.0,67.0,,76.0,45.0,8.0,47.0,48.0,42.0,60.0,46.0,9.0,66.0,37.0,27.0,78.0,40.0,71.0,3.0,0.1194029850746268,0.1052631578947368,0.0444444444444444,0.1063829787234042,0.125,0.0714285714285714,0.1333333333333333,0.1212121212121212,0.1081081081081081,0.037037037037037,0.0897435897435897,0.075,0.0845070422535211,0.0,0.0,0.0,,0.0,0.1521739130434782,0.0,35,2.0,43.0,1.2285714285714286,2.7,62.80000000000001,1.7942857142857147,0.0038436899423446,L (-22),L (-22)
2.0,2.0,2022-10-21,33-049,BRK,TOR,0,19.266666666666666,1.0,4.0,.250,1.0,3.0,.333,0,0.0,,1.0,3.0,4.0,0.0,0.0,1.0,1.0,3.0,3.0,0.7,+11,1.0,0.0,0.0,1,15,20,9,16,22,25,8,18,24,25,20,1,25,19,10,19,1.0,42.0,57.0,23.0,48.0,53.0,74.0,36.0,47.0,60.0,76.0,40.0,1,76.0,61.0,42.0,58.0,1.0,0.3571428571428571,0.3508771929824561,0.391304347826087,0.3333333333333333,0.4150943396226415,0.3378378378378378,0.2222222222222222,0.3829787234042553,0.4,0.3289473684210526,0.5,1.0,0.3289473684210526,0.3114754098360656,0.238095238095238,0.3275862068965517,8,17,8,2,5,6,3,8,8,4,1,7,19,3,6,4,8,7,15.0,1.0,67.0,,76.0,45.0,8.0,47.0,48.0,42.0,60.0,46.0,9.0,66.0,37.0,27.0,78.0,40.0,71.0,3.0,0.1194029850746268,0.1052631578947368,0.0444444444444444,0.1063829787234042,0.125,0.0714285714285714,0.1333333333333333,0.1212121212121212,0.1081081081081081,0.037037037037037,0.0897435897435897,0.075,0.0845070422535211,0.0,0.0,0.0,,0.0,0.1521739130434782,0.0,35,3.0,90.0,2.571428571428572,0.7000000000000002,114.8,3.28,0.0038436899423446,W (+4),W (+4)
3.0,,2022-10-24,33-052,BRK,MEM,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,1,15,20,9,16,22,25,8,18,24,25,20,1,25,19,10,19,1.0,42.0,57.0,23.0,48.0,53.0,74.0,36.0,47.0,60.0,76.0,40.0,1,76.0,61.0,42.0,58.0,1.0,0.3571428571428571,0.3508771929824561,0.391304347826087,0.3333333333333333,0.4150943396226415,0.3378378378378378,0.2222222222222222,0.3829787234042553,0.4,0.3289473684210526,0.5,1.0,0.3289473684210526,0.3114754098360656,0.238095238095238,0.3275862068965517,8,17,8,2,5,6,3,8,8,4,1,7,19,3,6,4,8,7,15.0,1.0,67.0,,76.0,45.0,8.0,47.0,48.0,42.0,60.0,46.0,9.0,66.0,37.0,27.0,78.0,40.0,71.0,3.0,0.1194029850746268,0.1052631578947368,0.0444444444444444,0.1063829787234042,0.125,0.0714285714285714,0.1333333333333333,0.1212121212121212,0.1081081081081081,0.037037037037037,0.0897435897435897,0.075,0.0845070422535211,0.0,0.0,0.0,,0.0,0.1521739130434782,0.0,35,,64.0,1.8285714285714283,0.0,90.20000000000002,2.577142857142858,0.0038436899423446,L (-10),L (-10)
4.0,,2022-10-26,33-054,BRK,MIL,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,1,15,20,9,16,22,25,8,18,24,25,20,1,25,19,10,19,1.0,42.0,57.0,23.0,48.0,53.0,74.0,36.0,47.0,60.0,76.0,40.0,1,76.0,61.0,42.0,58.0,1.0,0.3571428571428571,0.3508771929824561,0.391304347826087,0.3333333333333333,0.4150943396226415,0.3378378378378378,0.2222222222222222,0.3829787234042553,0.4,0.3289473684210526,0.5,1.0,0.3289473684210526,0.3114754098360656,0.238095238095238,0.3275862068965517,8,17,8,2,5,6,3,8,8,4,1,7,19,3,6,4,8,7,15.0,1.0,67.0,,76.0,45.0,8.0,47.0,48.0,42.0,60.0,46.0,9.0,66.0,37.0,27.0,78.0,40.0,71.0,3.0,0.1194029850746268,0.1052631578947368,0.0444444444444444,0.1063829787234042,0.125,0.0714285714285714,0.1333333333333333,0.1212121212121212,0.1081081081081081,0.037037037037037,0.0897435897435897,0.075,0.0845070422535211,0.0,0.0,0.0,,0.0,0.1521739130434782,0.0,35,,70.0,2.0,0.0,96.6,2.76,0.0038436899423446,L (-11),L (-11)
5.0,,2022-10-27,33-055,BRK,DAL,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,1,15,20,9,16,22,25,8,18,24,25,20,1,25,19,10,19,1.0,42.0,57.0,23.0,48.0,53.0,74.0,36.0,47.0,60.0,76.0,40.0,1,76.0,61.0,42.0,58.0,1.0,0.3571428571428571,0.3508771929824561,0.391304347826087,0.3333333333333333,0.4150943396226415,0.3378378378378378,0.2222222222222222,0.3829787234042553,0.4,0.3289473684210526,0.5,1.0,0.3289473684210526,0.3114754098360656,0.238095238095238,0.3275862068965517,8,17,8,2,5,6,3,8,8,4,1,7,19,3,6,4,8,7,15.0,1.0,67.0,,76.0,45.0,8.0,47.0,48.0,42.0,60.0,46.0,9.0,66.0,37.0,27.0,78.0,40.0,71.0,3.0,0.1194029850746268,0.1052631578947368,0.0444444444444444,0.1063829787234042,0.125,0.0714285714285714,0.1333333333333333,0.1212121212121212,0.1081081081081081,0.037037037037037,0.0897435897435897,0.075,0.0845070422535211,0.0,0.0,0.0,,0.0,0.1521739130434782,0.0,35,,49.0,1.4,0.0,68.3,1.9514285714285715,0.0038436899423446,L (-4),L (-4)
6.0,3.0,2022-10-29,33-057,BRK,IND,0,5.133333333333334,1.0,2.0,.500,1.0,2.0,.500,0,0.0,,0.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,3.0,2.2,+4,0.0,0.0,,1,15,20,9,16,22,25,8,18,24,25,20,1,25,19,10,19,1.0,42.0,57.0,23.0,48.0,53.0,74.0,36.0,47.0,60.0,76.0,40.0,1,76.0,61.0,42.0,58.0,1.0,0.3571428571428571,0.3508771929824561,0.391304347826087,0.3333333333333333,0.4150943396226415,0.3378378378378378,0.2222222222222222,0.3829787234042553,0.4,0.3289473684210526,0.5,1.0,0.3289473684210526,0.3114754098360656,0.238095238095238,0.3275862068965517,8,17,8,2,5,6,3,8,8,4,1,7,19,3,6,4,8,7,15.0,1.0,67.0,,76.0,45.0,8.0,47.0,48.0,42.0,60.0,46.0,9.0,66.0,37.0,27.0,78.0,40.0,71.0,3.0,0.1194029850746268,0.1052631578947368,0.0444444444444444,0.1063829787234042,0.125,0.0714285714285714,0.1333333333333333,0.1212121212121212,0.1081081081081081,0.037037037037037,0.0897435897435897,0.075,0.0845070422535211,0.0,0.0,0.0,,0.0,0.1521739130434782,0.0,35,3.0,57.0,1.6285714285714286,2.2,91.0,2.6,0.0038436899423446,L (-9),L (-9)
7.0,4.0,2022-10-31,33-059,BRK,IND,0,10.3,1.0,2.0,.500,1.0,2.0,.500,0,0.0,,0.0,2.0,2.0,1.0,1.0,0.0,3.0,1.0,3.0,0.9,-5,0.0,0.0,,1,15,20,9,16,22,25,8,18,24,25,20,1,25,19,10,19,1.0,42.0,57.0,23.0,48.0,53.0,74.0,36.0,47.0,60.0,76.0,40.0,1,76.0,61.0,42.0,58.0,1.0,0.3571428571428571,0.3508771929824561,0.391304347826087,0.3333333333333333,0.4150943396226415,0.3378378378378378,0.2222222222222222,0.3829787234042553,0.4,0.3289473684210526,0.5,1.0,0.3289473684210526,0.3114754098360656,0.238095238095238,0.3275862068965517,8,17,8,2,5,6,3,8,8,4,1,7,19,3,6,4,8,7,15.0,1.0,67.0,,76.0,45.0,8.0,47.0,48.0,42.0,60.0,46.0,9.0,66.0,37.0,27.0,78.0,40.0,71.0,3.0,0.1194029850746268,0.1052631578947368,0.0444444444444444,0.1063829787234042,0.125,0.0714285714285714,0.1333333333333333,0.1212121212121212,0.1081081081081081,0.037037037037037,0.0897435897435897,0.075,0.0845070422535211,0.0,0.0,0.0,,0.0,0.1521739130434782,0.0,35,2.0,77.0,2.2,0.9000000000000008,96.79999999999998,2.765714285714285,0.0038436899423446,W (+7),W (+7)
8.0,,2022-11-01,33-060,BRK,CHI,Did Not Play,0.0,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,1,15,20,9,16,22,25,8,18,24,25,20,1,25,19,10,19,1.0,42.0,57.0,23.0,48.0,53.0,74.0,36.0,47.0,60.0,76.0,40.0,1,76.0,61.0,42.0,58.0,1.0,0.3571428571428571,0.3508771929824561,0.391304347826087,0.3333333333333333,0.4150943396226415,0.3378378378378378,0.2222222222222222,0.3829787234042553,0.4,0.3289473684210526,0.5,1.0,0.3289473684210526,0.3114754098360656,0.238095238095238,0.3275862068965517,8,17,8,2,5,6,3,8,8,4,1,7,19,3,6,4,8,7,15.0,1.0,67.0,,76.0,45.0,8.0,47.0,48.0,42.0,60.0,46.0,9.0,66.0,37.0,27.0,78.0,40.0,71.0,3.0,0.1194029850746268,0.1052631578947368,0.0444444444444444,0.1063829787234042,0.125,0.0714285714285714,0.1333333333333333,0.1212121212121212,0.1081081081081081,0.037037037037037,0.0897435897435897,0.075,0.0845070422535211,0.0,0.0,0.0,,0.0,0.1521739130434782,0.0,35,,51.0,1.457142857142857,0.0,57.7,1.6485714285714286,0.0038436899423446,L (-9),L (-9)
9.0,5.0,2022-11-04,33-063,BRK,WAS,0,7.55,1.0,4.0,.250,1.0,2.0,.500,0,0.0,,0.0,2.0,2.0,2.0,1.0,0.0,0.0,1.0,3.0,3.2,+7,2.0,0.0,0.0,1,15,20,9,16,22,25,8,18,24,25,20,1,25,19,10,19,1.0,42.0,57.0,23.0,48.0,53.0,74.0,36.0,47.0,60.0,76.0,40.0,1,76.0,61.0,42.0,58.0,1.0,0.3571428571428571,0.3508771929824561,0.391304347826087,0.3333333333333333,0.4150943396226415,0.3378378378378378,0.2222222222222222,0.3829787234042553,0.4,0.3289473684210526,0.5,1.0,0.3289473684210526,0.3114754098360656,0.238095238095238,0.3275862068965517,8,17,8,2,5,6,3,8,8,4,1,7,19,3,6,4,8,7,15.0,1.0,67.0,,76.0,45.0,8.0,47.0,48.0,42.0,60.0,46.0,9.0,66.0,37.0,27.0,78.0,40.0,71.0,3.0,0.1194029850746268,0.1052631578947368,0.0444444444444444,0.1063829787234042,0.125,0.0714285714285714,0.1333333333333333,0.1212121212121212,0.1081081081081081,0.037037037037037,0.0897435897435897,0.075,0.0845070422535211,0.0,0.0,0.0,,0.0,0.1521739130434782,0.0,35,4.0,42.0,1.2,3.2000000000000006,51.79999999999999,1.4799999999999998,0.0038436899423446,W (+42),W (+42)
10.0,6.0,2022-11-05,33-064,BRK,CHO,0,6.483333333333333,0.0,3.0,.000,0.0,2.0,.000,0,0.0,,0.0,2.0,2.0,1.0,0.0,0.0,0.0,2.0,0.0,-1.6,-6,1.0,0.0,0.0,1,15,20,9,16,22,25,8,18,24,25,20,1,25,19,10,19,1.0,42.0,57.0,23.0,48.0,53.0,74.0,36.0,47.0,60.0,76.0,40.0,1,76.0,61.0,42.0,58.0,1.0,0.3571428571428571,0.3508771929824561,0.391304347826087,0.3333333333333333,0.4150943396226415,0.3378378378378378,0.2222222222222222,0.3829787234042553,0.4,0.3289473684210526,0.5,1.0,0.3289473684210526,0.3114754098360656,0.238095238095238,0.3275862068965517,8,17,8,2,5,6,3,8,8,4,1,7,19,3,6,4,8,7,15.0,1.0,67.0,,76.0,45.0,8.0,47.0,48.0,42.0,60.0,46.0,9.0,66.0,37.0,27.0,78.0,40.0,71.0,3.0,0.1194029850746268,0.1052631578947368,0.0444444444444444,0.1063829787234042,0.125,0.0714285714285714,0.1333333333333333,0.1212121212121212,0.1081081081081081,0.037037037037037,0.0897435897435897,0.075,0.0845070422535211,0.0,0.0,0.0,,0.0,0.1521739130434782,0.0,35,0.0,33.0,0.9428571428571428,-1.6,44.500000000000014,1.2714285714285718,0.0038436899423446,W (+4),W (+4)
