Rk,G,Date,Age,Tm,Opp,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Christian Wood,Shared Games with Dorian Finney-Smith,Shared Games with Dwight Powell,Shared Games with Dāvis Bertāns,Shared Games with Frank Ntilikina,Shared Games with Jaden Hardy,Shared Games with JaVale McGee,Shared Games with Josh Green,Shared Games with Luka Dončić,Shared Games with McKinley Wright IV,Shared Games with Reggie Bullock,Shared Games with Spencer Dinwiddie,Shared Games with Theo Pinson,Shared Games with Tim Hardaway Jr.,Shared Games with Tyler Dorsey,Chris Silva,Christian Wood,Dorian Finney-Smith,Dwight Powell,Dāvis Bertāns,Facundo Campazzo,Frank Ntilikina,Jaden Hardy,JaVale McGee,Josh Green,Kemba Walker,Luka Dončić,McKinley Wright IV,Reggie Bullock,Spencer Dinwiddie,Theo Pinson,Tim Hardaway Jr.,Tyler Dorsey,co_inf with Chris Silva,co_inf with Christian Wood,co_inf with Dorian Finney-Smith,co_inf with Dwight Powell,co_inf with Dāvis Bertāns,co_inf with Facundo Campazzo,co_inf with Frank Ntilikina,co_inf with Jaden Hardy,co_inf with JaVale McGee,co_inf with Josh Green,co_inf with Kemba Walker,co_inf with Luka Dončić,co_inf with McKinley Wright IV,co_inf with Reggie Bullock,co_inf with Spencer Dinwiddie,co_inf with Theo Pinson,co_inf with Tim Hardaway Jr.,co_inf with Tyler Dorsey,Shared Games with Justin Holiday,Shared Games with Kyrie Irving,Shared Games with Markieff Morris,Shared Games with A.J. Lawson,A.J. Lawson,Derrick Favors,Justin Holiday,Kyrie Irving,Markieff Morris,co_inf with Justin Holiday,co_inf with Kyrie Irving,co_inf with Markieff Morris,co_inf with A.J. Lawson,co_inf with Derrick Favors,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS,PER,WS,BPM,OBPM,DBPM,Co_Points_Share,TS%,3PAr,FTr,VORP,OWS,New Column,Result
1.0,1.0,2022-10-19,30-263,DAL,PHO,0.0,26.35,1.0,3.0,0.333,0.0,1.0,0.0,0.0,0.0,,1.0,4.0,5.0,1.0,0.0,1.0,0.0,2.0,2.0,2.8,5.0,2.0,1.0,0.5,33,22,34,12,9,17,17,36,32,5,36,22,8,33,1,1.0,67.0,66.0,76.0,45.0,8.0,47.0,48.0,42.0,60.0,9.0,66.0,27.0,78.0,79.0,40.0,71.0,3.0,0.0,0.4925373134328358,0.3333333333333333,0.4473684210526316,0.2666666666666666,0.0,0.1914893617021276,0.3541666666666667,0.4047619047619047,0.6,0.0,0.4848484848484848,0.1851851851851851,0.4615384615384615,0.2784810126582278,0.2,0.4647887323943662,0.3333333333333333,12,10,4,6,15.0,,46.0,60.0,35.0,0.2608695652173913,0.1666666666666666,0.1142857142857142,0.4,,19,6.0,39.0,2.0526315789473686,2.8000000000000007,62.70000000000002,3.3000000000000007,8.7,1.3,-2.2,-2.2,0.0,0.0234892163143284,0.592,0.663,0.225,0.0,0.7,L (-2),L (-2)
2.0,2.0,2022-10-22,30-266,DAL,MEM,0.0,21.416666666666668,3.0,5.0,0.6,2.0,3.0,0.667,1.0,2.0,0.5,2.0,6.0,8.0,0.0,2.0,0.0,1.0,1.0,9.0,10.1,14.0,2.0,1.0,0.5,33,22,34,12,9,17,17,36,32,5,36,22,8,33,1,1.0,67.0,66.0,76.0,45.0,8.0,47.0,48.0,42.0,60.0,9.0,66.0,27.0,78.0,79.0,40.0,71.0,3.0,0.0,0.4925373134328358,0.3333333333333333,0.4473684210526316,0.2666666666666666,0.0,0.1914893617021276,0.3541666666666667,0.4047619047619047,0.6,0.0,0.4848484848484848,0.1851851851851851,0.4615384615384615,0.2784810126582278,0.2,0.4647887323943662,0.3333333333333333,12,10,4,6,15.0,,46.0,60.0,35.0,0.2608695652173913,0.1666666666666666,0.1142857142857142,0.4,,19,11.0,82.0,4.315789473684211,9.699999999999998,105.8,5.568421052631579,8.7,1.3,-2.2,-2.2,0.0,0.0234892163143284,0.592,0.663,0.225,0.0,0.7,W (+41),W (+41)
3.0,3.0,2022-10-25,30-269,DAL,NOP,0.0,27.616666666666667,1.0,3.0,0.333,1.0,3.0,0.333,4.0,4.0,1.0,2.0,3.0,5.0,0.0,0.0,2.0,2.0,2.0,7.0,6.2,-7.0,0.0,0.0,,33,22,34,12,9,17,17,36,32,5,36,22,8,33,1,1.0,67.0,66.0,76.0,45.0,8.0,47.0,48.0,42.0,60.0,9.0,66.0,27.0,78.0,79.0,40.0,71.0,3.0,0.0,0.4925373134328358,0.3333333333333333,0.4473684210526316,0.2666666666666666,0.0,0.1914893617021276,0.3541666666666667,0.4047619047619047,0.6,0.0,0.4848484848484848,0.1851851851851851,0.4615384615384615,0.2784810126582278,0.2,0.4647887323943662,0.3333333333333333,12,10,4,6,15.0,,46.0,60.0,35.0,0.2608695652173913,0.1666666666666666,0.1142857142857142,0.4,,19,5.0,59.0,3.1052631578947367,4.600000000000002,85.6,4.505263157894737,8.7,1.3,-2.2,-2.2,0.0,0.0234892163143284,0.592,0.663,0.225,0.0,0.7,L (-2),L (-2)
4.0,4.0,2022-10-27,30-271,DAL,BRK,0.0,32.9,4.0,5.0,0.8,3.0,4.0,0.75,4.0,6.0,0.667,1.0,0.0,1.0,1.0,0.0,0.0,1.0,2.0,15.0,11.9,15.0,1.0,1.0,1.0,33,22,34,12,9,17,17,36,32,5,36,22,8,33,1,1.0,67.0,66.0,76.0,45.0,8.0,47.0,48.0,42.0,60.0,9.0,66.0,27.0,78.0,79.0,40.0,71.0,3.0,0.0,0.4925373134328358,0.3333333333333333,0.4473684210526316,0.2666666666666666,0.0,0.1914893617021276,0.3541666666666667,0.4047619047619047,0.6,0.0,0.4848484848484848,0.1851851851851851,0.4615384615384615,0.2784810126582278,0.2,0.4647887323943662,0.3333333333333333,12,10,4,6,15.0,,46.0,60.0,35.0,0.2608695652173913,0.1666666666666666,0.1142857142857142,0.4,,19,5.0,65.0,3.421052631578948,10.3,86.3,4.542105263157895,8.7,1.3,-2.2,-2.2,0.0,0.0234892163143284,0.592,0.663,0.225,0.0,0.7,W (+4),W (+4)
5.0,5.0,2022-10-29,30-273,DAL,OKC,0.0,28.466666666666665,1.0,8.0,0.125,0.0,6.0,0.0,0.0,0.0,,1.0,4.0,5.0,0.0,1.0,2.0,1.0,2.0,2.0,-0.7,-8.0,2.0,1.0,0.5,33,22,34,12,9,17,17,36,32,5,36,22,8,33,1,1.0,67.0,66.0,76.0,45.0,8.0,47.0,48.0,42.0,60.0,9.0,66.0,27.0,78.0,79.0,40.0,71.0,3.0,0.0,0.4925373134328358,0.3333333333333333,0.4473684210526316,0.2666666666666666,0.0,0.1914893617021276,0.3541666666666667,0.4047619047619047,0.6,0.0,0.4848484848484848,0.1851851851851851,0.4615384615384615,0.2784810126582278,0.2,0.4647887323943662,0.3333333333333333,12,10,4,6,15.0,,46.0,60.0,35.0,0.2608695652173913,0.1666666666666666,0.1142857142857142,0.4,,19,1.0,48.0,2.526315789473684,-0.7000000000000004,69.0,3.631578947368421,8.7,1.3,-2.2,-2.2,0.0,0.0234892163143284,0.592,0.663,0.225,0.0,0.7,L (-6),L (-6)
6.0,6.0,2022-10-30,30-274,DAL,ORL,0.0,24.966666666666665,1.0,3.0,0.333,0.0,2.0,0.0,0.0,0.0,,0.0,2.0,2.0,2.0,1.0,0.0,0.0,2.0,2.0,2.5,17.0,1.0,1.0,1.0,33,22,34,12,9,17,17,36,32,5,36,22,8,33,1,1.0,67.0,66.0,76.0,45.0,8.0,47.0,48.0,42.0,60.0,9.0,66.0,27.0,78.0,79.0,40.0,71.0,3.0,0.0,0.4925373134328358,0.3333333333333333,0.4473684210526316,0.2666666666666666,0.0,0.1914893617021276,0.3541666666666667,0.4047619047619047,0.6,0.0,0.4848484848484848,0.1851851851851851,0.4615384615384615,0.2784810126582278,0.2,0.4647887323943662,0.3333333333333333,12,10,4,6,15.0,,46.0,60.0,35.0,0.2608695652173913,0.1666666666666666,0.1142857142857142,0.4,,19,4.0,56.0,2.9473684210526314,2.500000000000001,90.7,4.773684210526316,8.7,1.3,-2.2,-2.2,0.0,0.0234892163143284,0.592,0.663,0.225,0.0,0.7,W (+9),W (+9)
7.0,7.0,2022-11-02,30-277,DAL,UTA,0.0,25.016666666666666,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,5.0,5.0,1.0,0.0,2.0,0.0,2.0,0.0,2.8,-4.0,0.0,0.0,,33,22,34,12,9,17,17,36,32,5,36,22,8,33,1,1.0,67.0,66.0,76.0,45.0,8.0,47.0,48.0,42.0,60.0,9.0,66.0,27.0,78.0,79.0,40.0,71.0,3.0,0.0,0.4925373134328358,0.3333333333333333,0.4473684210526316,0.2666666666666666,0.0,0.1914893617021276,0.3541666666666667,0.4047619047619047,0.6,0.0,0.4848484848484848,0.1851851851851851,0.4615384615384615,0.2784810126582278,0.2,0.4647887323943662,0.3333333333333333,12,10,4,6,15.0,,46.0,60.0,35.0,0.2608695652173913,0.1666666666666666,0.1142857142857142,0.4,,19,8.0,71.0,3.736842105263158,2.8,94.9,4.994736842105263,8.7,1.3,-2.2,-2.2,0.0,0.0234892163143284,0.592,0.663,0.225,0.0,0.7,W (+3),W (+3)
8.0,8.0,2022-11-04,30-279,DAL,TOR,0.0,16.816666666666666,1.0,4.0,0.25,0.0,1.0,0.0,0.0,0.0,,0.0,2.0,2.0,2.0,0.0,0.0,3.0,0.0,2.0,-1.4,-16.0,3.0,1.0,0.3333333333333333,33,22,34,12,9,17,17,36,32,5,36,22,8,33,1,1.0,67.0,66.0,76.0,45.0,8.0,47.0,48.0,42.0,60.0,9.0,66.0,27.0,78.0,79.0,40.0,71.0,3.0,0.0,0.4925373134328358,0.3333333333333333,0.4473684210526316,0.2666666666666666,0.0,0.1914893617021276,0.3541666666666667,0.4047619047619047,0.6,0.0,0.4848484848484848,0.1851851851851851,0.4615384615384615,0.2784810126582278,0.2,0.4647887323943662,0.3333333333333333,12,10,4,6,15.0,,46.0,60.0,35.0,0.2608695652173913,0.1666666666666666,0.1142857142857142,0.4,,19,-1.0,52.0,2.736842105263158,-1.3999999999999997,59.1,3.110526315789474,8.7,1.3,-2.2,-2.2,0.0,0.0234892163143284,0.592,0.663,0.225,0.0,0.7,W (+1),W (+1)
9.0,9.0,2022-11-07,30-282,DAL,BRK,0.0,29.4,2.0,3.0,0.667,1.0,1.0,1.0,0.0,0.0,,2.0,3.0,5.0,1.0,0.0,1.0,0.0,3.0,5.0,6.2,18.0,2.0,1.0,0.5,33,22,34,12,9,17,17,36,32,5,36,22,8,33,1,1.0,67.0,66.0,76.0,45.0,8.0,47.0,48.0,42.0,60.0,9.0,66.0,27.0,78.0,79.0,40.0,71.0,3.0,0.0,0.4925373134328358,0.3333333333333333,0.4473684210526316,0.2666666666666666,0.0,0.1914893617021276,0.3541666666666667,0.4047619047619047,0.6,0.0,0.4848484848484848,0.1851851851851851,0.4615384615384615,0.2784810126582278,0.2,0.4647887323943662,0.3333333333333333,12,10,4,6,15.0,,46.0,60.0,35.0,0.2608695652173913,0.1666666666666666,0.1142857142857142,0.4,,19,9.0,37.0,1.947368421052632,6.199999999999998,48.8,2.568421052631579,8.7,1.3,-2.2,-2.2,0.0,0.0234892163143284,0.592,0.663,0.225,0.0,0.7,W (+2),W (+2)
10.0,10.0,2022-11-09,30-284,DAL,ORL,0.0,33.36666666666667,3.0,6.0,0.5,2.0,5.0,0.4,0.0,0.0,,1.0,2.0,3.0,0.0,1.0,0.0,0.0,2.0,8.0,6.5,-1.0,1.0,1.0,1.0,33,22,34,12,9,17,17,36,32,5,36,22,8,33,1,1.0,67.0,66.0,76.0,45.0,8.0,47.0,48.0,42.0,60.0,9.0,66.0,27.0,78.0,79.0,40.0,71.0,3.0,0.0,0.4925373134328358,0.3333333333333333,0.4473684210526316,0.2666666666666666,0.0,0.1914893617021276,0.3541666666666667,0.4047619047619047,0.6,0.0,0.4848484848484848,0.1851851851851851,0.4615384615384615,0.2784810126582278,0.2,0.4647887323943662,0.3333333333333333,12,10,4,6,15.0,,46.0,60.0,35.0,0.2608695652173913,0.1666666666666666,0.1142857142857142,0.4,,19,6.0,27.0,1.4210526315789471,6.499999999999999,36.400000000000006,1.915789473684211,8.7,1.3,-2.2,-2.2,0.0,0.0234892163143284,0.592,0.663,0.225,0.0,0.7,L (-7),L (-7)
