Unnamed: 0,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Chris Silva,Shared Games with Christian Wood,Shared Games with Dorian Finney-Smith,Shared Games with Dwight Powell,Shared Games with Dāvis Bertāns,Shared Games with Facundo Campazzo,Shared Games with Frank Ntilikina,Shared Games with Jaden Hardy,Shared Games with JaVale McGee,Shared Games with Josh Green,Shared Games with Kemba Walker,Shared Games with Luka Dončić,Shared Games with Maxi Kleber,Shared Games with McKinley Wright IV,Shared Games with Reggie Bullock,Shared Games with Theo Pinson,Shared Games with Tim Hardaway Jr.,Shared Games with Tyler Dorsey,Chris Silva,Christian Wood,Dorian Finney-Smith,Dwight Powell,Dāvis Bertāns,Facundo Campazzo,Frank Ntilikina,Jaden Hardy,JaVale McGee,Josh Green,Kemba Walker,Luka Dončić,Maxi Kleber,McKinley Wright IV,Reggie Bullock,Theo Pinson,Tim Hardaway Jr.,Tyler Dorsey,co_inf with Chris Silva,co_inf with Christian Wood,co_inf with Dorian Finney-Smith,co_inf with Dwight Powell,co_inf with Dāvis Bertāns,co_inf with Facundo Campazzo,co_inf with Frank Ntilikina,co_inf with Jaden Hardy,co_inf with JaVale McGee,co_inf with Josh Green,co_inf with Kemba Walker,co_inf with Luka Dončić,co_inf with Maxi Kleber,co_inf with McKinley Wright IV,co_inf with Reggie Bullock,co_inf with Theo Pinson,co_inf with Tim Hardaway Jr.,co_inf with Tyler Dorsey
0,1,1,2022-10-19,29-196,DAL,@,PHO,L (-2),1,27.516666666666666,6.0,11.0,.545,3.0,5.0,.600,0,2,.000,0,3,3,3,0,0,0,4,15,10.3,+2,6.0,3.0,0.5,0,41,64,49,34,0,31,24,29,34,0,47,22,16,51,25,49,3,1.0,67.0,66.0,76.0,45.0,8.0,47.0,48.0,42.0,60.0,9.0,66.0,37.0,27.0,78.0,40.0,71.0,3.0,0.0,0.6119402985074627,0.9696969696969696,0.6447368421052632,0.7555555555555555,0.0,0.6595744680851063,0.5,0.6904761904761905,0.5666666666666667,0.0,0.7121212121212122,0.5945945945945946,0.5925925925925926,0.6538461538461539,0.625,0.6901408450704225,1.0
1,2,2,2022-10-22,29-199,DAL,,MEM,W (+41),1,28.366666666666667,6.0,13.0,.462,3.0,5.0,.600,0,0,,0,2,2,2,0,0,3,2,15,6.5,+23,8.0,3.0,0.375,0,41,64,49,34,0,31,24,29,34,0,47,22,16,51,25,49,3,1.0,67.0,66.0,76.0,45.0,8.0,47.0,48.0,42.0,60.0,9.0,66.0,37.0,27.0,78.0,40.0,71.0,3.0,0.0,0.6119402985074627,0.9696969696969696,0.6447368421052632,0.7555555555555555,0.0,0.6595744680851063,0.5,0.6904761904761905,0.5666666666666667,0.0,0.7121212121212122,0.5945945945945946,0.5925925925925926,0.6538461538461539,0.625,0.6901408450704225,1.0
2,3,3,2022-10-25,29-202,DAL,@,NOP,L (-2),1,37.983333333333334,8.0,15.0,.533,4.0,8.0,.500,4,5,.800,0,2,2,5,0,0,2,2,24,17.6,-15,7.0,4.0,0.5714285714285714,0,41,64,49,34,0,31,24,29,34,0,47,22,16,51,25,49,3,1.0,67.0,66.0,76.0,45.0,8.0,47.0,48.0,42.0,60.0,9.0,66.0,37.0,27.0,78.0,40.0,71.0,3.0,0.0,0.6119402985074627,0.9696969696969696,0.6447368421052632,0.7555555555555555,0.0,0.6595744680851063,0.5,0.6904761904761905,0.5666666666666667,0.0,0.7121212121212122,0.5945945945945946,0.5925925925925926,0.6538461538461539,0.625,0.6901408450704225,1.0
3,4,4,2022-10-27,29-204,DAL,@,BRK,W (+4),1,27.633333333333333,4.0,8.0,.500,3.0,5.0,.600,0,0,,0,3,3,5,1,0,2,3,11,9.2,-20,3.0,1.0,0.3333333333333333,0,41,64,49,34,0,31,24,29,34,0,47,22,16,51,25,49,3,1.0,67.0,66.0,76.0,45.0,8.0,47.0,48.0,42.0,60.0,9.0,66.0,37.0,27.0,78.0,40.0,71.0,3.0,0.0,0.6119402985074627,0.9696969696969696,0.6447368421052632,0.7555555555555555,0.0,0.6595744680851063,0.5,0.6904761904761905,0.5666666666666667,0.0,0.7121212121212122,0.5945945945945946,0.5925925925925926,0.6538461538461539,0.625,0.6901408450704225,1.0
4,5,5,2022-10-29,29-206,DAL,,OKC,L (-6),1,35.45,8.0,13.0,.615,2.0,6.0,.333,2,3,.667,0,2,2,2,1,0,2,3,20,13.5,+2,7.0,6.0,0.8571428571428571,0,41,64,49,34,0,31,24,29,34,0,47,22,16,51,25,49,3,1.0,67.0,66.0,76.0,45.0,8.0,47.0,48.0,42.0,60.0,9.0,66.0,37.0,27.0,78.0,40.0,71.0,3.0,0.0,0.6119402985074627,0.9696969696969696,0.6447368421052632,0.7555555555555555,0.0,0.6595744680851063,0.5,0.6904761904761905,0.5666666666666667,0.0,0.7121212121212122,0.5945945945945946,0.5925925925925926,0.6538461538461539,0.625,0.6901408450704225,1.0
5,6,6,2022-10-30,29-207,DAL,,ORL,W (+9),1,31.516666666666666,5.0,13.0,.385,0.0,4.0,.000,2,2,1.000,0,4,4,5,3,0,1,3,12,10.4,-9,9.0,5.0,0.5555555555555556,0,41,64,49,34,0,31,24,29,34,0,47,22,16,51,25,49,3,1.0,67.0,66.0,76.0,45.0,8.0,47.0,48.0,42.0,60.0,9.0,66.0,37.0,27.0,78.0,40.0,71.0,3.0,0.0,0.6119402985074627,0.9696969696969696,0.6447368421052632,0.7555555555555555,0.0,0.6595744680851063,0.5,0.6904761904761905,0.5666666666666667,0.0,0.7121212121212122,0.5945945945945946,0.5925925925925926,0.6538461538461539,0.625,0.6901408450704225,1.0
6,7,7,2022-11-02,29-210,DAL,,UTA,W (+3),1,35.166666666666664,8.0,20.0,.400,4.0,11.0,.364,0,0,,1,3,4,5,4,0,1,1,20,16.9,+9,9.0,4.0,0.4444444444444444,0,41,64,49,34,0,31,24,29,34,0,47,22,16,51,25,49,3,1.0,67.0,66.0,76.0,45.0,8.0,47.0,48.0,42.0,60.0,9.0,66.0,37.0,27.0,78.0,40.0,71.0,3.0,0.0,0.6119402985074627,0.9696969696969696,0.6447368421052632,0.7555555555555555,0.0,0.6595744680851063,0.5,0.6904761904761905,0.5666666666666667,0.0,0.7121212121212122,0.5945945945945946,0.5925925925925926,0.6538461538461539,0.625,0.6901408450704225,1.0
7,8,8,2022-11-04,29-212,DAL,,TOR,W (+1),1,37.983333333333334,8.0,17.0,.471,3.0,8.0,.375,2,2,1.000,0,1,1,7,2,0,2,4,21,15.9,0,9.0,5.0,0.5555555555555556,0,41,64,49,34,0,31,24,29,34,0,47,22,16,51,25,49,3,1.0,67.0,66.0,76.0,45.0,8.0,47.0,48.0,42.0,60.0,9.0,66.0,37.0,27.0,78.0,40.0,71.0,3.0,0.0,0.6119402985074627,0.9696969696969696,0.6447368421052632,0.7555555555555555,0.0,0.6595744680851063,0.5,0.6904761904761905,0.5666666666666667,0.0,0.7121212121212122,0.5945945945945946,0.5925925925925926,0.6538461538461539,0.625,0.6901408450704225,1.0
8,9,9,2022-11-07,29-215,DAL,,BRK,W (+2),1,27.883333333333333,1.0,8.0,.125,0.0,3.0,.000,0,0,,2,4,6,5,0,0,4,3,2,-2.3,-3,5.0,1.0,0.2,0,41,64,49,34,0,31,24,29,34,0,47,22,16,51,25,49,3,1.0,67.0,66.0,76.0,45.0,8.0,47.0,48.0,42.0,60.0,9.0,66.0,37.0,27.0,78.0,40.0,71.0,3.0,0.0,0.6119402985074627,0.9696969696969696,0.6447368421052632,0.7555555555555555,0.0,0.6595744680851063,0.5,0.6904761904761905,0.5666666666666667,0.0,0.7121212121212122,0.5945945945945946,0.5925925925925926,0.6538461538461539,0.625,0.6901408450704225,1.0
9,10,10,2022-11-09,29-217,DAL,@,ORL,L (-7),1,37.5,9.0,19.0,.474,4.0,10.0,.400,7,8,.875,0,4,4,5,2,1,1,2,29,24.5,-5,9.0,5.0,0.5555555555555556,0,41,64,49,34,0,31,24,29,34,0,47,22,16,51,25,49,3,1.0,67.0,66.0,76.0,45.0,8.0,47.0,48.0,42.0,60.0,9.0,66.0,37.0,27.0,78.0,40.0,71.0,3.0,0.0,0.6119402985074627,0.9696969696969696,0.6447368421052632,0.7555555555555555,0.0,0.6595744680851063,0.5,0.6904761904761905,0.5666666666666667,0.0,0.7121212121212122,0.5945945945945946,0.5925925925925926,0.6538461538461539,0.625,0.6901408450704225,1.0
