Rk,G,Date,Age,Tm,Opp,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Alec Burks,Shared Games with Bojan Bogdanović,Shared Games with Braxton Key,Shared Games with Buddy Boeheim,Shared Games with Cade Cunningham,Shared Games with Cory Joseph,Shared Games with Hamidou Diallo,Shared Games with Isaiah Stewart,Shared Games with Jaden Ivey,Shared Games with Jalen Duren,Shared Games with Jared Rhoden,Shared Games with Kevin Knox,Shared Games with Killian Hayes,Shared Games with Marvin Bagley III,Shared Games with Nerlens Noel,Shared Games with Rodney McGruder,Shared Games with Saddiq Bey,Alec Burks,Bojan Bogdanović,Braxton Key,Buddy Boeheim,Cade Cunningham,Cory Joseph,Hamidou Diallo,Isaiah Stewart,Jaden Ivey,Jalen Duren,Jared Rhoden,Kevin Knox,Killian Hayes,Marvin Bagley III,Nerlens Noel,Rodney McGruder,Saddiq Bey,Stanley Umude,co_inf with Alec Burks,co_inf with Bojan Bogdanović,co_inf with Braxton Key,co_inf with Buddy Boeheim,co_inf with Cade Cunningham,co_inf with Cory Joseph,co_inf with Hamidou Diallo,co_inf with Isaiah Stewart,co_inf with Jaden Ivey,co_inf with Jalen Duren,co_inf with Jared Rhoden,co_inf with Kevin Knox,co_inf with Killian Hayes,co_inf with Marvin Bagley III,co_inf with Nerlens Noel,co_inf with Rodney McGruder,co_inf with Saddiq Bey,co_inf with Stanley Umude,Shared Games with James Wiseman,Shared Games with Eugene Omoruyi,Shared Games with R.J. Hampton,Eugene Omoruyi,Frank Kaminsky,James Wiseman,R.J. Hampton,co_inf with James Wiseman,co_inf with Eugene Omoruyi,co_inf with Frank Kaminsky,co_inf with R.J. Hampton,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS,Co_Points_Share,New Column,Result
1.0,,2022-10-19,24-083,DET,ORL,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,30,37,2,3,10,35,40,29,45,41,4,23,49,23,10,17,30,51.0,59.0,3.0,10.0,12.0,62.0,56.0,50.0,74.0,67.0,14.0,63.0,76.0,42.0,17.0,32.0,77.0,1.0,0.5882352941176471,0.6271186440677966,0.6666666666666666,0.3,0.8333333333333334,0.5645161290322581,0.7142857142857143,0.58,0.6081081081081081,0.6119402985074627,0.2857142857142857,0.365079365079365,0.6447368421052632,0.5476190476190477,0.5882352941176471,0.53125,0.3896103896103896,0.0,17,12,16,40.0,36.0,45.0,47.0,0.3777777777777777,0.3,0.0,0.3404255319148936,20,,80.0,4.0,0.0,94.8,4.74,0.038253178551686,W (+4),W (+4)
2.0,,2022-10-21,24-085,DET,NYK,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,30,37,2,3,10,35,40,29,45,41,4,23,49,23,10,17,30,51.0,59.0,3.0,10.0,12.0,62.0,56.0,50.0,74.0,67.0,14.0,63.0,76.0,42.0,17.0,32.0,77.0,1.0,0.5882352941176471,0.6271186440677966,0.6666666666666666,0.3,0.8333333333333334,0.5645161290322581,0.7142857142857143,0.58,0.6081081081081081,0.6119402985074627,0.2857142857142857,0.365079365079365,0.6447368421052632,0.5476190476190477,0.5882352941176471,0.53125,0.3896103896103896,0.0,17,12,16,40.0,36.0,45.0,47.0,0.3777777777777777,0.3,0.0,0.3404255319148936,20,,48.0,2.4,0.0,57.1,2.855,0.038253178551686,L (-24),L (-24)
3.0,1.0,2022-10-22,24-086,DET,IND,0,15.933333333333334,3.0,6.0,.500,2.0,3.0,.667,0,0.0,,0.0,2.0,2.0,0.0,2.0,0.0,3.0,3.0,8.0,3.4,-12,3.0,1.0,0.3333333333333333,30,37,2,3,10,35,40,29,45,41,4,23,49,23,10,17,30,51.0,59.0,3.0,10.0,12.0,62.0,56.0,50.0,74.0,67.0,14.0,63.0,76.0,42.0,17.0,32.0,77.0,1.0,0.5882352941176471,0.6271186440677966,0.6666666666666666,0.3,0.8333333333333334,0.5645161290322581,0.7142857142857143,0.58,0.6081081081081081,0.6119402985074627,0.2857142857142857,0.365079365079365,0.6447368421052632,0.5476190476190477,0.5882352941176471,0.53125,0.3896103896103896,0.0,17,12,16,40.0,36.0,45.0,47.0,0.3777777777777777,0.3,0.0,0.3404255319148936,20,3.0,67.0,3.35,3.3999999999999995,83.2,4.16,0.038253178551686,L (-9),L (-9)
4.0,2.0,2022-10-25,24-089,DET,WAS,0,20.466666666666665,1.0,6.0,.167,0.0,5.0,.000,3,3.0,1.000,1.0,2.0,3.0,1.0,0.0,0.0,1.0,3.0,5.0,1.0,-4,1.0,1.0,1.0,30,37,2,3,10,35,40,29,45,41,4,23,49,23,10,17,30,51.0,59.0,3.0,10.0,12.0,62.0,56.0,50.0,74.0,67.0,14.0,63.0,76.0,42.0,17.0,32.0,77.0,1.0,0.5882352941176471,0.6271186440677966,0.6666666666666666,0.3,0.8333333333333334,0.5645161290322581,0.7142857142857143,0.58,0.6081081081081081,0.6119402985074627,0.2857142857142857,0.365079365079365,0.6447368421052632,0.5476190476190477,0.5882352941176471,0.53125,0.3896103896103896,0.0,17,12,16,40.0,36.0,45.0,47.0,0.3777777777777777,0.3,0.0,0.3404255319148936,20,-1.0,36.0,1.8,-0.1999999999999993,54.899999999999984,2.744999999999999,0.038253178551686,L (-21),L (-21)
5.0,3.0,2022-10-26,24-090,DET,ATL,0,23.73333333333333,4.0,7.0,.571,4.0,6.0,.667,0,0.0,,1.0,1.0,2.0,3.0,1.0,1.0,0.0,4.0,12.0,11.9,-1,1.0,0.0,0.0,30,37,2,3,10,35,40,29,45,41,4,23,49,23,10,17,30,51.0,59.0,3.0,10.0,12.0,62.0,56.0,50.0,74.0,67.0,14.0,63.0,76.0,42.0,17.0,32.0,77.0,1.0,0.5882352941176471,0.6271186440677966,0.6666666666666666,0.3,0.8333333333333334,0.5645161290322581,0.7142857142857143,0.58,0.6081081081081081,0.6119402985074627,0.2857142857142857,0.365079365079365,0.6447368421052632,0.5476190476190477,0.5882352941176471,0.53125,0.3896103896103896,0.0,17,12,16,40.0,36.0,45.0,47.0,0.3777777777777777,0.3,0.0,0.3404255319148936,20,12.0,54.0,2.7,11.9,61.8,3.09,0.038253178551686,L (-5),L (-5)
6.0,4.0,2022-10-28,24-092,DET,ATL,0,15.183333333333334,0.0,3.0,.000,0.0,3.0,.000,0,0.0,,2.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,-1.5,-5,0.0,0.0,,30,37,2,3,10,35,40,29,45,41,4,23,49,23,10,17,30,51.0,59.0,3.0,10.0,12.0,62.0,56.0,50.0,74.0,67.0,14.0,63.0,76.0,42.0,17.0,32.0,77.0,1.0,0.5882352941176471,0.6271186440677966,0.6666666666666666,0.3,0.8333333333333334,0.5645161290322581,0.7142857142857143,0.58,0.6081081081081081,0.6119402985074627,0.2857142857142857,0.365079365079365,0.6447368421052632,0.5476190476190477,0.5882352941176471,0.53125,0.3896103896103896,0.0,17,12,16,40.0,36.0,45.0,47.0,0.3777777777777777,0.3,0.0,0.3404255319148936,20,-1.0,51.0,2.55,-1.4999999999999998,74.9,3.745,0.038253178551686,L (-24),L (-24)
7.0,5.0,2022-10-30,24-094,DET,GSW,0,16.916666666666668,2.0,4.0,.500,2.0,4.0,.500,0,0.0,,1.0,2.0,3.0,0.0,0.0,0.0,0.0,3.0,6.0,4.1,+11,0.0,0.0,,30,37,2,3,10,35,40,29,45,41,4,23,49,23,10,17,30,51.0,59.0,3.0,10.0,12.0,62.0,56.0,50.0,74.0,67.0,14.0,63.0,76.0,42.0,17.0,32.0,77.0,1.0,0.5882352941176471,0.6271186440677966,0.6666666666666666,0.3,0.8333333333333334,0.5645161290322581,0.7142857142857143,0.58,0.6081081081081081,0.6119402985074627,0.2857142857142857,0.365079365079365,0.6447368421052632,0.5476190476190477,0.5882352941176471,0.53125,0.3896103896103896,0.0,17,12,16,40.0,36.0,45.0,47.0,0.3777777777777777,0.3,0.0,0.3404255319148936,20,5.0,72.0,3.6,4.1,87.39999999999998,4.369999999999999,0.038253178551686,W (+14),W (+14)
8.0,6.0,2022-10-31,24-095,DET,MIL,0,16.716666666666665,1.0,2.0,.500,1.0,2.0,.500,0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0,1.9,+12,0.0,0.0,,30,37,2,3,10,35,40,29,45,41,4,23,49,23,10,17,30,51.0,59.0,3.0,10.0,12.0,62.0,56.0,50.0,74.0,67.0,14.0,63.0,76.0,42.0,17.0,32.0,77.0,1.0,0.5882352941176471,0.6271186440677966,0.6666666666666666,0.3,0.8333333333333334,0.5645161290322581,0.7142857142857143,0.58,0.6081081081081081,0.6119402985074627,0.2857142857142857,0.365079365079365,0.6447368421052632,0.5476190476190477,0.5882352941176471,0.53125,0.3896103896103896,0.0,17,12,16,40.0,36.0,45.0,47.0,0.3777777777777777,0.3,0.0,0.3404255319148936,20,2.0,50.0,2.5,1.9,67.4,3.37,0.038253178551686,L (-2),L (-2)
9.0,7.0,2022-11-02,24-097,DET,MIL,0,16.7,1.0,4.0,.250,1.0,4.0,.250,0,0.0,,0.0,3.0,3.0,1.0,0.0,0.0,1.0,1.0,3.0,0.8,-8,0.0,0.0,,30,37,2,3,10,35,40,29,45,41,4,23,49,23,10,17,30,51.0,59.0,3.0,10.0,12.0,62.0,56.0,50.0,74.0,67.0,14.0,63.0,76.0,42.0,17.0,32.0,77.0,1.0,0.5882352941176471,0.6271186440677966,0.6666666666666666,0.3,0.8333333333333334,0.5645161290322581,0.7142857142857143,0.58,0.6081081081081081,0.6119402985074627,0.2857142857142857,0.365079365079365,0.6447368421052632,0.5476190476190477,0.5882352941176471,0.53125,0.3896103896103896,0.0,17,12,16,40.0,36.0,45.0,47.0,0.3777777777777777,0.3,0.0,0.3404255319148936,20,2.0,37.0,1.85,0.8000000000000003,38.1,1.905,0.038253178551686,L (-25),L (-25)
10.0,8.0,2022-11-04,24-099,DET,CLE,0,21.3,3.0,7.0,.429,3.0,5.0,.600,2,2.0,1.000,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,11.0,7.9,-20,2.0,0.0,0.0,30,37,2,3,10,35,40,29,45,41,4,23,49,23,10,17,30,51.0,59.0,3.0,10.0,12.0,62.0,56.0,50.0,74.0,67.0,14.0,63.0,76.0,42.0,17.0,32.0,77.0,1.0,0.5882352941176471,0.6271186440677966,0.6666666666666666,0.3,0.8333333333333334,0.5645161290322581,0.7142857142857143,0.58,0.6081081081081081,0.6119402985074627,0.2857142857142857,0.365079365079365,0.6447368421052632,0.5476190476190477,0.5882352941176471,0.53125,0.3896103896103896,0.0,17,12,16,40.0,36.0,45.0,47.0,0.3777777777777777,0.3,0.0,0.3404255319148936,20,4.0,23.0,1.15,7.1000000000000005,29.2,1.46,0.038253178551686,L (-24),L (-24)
