Rk,G,Date,Age,Tm,Opp,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Alec Burks,Shared Games with Bojan Bogdanović,Shared Games with Braxton Key,Shared Games with Buddy Boeheim,Shared Games with Cade Cunningham,Shared Games with Cory Joseph,Shared Games with Hamidou Diallo,Shared Games with Isaiah Livers,Shared Games with Jaden Ivey,Shared Games with Jalen Duren,Shared Games with Jared Rhoden,Shared Games with Kevin Knox,Shared Games with Killian Hayes,Shared Games with Marvin Bagley III,Shared Games with Nerlens Noel,Shared Games with Rodney McGruder,Shared Games with Saddiq Bey,Alec Burks,Bojan Bogdanović,Braxton Key,Buddy Boeheim,Cade Cunningham,Cory Joseph,Hamidou Diallo,Isaiah Livers,Jaden Ivey,Jalen Duren,Jared Rhoden,Kevin Knox,Killian Hayes,Marvin Bagley III,Nerlens Noel,Rodney McGruder,Saddiq Bey,Stanley Umude,co_inf with Alec Burks,co_inf with Bojan Bogdanović,co_inf with Braxton Key,co_inf with Buddy Boeheim,co_inf with Cade Cunningham,co_inf with Cory Joseph,co_inf with Hamidou Diallo,co_inf with Isaiah Livers,co_inf with Jaden Ivey,co_inf with Jalen Duren,co_inf with Jared Rhoden,co_inf with Kevin Knox,co_inf with Killian Hayes,co_inf with Marvin Bagley III,co_inf with Nerlens Noel,co_inf with Rodney McGruder,co_inf with Saddiq Bey,co_inf with Stanley Umude,Shared Games with James Wiseman,Shared Games with Eugene Omoruyi,Shared Games with R.J. Hampton,Eugene Omoruyi,Frank Kaminsky,James Wiseman,R.J. Hampton,co_inf with James Wiseman,co_inf with Eugene Omoruyi,co_inf with Frank Kaminsky,co_inf with R.J. Hampton,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS,PER,WS,BPM,OBPM,DBPM,Co_Points_Share,TS%,3PAr,FTr,VORP,OWS,New Column,Result
1.0,1.0,2022-10-19,21-150,DET,ORL,1,26.3,3.0,6.0,.500,1.0,4.0,.250,7,8.0,.875,0.0,5.0,5.0,3.0,2.0,0.0,0.0,2.0,14.0,15.4,-1,2.0,2.0,1.0,37,49,2,1,12,36,41,29,48,44,11,31,47,19,8,16,45,51.0,59.0,3.0,10.0,12.0,62.0,56.0,52.0,74.0,67.0,14.0,63.0,76.0,42.0,17.0,32.0,77.0,1.0,0.7254901960784313,0.8305084745762712,0.6666666666666666,0.1,1.0,0.5806451612903226,0.7321428571428571,0.5576923076923077,0.6486486486486487,0.6567164179104478,0.7857142857142857,0.492063492063492,0.618421052631579,0.4523809523809524,0.4705882352941176,0.5,0.5844155844155844,0.0,4,1,6,40.0,36.0,45.0,47.0,0.0888888888888888,0.025,0.0,0.1276595744680851,20,10.0,70.0,3.5,12.599999999999998,82.20000000000002,4.110000000000001,13.1,2.0,-2.1,-1.0,-1.1,0.0626865671641791,0.56,0.465,0.338,0.0,1.1,W (+4),W (+4)
2.0,2.0,2022-10-21,21-152,DET,NYK,1,30.33333333333333,3.0,9.0,.333,1.0,6.0,.167,1,4.0,.250,2.0,8.0,10.0,1.0,1.0,1.0,1.0,3.0,8.0,5.7,-7,3.0,2.0,0.6666666666666666,37,49,2,1,12,36,41,29,48,44,11,31,47,19,8,16,45,51.0,59.0,3.0,10.0,12.0,62.0,56.0,52.0,74.0,67.0,14.0,63.0,76.0,42.0,17.0,32.0,77.0,1.0,0.7254901960784313,0.8305084745762712,0.6666666666666666,0.1,1.0,0.5806451612903226,0.7321428571428571,0.5576923076923077,0.6486486486486487,0.6567164179104478,0.7857142857142857,0.492063492063492,0.618421052631579,0.4523809523809524,0.4705882352941176,0.5,0.5844155844155844,0.0,4,1,6,40.0,36.0,45.0,47.0,0.0888888888888888,0.025,0.0,0.1276595744680851,20,7.0,41.0,2.05,5.299999999999998,51.79999999999999,2.5899999999999994,13.1,2.0,-2.1,-1.0,-1.1,0.0626865671641791,0.56,0.465,0.338,0.0,1.1,L (-24),L (-24)
3.0,3.0,2022-10-22,21-153,DET,IND,1,29.55,2.0,10.0,.200,1.0,4.0,.250,6,10.0,.600,6.0,11.0,17.0,2.0,0.0,0.0,2.0,5.0,11.0,8.1,-1,6.0,1.0,0.1666666666666666,37,49,2,1,12,36,41,29,48,44,11,31,47,19,8,16,45,51.0,59.0,3.0,10.0,12.0,62.0,56.0,52.0,74.0,67.0,14.0,63.0,76.0,42.0,17.0,32.0,77.0,1.0,0.7254901960784313,0.8305084745762712,0.6666666666666666,0.1,1.0,0.5806451612903226,0.7321428571428571,0.5576923076923077,0.6486486486486487,0.6567164179104478,0.7857142857142857,0.492063492063492,0.618421052631579,0.4523809523809524,0.4705882352941176,0.5,0.5844155844155844,0.0,4,1,6,40.0,36.0,45.0,47.0,0.0888888888888888,0.025,0.0,0.1276595744680851,20,8.0,62.0,3.1,5.699999999999999,80.9,4.045,13.1,2.0,-2.1,-1.0,-1.1,0.0626865671641791,0.56,0.465,0.338,0.0,1.1,L (-9),L (-9)
4.0,4.0,2022-10-25,21-156,DET,WAS,1,27.25,5.0,11.0,.455,1.0,4.0,.250,2,2.0,1.000,1.0,9.0,10.0,1.0,0.0,0.0,0.0,2.0,13.0,10.6,-13,7.0,4.0,0.5714285714285714,37,49,2,1,12,36,41,29,48,44,11,31,47,19,8,16,45,51.0,59.0,3.0,10.0,12.0,62.0,56.0,52.0,74.0,67.0,14.0,63.0,76.0,42.0,17.0,32.0,77.0,1.0,0.7254901960784313,0.8305084745762712,0.6666666666666666,0.1,1.0,0.5806451612903226,0.7321428571428571,0.5576923076923077,0.6486486486486487,0.6567164179104478,0.7857142857142857,0.492063492063492,0.618421052631579,0.4523809523809524,0.4705882352941176,0.5,0.5844155844155844,0.0,4,1,6,40.0,36.0,45.0,47.0,0.0888888888888888,0.025,0.0,0.1276595744680851,20,11.0,24.0,1.2,9.799999999999995,44.9,2.245,13.1,2.0,-2.1,-1.0,-1.1,0.0626865671641791,0.56,0.465,0.338,0.0,1.1,L (-21),L (-21)
5.0,5.0,2022-10-26,21-157,DET,ATL,1,27.08333333333333,2.0,6.0,.333,0.0,4.0,.000,3,4.0,.750,3.0,6.0,9.0,0.0,0.0,1.0,0.0,0.0,7.0,7.8,-3,2.0,2.0,1.0,37,49,2,1,12,36,41,29,48,44,11,31,47,19,8,16,45,51.0,59.0,3.0,10.0,12.0,62.0,56.0,52.0,74.0,67.0,14.0,63.0,76.0,42.0,17.0,32.0,77.0,1.0,0.7254901960784313,0.8305084745762712,0.6666666666666666,0.1,1.0,0.5806451612903226,0.7321428571428571,0.5576923076923077,0.6486486486486487,0.6567164179104478,0.7857142857142857,0.492063492063492,0.618421052631579,0.4523809523809524,0.4705882352941176,0.5,0.5844155844155844,0.0,4,1,6,40.0,36.0,45.0,47.0,0.0888888888888888,0.025,0.0,0.1276595744680851,20,7.0,59.0,2.95,6.6,67.1,3.3549999999999995,13.1,2.0,-2.1,-1.0,-1.1,0.0626865671641791,0.56,0.465,0.338,0.0,1.1,L (-5),L (-5)
6.0,6.0,2022-10-28,21-159,DET,ATL,1,29.4,6.0,11.0,.545,2.0,5.0,.400,3,5.0,.600,4.0,4.0,8.0,1.0,0.0,1.0,0.0,2.0,17.0,15.5,-11,6.0,4.0,0.6666666666666666,37,49,2,1,12,36,41,29,48,44,11,31,47,19,8,16,45,51.0,59.0,3.0,10.0,12.0,62.0,56.0,52.0,74.0,67.0,14.0,63.0,76.0,42.0,17.0,32.0,77.0,1.0,0.7254901960784313,0.8305084745762712,0.6666666666666666,0.1,1.0,0.5806451612903226,0.7321428571428571,0.5576923076923077,0.6486486486486487,0.6567164179104478,0.7857142857142857,0.492063492063492,0.618421052631579,0.4523809523809524,0.4705882352941176,0.5,0.5844155844155844,0.0,4,1,6,40.0,36.0,45.0,47.0,0.0888888888888888,0.025,0.0,0.1276595744680851,20,11.0,39.0,1.95,14.299999999999995,59.1,2.955,13.1,2.0,-2.1,-1.0,-1.1,0.0626865671641791,0.56,0.465,0.338,0.0,1.1,L (-24),L (-24)
7.0,7.0,2022-10-30,21-161,DET,GSW,1,32.93333333333333,6.0,10.0,.600,2.0,5.0,.400,10,11.0,.909,5.0,8.0,13.0,0.0,0.0,0.0,0.0,3.0,24.0,23.7,+12,5.0,4.0,0.8,37,49,2,1,12,36,41,29,48,44,11,31,47,19,8,16,45,51.0,59.0,3.0,10.0,12.0,62.0,56.0,52.0,74.0,67.0,14.0,63.0,76.0,42.0,17.0,32.0,77.0,1.0,0.7254901960784313,0.8305084745762712,0.6666666666666666,0.1,1.0,0.5806451612903226,0.7321428571428571,0.5576923076923077,0.6486486486486487,0.6567164179104478,0.7857142857142857,0.492063492063492,0.618421052631579,0.4523809523809524,0.4705882352941176,0.5,0.5844155844155844,0.0,4,1,6,40.0,36.0,45.0,47.0,0.0888888888888888,0.025,0.0,0.1276595744680851,20,16.0,61.0,3.05,19.7,71.79999999999998,3.589999999999999,13.1,2.0,-2.1,-1.0,-1.1,0.0626865671641791,0.56,0.465,0.338,0.0,1.1,W (+14),W (+14)
8.0,8.0,2022-10-31,21-162,DET,MIL,1,29.5,4.0,9.0,.444,0.0,2.0,.000,3,4.0,.750,5.0,6.0,11.0,2.0,0.0,1.0,2.0,5.0,11.0,9.3,-3,7.0,4.0,0.5714285714285714,37,49,2,1,12,36,41,29,48,44,11,31,47,19,8,16,45,51.0,59.0,3.0,10.0,12.0,62.0,56.0,52.0,74.0,67.0,14.0,63.0,76.0,42.0,17.0,32.0,77.0,1.0,0.7254901960784313,0.8305084745762712,0.6666666666666666,0.1,1.0,0.5806451612903226,0.7321428571428571,0.5576923076923077,0.6486486486486487,0.6567164179104478,0.7857142857142857,0.492063492063492,0.618421052631579,0.4523809523809524,0.4705882352941176,0.5,0.5844155844155844,0.0,4,1,6,40.0,36.0,45.0,47.0,0.0888888888888888,0.025,0.0,0.1276595744680851,20,10.0,42.0,2.1,8.1,61.2,3.06,13.1,2.0,-2.1,-1.0,-1.1,0.0626865671641791,0.56,0.465,0.338,0.0,1.1,L (-2),L (-2)
9.0,9.0,2022-11-02,21-164,DET,MIL,1,32.5,6.0,9.0,.667,2.0,3.0,.667,2,2.0,1.000,1.0,9.0,10.0,1.0,0.0,1.0,2.0,1.0,16.0,14.5,-21,6.0,4.0,0.6666666666666666,37,49,2,1,12,36,41,29,48,44,11,31,47,19,8,16,45,51.0,59.0,3.0,10.0,12.0,62.0,56.0,52.0,74.0,67.0,14.0,63.0,76.0,42.0,17.0,32.0,77.0,1.0,0.7254901960784313,0.8305084745762712,0.6666666666666666,0.1,1.0,0.5806451612903226,0.7321428571428571,0.5576923076923077,0.6486486486486487,0.6567164179104478,0.7857142857142857,0.492063492063492,0.618421052631579,0.4523809523809524,0.4705882352941176,0.5,0.5844155844155844,0.0,4,1,6,40.0,36.0,45.0,47.0,0.0888888888888888,0.025,0.0,0.1276595744680851,20,15.0,24.0,1.2,13.699999999999994,25.200000000000003,1.2600000000000002,13.1,2.0,-2.1,-1.0,-1.1,0.0626865671641791,0.56,0.465,0.338,0.0,1.1,L (-25),L (-25)
10.0,10.0,2022-11-04,21-166,DET,CLE,1,23.666666666666668,3.0,5.0,.600,0.0,1.0,.000,0,0.0,,3.0,1.0,4.0,1.0,2.0,1.0,2.0,4.0,6.0,5.9,-16,4.0,3.0,0.75,37,49,2,1,12,36,41,29,48,44,11,31,47,19,8,16,45,51.0,59.0,3.0,10.0,12.0,62.0,56.0,52.0,74.0,67.0,14.0,63.0,76.0,42.0,17.0,32.0,77.0,1.0,0.7254901960784313,0.8305084745762712,0.6666666666666666,0.1,1.0,0.5806451612903226,0.7321428571428571,0.5576923076923077,0.6486486486486487,0.6567164179104478,0.7857142857142857,0.492063492063492,0.618421052631579,0.4523809523809524,0.4705882352941176,0.5,0.5844155844155844,0.0,4,1,6,40.0,36.0,45.0,47.0,0.0888888888888888,0.025,0.0,0.1276595744680851,20,7.0,20.0,1.0,5.9,30.4,1.52,13.1,2.0,-2.1,-1.0,-1.1,0.0626865671641791,0.56,0.465,0.338,0.0,1.1,L (-24),L (-24)
