Unnamed: 0,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Andrew Wiggins,Shared Games with Anthony Lamb,Shared Games with Donte DiVincenzo,Shared Games with Draymond Green,Shared Games with JaMychal Green,Shared Games with Jonathan Kuminga,Shared Games with Jordan Poole,Shared Games with Kevon Looney,Shared Games with Klay Thompson,Shared Games with Moses Moody,Shared Games with Patrick Baldwin Jr.,Shared Games with Ryan Rollins,Shared Games with Stephen Curry,Shared Games with Ty Jerome,Andre Iguodala,Andrew Wiggins,Anthony Lamb,Donte DiVincenzo,Draymond Green,JaMychal Green,Jonathan Kuminga,Jordan Poole,Kevon Looney,Klay Thompson,Lester Quinones,Moses Moody,Patrick Baldwin Jr.,Ryan Rollins,Stephen Curry,Ty Jerome,co_inf with Andre Iguodala,co_inf with Andrew Wiggins,co_inf with Anthony Lamb,co_inf with Donte DiVincenzo,co_inf with Draymond Green,co_inf with JaMychal Green,co_inf with Jonathan Kuminga,co_inf with Jordan Poole,co_inf with Kevon Looney,co_inf with Klay Thompson,co_inf with Lester Quinones,co_inf with Moses Moody,co_inf with Patrick Baldwin Jr.,co_inf with Ryan Rollins,co_inf with Stephen Curry,co_inf with Ty Jerome,Shared Games with Alec Burks,Shared Games with Bojan Bogdanović,Shared Games with Buddy Boeheim,Shared Games with Cory Joseph,Shared Games with Hamidou Diallo,Shared Games with Isaiah Livers,Shared Games with Isaiah Stewart,Shared Games with Jaden Ivey,Shared Games with Jalen Duren,Shared Games with Kevin Knox,Shared Games with Killian Hayes,Shared Games with Marvin Bagley III,Shared Games with Nerlens Noel,Shared Games with Rodney McGruder,Shared Games with Saddiq Bey,Shared Games with Eugene Omoruyi,Shared Games with R.J. Hampton,Alec Burks,Bojan Bogdanović,Braxton Key,Buddy Boeheim,Cade Cunningham,Cory Joseph,Eugene Omoruyi,Frank Kaminsky,Hamidou Diallo,Isaiah Livers,Isaiah Stewart,Jaden Ivey,Jalen Duren,Jared Rhoden,Killian Hayes,Marvin Bagley III,R.J. Hampton,Rodney McGruder,Stanley Umude,co_inf with Alec Burks,co_inf with Bojan Bogdanović,co_inf with Braxton Key,co_inf with Buddy Boeheim,co_inf with Cade Cunningham,co_inf with Cory Joseph,co_inf with Frank Kaminsky,co_inf with Hamidou Diallo,co_inf with Isaiah Livers,co_inf with Isaiah Stewart,co_inf with Jaden Ivey,co_inf with Jalen Duren,co_inf with Killian Hayes,co_inf with Marvin Bagley III,co_inf with Rodney McGruder,co_inf with Eugene Omoruyi,co_inf with Jared Rhoden,co_inf with R.J. Hampton,co_inf with Stanley Umude,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS
0,1,1,2022-10-18,21-201,GSW,,LAL,W (+14),0,16:31,4.0,6.0,.667,0.0,0.0,,0,4.0,.000,1.0,6.0,7.0,0.0,0.0,1.0,0.0,2.0,8.0,6.2,-11,6.0,4.0,0.6666666666666666,12,11,12,17,16,18,21,21,15,21,7,9,11,17,8.0,37.0,62.0,72.0,73.0,57.0,67.0,82.0,82.0,69.0,4.0,63.0,31.0,12.0,56.0,45.0,0.0,0.3243243243243243,0.1774193548387097,0.1666666666666666,0.2328767123287671,0.2807017543859649,0.2686567164179104,0.2560975609756097,0.2560975609756097,0.217391304347826,0.0,0.3333333333333333,0.2258064516129032,0.75,0.1964285714285714,0.3777777777777777,7,5,8,23,8,17,4,20,17,22,22,16,2,11,25,17,19,51.0,59.0,3.0,10.0,12.0,62.0,40.0,36.0,56.0,52.0,50.0,74.0,67.0,14.0,76.0,42.0,47.0,32.0,1.0,0.1372549019607843,0.0847457627118644,0.0,0.8,0.0,0.3709677419354839,0.0,0.1428571428571428,0.3269230769230769,0.08,0.2702702702702703,0.2537313432835821,0.2894736842105263,0.3809523809523809,0.34375,0.425,0.0,0.4042553191489361,0.0,31,6.0,74.0,2.3870967741935485,6.199999999999998,88.60000000000001,2.8580645161290326
1,2,2,2022-10-21,21-204,GSW,,DEN,L (-5),0,16:12,4.0,5.0,.800,0.0,0.0,,3,3.0,1.000,1.0,4.0,5.0,1.0,0.0,0.0,1.0,4.0,11.0,9.1,-14,5.0,4.0,0.8,12,11,12,17,16,18,21,21,15,21,7,9,11,17,8.0,37.0,62.0,72.0,73.0,57.0,67.0,82.0,82.0,69.0,4.0,63.0,31.0,12.0,56.0,45.0,0.0,0.3243243243243243,0.1774193548387097,0.1666666666666666,0.2328767123287671,0.2807017543859649,0.2686567164179104,0.2560975609756097,0.2560975609756097,0.217391304347826,0.0,0.3333333333333333,0.2258064516129032,0.75,0.1964285714285714,0.3777777777777777,7,5,8,23,8,17,4,20,17,22,22,16,2,11,25,17,19,51.0,59.0,3.0,10.0,12.0,62.0,40.0,36.0,56.0,52.0,50.0,74.0,67.0,14.0,76.0,42.0,47.0,32.0,1.0,0.1372549019607843,0.0847457627118644,0.0,0.8,0.0,0.3709677419354839,0.0,0.1428571428571428,0.3269230769230769,0.08,0.2702702702702703,0.2537313432835821,0.2894736842105263,0.3809523809523809,0.34375,0.425,0.0,0.4042553191489361,0.0,31,8.0,40.0,1.2903225806451613,7.899999999999997,49.2,1.5870967741935484
2,3,3,2022-10-23,21-206,GSW,,SAC,W (+5),0,19:47,5.0,7.0,.714,0.0,0.0,,4,6.0,.667,0.0,6.0,6.0,3.0,0.0,0.0,2.0,3.0,14.0,11.0,-10,7.0,5.0,0.7142857142857143,12,11,12,17,16,18,21,21,15,21,7,9,11,17,8.0,37.0,62.0,72.0,73.0,57.0,67.0,82.0,82.0,69.0,4.0,63.0,31.0,12.0,56.0,45.0,0.0,0.3243243243243243,0.1774193548387097,0.1666666666666666,0.2328767123287671,0.2807017543859649,0.2686567164179104,0.2560975609756097,0.2560975609756097,0.217391304347826,0.0,0.3333333333333333,0.2258064516129032,0.75,0.1964285714285714,0.3777777777777777,7,5,8,23,8,17,4,20,17,22,22,16,2,11,25,17,19,51.0,59.0,3.0,10.0,12.0,62.0,40.0,36.0,56.0,52.0,50.0,74.0,67.0,14.0,76.0,42.0,47.0,32.0,1.0,0.1372549019607843,0.0847457627118644,0.0,0.8,0.0,0.3709677419354839,0.0,0.1428571428571428,0.3269230769230769,0.08,0.2702702702702703,0.2537313432835821,0.2894736842105263,0.3809523809523809,0.34375,0.425,0.0,0.4042553191489361,0.0,31,8.0,62.0,2.0,9.4,77.2,2.490322580645161
3,4,4,2022-10-25,21-208,GSW,@,PHO,L (-29),0,18:04,5.0,8.0,.625,0.0,0.0,,2,2.0,1.000,2.0,1.0,3.0,0.0,0.0,2.0,0.0,1.0,12.0,11.1,-19,8.0,5.0,0.625,12,11,12,17,16,18,21,21,15,21,7,9,11,17,8.0,37.0,62.0,72.0,73.0,57.0,67.0,82.0,82.0,69.0,4.0,63.0,31.0,12.0,56.0,45.0,0.0,0.3243243243243243,0.1774193548387097,0.1666666666666666,0.2328767123287671,0.2807017543859649,0.2686567164179104,0.2560975609756097,0.2560975609756097,0.217391304347826,0.0,0.3333333333333333,0.2258064516129032,0.75,0.1964285714285714,0.3777777777777777,7,5,8,23,8,17,4,20,17,22,22,16,2,11,25,17,19,51.0,59.0,3.0,10.0,12.0,62.0,40.0,36.0,56.0,52.0,50.0,74.0,67.0,14.0,76.0,42.0,47.0,32.0,1.0,0.1372549019607843,0.0847457627118644,0.0,0.8,0.0,0.3709677419354839,0.0,0.1428571428571428,0.3269230769230769,0.08,0.2702702702702703,0.2537313432835821,0.2894736842105263,0.3809523809523809,0.34375,0.425,0.0,0.4042553191489361,0.0,31,7.0,28.0,0.9032258064516128,10.3,44.39999999999999,1.4322580645161287
4,5,5,2022-10-27,21-210,GSW,,MIA,W (+13),0,13:52,5.0,8.0,.625,0.0,0.0,,0,0.0,,3.0,3.0,6.0,0.0,0.0,0.0,2.0,2.0,10.0,6.6,+2,8.0,5.0,0.625,12,11,12,17,16,18,21,21,15,21,7,9,11,17,8.0,37.0,62.0,72.0,73.0,57.0,67.0,82.0,82.0,69.0,4.0,63.0,31.0,12.0,56.0,45.0,0.0,0.3243243243243243,0.1774193548387097,0.1666666666666666,0.2328767123287671,0.2807017543859649,0.2686567164179104,0.2560975609756097,0.2560975609756097,0.217391304347826,0.0,0.3333333333333333,0.2258064516129032,0.75,0.1964285714285714,0.3777777777777777,7,5,8,23,8,17,4,20,17,22,22,16,2,11,25,17,19,51.0,59.0,3.0,10.0,12.0,62.0,40.0,36.0,56.0,52.0,50.0,74.0,67.0,14.0,76.0,42.0,47.0,32.0,1.0,0.1372549019607843,0.0847457627118644,0.0,0.8,0.0,0.3709677419354839,0.0,0.1428571428571428,0.3269230769230769,0.08,0.2702702702702703,0.2537313432835821,0.2894736842105263,0.3809523809523809,0.34375,0.425,0.0,0.4042553191489361,0.0,31,6.0,60.0,1.935483870967742,6.6,67.1,2.164516129032258
5,6,6,2022-10-29,21-212,GSW,@,CHO,L (-7),0,4:44,0.0,2.0,.000,0.0,0.0,,0,0.0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,-1.9,-5,2.0,0.0,0.0,12,11,12,17,16,18,21,21,15,21,7,9,11,17,8.0,37.0,62.0,72.0,73.0,57.0,67.0,82.0,82.0,69.0,4.0,63.0,31.0,12.0,56.0,45.0,0.0,0.3243243243243243,0.1774193548387097,0.1666666666666666,0.2328767123287671,0.2807017543859649,0.2686567164179104,0.2560975609756097,0.2560975609756097,0.217391304347826,0.0,0.3333333333333333,0.2258064516129032,0.75,0.1964285714285714,0.3777777777777777,7,5,8,23,8,17,4,20,17,22,22,16,2,11,25,17,19,51.0,59.0,3.0,10.0,12.0,62.0,40.0,36.0,56.0,52.0,50.0,74.0,67.0,14.0,76.0,42.0,47.0,32.0,1.0,0.1372549019607843,0.0847457627118644,0.0,0.8,0.0,0.3709677419354839,0.0,0.1428571428571428,0.3269230769230769,0.08,0.2702702702702703,0.2537313432835821,0.2894736842105263,0.3809523809523809,0.34375,0.425,0.0,0.4042553191489361,0.0,31,-1.0,51.0,1.6451612903225807,-1.9,75.30000000000001,2.4290322580645163
6,7,7,2022-10-30,21-213,GSW,@,DET,L (-14),0,13:04,2.0,4.0,.500,0.0,0.0,,2,2.0,1.000,1.0,3.0,4.0,1.0,0.0,0.0,0.0,2.0,6.0,5.5,+9,4.0,2.0,0.5,12,11,12,17,16,18,21,21,15,21,7,9,11,17,8.0,37.0,62.0,72.0,73.0,57.0,67.0,82.0,82.0,69.0,4.0,63.0,31.0,12.0,56.0,45.0,0.0,0.3243243243243243,0.1774193548387097,0.1666666666666666,0.2328767123287671,0.2807017543859649,0.2686567164179104,0.2560975609756097,0.2560975609756097,0.217391304347826,0.0,0.3333333333333333,0.2258064516129032,0.75,0.1964285714285714,0.3777777777777777,7,5,8,23,8,17,4,20,17,22,22,16,2,11,25,17,19,51.0,59.0,3.0,10.0,12.0,62.0,40.0,36.0,56.0,52.0,50.0,74.0,67.0,14.0,76.0,42.0,47.0,32.0,1.0,0.1372549019607843,0.0847457627118644,0.0,0.8,0.0,0.3709677419354839,0.0,0.1428571428571428,0.3269230769230769,0.08,0.2702702702702703,0.2537313432835821,0.2894736842105263,0.3809523809523809,0.34375,0.425,0.0,0.4042553191489361,0.0,31,5.0,72.0,2.3225806451612905,4.7,86.79999999999998,2.7999999999999994
7,8,8,2022-11-01,21-215,GSW,@,MIA,L (-7),0,9:27,2.0,4.0,.500,0.0,0.0,,1,2.0,.500,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,5.0,1.1,-9,4.0,2.0,0.5,12,11,12,17,16,18,21,21,15,21,7,9,11,17,8.0,37.0,62.0,72.0,73.0,57.0,67.0,82.0,82.0,69.0,4.0,63.0,31.0,12.0,56.0,45.0,0.0,0.3243243243243243,0.1774193548387097,0.1666666666666666,0.2328767123287671,0.2807017543859649,0.2686567164179104,0.2560975609756097,0.2560975609756097,0.217391304347826,0.0,0.3333333333333333,0.2258064516129032,0.75,0.1964285714285714,0.3777777777777777,7,5,8,23,8,17,4,20,17,22,22,16,2,11,25,17,19,51.0,59.0,3.0,10.0,12.0,62.0,40.0,36.0,56.0,52.0,50.0,74.0,67.0,14.0,76.0,42.0,47.0,32.0,1.0,0.1372549019607843,0.0847457627118644,0.0,0.8,0.0,0.3709677419354839,0.0,0.1428571428571428,0.3269230769230769,0.08,0.2702702702702703,0.2537313432835821,0.2894736842105263,0.3809523809523809,0.34375,0.425,0.0,0.4042553191489361,0.0,31,-1.0,53.0,1.7096774193548387,0.7000000000000002,68.6,2.2129032258064516
8,9,9,2022-11-03,21-217,GSW,@,ORL,L (-1),0,9:34,1.0,3.0,.333,0.0,0.0,,0,0.0,,1.0,2.0,3.0,1.0,1.0,0.0,0.0,3.0,2.0,2.1,-9,3.0,1.0,0.3333333333333333,12,11,12,17,16,18,21,21,15,21,7,9,11,17,8.0,37.0,62.0,72.0,73.0,57.0,67.0,82.0,82.0,69.0,4.0,63.0,31.0,12.0,56.0,45.0,0.0,0.3243243243243243,0.1774193548387097,0.1666666666666666,0.2328767123287671,0.2807017543859649,0.2686567164179104,0.2560975609756097,0.2560975609756097,0.217391304347826,0.0,0.3333333333333333,0.2258064516129032,0.75,0.1964285714285714,0.3777777777777777,7,5,8,23,8,17,4,20,17,22,22,16,2,11,25,17,19,51.0,59.0,3.0,10.0,12.0,62.0,40.0,36.0,56.0,52.0,50.0,74.0,67.0,14.0,76.0,42.0,47.0,32.0,1.0,0.1372549019607843,0.0847457627118644,0.0,0.8,0.0,0.3709677419354839,0.0,0.1428571428571428,0.3269230769230769,0.08,0.2702702702702703,0.2537313432835821,0.2894736842105263,0.3809523809523809,0.34375,0.425,0.0,0.4042553191489361,0.0,31,4.0,35.0,1.1290322580645162,2.1,36.8,1.1870967741935483
9,10,10,2022-11-04,21-218,GSW,@,NOP,L (-9),0,16:36,1.0,1.0,1.000,0.0,0.0,,3,4.0,.750,1.0,5.0,6.0,2.0,0.0,0.0,2.0,3.0,5.0,4.7,-3,1.0,1.0,1.0,12,11,12,17,16,18,21,21,15,21,7,9,11,17,8.0,37.0,62.0,72.0,73.0,57.0,67.0,82.0,82.0,69.0,4.0,63.0,31.0,12.0,56.0,45.0,0.0,0.3243243243243243,0.1774193548387097,0.1666666666666666,0.2328767123287671,0.2807017543859649,0.2686567164179104,0.2560975609756097,0.2560975609756097,0.217391304347826,0.0,0.3333333333333333,0.2258064516129032,0.75,0.1964285714285714,0.3777777777777777,7,5,8,23,8,17,4,20,17,22,22,16,2,11,25,17,19,51.0,59.0,3.0,10.0,12.0,62.0,40.0,36.0,56.0,52.0,50.0,74.0,67.0,14.0,76.0,42.0,47.0,32.0,1.0,0.1372549019607843,0.0847457627118644,0.0,0.8,0.0,0.3709677419354839,0.0,0.1428571428571428,0.3269230769230769,0.08,0.2702702702702703,0.2537313432835821,0.2894736842105263,0.3809523809523809,0.34375,0.425,0.0,0.4042553191489361,0.0,31,6.0,21.0,0.6774193548387096,3.500000000000001,32.800000000000004,1.0580645161290323
