Unnamed: 0,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Alec Burks,Shared Games with Bojan Bogdanović,Shared Games with Braxton Key,Shared Games with Cade Cunningham,Shared Games with Cory Joseph,Shared Games with Hamidou Diallo,Shared Games with Isaiah Livers,Shared Games with Isaiah Stewart,Shared Games with Jaden Ivey,Shared Games with Jalen Duren,Shared Games with Kevin Knox,Shared Games with Killian Hayes,Shared Games with Marvin Bagley III,Shared Games with Nerlens Noel,Shared Games with Rodney McGruder,Shared Games with Saddiq Bey,Alec Burks,Bojan Bogdanović,Braxton Key,Buddy Boeheim,Cade Cunningham,Cory Joseph,Hamidou Diallo,Isaiah Livers,Isaiah Stewart,Jaden Ivey,Jalen Duren,Kevin Knox,Killian Hayes,Marvin Bagley III,Nerlens Noel,Rodney McGruder,Saddiq Bey,Stanley Umude,co_inf with Alec Burks,co_inf with Bojan Bogdanović,co_inf with Braxton Key,co_inf with Buddy Boeheim,co_inf with Cade Cunningham,co_inf with Cory Joseph,co_inf with Hamidou Diallo,co_inf with Isaiah Livers,co_inf with Isaiah Stewart,co_inf with Jaden Ivey,co_inf with Jalen Duren,co_inf with Kevin Knox,co_inf with Killian Hayes,co_inf with Marvin Bagley III,co_inf with Nerlens Noel,co_inf with Rodney McGruder,co_inf with Saddiq Bey,co_inf with Stanley Umude,Eugene Omoruyi,Frank Kaminsky,James Wiseman,R.J. Hampton,co_inf with Eugene Omoruyi,co_inf with Frank Kaminsky,co_inf with James Wiseman,co_inf with R.J. Hampton,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS
0,1,,2022-12-26,23-121,DET,,LAC,L (-11),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,13,12,1,1,10,10,4,11,14,8,12,12,7,5,8,14,51.0,59.0,3.0,10.0,12.0,62.0,56.0,52.0,50.0,74.0,67.0,63.0,76.0,42.0,17.0,32.0,77.0,1.0,0.2549019607843137,0.2033898305084746,0.3333333333333333,0.0,0.0833333333333333,0.1612903225806451,0.1785714285714285,0.0769230769230769,0.22,0.1891891891891892,0.1194029850746268,0.1904761904761904,0.1578947368421052,0.1666666666666666,0.2941176470588235,0.25,0.1818181818181818,0.0,40.0,36.0,45.0,47.0,0.0,0.0,0.0,0.0,16,,80.0,5.0,0.0,94.8,5.925
1,2,,2022-12-28,23-123,DET,,ORL,W (+20),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,13,12,1,1,10,10,4,11,14,8,12,12,7,5,8,14,51.0,59.0,3.0,10.0,12.0,62.0,56.0,52.0,50.0,74.0,67.0,63.0,76.0,42.0,17.0,32.0,77.0,1.0,0.2549019607843137,0.2033898305084746,0.3333333333333333,0.0,0.0833333333333333,0.1612903225806451,0.1785714285714285,0.0769230769230769,0.22,0.1891891891891892,0.1194029850746268,0.1904761904761904,0.1578947368421052,0.1666666666666666,0.2941176470588235,0.25,0.1818181818181818,0.0,40.0,36.0,45.0,47.0,0.0,0.0,0.0,0.0,16,,48.0,3.0,0.0,57.1,3.56875
2,3,,2022-12-30,23-125,DET,@,CHI,L (-14),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,13,12,1,1,10,10,4,11,14,8,12,12,7,5,8,14,51.0,59.0,3.0,10.0,12.0,62.0,56.0,52.0,50.0,74.0,67.0,63.0,76.0,42.0,17.0,32.0,77.0,1.0,0.2549019607843137,0.2033898305084746,0.3333333333333333,0.0,0.0833333333333333,0.1612903225806451,0.1785714285714285,0.0769230769230769,0.22,0.1891891891891892,0.1194029850746268,0.1904761904761904,0.1578947368421052,0.1666666666666666,0.2941176470588235,0.25,0.1818181818181818,0.0,40.0,36.0,45.0,47.0,0.0,0.0,0.0,0.0,16,,70.0,4.375,0.0,86.60000000000001,5.4125000000000005
3,4,,2022-12-31,23-126,DET,@,MIN,W (+12),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,13,12,1,1,10,10,4,11,14,8,12,12,7,5,8,14,51.0,59.0,3.0,10.0,12.0,62.0,56.0,52.0,50.0,74.0,67.0,63.0,76.0,42.0,17.0,32.0,77.0,1.0,0.2549019607843137,0.2033898305084746,0.3333333333333333,0.0,0.0833333333333333,0.1612903225806451,0.1785714285714285,0.0769230769230769,0.22,0.1891891891891892,0.1194029850746268,0.1904761904761904,0.1578947368421052,0.1666666666666666,0.2941176470588235,0.25,0.1818181818181818,0.0,40.0,36.0,45.0,47.0,0.0,0.0,0.0,0.0,16,,35.0,2.1875,0.0,54.7,3.41875
4,5,,2023-01-02,23-128,DET,@,POR,L (-29),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,13,12,1,1,10,10,4,11,14,8,12,12,7,5,8,14,51.0,59.0,3.0,10.0,12.0,62.0,56.0,52.0,50.0,74.0,67.0,63.0,76.0,42.0,17.0,32.0,77.0,1.0,0.2549019607843137,0.2033898305084746,0.3333333333333333,0.0,0.0833333333333333,0.1612903225806451,0.1785714285714285,0.0769230769230769,0.22,0.1891891891891892,0.1194029850746268,0.1904761904761904,0.1578947368421052,0.1666666666666666,0.2941176470588235,0.25,0.1818181818181818,0.0,40.0,36.0,45.0,47.0,0.0,0.0,0.0,0.0,16,,66.0,4.125,0.0,73.69999999999999,4.606249999999999
5,6,,2023-01-04,23-130,DET,@,GSW,W (+3),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,13,12,1,1,10,10,4,11,14,8,12,12,7,5,8,14,51.0,59.0,3.0,10.0,12.0,62.0,56.0,52.0,50.0,74.0,67.0,63.0,76.0,42.0,17.0,32.0,77.0,1.0,0.2549019607843137,0.2033898305084746,0.3333333333333333,0.0,0.0833333333333333,0.1612903225806451,0.1785714285714285,0.0769230769230769,0.22,0.1891891891891892,0.1194029850746268,0.1904761904761904,0.1578947368421052,0.1666666666666666,0.2941176470588235,0.25,0.1818181818181818,0.0,40.0,36.0,45.0,47.0,0.0,0.0,0.0,0.0,16,,50.0,3.125,0.0,73.4,4.5875
6,7,,2023-01-06,23-132,DET,@,SAS,L (-12),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,13,12,1,1,10,10,4,11,14,8,12,12,7,5,8,14,51.0,59.0,3.0,10.0,12.0,62.0,56.0,52.0,50.0,74.0,67.0,63.0,76.0,42.0,17.0,32.0,77.0,1.0,0.2549019607843137,0.2033898305084746,0.3333333333333333,0.0,0.0833333333333333,0.1612903225806451,0.1785714285714285,0.0769230769230769,0.22,0.1891891891891892,0.1194029850746268,0.1904761904761904,0.1578947368421052,0.1666666666666666,0.2941176470588235,0.25,0.1818181818181818,0.0,40.0,36.0,45.0,47.0,0.0,0.0,0.0,0.0,16,,77.0,4.8125,0.0,91.5,5.71875
7,8,,2023-01-08,23-134,DET,,PHI,L (-12),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,13,12,1,1,10,10,4,11,14,8,12,12,7,5,8,14,51.0,59.0,3.0,10.0,12.0,62.0,56.0,52.0,50.0,74.0,67.0,63.0,76.0,42.0,17.0,32.0,77.0,1.0,0.2549019607843137,0.2033898305084746,0.3333333333333333,0.0,0.0833333333333333,0.1612903225806451,0.1785714285714285,0.0769230769230769,0.22,0.1891891891891892,0.1194029850746268,0.1904761904761904,0.1578947368421052,0.1666666666666666,0.2941176470588235,0.25,0.1818181818181818,0.0,40.0,36.0,45.0,47.0,0.0,0.0,0.0,0.0,16,,52.0,3.25,0.0,69.3,4.33125
8,9,1,2023-01-10,23-136,DET,@,PHI,L (-31),0,12:00,1.0,3.0,.333,0.0,1.0,.000,0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,2.0,-0.6,+1,2.0,1.0,0.5,13,12,1,1,10,10,4,11,14,8,12,12,7,5,8,14,51.0,59.0,3.0,10.0,12.0,62.0,56.0,52.0,50.0,74.0,67.0,63.0,76.0,42.0,17.0,32.0,77.0,1.0,0.2549019607843137,0.2033898305084746,0.3333333333333333,0.0,0.0833333333333333,0.1612903225806451,0.1785714285714285,0.0769230769230769,0.22,0.1891891891891892,0.1194029850746268,0.1904761904761904,0.1578947368421052,0.1666666666666666,0.2941176470588235,0.25,0.1818181818181818,0.0,40.0,36.0,45.0,47.0,0.0,0.0,0.0,0.0,16,0.0,39.0,2.4375,-0.6000000000000001,39.5,2.46875
9,10,,2023-01-11,23-137,DET,,MIN,W (+17),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,13,12,1,1,10,10,4,11,14,8,12,12,7,5,8,14,51.0,59.0,3.0,10.0,12.0,62.0,56.0,52.0,50.0,74.0,67.0,63.0,76.0,42.0,17.0,32.0,77.0,1.0,0.2549019607843137,0.2033898305084746,0.3333333333333333,0.0,0.0833333333333333,0.1612903225806451,0.1785714285714285,0.0769230769230769,0.22,0.1891891891891892,0.1194029850746268,0.1904761904761904,0.1578947368421052,0.1666666666666666,0.2941176470588235,0.25,0.1818181818181818,0.0,40.0,36.0,45.0,47.0,0.0,0.0,0.0,0.0,16,,27.0,1.6875,0.0,36.3,2.26875
