Unnamed: 0,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Andre Iguodala,Shared Games with Andrew Wiggins,Shared Games with Anthony Lamb,Shared Games with Donte DiVincenzo,Shared Games with Draymond Green,Shared Games with JaMychal Green,Shared Games with Jonathan Kuminga,Shared Games with Jordan Poole,Shared Games with Kevon Looney,Shared Games with Klay Thompson,Shared Games with Lester Quinones,Shared Games with Moses Moody,Shared Games with Patrick Baldwin Jr.,Shared Games with Ryan Rollins,Shared Games with Stephen Curry,Shared Games with Ty Jerome,Andre Iguodala,Andrew Wiggins,Anthony Lamb,Donte DiVincenzo,Draymond Green,JaMychal Green,Jonathan Kuminga,Jordan Poole,Kevon Looney,Klay Thompson,Lester Quinones,Moses Moody,Patrick Baldwin Jr.,Ryan Rollins,Stephen Curry,Ty Jerome,co_inf with Andre Iguodala,co_inf with Andrew Wiggins,co_inf with Anthony Lamb,co_inf with Donte DiVincenzo,co_inf with Draymond Green,co_inf with JaMychal Green,co_inf with Jonathan Kuminga,co_inf with Jordan Poole,co_inf with Kevon Looney,co_inf with Klay Thompson,co_inf with Lester Quinones,co_inf with Moses Moody,co_inf with Patrick Baldwin Jr.,co_inf with Ryan Rollins,co_inf with Stephen Curry,co_inf with Ty Jerome
0,1,1,2022-10-18,21-201,GSW,,LAL,W (+14),0,16.516666666666666,4.0,6.0,.667,0.0,0.0,,0,4,.000,1,6,7,0,0,1,0,2,8,6.2,-11,6.0,4.0,0.6666666666666666,0,12,11,12,17,16,18,21,21,15,0,21,7,9,11,17,8.0,37.0,62.0,72.0,73.0,57.0,67.0,82.0,82.0,69.0,4.0,63.0,31.0,12.0,56.0,45.0,0.0,0.3243243243243243,0.1774193548387097,0.1666666666666666,0.2328767123287671,0.2807017543859649,0.2686567164179104,0.2560975609756097,0.2560975609756097,0.217391304347826,0.0,0.3333333333333333,0.2258064516129032,0.75,0.1964285714285714,0.3777777777777777
1,2,2,2022-10-21,21-204,GSW,,DEN,L (-5),0,16.2,4.0,5.0,.800,0.0,0.0,,3,3,1.000,1,4,5,1,0,0,1,4,11,9.1,-14,5.0,4.0,0.8,0,12,11,12,17,16,18,21,21,15,0,21,7,9,11,17,8.0,37.0,62.0,72.0,73.0,57.0,67.0,82.0,82.0,69.0,4.0,63.0,31.0,12.0,56.0,45.0,0.0,0.3243243243243243,0.1774193548387097,0.1666666666666666,0.2328767123287671,0.2807017543859649,0.2686567164179104,0.2560975609756097,0.2560975609756097,0.217391304347826,0.0,0.3333333333333333,0.2258064516129032,0.75,0.1964285714285714,0.3777777777777777
2,3,3,2022-10-23,21-206,GSW,,SAC,W (+5),0,19.783333333333335,5.0,7.0,.714,0.0,0.0,,4,6,.667,0,6,6,3,0,0,2,3,14,11.0,-10,7.0,5.0,0.7142857142857143,0,12,11,12,17,16,18,21,21,15,0,21,7,9,11,17,8.0,37.0,62.0,72.0,73.0,57.0,67.0,82.0,82.0,69.0,4.0,63.0,31.0,12.0,56.0,45.0,0.0,0.3243243243243243,0.1774193548387097,0.1666666666666666,0.2328767123287671,0.2807017543859649,0.2686567164179104,0.2560975609756097,0.2560975609756097,0.217391304347826,0.0,0.3333333333333333,0.2258064516129032,0.75,0.1964285714285714,0.3777777777777777
3,4,4,2022-10-25,21-208,GSW,@,PHO,L (-29),0,18.066666666666666,5.0,8.0,.625,0.0,0.0,,2,2,1.000,2,1,3,0,0,2,0,1,12,11.1,-19,8.0,5.0,0.625,0,12,11,12,17,16,18,21,21,15,0,21,7,9,11,17,8.0,37.0,62.0,72.0,73.0,57.0,67.0,82.0,82.0,69.0,4.0,63.0,31.0,12.0,56.0,45.0,0.0,0.3243243243243243,0.1774193548387097,0.1666666666666666,0.2328767123287671,0.2807017543859649,0.2686567164179104,0.2560975609756097,0.2560975609756097,0.217391304347826,0.0,0.3333333333333333,0.2258064516129032,0.75,0.1964285714285714,0.3777777777777777
4,5,5,2022-10-27,21-210,GSW,,MIA,W (+13),0,13.866666666666667,5.0,8.0,.625,0.0,0.0,,0,0,,3,3,6,0,0,0,2,2,10,6.6,+2,8.0,5.0,0.625,0,12,11,12,17,16,18,21,21,15,0,21,7,9,11,17,8.0,37.0,62.0,72.0,73.0,57.0,67.0,82.0,82.0,69.0,4.0,63.0,31.0,12.0,56.0,45.0,0.0,0.3243243243243243,0.1774193548387097,0.1666666666666666,0.2328767123287671,0.2807017543859649,0.2686567164179104,0.2560975609756097,0.2560975609756097,0.217391304347826,0.0,0.3333333333333333,0.2258064516129032,0.75,0.1964285714285714,0.3777777777777777
5,6,6,2022-10-29,21-212,GSW,@,CHO,L (-7),0,4.733333333333333,0.0,2.0,.000,0.0,0.0,,0,0,,0,0,0,1,0,0,0,3,0,-1.9,-5,2.0,0.0,0.0,0,12,11,12,17,16,18,21,21,15,0,21,7,9,11,17,8.0,37.0,62.0,72.0,73.0,57.0,67.0,82.0,82.0,69.0,4.0,63.0,31.0,12.0,56.0,45.0,0.0,0.3243243243243243,0.1774193548387097,0.1666666666666666,0.2328767123287671,0.2807017543859649,0.2686567164179104,0.2560975609756097,0.2560975609756097,0.217391304347826,0.0,0.3333333333333333,0.2258064516129032,0.75,0.1964285714285714,0.3777777777777777
6,7,7,2022-10-30,21-213,GSW,@,DET,L (-14),0,13.066666666666666,2.0,4.0,.500,0.0,0.0,,2,2,1.000,1,3,4,1,0,0,0,2,6,5.5,+9,4.0,2.0,0.5,0,12,11,12,17,16,18,21,21,15,0,21,7,9,11,17,8.0,37.0,62.0,72.0,73.0,57.0,67.0,82.0,82.0,69.0,4.0,63.0,31.0,12.0,56.0,45.0,0.0,0.3243243243243243,0.1774193548387097,0.1666666666666666,0.2328767123287671,0.2807017543859649,0.2686567164179104,0.2560975609756097,0.2560975609756097,0.217391304347826,0.0,0.3333333333333333,0.2258064516129032,0.75,0.1964285714285714,0.3777777777777777
7,8,8,2022-11-01,21-215,GSW,@,MIA,L (-7),0,9.45,2.0,4.0,.500,0.0,0.0,,1,2,.500,0,0,0,0,0,1,1,3,5,1.1,-9,4.0,2.0,0.5,0,12,11,12,17,16,18,21,21,15,0,21,7,9,11,17,8.0,37.0,62.0,72.0,73.0,57.0,67.0,82.0,82.0,69.0,4.0,63.0,31.0,12.0,56.0,45.0,0.0,0.3243243243243243,0.1774193548387097,0.1666666666666666,0.2328767123287671,0.2807017543859649,0.2686567164179104,0.2560975609756097,0.2560975609756097,0.217391304347826,0.0,0.3333333333333333,0.2258064516129032,0.75,0.1964285714285714,0.3777777777777777
8,9,9,2022-11-03,21-217,GSW,@,ORL,L (-1),0,9.566666666666666,1.0,3.0,.333,0.0,0.0,,0,0,,1,2,3,1,1,0,0,3,2,2.1,-9,3.0,1.0,0.3333333333333333,0,12,11,12,17,16,18,21,21,15,0,21,7,9,11,17,8.0,37.0,62.0,72.0,73.0,57.0,67.0,82.0,82.0,69.0,4.0,63.0,31.0,12.0,56.0,45.0,0.0,0.3243243243243243,0.1774193548387097,0.1666666666666666,0.2328767123287671,0.2807017543859649,0.2686567164179104,0.2560975609756097,0.2560975609756097,0.217391304347826,0.0,0.3333333333333333,0.2258064516129032,0.75,0.1964285714285714,0.3777777777777777
9,10,10,2022-11-04,21-218,GSW,@,NOP,L (-9),0,16.6,1.0,1.0,1.000,0.0,0.0,,3,4,.750,1,5,6,2,0,0,2,3,5,4.7,-3,1.0,1.0,1.0,0,12,11,12,17,16,18,21,21,15,0,21,7,9,11,17,8.0,37.0,62.0,72.0,73.0,57.0,67.0,82.0,82.0,69.0,4.0,63.0,31.0,12.0,56.0,45.0,0.0,0.3243243243243243,0.1774193548387097,0.1666666666666666,0.2328767123287671,0.2807017543859649,0.2686567164179104,0.2560975609756097,0.2560975609756097,0.217391304347826,0.0,0.3333333333333333,0.2258064516129032,0.75,0.1964285714285714,0.3777777777777777
10,11,,2022-11-07,21-221,GSW,,SAC,W (+3),Did Not Play,0.0,,,Did Not Play,,,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,,,,0,12,11,12,17,16,18,21,21,15,0,21,7,9,11,17,8.0,37.0,62.0,72.0,73.0,57.0,67.0,82.0,82.0,69.0,4.0,63.0,31.0,12.0,56.0,45.0,0.0,0.3243243243243243,0.1774193548387097,0.1666666666666666,0.2328767123287671,0.2807017543859649,0.2686567164179104,0.2560975609756097,0.2560975609756097,0.217391304347826,0.0,0.3333333333333333,0.2258064516129032,0.75,0.1964285714285714,0.3777777777777777
11,12,,2022-11-11,21-225,GSW,,CLE,W (+5),Did Not Play,0.0,,,Did Not Play,,,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,,,,0,12,11,12,17,16,18,21,21,15,0,21,7,9,11,17,8.0,37.0,62.0,72.0,73.0,57.0,67.0,82.0,82.0,69.0,4.0,63.0,31.0,12.0,56.0,45.0,0.0,0.3243243243243243,0.1774193548387097,0.1666666666666666,0.2328767123287671,0.2807017543859649,0.2686567164179104,0.2560975609756097,0.2560975609756097,0.217391304347826,0.0,0.3333333333333333,0.2258064516129032,0.75,0.1964285714285714,0.3777777777777777
12,13,,2022-11-13,21-227,GSW,@,SAC,L (-7),Did Not Play,0.0,,,Did Not Play,,,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,,,,0,12,11,12,17,16,18,21,21,15,0,21,7,9,11,17,8.0,37.0,62.0,72.0,73.0,57.0,67.0,82.0,82.0,69.0,4.0,63.0,31.0,12.0,56.0,45.0,0.0,0.3243243243243243,0.1774193548387097,0.1666666666666666,0.2328767123287671,0.2807017543859649,0.2686567164179104,0.2560975609756097,0.2560975609756097,0.217391304347826,0.0,0.3333333333333333,0.2258064516129032,0.75,0.1964285714285714,0.3777777777777777
13,14,11,2022-11-14,21-228,GSW,,SAS,W (+37),0,9.233333333333333,1.0,3.0,.333,0.0,0.0,,0,0,,1,1,2,2,0,0,0,0,2,2.7,-4,3.0,1.0,0.3333333333333333,0,12,11,12,17,16,18,21,21,15,0,21,7,9,11,17,8.0,37.0,62.0,72.0,73.0,57.0,67.0,82.0,82.0,69.0,4.0,63.0,31.0,12.0,56.0,45.0,0.0,0.3243243243243243,0.1774193548387097,0.1666666666666666,0.2328767123287671,0.2807017543859649,0.2686567164179104,0.2560975609756097,0.2560975609756097,0.217391304347826,0.0,0.3333333333333333,0.2258064516129032,0.75,0.1964285714285714,0.3777777777777777
