Rk,G,Date,Age,Tm,Opp,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Amir Coffey,Shared Games with Ivica Zubac,Shared Games with Jason Preston,Shared Games with John Wall,Shared Games with Kawhi Leonard,Shared Games with Luke Kennard,Shared Games with Marcus Morris,Shared Games with Moses Brown,Shared Games with Moussa Diabaté,Shared Games with Nicolas Batum,Shared Games with Norman Powell,Shared Games with Paul George,Shared Games with Reggie Jackson,Shared Games with Robert Covington,Shared Games with Terance Mann,Amir Coffey,Ivica Zubac,Jason Preston,John Wall,Kawhi Leonard,Luke Kennard,Marcus Morris,Moses Brown,Moussa Diabaté,Nicolas Batum,Norman Powell,Paul George,Reggie Jackson,Robert Covington,Terance Mann,Xavier Moon,co_inf with Amir Coffey,co_inf with Ivica Zubac,co_inf with Jason Preston,co_inf with John Wall,co_inf with Kawhi Leonard,co_inf with Luke Kennard,co_inf with Marcus Morris,co_inf with Moses Brown,co_inf with Moussa Diabaté,co_inf with Nicolas Batum,co_inf with Norman Powell,co_inf with Paul George,co_inf with Reggie Jackson,co_inf with Robert Covington,co_inf with Terance Mann,co_inf with Xavier Moon,Shared Games with Mason Plumlee,Shared Games with Bones Hyland,Shared Games with Eric Gordon,Shared Games with Russell Westbrook,Bones Hyland,Eric Gordon,Justin Holiday,Mason Plumlee,Russell Westbrook,co_inf with Mason Plumlee,co_inf with Bones Hyland,co_inf with Eric Gordon,co_inf with Justin Holiday,co_inf with Russell Westbrook,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS,Co_Points_Share,New Column,Result
1.0,,2022-10-20,20-326,LAC,LAL,Did Not Play,0.0,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,20,20,12,12,10,14,16,16,13,19,14,12,15,15,21,50.0,76.0,14.0,34.0,52.0,59.0,65.0,36.0,22.0,78.0,60.0,56.0,68.0,48.0,81.0,4.0,0.4,0.2631578947368421,0.8571428571428571,0.3529411764705882,0.1923076923076923,0.2372881355932203,0.2461538461538461,0.4444444444444444,0.5909090909090909,0.2435897435897435,0.2333333333333333,0.2142857142857142,0.2205882352941176,0.3125,0.2592592592592592,0.0,2,1,2,1,56.0,69.0,46.0,79.0,73.0,0.0253164556962025,0.0178571428571428,0.0289855072463768,0.0,0.0136986301369863,19,,84.0,4.421052631578948,0.0,82.0,4.315789473684211,0.0153532316942237,W (+6),W (+6)
2.0,,2022-10-22,20-328,LAC,SAC,Did Not Play,0.0,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,20,20,12,12,10,14,16,16,13,19,14,12,15,15,21,50.0,76.0,14.0,34.0,52.0,59.0,65.0,36.0,22.0,78.0,60.0,56.0,68.0,48.0,81.0,4.0,0.4,0.2631578947368421,0.8571428571428571,0.3529411764705882,0.1923076923076923,0.2372881355932203,0.2461538461538461,0.4444444444444444,0.5909090909090909,0.2435897435897435,0.2333333333333333,0.2142857142857142,0.2205882352941176,0.3125,0.2592592592592592,0.0,2,1,2,1,56.0,69.0,46.0,79.0,73.0,0.0253164556962025,0.0178571428571428,0.0289855072463768,0.0,0.0136986301369863,19,,78.0,4.105263157894737,0.0,85.89999999999998,4.5210526315789465,0.0153532316942237,W (+2),W (+2)
3.0,1.0,2022-10-23,20-329,LAC,PHO,0,2.8833333333333333,0.0,1.0,.000,0.0,1.0,.000,0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7,-2,0.0,0.0,,20,20,12,12,10,14,16,16,13,19,14,12,15,15,21,50.0,76.0,14.0,34.0,52.0,59.0,65.0,36.0,22.0,78.0,60.0,56.0,68.0,48.0,81.0,4.0,0.4,0.2631578947368421,0.8571428571428571,0.3529411764705882,0.1923076923076923,0.2372881355932203,0.2461538461538461,0.4444444444444444,0.5909090909090909,0.2435897435897435,0.2333333333333333,0.2142857142857142,0.2205882352941176,0.3125,0.2592592592592592,0.0,2,1,2,1,56.0,69.0,46.0,79.0,73.0,0.0253164556962025,0.0178571428571428,0.0289855072463768,0.0,0.0136986301369863,19,-1.0,51.0,2.6842105263157894,-0.7,61.39999999999999,3.2315789473684204,0.0153532316942237,L (-17),L (-17)
4.0,2.0,2022-10-25,20-331,LAC,OKC,0,2.65,3.0,4.0,.750,0.0,0.0,,0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,4.4,+2,4.0,3.0,0.75,20,20,12,12,10,14,16,16,13,19,14,12,15,15,21,50.0,76.0,14.0,34.0,52.0,59.0,65.0,36.0,22.0,78.0,60.0,56.0,68.0,48.0,81.0,4.0,0.4,0.2631578947368421,0.8571428571428571,0.3529411764705882,0.1923076923076923,0.2372881355932203,0.2461538461538461,0.4444444444444444,0.5909090909090909,0.2435897435897435,0.2333333333333333,0.2142857142857142,0.2205882352941176,0.3125,0.2592592592592592,0.0,2,1,2,1,56.0,69.0,46.0,79.0,73.0,0.0253164556962025,0.0178571428571428,0.0289855072463768,0.0,0.0136986301369863,19,2.0,71.0,3.736842105263158,4.4,66.79999999999998,3.515789473684209,0.0153532316942237,L (-14),L (-14)
5.0,3.0,2022-10-27,20-333,LAC,OKC,0,1.7833333333333332,0.0,0.0,,0.0,0.0,,0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,+6,0.0,0.0,,20,20,12,12,10,14,16,16,13,19,14,12,15,15,21,50.0,76.0,14.0,34.0,52.0,59.0,65.0,36.0,22.0,78.0,60.0,56.0,68.0,48.0,81.0,4.0,0.4,0.2631578947368421,0.8571428571428571,0.3529411764705882,0.1923076923076923,0.2372881355932203,0.2461538461538461,0.4444444444444444,0.5909090909090909,0.2435897435897435,0.2333333333333333,0.2142857142857142,0.2205882352941176,0.3125,0.2592592592592592,0.0,2,1,2,1,56.0,69.0,46.0,79.0,73.0,0.0253164556962025,0.0178571428571428,0.0289855072463768,0.0,0.0136986301369863,19,0.0,53.0,2.789473684210526,0.0,62.0,3.263157894736842,0.0153532316942237,L (-8),L (-8)
6.0,4.0,2022-10-30,20-336,LAC,NOP,0,4.516666666666667,2.0,4.0,.500,2.0,2.0,1.000,0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,4.0,-3,2.0,0.0,0.0,20,20,12,12,10,14,16,16,13,19,14,12,15,15,21,50.0,76.0,14.0,34.0,52.0,59.0,65.0,36.0,22.0,78.0,60.0,56.0,68.0,48.0,81.0,4.0,0.4,0.2631578947368421,0.8571428571428571,0.3529411764705882,0.1923076923076923,0.2372881355932203,0.2461538461538461,0.4444444444444444,0.5909090909090909,0.2435897435897435,0.2333333333333333,0.2142857142857142,0.2205882352941176,0.3125,0.2592592592592592,0.0,2,1,2,1,56.0,69.0,46.0,79.0,73.0,0.0253164556962025,0.0178571428571428,0.0289855072463768,0.0,0.0136986301369863,19,2.0,81.0,4.2631578947368425,4.0,89.8,4.726315789473684,0.0153532316942237,L (-21),L (-21)
7.0,5.0,2022-10-31,20-337,LAC,HOU,0,4.55,0.0,1.0,.000,0.0,0.0,,1,2.0,.500,1.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.5,-1,1.0,0.0,0.0,20,20,12,12,10,14,16,16,13,19,14,12,15,15,21,50.0,76.0,14.0,34.0,52.0,59.0,65.0,36.0,22.0,78.0,60.0,56.0,68.0,48.0,81.0,4.0,0.4,0.2631578947368421,0.8571428571428571,0.3529411764705882,0.1923076923076923,0.2372881355932203,0.2461538461538461,0.4444444444444444,0.5909090909090909,0.2435897435897435,0.2333333333333333,0.2142857142857142,0.2205882352941176,0.3125,0.2592592592592592,0.0,2,1,2,1,56.0,69.0,46.0,79.0,73.0,0.0253164556962025,0.0178571428571428,0.0289855072463768,0.0,0.0136986301369863,19,0.0,86.0,4.526315789473684,0.0999999999999999,82.8,4.3578947368421055,0.0153532316942237,W (+2),W (+2)
8.0,,2022-11-02,20-339,LAC,HOU,Did Not Play,0.0,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,20,20,12,12,10,14,16,16,13,19,14,12,15,15,21,50.0,76.0,14.0,34.0,52.0,59.0,65.0,36.0,22.0,78.0,60.0,56.0,68.0,48.0,81.0,4.0,0.4,0.2631578947368421,0.8571428571428571,0.3529411764705882,0.1923076923076923,0.2372881355932203,0.2461538461538461,0.4444444444444444,0.5909090909090909,0.2435897435897435,0.2333333333333333,0.2142857142857142,0.2205882352941176,0.3125,0.2592592592592592,0.0,2,1,2,1,56.0,69.0,46.0,79.0,73.0,0.0253164556962025,0.0178571428571428,0.0289855072463768,0.0,0.0136986301369863,19,,87.0,4.578947368421052,0.0,93.8,4.936842105263158,0.0153532316942237,W (+8),W (+8)
9.0,,2022-11-04,20-341,LAC,SAS,Did Not Play,0.0,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,20,20,12,12,10,14,16,16,13,19,14,12,15,15,21,50.0,76.0,14.0,34.0,52.0,59.0,65.0,36.0,22.0,78.0,60.0,56.0,68.0,48.0,81.0,4.0,0.4,0.2631578947368421,0.8571428571428571,0.3529411764705882,0.1923076923076923,0.2372881355932203,0.2461538461538461,0.4444444444444444,0.5909090909090909,0.2435897435897435,0.2333333333333333,0.2142857142857142,0.2205882352941176,0.3125,0.2592592592592592,0.0,2,1,2,1,56.0,69.0,46.0,79.0,73.0,0.0253164556962025,0.0178571428571428,0.0289855072463768,0.0,0.0136986301369863,19,,103.0,5.421052631578948,0.0,105.89999999999998,5.573684210526315,0.0153532316942237,W (+7),W (+7)
10.0,,2022-11-06,20-343,LAC,UTA,Did Not Play,0.0,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,20,20,12,12,10,14,16,16,13,19,14,12,15,15,21,50.0,76.0,14.0,34.0,52.0,59.0,65.0,36.0,22.0,78.0,60.0,56.0,68.0,48.0,81.0,4.0,0.4,0.2631578947368421,0.8571428571428571,0.3529411764705882,0.1923076923076923,0.2372881355932203,0.2461538461538461,0.4444444444444444,0.5909090909090909,0.2435897435897435,0.2333333333333333,0.2142857142857142,0.2205882352941176,0.3125,0.2592592592592592,0.0,2,1,2,1,56.0,69.0,46.0,79.0,73.0,0.0253164556962025,0.0178571428571428,0.0289855072463768,0.0,0.0136986301369863,19,,87.0,4.578947368421052,0.0,97.3,5.121052631578947,0.0153532316942237,L (-8),L (-8)
