Rk,G,Date,Age,Tm,Opp,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Amir Coffey,Shared Games with Brandon Boston Jr.,Shared Games with Ivica Zubac,Shared Games with Jason Preston,Shared Games with John Wall,Shared Games with Kawhi Leonard,Shared Games with Luke Kennard,Shared Games with Marcus Morris,Shared Games with Moses Brown,Shared Games with Moussa Diabaté,Shared Games with Nicolas Batum,Shared Games with Norman Powell,Shared Games with Reggie Jackson,Shared Games with Robert Covington,Shared Games with Terance Mann,Amir Coffey,Brandon Boston Jr.,Ivica Zubac,Jason Preston,John Wall,Kawhi Leonard,Luke Kennard,Marcus Morris,Moses Brown,Moussa Diabaté,Nicolas Batum,Norman Powell,Reggie Jackson,Robert Covington,Terance Mann,Xavier Moon,co_inf with Amir Coffey,co_inf with Brandon Boston Jr.,co_inf with Ivica Zubac,co_inf with Jason Preston,co_inf with John Wall,co_inf with Kawhi Leonard,co_inf with Luke Kennard,co_inf with Marcus Morris,co_inf with Moses Brown,co_inf with Moussa Diabaté,co_inf with Nicolas Batum,co_inf with Norman Powell,co_inf with Reggie Jackson,co_inf with Robert Covington,co_inf with Terance Mann,co_inf with Xavier Moon,Shared Games with Mason Plumlee,Shared Games with Bones Hyland,Shared Games with Eric Gordon,Shared Games with Russell Westbrook,Bones Hyland,Eric Gordon,Justin Holiday,Mason Plumlee,Russell Westbrook,co_inf with Mason Plumlee,co_inf with Bones Hyland,co_inf with Eric Gordon,co_inf with Justin Holiday,co_inf with Russell Westbrook,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS,PER,WS,BPM,OBPM,DBPM,Co_Points_Share,TS%,3PAr,FTr,VORP,OWS,New Column,Result
1.0,1.0,2022-10-20,32-171,LAC,LAL,1.0,36.18333333333333,4.0,12.0,0.333,2.0,7.0,0.286,5.0,6.0,0.833,1.0,9.0,10.0,4.0,2.0,0.0,5.0,5.0,15.0,9.0,16.0,5.0,2.0,0.4,30,12,52,5,21,38,31,49,19,11,53,41,40,28,55,50.0,22.0,76.0,14.0,34.0,52.0,59.0,65.0,36.0,22.0,78.0,60.0,68.0,48.0,81.0,4.0,0.6,0.5454545454545454,0.6842105263157895,0.3571428571428571,0.6176470588235294,0.7307692307692307,0.5254237288135594,0.7538461538461538,0.5277777777777778,0.5,0.6794871794871795,0.6833333333333333,0.5882352941176471,0.5833333333333334,0.6790123456790124,0.0,16,7,17,14,56.0,69.0,46.0,79.0,73.0,0.2025316455696202,0.125,0.2463768115942029,0.0,0.1917808219178082,19,8.0,76.0,4.0,7.000000000000002,75.0,3.947368421052632,19.6,4.6,2.8,2.4,0.3,0.1430105217951471,0.588,0.424,0.293,2.3,2.3,W (+6),W (+6)
2.0,2.0,2022-10-22,32-173,LAC,SAC,1.0,38.583333333333336,16.0,31.0,0.516,3.0,10.0,0.3,5.0,5.0,1.0,2.0,4.0,6.0,6.0,2.0,1.0,4.0,2.0,40.0,29.4,-4.0,21.0,13.0,0.6190476190476191,30,12,52,5,21,38,31,49,19,11,53,41,40,28,55,50.0,22.0,76.0,14.0,34.0,52.0,59.0,65.0,36.0,22.0,78.0,60.0,68.0,48.0,81.0,4.0,0.6,0.5454545454545454,0.6842105263157895,0.3571428571428571,0.6176470588235294,0.7307692307692307,0.5254237288135594,0.7538461538461538,0.5277777777777778,0.5,0.6794871794871795,0.6833333333333333,0.5882352941176471,0.5833333333333334,0.6790123456790124,0.0,16,7,17,14,56.0,69.0,46.0,79.0,73.0,0.2025316455696202,0.125,0.2463768115942029,0.0,0.1917808219178082,19,15.0,63.0,3.3157894736842106,27.4,58.49999999999999,3.078947368421052,19.6,4.6,2.8,2.4,0.3,0.1430105217951471,0.588,0.424,0.293,2.3,2.3,W (+2),W (+2)
3.0,3.0,2022-10-23,32-174,LAC,PHO,1.0,33.666666666666664,4.0,11.0,0.364,2.0,6.0,0.333,6.0,6.0,1.0,0.0,7.0,7.0,4.0,2.0,0.0,2.0,2.0,16.0,14.0,-7.0,5.0,2.0,0.4,30,12,52,5,21,38,31,49,19,11,53,41,40,28,55,50.0,22.0,76.0,14.0,34.0,52.0,59.0,65.0,36.0,22.0,78.0,60.0,68.0,48.0,81.0,4.0,0.6,0.5454545454545454,0.6842105263157895,0.3571428571428571,0.6176470588235294,0.7307692307692307,0.5254237288135594,0.7538461538461538,0.5277777777777778,0.5,0.6794871794871795,0.6833333333333333,0.5882352941176471,0.5833333333333334,0.6790123456790124,0.0,16,7,17,14,56.0,69.0,46.0,79.0,73.0,0.2025316455696202,0.125,0.2463768115942029,0.0,0.1917808219178082,19,10.0,40.0,2.1052631578947367,11.600000000000003,49.1,2.5842105263157897,19.6,4.6,2.8,2.4,0.3,0.1430105217951471,0.588,0.424,0.293,2.3,2.3,L (-17),L (-17)
4.0,,2022-10-25,32-176,LAC,OKC,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,30,12,52,5,21,38,31,49,19,11,53,41,40,28,55,50.0,22.0,76.0,14.0,34.0,52.0,59.0,65.0,36.0,22.0,78.0,60.0,68.0,48.0,81.0,4.0,0.6,0.5454545454545454,0.6842105263157895,0.3571428571428571,0.6176470588235294,0.7307692307692307,0.5254237288135594,0.7538461538461538,0.5277777777777778,0.5,0.6794871794871795,0.6833333333333333,0.5882352941176471,0.5833333333333334,0.6790123456790124,0.0,16,7,17,14,56.0,69.0,46.0,79.0,73.0,0.2025316455696202,0.125,0.2463768115942029,0.0,0.1917808219178082,19,,73.0,3.842105263157895,0.0,71.19999999999999,3.747368421052631,19.6,4.6,2.8,2.4,0.3,0.1430105217951471,0.588,0.424,0.293,2.3,2.3,L (-14),L (-14)
5.0,4.0,2022-10-27,32-178,LAC,OKC,1.0,30.98333333333333,4.0,12.0,0.333,0.0,4.0,0.0,2.0,2.0,1.0,0.0,7.0,7.0,3.0,0.0,0.0,3.0,1.0,10.0,4.0,-25.0,8.0,4.0,0.5,30,12,52,5,21,38,31,49,19,11,53,41,40,28,55,50.0,22.0,76.0,14.0,34.0,52.0,59.0,65.0,36.0,22.0,78.0,60.0,68.0,48.0,81.0,4.0,0.6,0.5454545454545454,0.6842105263157895,0.3571428571428571,0.6176470588235294,0.7307692307692307,0.5254237288135594,0.7538461538461538,0.5277777777777778,0.5,0.6794871794871795,0.6833333333333333,0.5882352941176471,0.5833333333333334,0.6790123456790124,0.0,16,7,17,14,56.0,69.0,46.0,79.0,73.0,0.2025316455696202,0.125,0.2463768115942029,0.0,0.1917808219178082,19,3.0,50.0,2.631578947368421,3.2,58.8,3.094736842105263,19.6,4.6,2.8,2.4,0.3,0.1430105217951471,0.588,0.424,0.293,2.3,2.3,L (-8),L (-8)
6.0,5.0,2022-10-30,32-181,LAC,NOP,1.0,27.766666666666666,5.0,19.0,0.263,2.0,8.0,0.25,2.0,2.0,1.0,1.0,2.0,3.0,3.0,1.0,0.0,4.0,3.0,14.0,1.9,-10.0,11.0,3.0,0.2727272727272727,30,12,52,5,21,38,31,49,19,11,53,41,40,28,55,50.0,22.0,76.0,14.0,34.0,52.0,59.0,65.0,36.0,22.0,78.0,60.0,68.0,48.0,81.0,4.0,0.6,0.5454545454545454,0.6842105263157895,0.3571428571428571,0.6176470588235294,0.7307692307692307,0.5254237288135594,0.7538461538461538,0.5277777777777778,0.5,0.6794871794871795,0.6833333333333333,0.5882352941176471,0.5833333333333334,0.6790123456790124,0.0,16,7,17,14,56.0,69.0,46.0,79.0,73.0,0.2025316455696202,0.125,0.2463768115942029,0.0,0.1917808219178082,19,-4.0,87.0,4.578947368421052,1.0999999999999996,92.7,4.878947368421053,19.6,4.6,2.8,2.4,0.3,0.1430105217951471,0.588,0.424,0.293,2.3,2.3,L (-21),L (-21)
7.0,6.0,2022-10-31,32-182,LAC,HOU,1.0,37.96666666666667,15.0,26.0,0.577,5.0,10.0,0.5,0.0,1.0,0.0,0.0,9.0,9.0,8.0,6.0,2.0,3.0,3.0,35.0,33.9,16.0,16.0,10.0,0.625,30,12,52,5,21,38,31,49,19,11,53,41,40,28,55,50.0,22.0,76.0,14.0,34.0,52.0,59.0,65.0,36.0,22.0,78.0,60.0,68.0,48.0,81.0,4.0,0.6,0.5454545454545454,0.6842105263157895,0.3571428571428571,0.6176470588235294,0.7307692307692307,0.5254237288135594,0.7538461538461538,0.5277777777777778,0.5,0.6794871794871795,0.6833333333333333,0.5882352941176471,0.5833333333333334,0.6790123456790124,0.0,16,7,17,14,56.0,69.0,46.0,79.0,73.0,0.2025316455696202,0.125,0.2463768115942029,0.0,0.1917808219178082,19,30.0,56.0,2.9473684210526314,33.9,49.00000000000001,2.578947368421053,19.6,4.6,2.8,2.4,0.3,0.1430105217951471,0.588,0.424,0.293,2.3,2.3,W (+2),W (+2)
8.0,7.0,2022-11-02,32-184,LAC,HOU,1.0,36.85,10.0,20.0,0.5,3.0,8.0,0.375,5.0,6.0,0.833,1.0,3.0,4.0,5.0,1.0,0.0,5.0,1.0,28.0,18.3,14.0,12.0,7.0,0.5833333333333334,30,12,52,5,21,38,31,49,19,11,53,41,40,28,55,50.0,22.0,76.0,14.0,34.0,52.0,59.0,65.0,36.0,22.0,78.0,60.0,68.0,48.0,81.0,4.0,0.6,0.5454545454545454,0.6842105263157895,0.3571428571428571,0.6176470588235294,0.7307692307692307,0.5254237288135594,0.7538461538461538,0.5277777777777778,0.5,0.6794871794871795,0.6833333333333333,0.5882352941176471,0.5833333333333334,0.6790123456790124,0.0,16,7,17,14,56.0,69.0,46.0,79.0,73.0,0.2025316455696202,0.125,0.2463768115942029,0.0,0.1917808219178082,19,7.0,80.0,4.2105263157894735,16.300000000000004,77.5,4.078947368421052,19.6,4.6,2.8,2.4,0.3,0.1430105217951471,0.588,0.424,0.293,2.3,2.3,W (+8),W (+8)
9.0,8.0,2022-11-04,32-186,LAC,SAS,1.0,37.516666666666666,11.0,16.0,0.688,4.0,6.0,0.667,6.0,7.0,0.857,0.0,2.0,2.0,6.0,1.0,0.0,5.0,2.0,32.0,24.8,16.0,10.0,7.0,0.7,30,12,52,5,21,38,31,49,19,11,53,41,40,28,55,50.0,22.0,76.0,14.0,34.0,52.0,59.0,65.0,36.0,22.0,78.0,60.0,68.0,48.0,81.0,4.0,0.6,0.5454545454545454,0.6842105263157895,0.3571428571428571,0.6176470588235294,0.7307692307692307,0.5254237288135594,0.7538461538461538,0.5277777777777778,0.5,0.6794871794871795,0.6833333333333333,0.5882352941176471,0.5833333333333334,0.6790123456790124,0.0,16,7,17,14,56.0,69.0,46.0,79.0,73.0,0.2025316455696202,0.125,0.2463768115942029,0.0,0.1917808219178082,19,13.0,90.0,4.7368421052631575,22.4,83.49999999999999,4.394736842105263,19.6,4.6,2.8,2.4,0.3,0.1430105217951471,0.588,0.424,0.293,2.3,2.3,W (+7),W (+7)
10.0,9.0,2022-11-06,32-188,LAC,UTA,1.0,38.03333333333333,11.0,22.0,0.5,5.0,14.0,0.357,7.0,8.0,0.875,0.0,8.0,8.0,4.0,1.0,0.0,5.0,5.0,34.0,21.8,1.0,8.0,6.0,0.75,30,12,52,5,21,38,31,49,19,11,53,41,40,28,55,50.0,22.0,76.0,14.0,34.0,52.0,59.0,65.0,36.0,22.0,78.0,60.0,68.0,48.0,81.0,4.0,0.6,0.5454545454545454,0.6842105263157895,0.3571428571428571,0.6176470588235294,0.7307692307692307,0.5254237288135594,0.7538461538461538,0.5277777777777778,0.5,0.6794871794871795,0.6833333333333333,0.5882352941176471,0.5833333333333334,0.6790123456790124,0.0,16,7,17,14,56.0,69.0,46.0,79.0,73.0,0.2025316455696202,0.125,0.2463768115942029,0.0,0.1917808219178082,19,12.0,75.0,3.947368421052632,19.0,78.29999999999998,4.121052631578946,19.6,4.6,2.8,2.4,0.3,0.1430105217951471,0.588,0.424,0.293,2.3,2.3,L (-8),L (-8)
