Rk,G,Date,Age,Tm,Opp,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Anthony Davis,Shared Games with Austin Reaves,Shared Games with Cole Swider,Shared Games with Damian Jones,Shared Games with Dennis Schröder,Shared Games with Juan Toscano-Anderson,Shared Games with Kendrick Nunn,Shared Games with LeBron James,Shared Games with Matt Ryan,Shared Games with Max Christie,Shared Games with Patrick Beverley,Shared Games with Russell Westbrook,Shared Games with Scotty Pippen Jr.,Shared Games with Thomas Bryant,Shared Games with Troy Brown Jr.,Shared Games with Wenyen Gabriel,Anthony Davis,Austin Reaves,Cole Swider,Damian Jones,Dennis Schröder,Juan Toscano-Anderson,Kendrick Nunn,LeBron James,Matt Ryan,Max Christie,Patrick Beverley,Russell Westbrook,Scotty Pippen Jr.,Sterling Brown,Thomas Bryant,Tristan Thompson,Troy Brown Jr.,Wenyen Gabriel,co_inf with Anthony Davis,co_inf with Austin Reaves,co_inf with Cole Swider,co_inf with Damian Jones,co_inf with Dennis Schröder,co_inf with Juan Toscano-Anderson,co_inf with Kendrick Nunn,co_inf with LeBron James,co_inf with Matt Ryan,co_inf with Max Christie,co_inf with Patrick Beverley,co_inf with Russell Westbrook,co_inf with Scotty Pippen Jr.,co_inf with Sterling Brown,co_inf with Thomas Bryant,co_inf with Tristan Thompson,co_inf with Troy Brown Jr.,co_inf with Wenyen Gabriel,Shared Games with Davon Reed,Shared Games with D'Angelo Russell,Shared Games with Jarred Vanderbilt,Shared Games with Malik Beasley,Shared Games with Mo Bamba,D'Angelo Russell,Davon Reed,Jarred Vanderbilt,Malik Beasley,Mo Bamba,Onyeka Okongwu,Shaquille Harrison,co_inf with Davon Reed,co_inf with D'Angelo Russell,co_inf with Jarred Vanderbilt,co_inf with Malik Beasley,co_inf with Mo Bamba,co_inf with Onyeka Okongwu,co_inf with Shaquille Harrison,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS,PER,WS,BPM,OBPM,DBPM,Co_Points_Share,TS%,3PAr,FTr,VORP,OWS,New Column,Result
1.0,1.0,2022-10-18,23-308,LAL,GSW,1,29.28333333333333,2.0,7.0,.286,0.0,3.0,.000,1,2.0,.500,1.0,2.0,3.0,5.0,1.0,1.0,2.0,0.0,5.0,5.0,-13,4.0,2.0,0.5,43,49,2,16,43,13,25,37,9,25,31,35,2,26,54,42,56.0,64.0,7.0,41.0,66.0,52.0,70.0,55.0,34.0,41.0,67.0,73.0,6.0,4.0,59.0,,76.0,68.0,0.7678571428571429,0.765625,0.2857142857142857,0.3902439024390244,0.6515151515151515,0.25,0.3571428571428571,0.6727272727272727,0.2647058823529412,0.6097560975609756,0.4626865671641791,0.4794520547945205,0.3333333333333333,0.0,0.4406779661016949,,0.7105263157894737,0.6176470588235294,5,9,16,16,7,71.0,43.0,78.0,81.0,49.0,80.0,5.0,0.1162790697674418,0.1267605633802817,0.2051282051282051,0.1975308641975308,0.1428571428571428,0.0,0.0,21,4.0,74.0,3.523809523809524,4.6,72.2,3.4380952380952383,12.2,1.8,-1.4,-0.9,-0.5,0.068068276436303,0.57,0.472,0.201,0.2,0.8,L (-14),L (-14)
2.0,2.0,2022-10-20,23-310,LAL,LAC,1,36.56666666666667,9.0,21.0,.429,2.0,9.0,.222,6,6.0,1.000,1.0,2.0,3.0,3.0,2.0,0.0,1.0,3.0,26.0,18.1,-4,12.0,7.0,0.5833333333333334,43,49,2,16,43,13,25,37,9,25,31,35,2,26,54,42,56.0,64.0,7.0,41.0,66.0,52.0,70.0,55.0,34.0,41.0,67.0,73.0,6.0,4.0,59.0,,76.0,68.0,0.7678571428571429,0.765625,0.2857142857142857,0.3902439024390244,0.6515151515151515,0.25,0.3571428571428571,0.6727272727272727,0.2647058823529412,0.6097560975609756,0.4626865671641791,0.4794520547945205,0.3333333333333333,0.0,0.4406779661016949,,0.7105263157894737,0.6176470588235294,5,9,16,16,7,71.0,43.0,78.0,81.0,49.0,80.0,5.0,0.1162790697674418,0.1267605633802817,0.2051282051282051,0.1975308641975308,0.1428571428571428,0.0,0.0,21,6.0,79.0,3.761904761904762,15.700000000000006,75.2,3.580952380952381,12.2,1.8,-1.4,-0.9,-0.5,0.068068276436303,0.57,0.472,0.201,0.2,0.8,L (-6),L (-6)
3.0,3.0,2022-10-23,23-313,LAL,POR,1,32.416666666666664,7.0,13.0,.538,1.0,5.0,.200,0,1.0,.000,2.0,2.0,4.0,1.0,1.0,1.0,2.0,3.0,15.0,9.5,+5,8.0,6.0,0.75,43,49,2,16,43,13,25,37,9,25,31,35,2,26,54,42,56.0,64.0,7.0,41.0,66.0,52.0,70.0,55.0,34.0,41.0,67.0,73.0,6.0,4.0,59.0,,76.0,68.0,0.7678571428571429,0.765625,0.2857142857142857,0.3902439024390244,0.6515151515151515,0.25,0.3571428571428571,0.6727272727272727,0.2647058823529412,0.6097560975609756,0.4626865671641791,0.4794520547945205,0.3333333333333333,0.0,0.4406779661016949,,0.7105263157894737,0.6176470588235294,5,9,16,16,7,71.0,43.0,78.0,81.0,49.0,80.0,5.0,0.1162790697674418,0.1267605633802817,0.2051282051282051,0.1975308641975308,0.1428571428571428,0.0,0.0,21,6.0,76.0,3.619047619047619,9.5,70.10000000000002,3.338095238095239,12.2,1.8,-1.4,-0.9,-0.5,0.068068276436303,0.57,0.472,0.201,0.2,0.8,L (-2),L (-2)
4.0,4.0,2022-10-26,23-316,LAL,DEN,1,30.48333333333333,6.0,14.0,.429,1.0,6.0,.167,2,3.0,.667,0.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,15.0,9.8,-27,8.0,5.0,0.625,43,49,2,16,43,13,25,37,9,25,31,35,2,26,54,42,56.0,64.0,7.0,41.0,66.0,52.0,70.0,55.0,34.0,41.0,67.0,73.0,6.0,4.0,59.0,,76.0,68.0,0.7678571428571429,0.765625,0.2857142857142857,0.3902439024390244,0.6515151515151515,0.25,0.3571428571428571,0.6727272727272727,0.2647058823529412,0.6097560975609756,0.4626865671641791,0.4794520547945205,0.3333333333333333,0.0,0.4406779661016949,,0.7105263157894737,0.6176470588235294,5,9,16,16,7,71.0,43.0,78.0,81.0,49.0,80.0,5.0,0.1162790697674418,0.1267605633802817,0.2051282051282051,0.1975308641975308,0.1428571428571428,0.0,0.0,21,3.0,99.0,4.714285714285714,8.999999999999998,88.6,4.219047619047619,12.2,1.8,-1.4,-0.9,-0.5,0.068068276436303,0.57,0.472,0.201,0.2,0.8,L (-11),L (-11)
5.0,5.0,2022-10-28,23-318,LAL,MIN,1,24.15,3.0,10.0,.300,0.0,4.0,.000,0,0.0,,1.0,2.0,3.0,3.0,0.0,1.0,2.0,3.0,6.0,1.1,-3,6.0,3.0,0.5,43,49,2,16,43,13,25,37,9,25,31,35,2,26,54,42,56.0,64.0,7.0,41.0,66.0,52.0,70.0,55.0,34.0,41.0,67.0,73.0,6.0,4.0,59.0,,76.0,68.0,0.7678571428571429,0.765625,0.2857142857142857,0.3902439024390244,0.6515151515151515,0.25,0.3571428571428571,0.6727272727272727,0.2647058823529412,0.6097560975609756,0.4626865671641791,0.4794520547945205,0.3333333333333333,0.0,0.4406779661016949,,0.7105263157894737,0.6176470588235294,5,9,16,16,7,71.0,43.0,78.0,81.0,49.0,80.0,5.0,0.1162790697674418,0.1267605633802817,0.2051282051282051,0.1975308641975308,0.1428571428571428,0.0,0.0,21,1.0,98.0,4.666666666666667,1.0999999999999988,72.5,3.452380952380953,12.2,1.8,-1.4,-0.9,-0.5,0.068068276436303,0.57,0.472,0.201,0.2,0.8,L (-9),L (-9)
6.0,6.0,2022-10-30,23-320,LAL,DEN,1,35.266666666666666,6.0,14.0,.429,3.0,5.0,.600,3,4.0,.750,0.0,5.0,5.0,2.0,1.0,2.0,0.0,1.0,18.0,15.1,+15,9.0,3.0,0.3333333333333333,43,49,2,16,43,13,25,37,9,25,31,35,2,26,54,42,56.0,64.0,7.0,41.0,66.0,52.0,70.0,55.0,34.0,41.0,67.0,73.0,6.0,4.0,59.0,,76.0,68.0,0.7678571428571429,0.765625,0.2857142857142857,0.3902439024390244,0.6515151515151515,0.25,0.3571428571428571,0.6727272727272727,0.2647058823529412,0.6097560975609756,0.4626865671641791,0.4794520547945205,0.3333333333333333,0.0,0.4406779661016949,,0.7105263157894737,0.6176470588235294,5,9,16,16,7,71.0,43.0,78.0,81.0,49.0,80.0,5.0,0.1162790697674418,0.1267605633802817,0.2051282051282051,0.1975308641975308,0.1428571428571428,0.0,0.0,21,10.0,83.0,3.952380952380953,13.899999999999997,89.80000000000001,4.276190476190477,12.2,1.8,-1.4,-0.9,-0.5,0.068068276436303,0.57,0.472,0.201,0.2,0.8,W (+11),W (+11)
7.0,7.0,2022-11-02,23-323,LAL,NOP,1,40.36666666666667,9.0,17.0,.529,5.0,9.0,.556,5,6.0,.833,0.0,3.0,3.0,1.0,1.0,1.0,2.0,2.0,28.0,19.8,+8,8.0,4.0,0.5,43,49,2,16,43,13,25,37,9,25,31,35,2,26,54,42,56.0,64.0,7.0,41.0,66.0,52.0,70.0,55.0,34.0,41.0,67.0,73.0,6.0,4.0,59.0,,76.0,68.0,0.7678571428571429,0.765625,0.2857142857142857,0.3902439024390244,0.6515151515151515,0.25,0.3571428571428571,0.6727272727272727,0.2647058823529412,0.6097560975609756,0.4626865671641791,0.4794520547945205,0.3333333333333333,0.0,0.4406779661016949,,0.7105263157894737,0.6176470588235294,5,9,16,16,7,71.0,43.0,78.0,81.0,49.0,80.0,5.0,0.1162790697674418,0.1267605633802817,0.2051282051282051,0.1975308641975308,0.1428571428571428,0.0,0.0,21,9.0,93.0,4.428571428571429,17.800000000000008,80.80000000000001,3.847619047619048,12.2,1.8,-1.4,-0.9,-0.5,0.068068276436303,0.57,0.472,0.201,0.2,0.8,W (+3),W (+3)
8.0,8.0,2022-11-04,23-325,LAL,UTA,1,30.016666666666666,6.0,12.0,.500,2.0,3.0,.667,5,5.0,1.000,0.0,1.0,1.0,1.0,2.0,0.0,0.0,2.0,19.0,15.2,-12,9.0,4.0,0.4444444444444444,43,49,2,16,43,13,25,37,9,25,31,35,2,26,54,42,56.0,64.0,7.0,41.0,66.0,52.0,70.0,55.0,34.0,41.0,67.0,73.0,6.0,4.0,59.0,,76.0,68.0,0.7678571428571429,0.765625,0.2857142857142857,0.3902439024390244,0.6515151515151515,0.25,0.3571428571428571,0.6727272727272727,0.2647058823529412,0.6097560975609756,0.4626865671641791,0.4794520547945205,0.3333333333333333,0.0,0.4406779661016949,,0.7105263157894737,0.6176470588235294,5,9,16,16,7,71.0,43.0,78.0,81.0,49.0,80.0,5.0,0.1162790697674418,0.1267605633802817,0.2051282051282051,0.1975308641975308,0.1428571428571428,0.0,0.0,21,6.0,72.0,3.4285714285714284,13.2,65.9,3.1380952380952385,12.2,1.8,-1.4,-0.9,-0.5,0.068068276436303,0.57,0.472,0.201,0.2,0.8,L (-14),L (-14)
9.0,9.0,2022-11-06,23-327,LAL,CLE,1,19.416666666666668,3.0,7.0,.429,0.0,3.0,.000,0,0.0,,0.0,1.0,1.0,1.0,0.0,0.0,0.0,5.0,6.0,1.3,-10,4.0,3.0,0.75,43,49,2,16,43,13,25,37,9,25,31,35,2,26,54,42,56.0,64.0,7.0,41.0,66.0,52.0,70.0,55.0,34.0,41.0,67.0,73.0,6.0,4.0,59.0,,76.0,68.0,0.7678571428571429,0.765625,0.2857142857142857,0.3902439024390244,0.6515151515151515,0.25,0.3571428571428571,0.6727272727272727,0.2647058823529412,0.6097560975609756,0.4626865671641791,0.4794520547945205,0.3333333333333333,0.0,0.4406779661016949,,0.7105263157894737,0.6176470588235294,5,9,16,16,7,71.0,43.0,78.0,81.0,49.0,80.0,5.0,0.1162790697674418,0.1267605633802817,0.2051282051282051,0.1975308641975308,0.1428571428571428,0.0,0.0,21,1.0,54.0,2.571428571428572,1.2999999999999998,61.8,2.9428571428571426,12.2,1.8,-1.4,-0.9,-0.5,0.068068276436303,0.57,0.472,0.201,0.2,0.8,L (-14),L (-14)
10.0,,2022-11-07,23-328,LAL,UTA,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,43,49,2,16,43,13,25,37,9,25,31,35,2,26,54,42,56.0,64.0,7.0,41.0,66.0,52.0,70.0,55.0,34.0,41.0,67.0,73.0,6.0,4.0,59.0,,76.0,68.0,0.7678571428571429,0.765625,0.2857142857142857,0.3902439024390244,0.6515151515151515,0.25,0.3571428571428571,0.6727272727272727,0.2647058823529412,0.6097560975609756,0.4626865671641791,0.4794520547945205,0.3333333333333333,0.0,0.4406779661016949,,0.7105263157894737,0.6176470588235294,5,9,16,16,7,71.0,43.0,78.0,81.0,49.0,80.0,5.0,0.1162790697674418,0.1267605633802817,0.2051282051282051,0.1975308641975308,0.1428571428571428,0.0,0.0,21,,68.0,3.238095238095238,0.0,74.89999999999999,3.5666666666666664,12.2,1.8,-1.4,-0.9,-0.5,0.068068276436303,0.57,0.472,0.201,0.2,0.8,L (-23),L (-23)
