Unnamed: 0,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Anthony Davis,Shared Games with Austin Reaves,Shared Games with Cole Swider,Shared Games with Damian Jones,Shared Games with Dennis Schröder,Shared Games with Juan Toscano-Anderson,Shared Games with Kendrick Nunn,Shared Games with LeBron James,Shared Games with Lonnie Walker IV,Shared Games with Matt Ryan,Shared Games with Max Christie,Shared Games with Patrick Beverley,Shared Games with Scotty Pippen Jr.,Shared Games with Sterling Brown,Shared Games with Thomas Bryant,Shared Games with Tristan Thompson,Shared Games with Troy Brown Jr.,Shared Games with Wenyen Gabriel,Anthony Davis,Austin Reaves,Cole Swider,Damian Jones,Dennis Schröder,Juan Toscano-Anderson,Kendrick Nunn,LeBron James,Lonnie Walker IV,Matt Ryan,Max Christie,Patrick Beverley,Scotty Pippen Jr.,Sterling Brown,Thomas Bryant,Tristan Thompson,Troy Brown Jr.,Wenyen Gabriel,co_inf with Anthony Davis,co_inf with Austin Reaves,co_inf with Cole Swider,co_inf with Damian Jones,co_inf with Dennis Schröder,co_inf with Juan Toscano-Anderson,co_inf with Kendrick Nunn,co_inf with LeBron James,co_inf with Lonnie Walker IV,co_inf with Matt Ryan,co_inf with Max Christie,co_inf with Patrick Beverley,co_inf with Scotty Pippen Jr.,co_inf with Sterling Brown,co_inf with Thomas Bryant,co_inf with Tristan Thompson,co_inf with Troy Brown Jr.,co_inf with Wenyen Gabriel
0,1,1,2022-10-18,33-340,LAL,@,GSW,L (-14),1,30.683333333333334,7.0,12.0,.583,1.0,3.0,.333,4,5,.800,1,10,11,3,1,0,4,1,19,15.4,-6,9.0,6.0,0.6666666666666666,30,36,5,19,39,29,36,42,35,11,30,42,5,0,39,0,46,39,56.0,64.0,7.0,41.0,66.0,52.0,70.0,55.0,56.0,34.0,41.0,67.0,6.0,4.0,59.0,,76.0,68.0,0.5357142857142857,0.5625,0.7142857142857143,0.4634146341463415,0.5909090909090909,0.5576923076923077,0.5142857142857142,0.7636363636363637,0.625,0.3235294117647059,0.7317073170731707,0.6268656716417911,0.8333333333333334,0.0,0.6610169491525424,,0.6052631578947368,0.5735294117647058
1,2,2,2022-10-20,33-342,LAL,,LAC,L (-6),1,27.366666666666667,0.0,11.0,.000,0.0,6.0,.000,2,2,1.000,0,3,3,4,5,0,1,3,2,0.8,-6,5.0,0.0,0.0,30,36,5,19,39,29,36,42,35,11,30,42,5,0,39,0,46,39,56.0,64.0,7.0,41.0,66.0,52.0,70.0,55.0,56.0,34.0,41.0,67.0,6.0,4.0,59.0,,76.0,68.0,0.5357142857142857,0.5625,0.7142857142857143,0.4634146341463415,0.5909090909090909,0.5576923076923077,0.5142857142857142,0.7636363636363637,0.625,0.3235294117647059,0.7317073170731707,0.6268656716417911,0.8333333333333334,0.0,0.6610169491525424,,0.6052631578947368,0.5735294117647058
2,3,3,2022-10-23,33-345,LAL,,POR,L (-2),1,27.516666666666666,4.0,15.0,.267,0.0,3.0,.000,2,3,.667,0,6,6,6,0,0,0,1,10,6.3,-4,12.0,4.0,0.3333333333333333,30,36,5,19,39,29,36,42,35,11,30,42,5,0,39,0,46,39,56.0,64.0,7.0,41.0,66.0,52.0,70.0,55.0,56.0,34.0,41.0,67.0,6.0,4.0,59.0,,76.0,68.0,0.5357142857142857,0.5625,0.7142857142857143,0.4634146341463415,0.5909090909090909,0.5576923076923077,0.5142857142857142,0.7636363636363637,0.625,0.3235294117647059,0.7317073170731707,0.6268656716417911,0.8333333333333334,0.0,0.6610169491525424,,0.6052631578947368,0.5735294117647058
3,4,,2022-10-26,33-348,LAL,@,DEN,L (-11),Inactive,0.0,,,Inactive,,,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,,,,30,36,5,19,39,29,36,42,35,11,30,42,5,0,39,0,46,39,56.0,64.0,7.0,41.0,66.0,52.0,70.0,55.0,56.0,34.0,41.0,67.0,6.0,4.0,59.0,,76.0,68.0,0.5357142857142857,0.5625,0.7142857142857143,0.4634146341463415,0.5909090909090909,0.5576923076923077,0.5142857142857142,0.7636363636363637,0.625,0.3235294117647059,0.7317073170731707,0.6268656716417911,0.8333333333333334,0.0,0.6610169491525424,,0.6052631578947368,0.5735294117647058
4,5,4,2022-10-28,33-350,LAL,@,MIN,L (-9),0,32.65,6.0,17.0,.353,1.0,4.0,.250,5,10,.500,1,7,8,3,1,1,5,4,18,6.5,0,13.0,5.0,0.3846153846153846,30,36,5,19,39,29,36,42,35,11,30,42,5,0,39,0,46,39,56.0,64.0,7.0,41.0,66.0,52.0,70.0,55.0,56.0,34.0,41.0,67.0,6.0,4.0,59.0,,76.0,68.0,0.5357142857142857,0.5625,0.7142857142857143,0.4634146341463415,0.5909090909090909,0.5576923076923077,0.5142857142857142,0.7636363636363637,0.625,0.3235294117647059,0.7317073170731707,0.6268656716417911,0.8333333333333334,0.0,0.6610169491525424,,0.6052631578947368,0.5735294117647058
5,6,5,2022-10-30,33-352,LAL,,DEN,W (+11),0,31.633333333333333,6.0,12.0,.500,2.0,4.0,.500,4,4,1.000,4,4,8,8,0,0,3,3,18,17.4,+18,8.0,4.0,0.5,30,36,5,19,39,29,36,42,35,11,30,42,5,0,39,0,46,39,56.0,64.0,7.0,41.0,66.0,52.0,70.0,55.0,56.0,34.0,41.0,67.0,6.0,4.0,59.0,,76.0,68.0,0.5357142857142857,0.5625,0.7142857142857143,0.4634146341463415,0.5909090909090909,0.5576923076923077,0.5142857142857142,0.7636363636363637,0.625,0.3235294117647059,0.7317073170731707,0.6268656716417911,0.8333333333333334,0.0,0.6610169491525424,,0.6052631578947368,0.5735294117647058
6,7,6,2022-11-02,33-355,LAL,,NOP,W (+3),0,25.25,6.0,10.0,.600,1.0,4.0,.250,0,0,,1,6,7,9,0,1,6,2,13,11.1,+4,6.0,5.0,0.8333333333333334,30,36,5,19,39,29,36,42,35,11,30,42,5,0,39,0,46,39,56.0,64.0,7.0,41.0,66.0,52.0,70.0,55.0,56.0,34.0,41.0,67.0,6.0,4.0,59.0,,76.0,68.0,0.5357142857142857,0.5625,0.7142857142857143,0.4634146341463415,0.5909090909090909,0.5576923076923077,0.5142857142857142,0.7636363636363637,0.625,0.3235294117647059,0.7317073170731707,0.6268656716417911,0.8333333333333334,0.0,0.6610169491525424,,0.6052631578947368,0.5735294117647058
7,8,7,2022-11-04,33-357,LAL,,UTA,L (-14),0,29.416666666666668,9.0,14.0,.643,3.0,5.0,.600,5,5,1.000,0,3,3,6,2,0,4,1,26,22.5,-1,9.0,6.0,0.6666666666666666,30,36,5,19,39,29,36,42,35,11,30,42,5,0,39,0,46,39,56.0,64.0,7.0,41.0,66.0,52.0,70.0,55.0,56.0,34.0,41.0,67.0,6.0,4.0,59.0,,76.0,68.0,0.5357142857142857,0.5625,0.7142857142857143,0.4634146341463415,0.5909090909090909,0.5576923076923077,0.5142857142857142,0.7636363636363637,0.625,0.3235294117647059,0.7317073170731707,0.6268656716417911,0.8333333333333334,0.0,0.6610169491525424,,0.6052631578947368,0.5735294117647058
8,9,8,2022-11-06,33-359,LAL,,CLE,L (-14),0,31.816666666666666,6.0,13.0,.462,3.0,5.0,.600,4,5,.800,1,2,3,10,2,1,7,3,19,14.7,-8,8.0,3.0,0.375,30,36,5,19,39,29,36,42,35,11,30,42,5,0,39,0,46,39,56.0,64.0,7.0,41.0,66.0,52.0,70.0,55.0,56.0,34.0,41.0,67.0,6.0,4.0,59.0,,76.0,68.0,0.5357142857142857,0.5625,0.7142857142857143,0.4634146341463415,0.5909090909090909,0.5576923076923077,0.5142857142857142,0.7636363636363637,0.625,0.3235294117647059,0.7317073170731707,0.6268656716417911,0.8333333333333334,0.0,0.6610169491525424,,0.6052631578947368,0.5735294117647058
9,10,9,2022-11-07,33-360,LAL,@,UTA,L (-23),0,24.183333333333334,8.0,14.0,.571,2.0,3.0,.667,4,4,1.000,1,2,3,5,1,1,2,5,22,17.9,-23,11.0,6.0,0.5454545454545454,30,36,5,19,39,29,36,42,35,11,30,42,5,0,39,0,46,39,56.0,64.0,7.0,41.0,66.0,52.0,70.0,55.0,56.0,34.0,41.0,67.0,6.0,4.0,59.0,,76.0,68.0,0.5357142857142857,0.5625,0.7142857142857143,0.4634146341463415,0.5909090909090909,0.5576923076923077,0.5142857142857142,0.7636363636363637,0.625,0.3235294117647059,0.7317073170731707,0.6268656716417911,0.8333333333333334,0.0,0.6610169491525424,,0.6052631578947368,0.5735294117647058
