Unnamed: 0,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Anthony Davis,Shared Games with Austin Reaves,Shared Games with Cole Swider,Shared Games with Damian Jones,Shared Games with Dennis Schröder,Shared Games with Juan Toscano-Anderson,Shared Games with Kendrick Nunn,Shared Games with LeBron James,Shared Games with Lonnie Walker IV,Shared Games with Matt Ryan,Shared Games with Max Christie,Shared Games with Patrick Beverley,Shared Games with Russell Westbrook,Shared Games with Scotty Pippen Jr.,Shared Games with Thomas Bryant,Shared Games with Wenyen Gabriel,Anthony Davis,Austin Reaves,Cole Swider,Damian Jones,Dennis Schröder,Juan Toscano-Anderson,Kendrick Nunn,LeBron James,Lonnie Walker IV,Matt Ryan,Max Christie,Patrick Beverley,Russell Westbrook,Scotty Pippen Jr.,Sterling Brown,Thomas Bryant,Tristan Thompson,Wenyen Gabriel,co_inf with Anthony Davis,co_inf with Austin Reaves,co_inf with Cole Swider,co_inf with Damian Jones,co_inf with Dennis Schröder,co_inf with Juan Toscano-Anderson,co_inf with Kendrick Nunn,co_inf with LeBron James,co_inf with Lonnie Walker IV,co_inf with Matt Ryan,co_inf with Max Christie,co_inf with Patrick Beverley,co_inf with Russell Westbrook,co_inf with Scotty Pippen Jr.,co_inf with Sterling Brown,co_inf with Thomas Bryant,co_inf with Tristan Thompson,co_inf with Wenyen Gabriel,Shared Games with Davon Reed,Shared Games with D'Angelo Russell,Shared Games with Jarred Vanderbilt,Shared Games with Malik Beasley,Shared Games with Mo Bamba,D'Angelo Russell,Davon Reed,Jarred Vanderbilt,Malik Beasley,Mo Bamba,Onyeka Okongwu,Shaquille Harrison,co_inf with Davon Reed,co_inf with D'Angelo Russell,co_inf with Jarred Vanderbilt,co_inf with Malik Beasley,co_inf with Mo Bamba,co_inf with Onyeka Okongwu,co_inf with Shaquille Harrison,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS
0,1,,2022-10-18,23-082,LAL,@,GSW,L (-14),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,53,61,4,19,62,24,33,50,54,9,36,39,46,3,37,63,56.0,64.0,7.0,41.0,66.0,52.0,70.0,55.0,56.0,34.0,41.0,67.0,73.0,6.0,4.0,59.0,,68.0,0.9464285714285714,0.953125,0.5714285714285714,0.4634146341463415,0.9393939393939394,0.4615384615384615,0.4714285714285714,0.9090909090909092,0.9642857142857144,0.2647058823529412,0.8780487804878049,0.582089552238806,0.6301369863013698,0.5,0.0,0.6271186440677966,,0.9264705882352942,8,14,25,25,8,71.0,43.0,78.0,81.0,49.0,80.0,5.0,0.1860465116279069,0.1971830985915492,0.3205128205128205,0.3086419753086419,0.1632653061224489,0.0,0.0,21,,78.0,3.7142857142857135,0.0,76.8,3.657142857142857
1,2,,2022-10-20,23-084,LAL,,LAC,L (-6),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,53,61,4,19,62,24,33,50,54,9,36,39,46,3,37,63,56.0,64.0,7.0,41.0,66.0,52.0,70.0,55.0,56.0,34.0,41.0,67.0,73.0,6.0,4.0,59.0,,68.0,0.9464285714285714,0.953125,0.5714285714285714,0.4634146341463415,0.9393939393939394,0.4615384615384615,0.4714285714285714,0.9090909090909092,0.9642857142857144,0.2647058823529412,0.8780487804878049,0.582089552238806,0.6301369863013698,0.5,0.0,0.6271186440677966,,0.9264705882352942,8,14,25,25,8,71.0,43.0,78.0,81.0,49.0,80.0,5.0,0.1860465116279069,0.1971830985915492,0.3205128205128205,0.3086419753086419,0.1632653061224489,0.0,0.0,21,,85.0,4.047619047619048,0.0,90.9,4.328571428571429
2,3,1,2022-10-23,23-087,LAL,,POR,L (-2),0,22:09,2.0,7.0,.286,0.0,2.0,.000,0,0.0,,0.0,4.0,4.0,1.0,1.0,0.0,0.0,2.0,4.0,2.0,0,5.0,2.0,0.4,53,61,4,19,62,24,33,50,54,9,36,39,46,3,37,63,56.0,64.0,7.0,41.0,66.0,52.0,70.0,55.0,56.0,34.0,41.0,67.0,73.0,6.0,4.0,59.0,,68.0,0.9464285714285714,0.953125,0.5714285714285714,0.4634146341463415,0.9393939393939394,0.4615384615384615,0.4714285714285714,0.9090909090909092,0.9642857142857144,0.2647058823529412,0.8780487804878049,0.582089552238806,0.6301369863013698,0.5,0.0,0.6271186440677966,,0.9264705882352942,8,14,25,25,8,71.0,43.0,78.0,81.0,49.0,80.0,5.0,0.1860465116279069,0.1971830985915492,0.3205128205128205,0.3086419753086419,0.1632653061224489,0.0,0.0,21,3.0,79.0,3.761904761904762,2.000000000000001,77.60000000000002,3.6952380952380963
3,4,2,2022-10-26,23-090,LAL,@,DEN,L (-11),0,27:42,3.0,8.0,.375,0.0,3.0,.000,0,0.0,,2.0,3.0,5.0,4.0,1.0,0.0,1.0,2.0,6.0,5.9,+3,5.0,3.0,0.6,53,61,4,19,62,24,33,50,54,9,36,39,46,3,37,63,56.0,64.0,7.0,41.0,66.0,52.0,70.0,55.0,56.0,34.0,41.0,67.0,73.0,6.0,4.0,59.0,,68.0,0.9464285714285714,0.953125,0.5714285714285714,0.4634146341463415,0.9393939393939394,0.4615384615384615,0.4714285714285714,0.9090909090909092,0.9642857142857144,0.2647058823529412,0.8780487804878049,0.582089552238806,0.6301369863013698,0.5,0.0,0.6271186440677966,,0.9264705882352942,8,14,25,25,8,71.0,43.0,78.0,81.0,49.0,80.0,5.0,0.1860465116279069,0.1971830985915492,0.3205128205128205,0.3086419753086419,0.1632653061224489,0.0,0.0,21,7.0,95.0,4.523809523809524,5.900000000000001,91.7,4.366666666666667
4,5,3,2022-10-28,23-092,LAL,@,MIN,L (-9),1,32:01,4.0,10.0,.400,4.0,6.0,.667,0,0.0,,1.0,7.0,8.0,0.0,0.0,0.0,4.0,4.0,12.0,3.8,-9,4.0,0.0,0.0,53,61,4,19,62,24,33,50,54,9,36,39,46,3,37,63,56.0,64.0,7.0,41.0,66.0,52.0,70.0,55.0,56.0,34.0,41.0,67.0,73.0,6.0,4.0,59.0,,68.0,0.9464285714285714,0.953125,0.5714285714285714,0.4634146341463415,0.9393939393939394,0.4615384615384615,0.4714285714285714,0.9090909090909092,0.9642857142857144,0.2647058823529412,0.8780487804878049,0.582089552238806,0.6301369863013698,0.5,0.0,0.6271186440677966,,0.9264705882352942,8,14,25,25,8,71.0,43.0,78.0,81.0,49.0,80.0,5.0,0.1860465116279069,0.1971830985915492,0.3205128205128205,0.3086419753086419,0.1632653061224489,0.0,0.0,21,6.0,93.0,4.428571428571429,3.799999999999999,69.8,3.3238095238095235
5,6,4,2022-10-30,23-094,LAL,,DEN,W (+11),1,26:16,4.0,8.0,.500,0.0,3.0,.000,0,0.0,,1.0,5.0,6.0,0.0,1.0,0.0,0.0,2.0,8.0,6.4,-7,5.0,4.0,0.8,53,61,4,19,62,24,33,50,54,9,36,39,46,3,37,63,56.0,64.0,7.0,41.0,66.0,52.0,70.0,55.0,56.0,34.0,41.0,67.0,73.0,6.0,4.0,59.0,,68.0,0.9464285714285714,0.953125,0.5714285714285714,0.4634146341463415,0.9393939393939394,0.4615384615384615,0.4714285714285714,0.9090909090909092,0.9642857142857144,0.2647058823529412,0.8780487804878049,0.582089552238806,0.6301369863013698,0.5,0.0,0.6271186440677966,,0.9264705882352942,8,14,25,25,8,71.0,43.0,78.0,81.0,49.0,80.0,5.0,0.1860465116279069,0.1971830985915492,0.3205128205128205,0.3086419753086419,0.1632653061224489,0.0,0.0,21,7.0,86.0,4.095238095238095,6.4,97.3,4.633333333333333
6,7,5,2022-11-02,23-097,LAL,,NOP,W (+3),1,26:35,4.0,7.0,.571,1.0,3.0,.333,6,6.0,1.000,1.0,9.0,10.0,1.0,0.0,0.0,0.0,1.0,15.0,15.4,+6,4.0,3.0,0.75,53,61,4,19,62,24,33,50,54,9,36,39,46,3,37,63,56.0,64.0,7.0,41.0,66.0,52.0,70.0,55.0,56.0,34.0,41.0,67.0,73.0,6.0,4.0,59.0,,68.0,0.9464285714285714,0.953125,0.5714285714285714,0.4634146341463415,0.9393939393939394,0.4615384615384615,0.4714285714285714,0.9090909090909092,0.9642857142857144,0.2647058823529412,0.8780487804878049,0.582089552238806,0.6301369863013698,0.5,0.0,0.6271186440677966,,0.9264705882352942,8,14,25,25,8,71.0,43.0,78.0,81.0,49.0,80.0,5.0,0.1860465116279069,0.1971830985915492,0.3205128205128205,0.3086419753086419,0.1632653061224489,0.0,0.0,21,13.0,89.0,4.238095238095238,13.0,85.60000000000002,4.076190476190478
7,8,6,2022-11-04,23-099,LAL,,UTA,L (-14),1,22:02,4.0,10.0,.400,2.0,6.0,.333,2,2.0,1.000,1.0,1.0,2.0,0.0,1.0,0.0,2.0,2.0,12.0,5.8,-14,4.0,2.0,0.5,53,61,4,19,62,24,33,50,54,9,36,39,46,3,37,63,56.0,64.0,7.0,41.0,66.0,52.0,70.0,55.0,56.0,34.0,41.0,67.0,73.0,6.0,4.0,59.0,,68.0,0.9464285714285714,0.953125,0.5714285714285714,0.4634146341463415,0.9393939393939394,0.4615384615384615,0.4714285714285714,0.9090909090909092,0.9642857142857144,0.2647058823529412,0.8780487804878049,0.582089552238806,0.6301369863013698,0.5,0.0,0.6271186440677966,,0.9264705882352942,8,14,25,25,8,71.0,43.0,78.0,81.0,49.0,80.0,5.0,0.1860465116279069,0.1971830985915492,0.3205128205128205,0.3086419753086419,0.1632653061224489,0.0,0.0,21,1.0,77.0,3.6666666666666665,5.0,74.1,3.5285714285714285
8,9,7,2022-11-06,23-101,LAL,,CLE,L (-14),1,29:36,5.0,12.0,.417,2.0,5.0,.400,0,0.0,,2.0,4.0,6.0,0.0,0.0,0.0,1.0,2.0,12.0,6.4,-8,7.0,3.0,0.4285714285714285,53,61,4,19,62,24,33,50,54,9,36,39,46,3,37,63,56.0,64.0,7.0,41.0,66.0,52.0,70.0,55.0,56.0,34.0,41.0,67.0,73.0,6.0,4.0,59.0,,68.0,0.9464285714285714,0.953125,0.5714285714285714,0.4634146341463415,0.9393939393939394,0.4615384615384615,0.4714285714285714,0.9090909090909092,0.9642857142857144,0.2647058823529412,0.8780487804878049,0.582089552238806,0.6301369863013698,0.5,0.0,0.6271186440677966,,0.9264705882352942,8,14,25,25,8,71.0,43.0,78.0,81.0,49.0,80.0,5.0,0.1860465116279069,0.1971830985915492,0.3205128205128205,0.3086419753086419,0.1632653061224489,0.0,0.0,21,5.0,50.0,2.380952380952381,6.400000000000003,56.69999999999999,2.6999999999999993
9,10,8,2022-11-07,23-102,LAL,@,UTA,L (-23),1,24:56,4.0,7.0,.571,2.0,5.0,.400,0,0.0,,0.0,4.0,4.0,2.0,0.0,0.0,1.0,4.0,10.0,6.7,-9,2.0,2.0,1.0,53,61,4,19,62,24,33,50,54,9,36,39,46,3,37,63,56.0,64.0,7.0,41.0,66.0,52.0,70.0,55.0,56.0,34.0,41.0,67.0,73.0,6.0,4.0,59.0,,68.0,0.9464285714285714,0.953125,0.5714285714285714,0.4634146341463415,0.9393939393939394,0.4615384615384615,0.4714285714285714,0.9090909090909092,0.9642857142857144,0.2647058823529412,0.8780487804878049,0.582089552238806,0.6301369863013698,0.5,0.0,0.6271186440677966,,0.9264705882352942,8,14,25,25,8,71.0,43.0,78.0,81.0,49.0,80.0,5.0,0.1860465116279069,0.1971830985915492,0.3205128205128205,0.3086419753086419,0.1632653061224489,0.0,0.0,21,8.0,60.0,2.857142857142857,6.700000000000001,68.19999999999999,3.247619047619047
