Rk,G,Date,Age,Tm,Opp,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Brandon Clarke,Shared Games with Danny Green,Shared Games with David Roddy,Shared Games with Dillon Brooks,Shared Games with Ja Morant,Shared Games with Jacob Gilyard,Shared Games with Jake LaRavia,Shared Games with Jaren Jackson Jr.,Shared Games with John Konchar,Shared Games with Kennedy Chandler,Shared Games with Kenneth Lofton Jr.,Shared Games with Santi Aldama,Shared Games with Steven Adams,Shared Games with Tyus Jones,Shared Games with Vince Williams Jr.,Shared Games with Xavier Tillman Sr.,Shared Games with Ziaire Williams,Brandon Clarke,Danny Green,David Roddy,Dillon Brooks,Ja Morant,Jacob Gilyard,Jake LaRavia,Jaren Jackson Jr.,John Konchar,Kennedy Chandler,Kenneth Lofton Jr.,Santi Aldama,Steven Adams,Tyus Jones,Vince Williams Jr.,Xavier Tillman Sr.,Ziaire Williams,co_inf with Brandon Clarke,co_inf with Danny Green,co_inf with David Roddy,co_inf with Dillon Brooks,co_inf with Ja Morant,co_inf with Jacob Gilyard,co_inf with Jake LaRavia,co_inf with Jaren Jackson Jr.,co_inf with John Konchar,co_inf with Kennedy Chandler,co_inf with Kenneth Lofton Jr.,co_inf with Santi Aldama,co_inf with Steven Adams,co_inf with Tyus Jones,co_inf with Vince Williams Jr.,co_inf with Xavier Tillman Sr.,co_inf with Ziaire Williams,Shared Games with Luke Kennard,Luke Kennard,Trae Young,co_inf with Luke Kennard,co_inf with Trae Young,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS,PER,WS,BPM,OBPM,DBPM,Co_Points_Share,TS%,3PAr,FTr,VORP,OWS,New Column,Result
1.0,1.0,2022-10-19,24-116,MEM,NYK,1,37.46666666666667,6.0,22.0,.273,3.0,13.0,.231,1,2.0,.500,0.0,4.0,4.0,6.0,0.0,1.0,2.0,3.0,16.0,5.5,+13,9.0,3.0,0.3333333333333333,36,3,46,50,42,1,22,45,52,24,18,56,24,58,9,47,27,56.0,11.0,70.0,73.0,61.0,1,35.0,63.0,72.0,36.0,24.0,77.0,42.0,80.0,15.0,61.0,37.0,0.6428571428571429,0.2727272727272727,0.6571428571428571,0.684931506849315,0.6885245901639344,1.0,0.6285714285714286,0.7142857142857143,0.7222222222222222,0.6666666666666666,0.75,0.7272727272727273,0.5714285714285714,0.725,0.6,0.7704918032786885,0.7297297297297297,20,59.0,73.0,0.3389830508474576,0.0,18,1.0,101.0,5.611111111111111,5.099999999999997,94.5,5.25,19.1,5.8,3.5,3.3,0.1,0.1300719724627099,0.606,0.433,0.218,2.5,3.5,W (+3),W (+3)
2.0,2.0,2022-10-21,24-118,MEM,HOU,1,33.25,3.0,16.0,.188,3.0,10.0,.300,5,5.0,1.000,2.0,4.0,6.0,7.0,2.0,0.0,3.0,2.0,14.0,9.7,+2,6.0,0.0,0.0,36,3,46,50,42,1,22,45,52,24,18,56,24,58,9,47,27,56.0,11.0,70.0,73.0,61.0,1,35.0,63.0,72.0,36.0,24.0,77.0,42.0,80.0,15.0,61.0,37.0,0.6428571428571429,0.2727272727272727,0.6571428571428571,0.684931506849315,0.6885245901639344,1.0,0.6285714285714286,0.7142857142857143,0.7222222222222222,0.6666666666666666,0.75,0.7272727272727273,0.5714285714285714,0.725,0.6,0.7704918032786885,0.7297297297297297,20,59.0,73.0,0.3389830508474576,0.0,18,5.0,83.0,4.611111111111111,7.699999999999996,98.1,5.449999999999999,19.1,5.8,3.5,3.3,0.1,0.1300719724627099,0.606,0.433,0.218,2.5,3.5,W (+7),W (+7)
3.0,3.0,2022-10-22,24-119,MEM,DAL,1,27.25,4.0,11.0,.364,2.0,5.0,.400,4,4.0,1.000,0.0,5.0,5.0,4.0,1.0,0.0,1.0,2.0,14.0,11.4,-8,6.0,2.0,0.3333333333333333,36,3,46,50,42,1,22,45,52,24,18,56,24,58,9,47,27,56.0,11.0,70.0,73.0,61.0,1,35.0,63.0,72.0,36.0,24.0,77.0,42.0,80.0,15.0,61.0,37.0,0.6428571428571429,0.2727272727272727,0.6571428571428571,0.684931506849315,0.6885245901639344,1.0,0.6285714285714286,0.7142857142857143,0.7222222222222222,0.6666666666666666,0.75,0.7272727272727273,0.5714285714285714,0.725,0.6,0.7704918032786885,0.7297297297297297,20,59.0,73.0,0.3389830508474576,0.0,18,8.0,34.0,1.8888888888888888,9.800000000000002,37.29999999999999,2.072222222222221,19.1,5.8,3.5,3.3,0.1,0.1300719724627099,0.606,0.433,0.218,2.5,3.5,L (-41),L (-41)
4.0,4.0,2022-10-24,24-121,MEM,BRK,1,32.06666666666667,14.0,21.0,.667,8.0,11.0,.727,2,3.0,.667,0.0,1.0,1.0,7.0,1.0,1.0,1.0,5.0,38.0,32.4,+18,10.0,6.0,0.6,36,3,46,50,42,1,22,45,52,24,18,56,24,58,9,47,27,56.0,11.0,70.0,73.0,61.0,1,35.0,63.0,72.0,36.0,24.0,77.0,42.0,80.0,15.0,61.0,37.0,0.6428571428571429,0.2727272727272727,0.6571428571428571,0.684931506849315,0.6885245901639344,1.0,0.6285714285714286,0.7142857142857143,0.7222222222222222,0.6666666666666666,0.75,0.7272727272727273,0.5714285714285714,0.725,0.6,0.7704918032786885,0.7297297297297297,20,59.0,73.0,0.3389830508474576,0.0,18,23.0,61.0,3.388888888888889,31.599999999999994,76.69999999999999,4.26111111111111,19.1,5.8,3.5,3.3,0.1,0.1300719724627099,0.606,0.433,0.218,2.5,3.5,W (+10),W (+10)
5.0,5.0,2022-10-27,24-124,MEM,SAC,1,33.31666666666667,11.0,18.0,.611,6.0,8.0,.750,3,4.0,.750,1.0,5.0,6.0,4.0,0.0,0.0,1.0,2.0,31.0,25.6,+13,10.0,5.0,0.5,36,3,46,50,42,1,22,45,52,24,18,56,24,58,9,47,27,56.0,11.0,70.0,73.0,61.0,1,35.0,63.0,72.0,36.0,24.0,77.0,42.0,80.0,15.0,61.0,37.0,0.6428571428571429,0.2727272727272727,0.6571428571428571,0.684931506849315,0.6885245901639344,1.0,0.6285714285714286,0.7142857142857143,0.7222222222222222,0.6666666666666666,0.75,0.7272727272727273,0.5714285714285714,0.725,0.6,0.7704918032786885,0.7297297297297297,20,59.0,73.0,0.3389830508474576,0.0,18,18.0,85.0,4.722222222222222,24.399999999999995,78.1,4.338888888888889,19.1,5.8,3.5,3.3,0.1,0.1300719724627099,0.606,0.433,0.218,2.5,3.5,W (+15),W (+15)
6.0,6.0,2022-10-29,24-126,MEM,UTA,1,34.483333333333334,11.0,23.0,.478,3.0,9.0,.333,7,8.0,.875,0.0,6.0,6.0,2.0,1.0,1.0,5.0,2.0,32.0,19.0,-8,14.0,8.0,0.5714285714285714,36,3,46,50,42,1,22,45,52,24,18,56,24,58,9,47,27,56.0,11.0,70.0,73.0,61.0,1,35.0,63.0,72.0,36.0,24.0,77.0,42.0,80.0,15.0,61.0,37.0,0.6428571428571429,0.2727272727272727,0.6571428571428571,0.684931506849315,0.6885245901639344,1.0,0.6285714285714286,0.7142857142857143,0.7222222222222222,0.6666666666666666,0.75,0.7272727272727273,0.5714285714285714,0.725,0.6,0.7704918032786885,0.7297297297297297,20,59.0,73.0,0.3389830508474576,0.0,18,6.0,94.0,5.222222222222222,16.2,82.6,4.588888888888889,19.1,5.8,3.5,3.3,0.1,0.1300719724627099,0.606,0.433,0.218,2.5,3.5,L (-1),L (-1)
7.0,,2022-10-31,24-128,MEM,UTA,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,36,3,46,50,42,1,22,45,52,24,18,56,24,58,9,47,27,56.0,11.0,70.0,73.0,61.0,1,35.0,63.0,72.0,36.0,24.0,77.0,42.0,80.0,15.0,61.0,37.0,0.6428571428571429,0.2727272727272727,0.6571428571428571,0.684931506849315,0.6885245901639344,1.0,0.6285714285714286,0.7142857142857143,0.7222222222222222,0.6666666666666666,0.75,0.7272727272727273,0.5714285714285714,0.725,0.6,0.7704918032786885,0.7297297297297297,20,59.0,73.0,0.3389830508474576,0.0,18,,37.0,2.055555555555556,0.0,64.8,3.6,19.1,5.8,3.5,3.3,0.1,0.1300719724627099,0.606,0.433,0.218,2.5,3.5,L (-16),L (-16)
8.0,7.0,2022-11-02,24-130,MEM,POR,1,36.81666666666667,7.0,16.0,.438,5.0,8.0,.625,10,11.0,.909,1.0,7.0,8.0,5.0,0.0,0.0,3.0,1.0,29.0,23.1,+6,8.0,2.0,0.25,36,3,46,50,42,1,22,45,52,24,18,56,24,58,9,47,27,56.0,11.0,70.0,73.0,61.0,1,35.0,63.0,72.0,36.0,24.0,77.0,42.0,80.0,15.0,61.0,37.0,0.6428571428571429,0.2727272727272727,0.6571428571428571,0.684931506849315,0.6885245901639344,1.0,0.6285714285714286,0.7142857142857143,0.7222222222222222,0.6666666666666666,0.75,0.7272727272727273,0.5714285714285714,0.725,0.6,0.7704918032786885,0.7297297297297297,20,59.0,73.0,0.3389830508474576,0.0,18,12.0,76.0,4.222222222222222,19.1,71.0,3.9444444444444446,19.1,5.8,3.5,3.3,0.1,0.1300719724627099,0.606,0.433,0.218,2.5,3.5,W (+5),W (+5)
9.0,8.0,2022-11-04,24-132,MEM,CHO,1,24.35,8.0,16.0,.500,3.0,7.0,.429,0,0.0,,1.0,5.0,6.0,2.0,0.0,0.0,3.0,3.0,19.0,10.4,+29,9.0,5.0,0.5555555555555556,36,3,46,50,42,1,22,45,52,24,18,56,24,58,9,47,27,56.0,11.0,70.0,73.0,61.0,1,35.0,63.0,72.0,36.0,24.0,77.0,42.0,80.0,15.0,61.0,37.0,0.6428571428571429,0.2727272727272727,0.6571428571428571,0.684931506849315,0.6885245901639344,1.0,0.6285714285714286,0.7142857142857143,0.7222222222222222,0.6666666666666666,0.75,0.7272727272727273,0.5714285714285714,0.725,0.6,0.7704918032786885,0.7297297297297297,20,59.0,73.0,0.3389830508474576,0.0,18,8.0,102.0,5.666666666666667,10.4,101.4,5.633333333333334,19.1,5.8,3.5,3.3,0.1,0.1300719724627099,0.606,0.433,0.218,2.5,3.5,W (+31),W (+31)
10.0,9.0,2022-11-06,24-134,MEM,WAS,1,35.35,9.0,16.0,.563,4.0,8.0,.500,6,6.0,1.000,0.0,3.0,3.0,4.0,1.0,0.0,1.0,1.0,28.0,23.7,-1,8.0,5.0,0.625,36,3,46,50,42,1,22,45,52,24,18,56,24,58,9,47,27,56.0,11.0,70.0,73.0,61.0,1,35.0,63.0,72.0,36.0,24.0,77.0,42.0,80.0,15.0,61.0,37.0,0.6428571428571429,0.2727272727272727,0.6571428571428571,0.684931506849315,0.6885245901639344,1.0,0.6285714285714286,0.7142857142857143,0.7222222222222222,0.6666666666666666,0.75,0.7272727272727273,0.5714285714285714,0.725,0.6,0.7704918032786885,0.7297297297297297,20,59.0,73.0,0.3389830508474576,0.0,18,13.0,49.0,2.7222222222222223,21.3,52.0,2.888888888888889,19.1,5.8,3.5,3.3,0.1,0.1300719724627099,0.606,0.433,0.218,2.5,3.5,W (+6),W (+6)
