Rk,G,Date,Age,Tm,Opp,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Bam Adebayo,Shared Games with Caleb Martin,Shared Games with Dewayne Dedmon,Shared Games with Dru Smith,Shared Games with Duncan Robinson,Shared Games with Gabe Vincent,Shared Games with Haywood Highsmith,Shared Games with Jamal Cain,Shared Games with Jimmy Butler,Shared Games with Kyle Lowry,Shared Games with Max Strus,Shared Games with Nikola Jović,Shared Games with Orlando Robinson,Shared Games with Tyler Herro,Shared Games with Udonis Haslem,Bam Adebayo,Caleb Martin,Dewayne Dedmon,Dru Smith,Duncan Robinson,Gabe Vincent,Haywood Highsmith,Jamal Cain,Jamaree Bouyea,Jimmy Butler,Kyle Lowry,Max Strus,Nikola Jović,Omer Yurtseven,Orlando Robinson,Tyler Herro,Udonis Haslem,Victor Oladipo,co_inf with Bam Adebayo,co_inf with Caleb Martin,co_inf with Dewayne Dedmon,co_inf with Dru Smith,co_inf with Duncan Robinson,co_inf with Gabe Vincent,co_inf with Haywood Highsmith,co_inf with Jamal Cain,co_inf with Jamaree Bouyea,co_inf with Jimmy Butler,co_inf with Kyle Lowry,co_inf with Max Strus,co_inf with Nikola Jović,co_inf with Omer Yurtseven,co_inf with Orlando Robinson,co_inf with Tyler Herro,co_inf with Udonis Haslem,co_inf with Victor Oladipo,Kevin Love,Trent Forrest,co_inf with Kevin Love,co_inf with Trent Forrest,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS,PER,WS,BPM,OBPM,DBPM,Co_Points_Share,TS%,3PAr,FTr,VORP,OWS,New Column,Result
1.0,1.0,2023-02-24,30-142,MIA,MIL,0,16.3,4.0,5.0,.800,0.0,0.0,,2,2.0,1.000,3.0,1.0,4.0,3.0,0.0,0.0,1.0,2.0,10.0,10.8,-5,5.0,4.0,0.8,15,14,12,2,12,13,10,3,9,15,14,6,7,13,4,75.0,71.0,38.0,15.0,42.0,68.0,54.0,18.0,5.0,64.0,55.0,80.0,15.0,9.0,31.0,67.0,7.0,42.0,0.2,0.1971830985915492,0.3157894736842105,0.1333333333333333,0.2857142857142857,0.1911764705882352,0.1851851851851851,0.1666666666666666,0.0,0.140625,0.2727272727272727,0.175,0.4,0.0,0.2258064516129032,0.1940298507462686,0.5714285714285714,0.0,62.0,23.0,0.0,0.0,15,9.0,58.0,3.866666666666666,10.0,59.3,3.953333333333333,16.4,0.7,-2.8,-2.0,-0.7,0.0109167873454383,0.659,0.034,0.593,0.0,0.4,L (-29),L (-29)
2.0,2.0,2023-02-25,30-143,MIA,CHO,0,14.816666666666666,2.0,4.0,.500,0.0,0.0,,0,0.0,,2.0,1.0,3.0,0.0,1.0,1.0,1.0,4.0,4.0,2.8,+2,4.0,2.0,0.5,15,14,12,2,12,13,10,3,9,15,14,6,7,13,4,75.0,71.0,38.0,15.0,42.0,68.0,54.0,18.0,5.0,64.0,55.0,80.0,15.0,9.0,31.0,67.0,7.0,42.0,0.2,0.1971830985915492,0.3157894736842105,0.1333333333333333,0.2857142857142857,0.1911764705882352,0.1851851851851851,0.1666666666666666,0.0,0.140625,0.2727272727272727,0.175,0.4,0.0,0.2258064516129032,0.1940298507462686,0.5714285714285714,0.0,62.0,23.0,0.0,0.0,15,4.0,80.0,5.333333333333333,2.7999999999999994,76.1,5.073333333333333,16.4,0.7,-2.8,-2.0,-0.7,0.0109167873454383,0.659,0.034,0.593,0.0,0.4,L (-5),L (-5)
3.0,3.0,2023-02-27,30-145,MIA,PHI,0,15.766666666666667,2.0,3.0,.667,0.0,0.0,,1,4.0,.250,0.0,1.0,1.0,0.0,0.0,2.0,0.0,3.0,5.0,3.0,+9,3.0,2.0,0.6666666666666666,15,14,12,2,12,13,10,3,9,15,14,6,7,13,4,75.0,71.0,38.0,15.0,42.0,68.0,54.0,18.0,5.0,64.0,55.0,80.0,15.0,9.0,31.0,67.0,7.0,42.0,0.2,0.1971830985915492,0.3157894736842105,0.1333333333333333,0.2857142857142857,0.1911764705882352,0.1851851851851851,0.1666666666666666,0.0,0.140625,0.2727272727272727,0.175,0.4,0.0,0.2258064516129032,0.1940298507462686,0.5714285714285714,0.0,62.0,23.0,0.0,0.0,15,1.0,81.0,5.4,2.6,83.9,5.593333333333334,16.4,0.7,-2.8,-2.0,-0.7,0.0109167873454383,0.659,0.034,0.593,0.0,0.4,W (+2),W (+2)
4.0,4.0,2023-03-01,30-147,MIA,PHI,0,15.583333333333334,0.0,1.0,.000,0.0,0.0,,5,6.0,.833,0.0,3.0,3.0,1.0,0.0,0.0,0.0,2.0,5.0,4.7,-5,1.0,0.0,0.0,15,14,12,2,12,13,10,3,9,15,14,6,7,13,4,75.0,71.0,38.0,15.0,42.0,68.0,54.0,18.0,5.0,64.0,55.0,80.0,15.0,9.0,31.0,67.0,7.0,42.0,0.2,0.1971830985915492,0.3157894736842105,0.1333333333333333,0.2857142857142857,0.1911764705882352,0.1851851851851851,0.1666666666666666,0.0,0.140625,0.2727272727272727,0.175,0.4,0.0,0.2258064516129032,0.1940298507462686,0.5714285714285714,0.0,62.0,23.0,0.0,0.0,15,2.0,57.0,3.8,2.7,53.50000000000001,3.566666666666668,16.4,0.7,-2.8,-2.0,-0.7,0.0109167873454383,0.659,0.034,0.593,0.0,0.4,L (-23),L (-23)
5.0,5.0,2023-03-03,30-149,MIA,NYK,0,9.5,1.0,1.0,1.000,0.0,0.0,,1,1.0,1.000,2.0,0.0,2.0,0.0,0.0,0.0,2.0,1.0,3.0,1.7,-6,1.0,1.0,1.0,15,14,12,2,12,13,10,3,9,15,14,6,7,13,4,75.0,71.0,38.0,15.0,42.0,68.0,54.0,18.0,5.0,64.0,55.0,80.0,15.0,9.0,31.0,67.0,7.0,42.0,0.2,0.1971830985915492,0.3157894736842105,0.1333333333333333,0.2857142857142857,0.1911764705882352,0.1851851851851851,0.1666666666666666,0.0,0.140625,0.2727272727272727,0.175,0.4,0.0,0.2258064516129032,0.1940298507462686,0.5714285714285714,0.0,62.0,23.0,0.0,0.0,15,1.0,96.0,6.4,1.2999999999999998,98.9,6.593333333333334,16.4,0.7,-2.8,-2.0,-0.7,0.0109167873454383,0.659,0.034,0.593,0.0,0.4,L (-2),L (-2)
6.0,6.0,2023-03-04,30-150,MIA,ATL,0,12.466666666666669,4.0,4.0,1.000,0.0,0.0,,5,6.0,.833,2.0,0.0,2.0,0.0,0.0,0.0,1.0,4.0,13.0,10.2,-8,4.0,4.0,1.0,15,14,12,2,12,13,10,3,9,15,14,6,7,13,4,75.0,71.0,38.0,15.0,42.0,68.0,54.0,18.0,5.0,64.0,55.0,80.0,15.0,9.0,31.0,67.0,7.0,42.0,0.2,0.1971830985915492,0.3157894736842105,0.1333333333333333,0.2857142857142857,0.1911764705882352,0.1851851851851851,0.1666666666666666,0.0,0.140625,0.2727272727272727,0.175,0.4,0.0,0.2258064516129032,0.1940298507462686,0.5714285714285714,0.0,62.0,23.0,0.0,0.0,15,4.0,85.0,5.666666666666667,8.2,86.7,5.78,16.4,0.7,-2.8,-2.0,-0.7,0.0109167873454383,0.659,0.034,0.593,0.0,0.4,W (+8),W (+8)
7.0,7.0,2023-03-06,30-152,MIA,ATL,0,11.916666666666666,1.0,4.0,.250,0.0,0.0,,0,0.0,,2.0,2.0,4.0,1.0,0.0,0.0,0.0,1.0,2.0,1.9,+3,4.0,1.0,0.25,15,14,12,2,12,13,10,3,9,15,14,6,7,13,4,75.0,71.0,38.0,15.0,42.0,68.0,54.0,18.0,5.0,64.0,55.0,80.0,15.0,9.0,31.0,67.0,7.0,42.0,0.2,0.1971830985915492,0.3157894736842105,0.1333333333333333,0.2857142857142857,0.1911764705882352,0.1851851851851851,0.1666666666666666,0.0,0.140625,0.2727272727272727,0.175,0.4,0.0,0.2258064516129032,0.1940298507462686,0.5714285714285714,0.0,62.0,23.0,0.0,0.0,15,3.0,45.0,3.0,1.9,71.0,4.733333333333333,16.4,0.7,-2.8,-2.0,-0.7,0.0109167873454383,0.659,0.034,0.593,0.0,0.4,W (+2),W (+2)
8.0,8.0,2023-03-08,30-154,MIA,CLE,0,19.3,1.0,1.0,1.000,0.0,0.0,,1,2.0,.500,1.0,7.0,8.0,1.0,1.0,0.0,2.0,3.0,3.0,3.6,0,1.0,1.0,1.0,15,14,12,2,12,13,10,3,9,15,14,6,7,13,4,75.0,71.0,38.0,15.0,42.0,68.0,54.0,18.0,5.0,64.0,55.0,80.0,15.0,9.0,31.0,67.0,7.0,42.0,0.2,0.1971830985915492,0.3157894736842105,0.1333333333333333,0.2857142857142857,0.1911764705882352,0.1851851851851851,0.1666666666666666,0.0,0.140625,0.2727272727272727,0.175,0.4,0.0,0.2258064516129032,0.1940298507462686,0.5714285714285714,0.0,62.0,23.0,0.0,0.0,15,8.0,94.0,6.266666666666667,3.2,81.9,5.46,16.4,0.7,-2.8,-2.0,-0.7,0.0109167873454383,0.659,0.034,0.593,0.0,0.4,L (-4),L (-4)
9.0,9.0,2023-03-10,30-156,MIA,CLE,0,10.683333333333334,0.0,5.0,.000,0.0,0.0,,0,0.0,,4.0,2.0,6.0,0.0,0.0,1.0,1.0,3.0,0.0,-1.6,0,5.0,0.0,0.0,15,14,12,2,12,13,10,3,9,15,14,6,7,13,4,75.0,71.0,38.0,15.0,42.0,68.0,54.0,18.0,5.0,64.0,55.0,80.0,15.0,9.0,31.0,67.0,7.0,42.0,0.2,0.1971830985915492,0.3157894736842105,0.1333333333333333,0.2857142857142857,0.1911764705882352,0.1851851851851851,0.1666666666666666,0.0,0.140625,0.2727272727272727,0.175,0.4,0.0,0.2258064516129032,0.1940298507462686,0.5714285714285714,0.0,62.0,23.0,0.0,0.0,15,1.0,76.0,5.066666666666666,-1.6000000000000003,74.70000000000002,4.980000000000001,16.4,0.7,-2.8,-2.0,-0.7,0.0109167873454383,0.659,0.034,0.593,0.0,0.4,W (+4),W (+4)
10.0,10.0,2023-03-11,30-157,MIA,ORL,0,3.75,0.0,1.0,.000,0.0,1.0,.000,2,2.0,1.000,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,1.9,-5,0.0,0.0,,15,14,12,2,12,13,10,3,9,15,14,6,7,13,4,75.0,71.0,38.0,15.0,42.0,68.0,54.0,18.0,5.0,64.0,55.0,80.0,15.0,9.0,31.0,67.0,7.0,42.0,0.2,0.1971830985915492,0.3157894736842105,0.1333333333333333,0.2857142857142857,0.1911764705882352,0.1851851851851851,0.1666666666666666,0.0,0.140625,0.2727272727272727,0.175,0.4,0.0,0.2258064516129032,0.1940298507462686,0.5714285714285714,0.0,62.0,23.0,0.0,0.0,15,1.0,56.0,3.733333333333333,1.1,54.8,3.653333333333333,16.4,0.7,-2.8,-2.0,-0.7,0.0109167873454383,0.659,0.034,0.593,0.0,0.4,L (-12),L (-12)
