Rk,G,Date,Age,Tm,Opp,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Bam Adebayo,Shared Games with Caleb Martin,Shared Games with Cody Zeller,Shared Games with Dewayne Dedmon,Shared Games with Dru Smith,Shared Games with Gabe Vincent,Shared Games with Haywood Highsmith,Shared Games with Jamal Cain,Shared Games with Jimmy Butler,Shared Games with Kyle Lowry,Shared Games with Max Strus,Shared Games with Nikola Jović,Shared Games with Omer Yurtseven,Shared Games with Orlando Robinson,Shared Games with Tyler Herro,Shared Games with Udonis Haslem,Shared Games with Victor Oladipo,Bam Adebayo,Caleb Martin,Cody Zeller,Dewayne Dedmon,Dru Smith,Gabe Vincent,Haywood Highsmith,Jamal Cain,Jamaree Bouyea,Jimmy Butler,Kyle Lowry,Max Strus,Nikola Jović,Omer Yurtseven,Orlando Robinson,Tyler Herro,Udonis Haslem,Victor Oladipo,co_inf with Bam Adebayo,co_inf with Caleb Martin,co_inf with Cody Zeller,co_inf with Dewayne Dedmon,co_inf with Dru Smith,co_inf with Gabe Vincent,co_inf with Haywood Highsmith,co_inf with Jamal Cain,co_inf with Jamaree Bouyea,co_inf with Jimmy Butler,co_inf with Kyle Lowry,co_inf with Max Strus,co_inf with Nikola Jović,co_inf with Omer Yurtseven,co_inf with Orlando Robinson,co_inf with Tyler Herro,co_inf with Udonis Haslem,co_inf with Victor Oladipo,Shared Games with Kevin Love,Kevin Love,Trent Forrest,co_inf with Kevin Love,co_inf with Trent Forrest,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS,PER,WS,BPM,OBPM,DBPM,Co_Points_Share,TS%,3PAr,FTr,VORP,OWS,New Column,Result
1.0,1.0,2022-10-19,28-180,MIA,CHI,0,10.9,2.0,4.0,.500,1.0,3.0,.333,0,0.0,,1.0,3.0,4.0,3.0,0.0,0.0,0.0,1.0,5.0,6.3,+8,1.0,1.0,1.0,37,37,12,18,3,35,27,9,30,30,42,11,6,19,34,5,18,75.0,71.0,15.0,38.0,15.0,68.0,54.0,18.0,5.0,64.0,55.0,80.0,15.0,9.0,31.0,67.0,7.0,42.0,0.4933333333333333,0.5211267605633803,0.8,0.4736842105263157,0.2,0.5147058823529411,0.5,0.5,0.0,0.46875,0.5454545454545454,0.525,0.7333333333333333,0.6666666666666666,0.6129032258064516,0.5074626865671642,0.7142857142857143,0.4285714285714285,11,62.0,23.0,0.1774193548387097,0.0,18,8.0,59.0,3.2777777777777777,6.3,69.3,3.85,7.8,0.5,-5.0,-3.5,-1.5,0.0298540715160966,0.534,0.81,0.135,-0.5,-0.1,L (-8),L (-8)
2.0,2.0,2022-10-21,28-182,MIA,BOS,0,6.116666666666666,0.0,0.0,,0.0,0.0,,0,0.0,,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.4,-5,0.0,0.0,,37,37,12,18,3,35,27,9,30,30,42,11,6,19,34,5,18,75.0,71.0,15.0,38.0,15.0,68.0,54.0,18.0,5.0,64.0,55.0,80.0,15.0,9.0,31.0,67.0,7.0,42.0,0.4933333333333333,0.5211267605633803,0.8,0.4736842105263157,0.2,0.5147058823529411,0.5,0.5,0.0,0.46875,0.5454545454545454,0.525,0.7333333333333333,0.6666666666666666,0.6129032258064516,0.5074626865671642,0.7142857142857143,0.4285714285714285,11,62.0,23.0,0.1774193548387097,0.0,18,2.0,82.0,4.555555555555555,1.4,94.9,5.272222222222222,7.8,0.5,-5.0,-3.5,-1.5,0.0298540715160966,0.534,0.81,0.135,-0.5,-0.1,L (-7),L (-7)
3.0,3.0,2022-10-22,28-183,MIA,TOR,0,14.633333333333333,3.0,5.0,.600,2.0,3.0,.667,0,0.0,,0.0,3.0,3.0,0.0,0.0,0.0,0.0,3.0,8.0,5.4,-2,2.0,1.0,0.5,37,37,12,18,3,35,27,9,30,30,42,11,6,19,34,5,18,75.0,71.0,15.0,38.0,15.0,68.0,54.0,18.0,5.0,64.0,55.0,80.0,15.0,9.0,31.0,67.0,7.0,42.0,0.4933333333333333,0.5211267605633803,0.8,0.4736842105263157,0.2,0.5147058823529411,0.5,0.5,0.0,0.46875,0.5454545454545454,0.525,0.7333333333333333,0.6666666666666666,0.6129032258064516,0.5074626865671642,0.7142857142857143,0.4285714285714285,11,62.0,23.0,0.1774193548387097,0.0,18,6.0,76.0,4.222222222222222,5.4,83.4,4.633333333333334,7.8,0.5,-5.0,-3.5,-1.5,0.0298540715160966,0.534,0.81,0.135,-0.5,-0.1,W (+3),W (+3)
4.0,4.0,2022-10-24,28-185,MIA,TOR,0,15.566666666666666,4.0,8.0,.500,3.0,6.0,.500,1,1.0,1.000,0.0,1.0,1.0,0.0,0.0,0.0,0.0,4.0,12.0,6.7,-6,2.0,1.0,0.5,37,37,12,18,3,35,27,9,30,30,42,11,6,19,34,5,18,75.0,71.0,15.0,38.0,15.0,68.0,54.0,18.0,5.0,64.0,55.0,80.0,15.0,9.0,31.0,67.0,7.0,42.0,0.4933333333333333,0.5211267605633803,0.8,0.4736842105263157,0.2,0.5147058823529411,0.5,0.5,0.0,0.46875,0.5454545454545454,0.525,0.7333333333333333,0.6666666666666666,0.6129032258064516,0.5074626865671642,0.7142857142857143,0.4285714285714285,11,62.0,23.0,0.1774193548387097,0.0,18,4.0,55.0,3.055555555555556,6.300000000000001,52.1,2.8944444444444444,7.8,0.5,-5.0,-3.5,-1.5,0.0298540715160966,0.534,0.81,0.135,-0.5,-0.1,L (-8),L (-8)
5.0,5.0,2022-10-26,28-187,MIA,POR,0,19.1,2.0,7.0,.286,1.0,5.0,.200,0,0.0,,0.0,3.0,3.0,3.0,0.0,0.0,1.0,2.0,5.0,2.1,+12,2.0,1.0,0.5,37,37,12,18,3,35,27,9,30,30,42,11,6,19,34,5,18,75.0,71.0,15.0,38.0,15.0,68.0,54.0,18.0,5.0,64.0,55.0,80.0,15.0,9.0,31.0,67.0,7.0,42.0,0.4933333333333333,0.5211267605633803,0.8,0.4736842105263157,0.2,0.5147058823529411,0.5,0.5,0.0,0.46875,0.5454545454545454,0.525,0.7333333333333333,0.6666666666666666,0.6129032258064516,0.5074626865671642,0.7142857142857143,0.4285714285714285,11,62.0,23.0,0.1774193548387097,0.0,18,3.0,94.0,5.222222222222222,2.1,102.3,5.683333333333334,7.8,0.5,-5.0,-3.5,-1.5,0.0298540715160966,0.534,0.81,0.135,-0.5,-0.1,W (+21),W (+21)
6.0,6.0,2022-10-27,28-188,MIA,GSW,0,13.15,1.0,7.0,.143,1.0,5.0,.200,0,0.0,,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,3.0,-0.9,-4,2.0,0.0,0.0,37,37,12,18,3,35,27,9,30,30,42,11,6,19,34,5,18,75.0,71.0,15.0,38.0,15.0,68.0,54.0,18.0,5.0,64.0,55.0,80.0,15.0,9.0,31.0,67.0,7.0,42.0,0.4933333333333333,0.5211267605633803,0.8,0.4736842105263157,0.2,0.5147058823529411,0.5,0.5,0.0,0.46875,0.5454545454545454,0.525,0.7333333333333333,0.6666666666666666,0.6129032258064516,0.5074626865671642,0.7142857142857143,0.4285714285714285,11,62.0,23.0,0.1774193548387097,0.0,18,-2.0,91.0,5.055555555555555,-0.9,119.9,6.661111111111111,7.8,0.5,-5.0,-3.5,-1.5,0.0298540715160966,0.534,0.81,0.135,-0.5,-0.1,L (-13),L (-13)
7.0,7.0,2022-10-29,28-190,MIA,SAC,0,4.633333333333333,0.0,2.0,.000,0.0,0.0,,2,2.0,1.000,1.0,1.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,0.8,-8,2.0,0.0,0.0,37,37,12,18,3,35,27,9,30,30,42,11,6,19,34,5,18,75.0,71.0,15.0,38.0,15.0,68.0,54.0,18.0,5.0,64.0,55.0,80.0,15.0,9.0,31.0,67.0,7.0,42.0,0.4933333333333333,0.5211267605633803,0.8,0.4736842105263157,0.2,0.5147058823529411,0.5,0.5,0.0,0.46875,0.5454545454545454,0.525,0.7333333333333333,0.6666666666666666,0.6129032258064516,0.5074626865671642,0.7142857142857143,0.4285714285714285,11,62.0,23.0,0.1774193548387097,0.0,18,0.0,48.0,2.6666666666666665,0.0,73.19999999999999,4.066666666666666,7.8,0.5,-5.0,-3.5,-1.5,0.0298540715160966,0.534,0.81,0.135,-0.5,-0.1,L (-6),L (-6)
8.0,8.0,2022-11-01,28-193,MIA,GSW,0,25.683333333333334,6.0,10.0,.600,5.0,8.0,.625,0,0.0,,0.0,2.0,2.0,3.0,0.0,0.0,2.0,3.0,17.0,11.9,+19,2.0,1.0,0.5,37,37,12,18,3,35,27,9,30,30,42,11,6,19,34,5,18,75.0,71.0,15.0,38.0,15.0,68.0,54.0,18.0,5.0,64.0,55.0,80.0,15.0,9.0,31.0,67.0,7.0,42.0,0.4933333333333333,0.5211267605633803,0.8,0.4736842105263157,0.2,0.5147058823529411,0.5,0.5,0.0,0.46875,0.5454545454545454,0.525,0.7333333333333333,0.6666666666666666,0.6129032258064516,0.5074626865671642,0.7142857142857143,0.4285714285714285,11,62.0,23.0,0.1774193548387097,0.0,18,10.0,92.0,5.111111111111111,11.900000000000002,99.1,5.505555555555556,7.8,0.5,-5.0,-3.5,-1.5,0.0298540715160966,0.534,0.81,0.135,-0.5,-0.1,W (+7),W (+7)
9.0,9.0,2022-11-02,28-194,MIA,SAC,0,24.866666666666667,1.0,6.0,.167,1.0,5.0,.200,1,1.0,1.000,0.0,6.0,6.0,1.0,0.0,0.0,0.0,1.0,4.0,2.3,-8,1.0,0.0,0.0,37,37,12,18,3,35,27,9,30,30,42,11,6,19,34,5,18,75.0,71.0,15.0,38.0,15.0,68.0,54.0,18.0,5.0,64.0,55.0,80.0,15.0,9.0,31.0,67.0,7.0,42.0,0.4933333333333333,0.5211267605633803,0.8,0.4736842105263157,0.2,0.5147058823529411,0.5,0.5,0.0,0.46875,0.5454545454545454,0.525,0.7333333333333333,0.6666666666666666,0.6129032258064516,0.5074626865671642,0.7142857142857143,0.4285714285714285,11,62.0,23.0,0.1774193548387097,0.0,18,4.0,73.0,4.055555555555555,1.9000000000000008,78.8,4.377777777777777,7.8,0.5,-5.0,-3.5,-1.5,0.0298540715160966,0.534,0.81,0.135,-0.5,-0.1,W (+3),W (+3)
10.0,10.0,2022-11-04,28-196,MIA,IND,0,16.666666666666668,0.0,7.0,.000,0.0,6.0,.000,0,0.0,,0.0,3.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,-4.4,-13,1.0,0.0,0.0,37,37,12,18,3,35,27,9,30,30,42,11,6,19,34,5,18,75.0,71.0,15.0,38.0,15.0,68.0,54.0,18.0,5.0,64.0,55.0,80.0,15.0,9.0,31.0,67.0,7.0,42.0,0.4933333333333333,0.5211267605633803,0.8,0.4736842105263157,0.2,0.5147058823529411,0.5,0.5,0.0,0.46875,0.5454545454545454,0.525,0.7333333333333333,0.6666666666666666,0.6129032258064516,0.5074626865671642,0.7142857142857143,0.4285714285714285,11,62.0,23.0,0.1774193548387097,0.0,18,-4.0,61.0,3.388888888888889,-4.4,74.1,4.116666666666666,7.8,0.5,-5.0,-3.5,-1.5,0.0298540715160966,0.534,0.81,0.135,-0.5,-0.1,L (-2),L (-2)
