Rk,G,Date,Age,Tm,Opp,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with A.J. Green,Shared Games with Bobby Portis,Shared Games with George Hill,Shared Games with Giannis Antetokounmpo,Shared Games with Grayson Allen,Shared Games with Jevon Carter,Shared Games with Joe Ingles,Shared Games with Jordan Nwora,Shared Games with Jrue Holiday,Shared Games with Khris Middleton,Shared Games with MarJon Beauchamp,Shared Games with Meyers Leonard,Shared Games with Pat Connaughton,Shared Games with Sandro Mamukelashvili,Shared Games with Serge Ibaka,Shared Games with Thanasis Antetokounmpo,Shared Games with Wesley Matthews,A.J. Green,Bobby Portis,George Hill,Giannis Antetokounmpo,Grayson Allen,Jevon Carter,Joe Ingles,Jordan Nwora,Jrue Holiday,Khris Middleton,Lindell Wigginton,MarJon Beauchamp,Meyers Leonard,Pat Connaughton,Sandro Mamukelashvili,Serge Ibaka,Thanasis Antetokounmpo,Wesley Matthews,co_inf with A.J. Green,co_inf with Bobby Portis,co_inf with George Hill,co_inf with Giannis Antetokounmpo,co_inf with Grayson Allen,co_inf with Jevon Carter,co_inf with Joe Ingles,co_inf with Jordan Nwora,co_inf with Jrue Holiday,co_inf with Khris Middleton,co_inf with Lindell Wigginton,co_inf with MarJon Beauchamp,co_inf with Meyers Leonard,co_inf with Pat Connaughton,co_inf with Sandro Mamukelashvili,co_inf with Serge Ibaka,co_inf with Thanasis Antetokounmpo,co_inf with Wesley Matthews,Shared Games with Goran Dragić,Shared Games with Jae Crowder,Goran Dragić,Jae Crowder,Tyrese Martin,co_inf with Goran Dragić,co_inf with Jae Crowder,co_inf with Tyrese Martin,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS,PER,WS,BPM,OBPM,DBPM,Co_Points_Share,TS%,3PAr,FTr,VORP,OWS,New Column,Result
1.0,1.0,2022-10-20,34-202,MIL,PHI,1.0,30.933333333333334,6.0,16.0,0.375,4.0,12.0,0.333,1.0,2.0,0.5,1.0,3.0,4.0,1.0,0.0,2.0,0.0,2.0,17.0,10.7,0.0,4.0,2.0,0.5,32,67,34,61,72,77,44,37,65,31,49,8,59,23,16,35,49,35.0,70.0,46.0,63.0,72.0,81.0,46.0,62.0,67.0,33.0,7.0,52.0,9.0,61.0,43.0,16.0,37.0,52.0,0.9142857142857144,0.9571428571428572,0.7391304347826086,0.9682539682539684,1.0,0.9506172839506172,0.9565217391304348,0.5967741935483871,0.9701492537313432,0.9393939393939394,0.0,0.9423076923076924,0.8888888888888888,0.9672131147540984,0.5348837209302325,1.0,0.945945945945946,0.9423076923076924,6,13,58.0,18.0,16.0,0.1034482758620689,0.7222222222222222,0.0,19,6.0,63.0,3.3157894736842106,10.299999999999994,62.49999999999999,3.289473684210526,18.4,8.0,2.1,0.8,1.3,0.1292105537595161,0.63,0.405,0.211,2.5,4.1,W (+2),W (+2)
2.0,2.0,2022-10-22,34-204,MIL,HOU,1.0,28.78333333333333,3.0,7.0,0.429,3.0,6.0,0.5,0.0,0.0,,0.0,5.0,5.0,2.0,2.0,5.0,1.0,3.0,9.0,11.5,4.0,1.0,0.0,0.0,32,67,34,61,72,77,44,37,65,31,49,8,59,23,16,35,49,35.0,70.0,46.0,63.0,72.0,81.0,46.0,62.0,67.0,33.0,7.0,52.0,9.0,61.0,43.0,16.0,37.0,52.0,0.9142857142857144,0.9571428571428572,0.7391304347826086,0.9682539682539684,1.0,0.9506172839506172,0.9565217391304348,0.5967741935483871,0.9701492537313432,0.9393939393939394,0.0,0.9423076923076924,0.8888888888888888,0.9672131147540984,0.5348837209302325,1.0,0.945945945945946,0.9423076923076924,6,13,58.0,18.0,16.0,0.1034482758620689,0.7222222222222222,0.0,19,15.0,66.0,3.473684210526316,11.500000000000004,77.7,4.089473684210526,18.4,8.0,2.1,0.8,1.3,0.1292105537595161,0.63,0.405,0.211,2.5,4.1,W (+20),W (+20)
3.0,3.0,2022-10-26,34-208,MIL,BRK,1.0,27.85,3.0,10.0,0.3,1.0,5.0,0.2,0.0,0.0,,3.0,3.0,6.0,1.0,0.0,6.0,2.0,2.0,7.0,6.3,21.0,5.0,2.0,0.4,32,67,34,61,72,77,44,37,65,31,49,8,59,23,16,35,49,35.0,70.0,46.0,63.0,72.0,81.0,46.0,62.0,67.0,33.0,7.0,52.0,9.0,61.0,43.0,16.0,37.0,52.0,0.9142857142857144,0.9571428571428572,0.7391304347826086,0.9682539682539684,1.0,0.9506172839506172,0.9565217391304348,0.5967741935483871,0.9701492537313432,0.9393939393939394,0.0,0.9423076923076924,0.8888888888888888,0.9672131147540984,0.5348837209302325,1.0,0.945945945945946,0.9423076923076924,6,13,58.0,18.0,16.0,0.1034482758620689,0.7222222222222222,0.0,19,8.0,53.0,2.789473684210526,6.299999999999997,64.49999999999999,3.3947368421052624,18.4,8.0,2.1,0.8,1.3,0.1292105537595161,0.63,0.405,0.211,2.5,4.1,W (+11),W (+11)
4.0,4.0,2022-10-28,34-210,MIL,NYK,1.0,33.416666666666664,5.0,13.0,0.385,0.0,6.0,0.0,4.0,4.0,1.0,4.0,7.0,11.0,2.0,1.0,3.0,0.0,4.0,14.0,14.7,1.0,7.0,5.0,0.7142857142857143,32,67,34,61,72,77,44,37,65,31,49,8,59,23,16,35,49,35.0,70.0,46.0,63.0,72.0,81.0,46.0,62.0,67.0,33.0,7.0,52.0,9.0,61.0,43.0,16.0,37.0,52.0,0.9142857142857144,0.9571428571428572,0.7391304347826086,0.9682539682539684,1.0,0.9506172839506172,0.9565217391304348,0.5967741935483871,0.9701492537313432,0.9393939393939394,0.0,0.9423076923076924,0.8888888888888888,0.9672131147540984,0.5348837209302325,1.0,0.945945945945946,0.9423076923076924,6,13,58.0,18.0,16.0,0.1034482758620689,0.7222222222222222,0.0,19,14.0,60.0,3.1578947368421053,13.099999999999998,75.89999999999998,3.994736842105262,18.4,8.0,2.1,0.8,1.3,0.1292105537595161,0.63,0.405,0.211,2.5,4.1,W (+11),W (+11)
5.0,5.0,2022-10-29,34-211,MIL,ATL,1.0,34.0,8.0,12.0,0.667,5.0,8.0,0.625,0.0,0.0,,1.0,5.0,6.0,0.0,1.0,2.0,1.0,2.0,21.0,18.6,16.0,4.0,3.0,0.75,32,67,34,61,72,77,44,37,65,31,49,8,59,23,16,35,49,35.0,70.0,46.0,63.0,72.0,81.0,46.0,62.0,67.0,33.0,7.0,52.0,9.0,61.0,43.0,16.0,37.0,52.0,0.9142857142857144,0.9571428571428572,0.7391304347826086,0.9682539682539684,1.0,0.9506172839506172,0.9565217391304348,0.5967741935483871,0.9701492537313432,0.9393939393939394,0.0,0.9423076923076924,0.8888888888888888,0.9672131147540984,0.5348837209302325,1.0,0.945945945945946,0.9423076923076924,6,13,58.0,18.0,16.0,0.1034482758620689,0.7222222222222222,0.0,19,17.0,64.0,3.3684210526315788,18.6,79.0,4.157894736842105,18.4,8.0,2.1,0.8,1.3,0.1292105537595161,0.63,0.405,0.211,2.5,4.1,W (+8),W (+8)
6.0,6.0,2022-10-31,34-213,MIL,DET,1.0,34.416666666666664,10.0,16.0,0.625,2.0,5.0,0.4,2.0,2.0,1.0,4.0,5.0,9.0,0.0,0.0,2.0,1.0,4.0,24.0,19.9,12.0,11.0,8.0,0.7272727272727273,32,67,34,61,72,77,44,37,65,31,49,8,59,23,16,35,49,35.0,70.0,46.0,63.0,72.0,81.0,46.0,62.0,67.0,33.0,7.0,52.0,9.0,61.0,43.0,16.0,37.0,52.0,0.9142857142857144,0.9571428571428572,0.7391304347826086,0.9682539682539684,1.0,0.9506172839506172,0.9565217391304348,0.5967741935483871,0.9701492537313432,0.9393939393939394,0.0,0.9423076923076924,0.8888888888888888,0.9672131147540984,0.5348837209302325,1.0,0.945945945945946,0.9423076923076924,6,13,58.0,18.0,16.0,0.1034482758620689,0.7222222222222222,0.0,19,16.0,50.0,2.631578947368421,19.099999999999994,61.49999999999999,3.236842105263157,18.4,8.0,2.1,0.8,1.3,0.1292105537595161,0.63,0.405,0.211,2.5,4.1,W (+2),W (+2)
7.0,7.0,2022-11-02,34-215,MIL,DET,1.0,27.03333333333333,5.0,8.0,0.625,0.0,2.0,0.0,1.0,1.0,1.0,2.0,5.0,7.0,2.0,1.0,1.0,3.0,1.0,11.0,10.0,29.0,6.0,5.0,0.8333333333333334,32,67,34,61,72,77,44,37,65,31,49,8,59,23,16,35,49,35.0,70.0,46.0,63.0,72.0,81.0,46.0,62.0,67.0,33.0,7.0,52.0,9.0,61.0,43.0,16.0,37.0,52.0,0.9142857142857144,0.9571428571428572,0.7391304347826086,0.9682539682539684,1.0,0.9506172839506172,0.9565217391304348,0.5967741935483871,0.9701492537313432,0.9393939393939394,0.0,0.9423076923076924,0.8888888888888888,0.9672131147540984,0.5348837209302325,1.0,0.945945945945946,0.9423076923076924,6,13,58.0,18.0,16.0,0.1034482758620689,0.7222222222222222,0.0,19,10.0,60.0,3.1578947368421053,9.599999999999996,70.3,3.7,18.4,8.0,2.1,0.8,1.3,0.1292105537595161,0.63,0.405,0.211,2.5,4.1,W (+25),W (+25)
8.0,8.0,2022-11-04,34-217,MIL,MIN,1.0,32.7,2.0,6.0,0.333,2.0,4.0,0.5,1.0,2.0,0.5,3.0,5.0,8.0,0.0,0.0,1.0,2.0,4.0,7.0,3.9,-2.0,2.0,0.0,0.0,32,67,34,61,72,77,44,37,65,31,49,8,59,23,16,35,49,35.0,70.0,46.0,63.0,72.0,81.0,46.0,62.0,67.0,33.0,7.0,52.0,9.0,61.0,43.0,16.0,37.0,52.0,0.9142857142857144,0.9571428571428572,0.7391304347826086,0.9682539682539684,1.0,0.9506172839506172,0.9565217391304348,0.5967741935483871,0.9701492537313432,0.9393939393939394,0.0,0.9423076923076924,0.8888888888888888,0.9672131147540984,0.5348837209302325,1.0,0.945945945945946,0.9423076923076924,6,13,58.0,18.0,16.0,0.1034482758620689,0.7222222222222222,0.0,19,6.0,78.0,4.105263157894737,3.4999999999999982,93.5,4.921052631578948,18.4,8.0,2.1,0.8,1.3,0.1292105537595161,0.63,0.405,0.211,2.5,4.1,W (+13),W (+13)
9.0,9.0,2022-11-05,34-218,MIL,OKC,1.0,23.7,10.0,16.0,0.625,4.0,9.0,0.444,1.0,1.0,1.0,2.0,1.0,3.0,1.0,1.0,1.0,3.0,3.0,25.0,17.7,13.0,7.0,6.0,0.8571428571428571,32,67,34,61,72,77,44,37,65,31,49,8,59,23,16,35,49,35.0,70.0,46.0,63.0,72.0,81.0,46.0,62.0,67.0,33.0,7.0,52.0,9.0,61.0,43.0,16.0,37.0,52.0,0.9142857142857144,0.9571428571428572,0.7391304347826086,0.9682539682539684,1.0,0.9506172839506172,0.9565217391304348,0.5967741935483871,0.9701492537313432,0.9393939393939394,0.0,0.9423076923076924,0.8888888888888888,0.9672131147540984,0.5348837209302325,1.0,0.945945945945946,0.9423076923076924,6,13,58.0,18.0,16.0,0.1034482758620689,0.7222222222222222,0.0,19,11.0,61.0,3.210526315789474,17.300000000000004,62.399999999999984,3.2842105263157886,18.4,8.0,2.1,0.8,1.3,0.1292105537595161,0.63,0.405,0.211,2.5,4.1,W (+14),W (+14)
10.0,10.0,2022-11-07,34-220,MIL,ATL,1.0,27.83333333333333,4.0,9.0,0.444,3.0,7.0,0.429,0.0,0.0,,1.0,1.0,2.0,0.0,0.0,2.0,1.0,2.0,11.0,6.9,-18.0,2.0,1.0,0.5,32,67,34,61,72,77,44,37,65,31,49,8,59,23,16,35,49,35.0,70.0,46.0,63.0,72.0,81.0,46.0,62.0,67.0,33.0,7.0,52.0,9.0,61.0,43.0,16.0,37.0,52.0,0.9142857142857144,0.9571428571428572,0.7391304347826086,0.9682539682539684,1.0,0.9506172839506172,0.9565217391304348,0.5967741935483871,0.9701492537313432,0.9393939393939394,0.0,0.9423076923076924,0.8888888888888888,0.9672131147540984,0.5348837209302325,1.0,0.945945945945946,0.9423076923076924,6,13,58.0,18.0,16.0,0.1034482758620689,0.7222222222222222,0.0,19,5.0,41.0,2.1578947368421053,6.9,48.6,2.557894736842105,18.4,8.0,2.1,0.8,1.3,0.1292105537595161,0.63,0.405,0.211,2.5,4.1,L (-19),L (-19)
