Rk,G,Date,Age,Tm,Opp,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with A.J. Lawson,Shared Games with Anthony Edwards,Shared Games with Austin Rivers,Shared Games with Bryn Forbes,Shared Games with D'Angelo Russell,Shared Games with Jaden McDaniels,Shared Games with Jaylen Nowell,Shared Games with Josh Minott,Shared Games with Karl-Anthony Towns,Shared Games with Kyle Anderson,Shared Games with Luka Garza,Shared Games with Nathan Knight,Shared Games with Naz Reid,Shared Games with Rudy Gobert,Shared Games with Taurean Prince,Shared Games with Wendell Moore Jr.,A.J. Lawson,Anthony Edwards,Austin Rivers,Bryn Forbes,D'Angelo Russell,Jaden McDaniels,Jaylen Nowell,Josh Minott,Karl-Anthony Towns,Kyle Anderson,Luka Garza,Nathan Knight,Naz Reid,Rudy Gobert,Taurean Prince,Wendell Moore Jr.,co_inf with A.J. Lawson,co_inf with Anthony Edwards,co_inf with Austin Rivers,co_inf with Bryn Forbes,co_inf with D'Angelo Russell,co_inf with Jaden McDaniels,co_inf with Jaylen Nowell,co_inf with Josh Minott,co_inf with Karl-Anthony Towns,co_inf with Kyle Anderson,co_inf with Luka Garza,co_inf with Nathan Knight,co_inf with Naz Reid,co_inf with Rudy Gobert,co_inf with Taurean Prince,co_inf with Wendell Moore Jr.,Shared Games with Matt Ryan,Shared Games with Mike Conley,Shared Games with Nickeil Alexander-Walker,Matt Ryan,Mike Conley,Nickeil Alexander-Walker,Vit Krejci,co_inf with Matt Ryan,co_inf with Mike Conley,co_inf with Nickeil Alexander-Walker,co_inf with Vit Krejci,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS,PER,WS,BPM,OBPM,DBPM,Co_Points_Share,TS%,3PAr,FTr,VORP,OWS,New Column,Result
1.0,1.0,2022-10-19,26-193,MIN,OKC,0,10.933333333333334,2.0,6.0,.333,0.0,3.0,.000,0,0.0,,0.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,4.0,0.2,+7,3.0,2.0,0.6666666666666666,1,41,17,9,20,43,27,8,21,37,10,15,34,39,36,13,15.0,79.0,52.0,25.0,71.0,79.0,65.0,15.0,29.0,69.0,28.0,38.0,68.0,70.0,54.0,29.0,0.0666666666666666,0.5189873417721519,0.3269230769230769,0.36,0.2816901408450704,0.5443037974683544,0.4153846153846154,0.5333333333333333,0.7241379310344828,0.5362318840579711,0.3571428571428571,0.3947368421052631,0.5,0.5571428571428572,0.6666666666666666,0.4482758620689655,5,22,21,34.0,67.0,59.0,29.0,0.1470588235294117,0.3283582089552239,0.3559322033898305,0.0,19,-1.0,74.0,3.8947368421052633,0.2000000000000001,84.9,4.468421052631579,11.8,1.3,-0.7,-1.3,0.6,0.016958078786602,0.526,0.538,0.124,0.2,0.7,W (+7),W (+7)
2.0,2.0,2022-10-21,26-195,MIN,UTA,0,15.033333333333331,2.0,3.0,.667,1.0,2.0,.500,0,0.0,,0.0,4.0,4.0,4.0,0.0,0.0,1.0,1.0,5.0,6.3,+4,1.0,1.0,1.0,1,41,17,9,20,43,27,8,21,37,10,15,34,39,36,13,15.0,79.0,52.0,25.0,71.0,79.0,65.0,15.0,29.0,69.0,28.0,38.0,68.0,70.0,54.0,29.0,0.0666666666666666,0.5189873417721519,0.3269230769230769,0.36,0.2816901408450704,0.5443037974683544,0.4153846153846154,0.5333333333333333,0.7241379310344828,0.5362318840579711,0.3571428571428571,0.3947368421052631,0.5,0.5571428571428572,0.6666666666666666,0.4482758620689655,5,22,21,34.0,67.0,59.0,29.0,0.1470588235294117,0.3283582089552239,0.3559322033898305,0.0,19,9.0,57.0,3.0,6.300000000000001,70.7,3.721052631578948,11.8,1.3,-0.7,-1.3,0.6,0.016958078786602,0.526,0.538,0.124,0.2,0.7,L (-6),L (-6)
3.0,3.0,2022-10-23,26-197,MIN,OKC,0,21.366666666666667,0.0,2.0,.000,0.0,1.0,.000,0,0.0,,2.0,1.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,3.1,+23,1.0,0.0,0.0,1,41,17,9,20,43,27,8,21,37,10,15,34,39,36,13,15.0,79.0,52.0,25.0,71.0,79.0,65.0,15.0,29.0,69.0,28.0,38.0,68.0,70.0,54.0,29.0,0.0666666666666666,0.5189873417721519,0.3269230769230769,0.36,0.2816901408450704,0.5443037974683544,0.4153846153846154,0.5333333333333333,0.7241379310344828,0.5362318840579711,0.3571428571428571,0.3947368421052631,0.5,0.5571428571428572,0.6666666666666666,0.4482758620689655,5,22,21,34.0,67.0,59.0,29.0,0.1470588235294117,0.3283582089552239,0.3559322033898305,0.0,19,5.0,76.0,4.0,3.1,87.29999999999998,4.594736842105262,11.8,1.3,-0.7,-1.3,0.6,0.016958078786602,0.526,0.538,0.124,0.2,0.7,W (+10),W (+10)
4.0,4.0,2022-10-24,26-198,MIN,SAS,0,16.616666666666667,1.0,2.0,.500,0.0,1.0,.000,0,0.0,,0.0,1.0,1.0,4.0,3.0,0.0,2.0,2.0,2.0,4.3,+3,1.0,1.0,1.0,1,41,17,9,20,43,27,8,21,37,10,15,34,39,36,13,15.0,79.0,52.0,25.0,71.0,79.0,65.0,15.0,29.0,69.0,28.0,38.0,68.0,70.0,54.0,29.0,0.0666666666666666,0.5189873417721519,0.3269230769230769,0.36,0.2816901408450704,0.5443037974683544,0.4153846153846154,0.5333333333333333,0.7241379310344828,0.5362318840579711,0.3571428571428571,0.3947368421052631,0.5,0.5571428571428572,0.6666666666666666,0.4482758620689655,5,22,21,34.0,67.0,59.0,29.0,0.1470588235294117,0.3283582089552239,0.3559322033898305,0.0,19,6.0,59.0,3.1052631578947367,4.3,63.59999999999999,3.347368421052631,11.8,1.3,-0.7,-1.3,0.6,0.016958078786602,0.526,0.538,0.124,0.2,0.7,L (-9),L (-9)
5.0,5.0,2022-10-26,26-200,MIN,SAS,0,19.016666666666666,2.0,4.0,.500,0.0,1.0,.000,2,2.0,1.000,0.0,1.0,1.0,5.0,1.0,0.0,0.0,0.0,6.0,8.8,+12,3.0,2.0,0.6666666666666666,1,41,17,9,20,43,27,8,21,37,10,15,34,39,36,13,15.0,79.0,52.0,25.0,71.0,79.0,65.0,15.0,29.0,69.0,28.0,38.0,68.0,70.0,54.0,29.0,0.0666666666666666,0.5189873417721519,0.3269230769230769,0.36,0.2816901408450704,0.5443037974683544,0.4153846153846154,0.5333333333333333,0.7241379310344828,0.5362318840579711,0.3571428571428571,0.3947368421052631,0.5,0.5571428571428572,0.6666666666666666,0.4482758620689655,5,22,21,34.0,67.0,59.0,29.0,0.1470588235294117,0.3283582089552239,0.3559322033898305,0.0,19,7.0,95.0,5.0,8.0,106.0,5.578947368421052,11.8,1.3,-0.7,-1.3,0.6,0.016958078786602,0.526,0.538,0.124,0.2,0.7,W (+12),W (+12)
6.0,,2022-10-28,26-202,MIN,LAL,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,1,41,17,9,20,43,27,8,21,37,10,15,34,39,36,13,15.0,79.0,52.0,25.0,71.0,79.0,65.0,15.0,29.0,69.0,28.0,38.0,68.0,70.0,54.0,29.0,0.0666666666666666,0.5189873417721519,0.3269230769230769,0.36,0.2816901408450704,0.5443037974683544,0.4153846153846154,0.5333333333333333,0.7241379310344828,0.5362318840579711,0.3571428571428571,0.3947368421052631,0.5,0.5571428571428572,0.6666666666666666,0.4482758620689655,5,22,21,34.0,67.0,59.0,29.0,0.1470588235294117,0.3283582089552239,0.3559322033898305,0.0,19,,84.0,4.421052631578948,0.0,100.4,5.28421052631579,11.8,1.3,-0.7,-1.3,0.6,0.016958078786602,0.526,0.538,0.124,0.2,0.7,W (+9),W (+9)
7.0,,2022-10-30,26-204,MIN,SAS,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,1,41,17,9,20,43,27,8,21,37,10,15,34,39,36,13,15.0,79.0,52.0,25.0,71.0,79.0,65.0,15.0,29.0,69.0,28.0,38.0,68.0,70.0,54.0,29.0,0.0666666666666666,0.5189873417721519,0.3269230769230769,0.36,0.2816901408450704,0.5443037974683544,0.4153846153846154,0.5333333333333333,0.7241379310344828,0.5362318840579711,0.3571428571428571,0.3947368421052631,0.5,0.5571428571428572,0.6666666666666666,0.4482758620689655,5,22,21,34.0,67.0,59.0,29.0,0.1470588235294117,0.3283582089552239,0.3559322033898305,0.0,19,,64.0,3.3684210526315788,0.0,78.89999999999999,4.152631578947368,11.8,1.3,-0.7,-1.3,0.6,0.016958078786602,0.526,0.538,0.124,0.2,0.7,L (-9),L (-9)
8.0,6.0,2022-11-01,26-206,MIN,PHO,0,21.7,4.0,8.0,.500,1.0,4.0,.250,0,0.0,,0.0,2.0,2.0,3.0,0.0,0.0,0.0,0.0,9.0,7.7,+6,4.0,3.0,0.75,1,41,17,9,20,43,27,8,21,37,10,15,34,39,36,13,15.0,79.0,52.0,25.0,71.0,79.0,65.0,15.0,29.0,69.0,28.0,38.0,68.0,70.0,54.0,29.0,0.0666666666666666,0.5189873417721519,0.3269230769230769,0.36,0.2816901408450704,0.5443037974683544,0.4153846153846154,0.5333333333333333,0.7241379310344828,0.5362318840579711,0.3571428571428571,0.3947368421052631,0.5,0.5571428571428572,0.6666666666666666,0.4482758620689655,5,22,21,34.0,67.0,59.0,29.0,0.1470588235294117,0.3283582089552239,0.3559322033898305,0.0,19,6.0,65.0,3.421052631578948,7.699999999999999,76.2,4.010526315789474,11.8,1.3,-0.7,-1.3,0.6,0.016958078786602,0.526,0.538,0.124,0.2,0.7,L (-9),L (-9)
9.0,7.0,2022-11-04,26-209,MIN,MIL,0,14.916666666666666,0.0,2.0,.000,0.0,2.0,.000,0,0.0,,0.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,1.6,-2,0.0,0.0,,1,41,17,9,20,43,27,8,21,37,10,15,34,39,36,13,15.0,79.0,52.0,25.0,71.0,79.0,65.0,15.0,29.0,69.0,28.0,38.0,68.0,70.0,54.0,29.0,0.0666666666666666,0.5189873417721519,0.3269230769230769,0.36,0.2816901408450704,0.5443037974683544,0.4153846153846154,0.5333333333333333,0.7241379310344828,0.5362318840579711,0.3571428571428571,0.3947368421052631,0.5,0.5571428571428572,0.6666666666666666,0.4482758620689655,5,22,21,34.0,67.0,59.0,29.0,0.1470588235294117,0.3283582089552239,0.3559322033898305,0.0,19,4.0,61.0,3.210526315789474,1.5999999999999996,69.80000000000001,3.673684210526317,11.8,1.3,-0.7,-1.3,0.6,0.016958078786602,0.526,0.538,0.124,0.2,0.7,L (-13),L (-13)
10.0,8.0,2022-11-05,26-210,MIN,HOU,0,22.4,2.0,3.0,.667,0.0,1.0,.000,2,2.0,1.000,0.0,2.0,2.0,11.0,2.0,0.0,0.0,1.0,6.0,14.6,+8,2.0,2.0,1.0,1,41,17,9,20,43,27,8,21,37,10,15,34,39,36,13,15.0,79.0,52.0,25.0,71.0,79.0,65.0,15.0,29.0,69.0,28.0,38.0,68.0,70.0,54.0,29.0,0.0666666666666666,0.5189873417721519,0.3269230769230769,0.36,0.2816901408450704,0.5443037974683544,0.4153846153846154,0.5333333333333333,0.7241379310344828,0.5362318840579711,0.3571428571428571,0.3947368421052631,0.5,0.5571428571428572,0.6666666666666666,0.4482758620689655,5,22,21,34.0,67.0,59.0,29.0,0.1470588235294117,0.3283582089552239,0.3559322033898305,0.0,19,16.0,83.0,4.368421052631579,13.799999999999995,98.3,5.173684210526315,11.8,1.3,-0.7,-1.3,0.6,0.016958078786602,0.526,0.538,0.124,0.2,0.7,W (+12),W (+12)
