Rk,G,Date,Age,Tm,Opp,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with A.J. Lawson,Shared Games with Anthony Edwards,Shared Games with Austin Rivers,Shared Games with Bryn Forbes,Shared Games with D'Angelo Russell,Shared Games with Jaden McDaniels,Shared Games with Jaylen Nowell,Shared Games with Jordan McLaughlin,Shared Games with Josh Minott,Shared Games with Kyle Anderson,Shared Games with Luka Garza,Shared Games with Nathan Knight,Shared Games with Naz Reid,Shared Games with Rudy Gobert,Shared Games with Taurean Prince,Shared Games with Wendell Moore Jr.,A.J. Lawson,Anthony Edwards,Austin Rivers,Bryn Forbes,D'Angelo Russell,Jaden McDaniels,Jaylen Nowell,Jordan McLaughlin,Josh Minott,Kyle Anderson,Luka Garza,Nathan Knight,Naz Reid,Rudy Gobert,Taurean Prince,Wendell Moore Jr.,co_inf with A.J. Lawson,co_inf with Anthony Edwards,co_inf with Austin Rivers,co_inf with Bryn Forbes,co_inf with D'Angelo Russell,co_inf with Jaden McDaniels,co_inf with Jaylen Nowell,co_inf with Jordan McLaughlin,co_inf with Josh Minott,co_inf with Kyle Anderson,co_inf with Luka Garza,co_inf with Nathan Knight,co_inf with Naz Reid,co_inf with Rudy Gobert,co_inf with Taurean Prince,co_inf with Wendell Moore Jr.,Shared Games with Matt Ryan,Shared Games with Mike Conley,Shared Games with Nickeil Alexander-Walker,Matt Ryan,Mike Conley,Nickeil Alexander-Walker,Vit Krejci,co_inf with Matt Ryan,co_inf with Mike Conley,co_inf with Nickeil Alexander-Walker,co_inf with Vit Krejci,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS,Co_Points_Share,New Column,Result
1.0,1.0,2022-10-19,26-338,MIN,OKC,1.0,35.516666666666666,2.0,10.0,0.2,2.0,7.0,0.286,6.0,6.0,1.0,0.0,6.0,6.0,7.0,0.0,0.0,3.0,4.0,12.0,7.9,-4.0,3.0,0.0,0.0,1,28,11,11,21,27,22,21,2,24,3,11,18,27,25,6,15.0,79.0,52.0,25.0,71.0,79.0,65.0,43.0,15.0,69.0,28.0,38.0,68.0,70.0,54.0,29.0,0.0666666666666666,0.3544303797468354,0.2115384615384615,0.44,0.2957746478873239,0.3417721518987341,0.3384615384615385,0.4883720930232558,0.1333333333333333,0.3478260869565217,0.1071428571428571,0.2894736842105263,0.2647058823529412,0.3857142857142857,0.4629629629629629,0.2068965517241379,1,6,6,34.0,67.0,59.0,29.0,0.0294117647058823,0.0895522388059701,0.1016949152542373,0.0,19,6.0,67.0,3.526315789473684,5.5,79.60000000000001,4.189473684210527,0.0634084685064251,W (+7),W (+7)
2.0,2.0,2022-10-21,26-340,MIN,UTA,1.0,33.333333333333336,9.0,25.0,0.36,2.0,6.0,0.333,7.0,8.0,0.875,4.0,4.0,8.0,2.0,0.0,0.0,5.0,5.0,27.0,11.1,-3.0,19.0,7.0,0.3684210526315789,1,28,11,11,21,27,22,21,2,24,3,11,18,27,25,6,15.0,79.0,52.0,25.0,71.0,79.0,65.0,43.0,15.0,69.0,28.0,38.0,68.0,70.0,54.0,29.0,0.0666666666666666,0.3544303797468354,0.2115384615384615,0.44,0.2957746478873239,0.3417721518987341,0.3384615384615385,0.4883720930232558,0.1333333333333333,0.3478260869565217,0.1071428571428571,0.2894736842105263,0.2647058823529412,0.3857142857142857,0.4629629629629629,0.2068965517241379,1,6,6,34.0,67.0,59.0,29.0,0.0294117647058823,0.0895522388059701,0.1016949152542373,0.0,19,-1.0,67.0,3.526315789473684,8.3,68.7,3.615789473684211,0.0634084685064251,L (-6),L (-6)
3.0,3.0,2022-10-23,26-342,MIN,OKC,1.0,30.33333333333333,5.0,9.0,0.556,1.0,3.0,0.333,4.0,4.0,1.0,1.0,7.0,8.0,5.0,1.0,0.0,3.0,2.0,15.0,14.2,14.0,6.0,4.0,0.6666666666666666,1,28,11,11,21,27,22,21,2,24,3,11,18,27,25,6,15.0,79.0,52.0,25.0,71.0,79.0,65.0,43.0,15.0,69.0,28.0,38.0,68.0,70.0,54.0,29.0,0.0666666666666666,0.3544303797468354,0.2115384615384615,0.44,0.2957746478873239,0.3417721518987341,0.3384615384615385,0.4883720930232558,0.1333333333333333,0.3478260869565217,0.1071428571428571,0.2894736842105263,0.2647058823529412,0.3857142857142857,0.4629629629629629,0.2068965517241379,1,6,6,34.0,67.0,59.0,29.0,0.0294117647058823,0.0895522388059701,0.1016949152542373,0.0,19,13.0,68.0,3.5789473684210527,12.599999999999998,77.80000000000001,4.094736842105264,0.0634084685064251,W (+10),W (+10)
4.0,4.0,2022-10-24,26-343,MIN,SAS,1.0,39.31666666666667,9.0,17.0,0.529,2.0,6.0,0.333,7.0,7.0,1.0,1.0,10.0,11.0,5.0,0.0,0.0,4.0,5.0,27.0,19.9,-4.0,11.0,7.0,0.6363636363636364,1,28,11,11,21,27,22,21,2,24,3,11,18,27,25,6,15.0,79.0,52.0,25.0,71.0,79.0,65.0,43.0,15.0,69.0,28.0,38.0,68.0,70.0,54.0,29.0,0.0666666666666666,0.3544303797468354,0.2115384615384615,0.44,0.2957746478873239,0.3417721518987341,0.3384615384615385,0.4883720930232558,0.1333333333333333,0.3478260869565217,0.1071428571428571,0.2894736842105263,0.2647058823529412,0.3857142857142857,0.4629629629629629,0.2068965517241379,1,6,6,34.0,67.0,59.0,29.0,0.0294117647058823,0.0895522388059701,0.1016949152542373,0.0,19,15.0,50.0,2.631578947368421,17.099999999999998,50.79999999999999,2.673684210526315,0.0634084685064251,L (-9),L (-9)
5.0,5.0,2022-10-26,26-345,MIN,SAS,1.0,37.71666666666667,9.0,14.0,0.643,3.0,5.0,0.6,0.0,0.0,,0.0,4.0,4.0,7.0,2.0,1.0,3.0,3.0,21.0,19.4,5.0,9.0,6.0,0.6666666666666666,1,28,11,11,21,27,22,21,2,24,3,11,18,27,25,6,15.0,79.0,52.0,25.0,71.0,79.0,65.0,43.0,15.0,69.0,28.0,38.0,68.0,70.0,54.0,29.0,0.0666666666666666,0.3544303797468354,0.2115384615384615,0.44,0.2957746478873239,0.3417721518987341,0.3384615384615385,0.4883720930232558,0.1333333333333333,0.3478260869565217,0.1071428571428571,0.2894736842105263,0.2647058823529412,0.3857142857142857,0.4629629629629629,0.2068965517241379,1,6,6,34.0,67.0,59.0,29.0,0.0294117647058823,0.0895522388059701,0.1016949152542373,0.0,19,18.0,84.0,4.421052631578948,19.40000000000001,94.6,4.978947368421053,0.0634084685064251,W (+12),W (+12)
6.0,6.0,2022-10-28,26-347,MIN,LAL,1.0,36.9,8.0,17.0,0.471,3.0,7.0,0.429,2.0,2.0,1.0,2.0,6.0,8.0,7.0,1.0,0.0,2.0,1.0,21.0,19.0,11.0,10.0,5.0,0.5,1,28,11,11,21,27,22,21,2,24,3,11,18,27,25,6,15.0,79.0,52.0,25.0,71.0,79.0,65.0,43.0,15.0,69.0,28.0,38.0,68.0,70.0,54.0,29.0,0.0666666666666666,0.3544303797468354,0.2115384615384615,0.44,0.2957746478873239,0.3417721518987341,0.3384615384615385,0.4883720930232558,0.1333333333333333,0.3478260869565217,0.1071428571428571,0.2894736842105263,0.2647058823529412,0.3857142857142857,0.4629629629629629,0.2068965517241379,1,6,6,34.0,67.0,59.0,29.0,0.0294117647058823,0.0895522388059701,0.1016949152542373,0.0,19,16.0,68.0,3.5789473684210527,18.2,82.19999999999999,4.326315789473684,0.0634084685064251,W (+9),W (+9)
7.0,7.0,2022-10-30,26-349,MIN,SAS,1.0,34.3,10.0,19.0,0.526,1.0,7.0,0.143,5.0,8.0,0.625,3.0,8.0,11.0,4.0,1.0,2.0,3.0,3.0,26.0,21.0,-22.0,12.0,9.0,0.75,1,28,11,11,21,27,22,21,2,24,3,11,18,27,25,6,15.0,79.0,52.0,25.0,71.0,79.0,65.0,43.0,15.0,69.0,28.0,38.0,68.0,70.0,54.0,29.0,0.0666666666666666,0.3544303797468354,0.2115384615384615,0.44,0.2957746478873239,0.3417721518987341,0.3384615384615385,0.4883720930232558,0.1333333333333333,0.3478260869565217,0.1071428571428571,0.2894736842105263,0.2647058823529412,0.3857142857142857,0.4629629629629629,0.2068965517241379,1,6,6,34.0,67.0,59.0,29.0,0.0294117647058823,0.0895522388059701,0.1016949152542373,0.0,19,14.0,50.0,2.631578947368421,19.0,59.89999999999999,3.152631578947368,0.0634084685064251,L (-9),L (-9)
8.0,8.0,2022-11-01,26-351,MIN,PHO,1.0,36.88333333333333,9.0,18.0,0.5,3.0,7.0,0.429,3.0,3.0,1.0,5.0,5.0,10.0,7.0,0.0,1.0,4.0,4.0,24.0,20.0,-12.0,11.0,6.0,0.5454545454545454,1,28,11,11,21,27,22,21,2,24,3,11,18,27,25,6,15.0,79.0,52.0,25.0,71.0,79.0,65.0,43.0,15.0,69.0,28.0,38.0,68.0,70.0,54.0,29.0,0.0666666666666666,0.3544303797468354,0.2115384615384615,0.44,0.2957746478873239,0.3417721518987341,0.3384615384615385,0.4883720930232558,0.1333333333333333,0.3478260869565217,0.1071428571428571,0.2894736842105263,0.2647058823529412,0.3857142857142857,0.4629629629629629,0.2068965517241379,1,6,6,34.0,67.0,59.0,29.0,0.0294117647058823,0.0895522388059701,0.1016949152542373,0.0,19,17.0,54.0,2.8421052631578947,18.8,65.10000000000001,3.426315789473685,0.0634084685064251,L (-9),L (-9)
9.0,9.0,2022-11-04,26-354,MIN,MIL,1.0,37.1,9.0,19.0,0.474,3.0,9.0,0.333,1.0,1.0,1.0,2.0,9.0,11.0,5.0,0.0,0.0,2.0,6.0,22.0,15.5,-17.0,10.0,6.0,0.6,1,28,11,11,21,27,22,21,2,24,3,11,18,27,25,6,15.0,79.0,52.0,25.0,71.0,79.0,65.0,43.0,15.0,69.0,28.0,38.0,68.0,70.0,54.0,29.0,0.0666666666666666,0.3544303797468354,0.2115384615384615,0.44,0.2957746478873239,0.3417721518987341,0.3384615384615385,0.4883720930232558,0.1333333333333333,0.3478260869565217,0.1071428571428571,0.2894736842105263,0.2647058823529412,0.3857142857142857,0.4629629629629629,0.2068965517241379,1,6,6,34.0,67.0,59.0,29.0,0.0294117647058823,0.0895522388059701,0.1016949152542373,0.0,19,16.0,49.0,2.5789473684210527,15.100000000000009,56.3,2.9631578947368418,0.0634084685064251,L (-13),L (-13)
10.0,10.0,2022-11-05,26-355,MIN,HOU,1.0,30.25,9.0,14.0,0.643,3.0,6.0,0.5,4.0,5.0,0.8,3.0,6.0,9.0,6.0,1.0,2.0,3.0,5.0,25.0,23.9,-1.0,8.0,6.0,0.75,1,28,11,11,21,27,22,21,2,24,3,11,18,27,25,6,15.0,79.0,52.0,25.0,71.0,79.0,65.0,43.0,15.0,69.0,28.0,38.0,68.0,70.0,54.0,29.0,0.0666666666666666,0.3544303797468354,0.2115384615384615,0.44,0.2957746478873239,0.3417721518987341,0.3384615384615385,0.4883720930232558,0.1333333333333333,0.3478260869565217,0.1071428571428571,0.2894736842105263,0.2647058823529412,0.3857142857142857,0.4629629629629629,0.2068965517241379,1,6,6,34.0,67.0,59.0,29.0,0.0294117647058823,0.0895522388059701,0.1016949152542373,0.0,19,21.0,78.0,4.105263157894737,22.300000000000004,89.8,4.726315789473684,0.0634084685064251,W (+12),W (+12)
