Rk,G,Date,Age,Tm,Opp,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Anthony Davis,Shared Games with Austin Reaves,Shared Games with Cole Swider,Shared Games with Damian Jones,Shared Games with Dennis Schröder,Shared Games with Juan Toscano-Anderson,Shared Games with Kendrick Nunn,Shared Games with LeBron James,Shared Games with Lonnie Walker IV,Shared Games with Max Christie,Shared Games with Patrick Beverley,Shared Games with Russell Westbrook,Shared Games with Scotty Pippen Jr.,Shared Games with Thomas Bryant,Shared Games with Troy Brown Jr.,Shared Games with Wenyen Gabriel,Anthony Davis,Austin Reaves,Cole Swider,Damian Jones,Dennis Schröder,Juan Toscano-Anderson,Kendrick Nunn,LeBron James,Lonnie Walker IV,Max Christie,Patrick Beverley,Russell Westbrook,Scotty Pippen Jr.,Sterling Brown,Thomas Bryant,Tristan Thompson,Troy Brown Jr.,Wenyen Gabriel,co_inf with Anthony Davis,co_inf with Austin Reaves,co_inf with Cole Swider,co_inf with Damian Jones,co_inf with Dennis Schröder,co_inf with Juan Toscano-Anderson,co_inf with Kendrick Nunn,co_inf with LeBron James,co_inf with Lonnie Walker IV,co_inf with Max Christie,co_inf with Patrick Beverley,co_inf with Russell Westbrook,co_inf with Scotty Pippen Jr.,co_inf with Sterling Brown,co_inf with Thomas Bryant,co_inf with Tristan Thompson,co_inf with Troy Brown Jr.,co_inf with Wenyen Gabriel,Shared Games with Davon Reed,Shared Games with Anthony Edwards,Shared Games with Austin Rivers,Shared Games with Bryn Forbes,Shared Games with Jaden McDaniels,Shared Games with Jaylen Nowell,Shared Games with Jordan McLaughlin,Shared Games with Josh Minott,Shared Games with Karl-Anthony Towns,Shared Games with Kyle Anderson,Shared Games with Luka Garza,Shared Games with Mike Conley,Shared Games with Nathan Knight,Shared Games with Naz Reid,Shared Games with Nickeil Alexander-Walker,Shared Games with Rudy Gobert,Shared Games with Taurean Prince,Shared Games with Wendell Moore Jr.,Anthony Edwards,Austin Rivers,Bryn Forbes,Jaden McDaniels,Jaylen Nowell,Jordan McLaughlin,Josh Minott,Karl-Anthony Towns,Kyle Anderson,Luka Garza,Mike Conley,Nathan Knight,Naz Reid,Nickeil Alexander-Walker,Rudy Gobert,Taurean Prince,Vit Krejci,Wendell Moore Jr.,co_inf with Anthony Edwards,co_inf with Austin Rivers,co_inf with Bryn Forbes,co_inf with Jaden McDaniels,co_inf with Jaylen Nowell,co_inf with Jordan McLaughlin,co_inf with Josh Minott,co_inf with Karl-Anthony Towns,co_inf with Kyle Anderson,co_inf with Luka Garza,co_inf with Mike Conley,co_inf with Nathan Knight,co_inf with Naz Reid,co_inf with Nickeil Alexander-Walker,co_inf with Rudy Gobert,co_inf with Taurean Prince,co_inf with Vit Krejci,co_inf with Wendell Moore Jr.,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS,PER,WS,BPM,OBPM,DBPM,Co_Points_Share,TS%,3PAr,FTr,VORP,OWS,New Column,Result
1.0,1.0,2022-10-18,25-184,LAL,GSW,0,17.816666666666666,1.0,4.0,.250,1.0,3.0,.333,0,0.0,,0.0,1.0,1.0,0.0,1.0,0.0,1.0,2.0,3.0,0.1,+1,1.0,0.0,0.0,12,12,1,8,2,9,11,9,9,8,10,11,2,2,9,11,56.0,64.0,7.0,41.0,66.0,52.0,70.0,55.0,56.0,41.0,67.0,73.0,6.0,4.0,59.0,,76.0,68.0,0.2142857142857142,0.1875,0.1428571428571428,0.1951219512195122,0.0303030303030303,0.173076923076923,0.1571428571428571,0.1636363636363636,0.1607142857142857,0.1951219512195122,0.1492537313432835,0.1506849315068493,0.3333333333333333,0.0,0.0338983050847457,,0.1184210526315789,0.1617647058823529,9,22,19,6,22,20,5,3,1,19,10,2,11,21,2,17,6,11,79.0,52.0,25.0,79.0,65.0,43.0,15.0,29.0,69.0,28.0,67.0,38.0,68.0,59.0,70.0,54.0,29.0,29.0,0.2784810126582278,0.3653846153846153,0.24,0.2784810126582278,0.3076923076923077,0.1162790697674418,0.2,0.0344827586206896,0.2753623188405797,0.3571428571428571,0.0298507462686567,0.2894736842105263,0.3088235294117647,0.0338983050847457,0.2428571428571428,0.1111111111111111,0.0,0.3793103448275862,34,0.0,73.0,2.147058823529412,0.0999999999999994,85.0,2.5,8.1,0.3,-3.4,-1.9,-1.5,0.007899726142827,0.538,0.778,0.111,-0.1,0.1,L (-14),L (-14)
2.0,2.0,2022-10-20,25-186,LAL,LAC,0,12.616666666666667,2.0,4.0,.500,1.0,2.0,.500,0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,5.0,2.9,-2,2.0,1.0,0.5,12,12,1,8,2,9,11,9,9,8,10,11,2,2,9,11,56.0,64.0,7.0,41.0,66.0,52.0,70.0,55.0,56.0,41.0,67.0,73.0,6.0,4.0,59.0,,76.0,68.0,0.2142857142857142,0.1875,0.1428571428571428,0.1951219512195122,0.0303030303030303,0.173076923076923,0.1571428571428571,0.1636363636363636,0.1607142857142857,0.1951219512195122,0.1492537313432835,0.1506849315068493,0.3333333333333333,0.0,0.0338983050847457,,0.1184210526315789,0.1617647058823529,9,22,19,6,22,20,5,3,1,19,10,2,11,21,2,17,6,11,79.0,52.0,25.0,79.0,65.0,43.0,15.0,29.0,69.0,28.0,67.0,38.0,68.0,59.0,70.0,54.0,29.0,29.0,0.2784810126582278,0.3653846153846153,0.24,0.2784810126582278,0.3076923076923077,0.1162790697674418,0.2,0.0344827586206896,0.2753623188405797,0.3571428571428571,0.0298507462686567,0.2894736842105263,0.3088235294117647,0.0338983050847457,0.2428571428571428,0.1111111111111111,0.0,0.3793103448275862,34,2.0,64.0,1.8823529411764703,2.9,74.1,2.179411764705882,8.1,0.3,-3.4,-1.9,-1.5,0.007899726142827,0.538,0.778,0.111,-0.1,0.1,L (-6),L (-6)
3.0,,2022-10-23,25-189,LAL,POR,Did Not Play,0.0,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,12,12,1,8,2,9,11,9,9,8,10,11,2,2,9,11,56.0,64.0,7.0,41.0,66.0,52.0,70.0,55.0,56.0,41.0,67.0,73.0,6.0,4.0,59.0,,76.0,68.0,0.2142857142857142,0.1875,0.1428571428571428,0.1951219512195122,0.0303030303030303,0.173076923076923,0.1571428571428571,0.1636363636363636,0.1607142857142857,0.1951219512195122,0.1492537313432835,0.1506849315068493,0.3333333333333333,0.0,0.0338983050847457,,0.1184210526315789,0.1617647058823529,9,22,19,6,22,20,5,3,1,19,10,2,11,21,2,17,6,11,79.0,52.0,25.0,79.0,65.0,43.0,15.0,29.0,69.0,28.0,67.0,38.0,68.0,59.0,70.0,54.0,29.0,29.0,0.2784810126582278,0.3653846153846153,0.24,0.2784810126582278,0.3076923076923077,0.1162790697674418,0.2,0.0344827586206896,0.2753623188405797,0.3571428571428571,0.0298507462686567,0.2894736842105263,0.3088235294117647,0.0338983050847457,0.2428571428571428,0.1111111111111111,0.0,0.3793103448275862,34,,81.0,2.3823529411764706,0.0,90.4,2.658823529411765,8.1,0.3,-3.4,-1.9,-1.5,0.007899726142827,0.538,0.778,0.111,-0.1,0.1,L (-2),L (-2)
4.0,3.0,2022-10-26,25-192,LAL,DEN,0,8.5,2.0,3.0,.667,2.0,3.0,.667,0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,6.0,3.8,+7,0.0,0.0,,12,12,1,8,2,9,11,9,9,8,10,11,2,2,9,11,56.0,64.0,7.0,41.0,66.0,52.0,70.0,55.0,56.0,41.0,67.0,73.0,6.0,4.0,59.0,,76.0,68.0,0.2142857142857142,0.1875,0.1428571428571428,0.1951219512195122,0.0303030303030303,0.173076923076923,0.1571428571428571,0.1636363636363636,0.1607142857142857,0.1951219512195122,0.1492537313432835,0.1506849315068493,0.3333333333333333,0.0,0.0338983050847457,,0.1184210526315789,0.1617647058823529,9,22,19,6,22,20,5,3,1,19,10,2,11,21,2,17,6,11,79.0,52.0,25.0,79.0,65.0,43.0,15.0,29.0,69.0,28.0,67.0,38.0,68.0,59.0,70.0,54.0,29.0,29.0,0.2784810126582278,0.3653846153846153,0.24,0.2784810126582278,0.3076923076923077,0.1162790697674418,0.2,0.0344827586206896,0.2753623188405797,0.3571428571428571,0.0298507462686567,0.2894736842105263,0.3088235294117647,0.0338983050847457,0.2428571428571428,0.1111111111111111,0.0,0.3793103448275862,34,4.0,61.0,1.7941176470588236,3.8,64.1,1.8852941176470583,8.1,0.3,-3.4,-1.9,-1.5,0.007899726142827,0.538,0.778,0.111,-0.1,0.1,L (-11),L (-11)
5.0,,2022-10-28,25-194,LAL,MIN,Did Not Play,0.0,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,12,12,1,8,2,9,11,9,9,8,10,11,2,2,9,11,56.0,64.0,7.0,41.0,66.0,52.0,70.0,55.0,56.0,41.0,67.0,73.0,6.0,4.0,59.0,,76.0,68.0,0.2142857142857142,0.1875,0.1428571428571428,0.1951219512195122,0.0303030303030303,0.173076923076923,0.1571428571428571,0.1636363636363636,0.1607142857142857,0.1951219512195122,0.1492537313432835,0.1506849315068493,0.3333333333333333,0.0,0.0338983050847457,,0.1184210526315789,0.1617647058823529,9,22,19,6,22,20,5,3,1,19,10,2,11,21,2,17,6,11,79.0,52.0,25.0,79.0,65.0,43.0,15.0,29.0,69.0,28.0,67.0,38.0,68.0,59.0,70.0,54.0,29.0,29.0,0.2784810126582278,0.3653846153846153,0.24,0.2784810126582278,0.3076923076923077,0.1162790697674418,0.2,0.0344827586206896,0.2753623188405797,0.3571428571428571,0.0298507462686567,0.2894736842105263,0.3088235294117647,0.0338983050847457,0.2428571428571428,0.1111111111111111,0.0,0.3793103448275862,34,,102.0,3.0,0.0,114.0,3.3529411764705883,8.1,0.3,-3.4,-1.9,-1.5,0.007899726142827,0.538,0.778,0.111,-0.1,0.1,L (-9),L (-9)
6.0,4.0,2022-10-30,25-196,LAL,DEN,0,12.333333333333334,2.0,4.0,.500,2.0,3.0,.667,0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,3.6,+11,1.0,0.0,0.0,12,12,1,8,2,9,11,9,9,8,10,11,2,2,9,11,56.0,64.0,7.0,41.0,66.0,52.0,70.0,55.0,56.0,41.0,67.0,73.0,6.0,4.0,59.0,,76.0,68.0,0.2142857142857142,0.1875,0.1428571428571428,0.1951219512195122,0.0303030303030303,0.173076923076923,0.1571428571428571,0.1636363636363636,0.1607142857142857,0.1951219512195122,0.1492537313432835,0.1506849315068493,0.3333333333333333,0.0,0.0338983050847457,,0.1184210526315789,0.1617647058823529,9,22,19,6,22,20,5,3,1,19,10,2,11,21,2,17,6,11,79.0,52.0,25.0,79.0,65.0,43.0,15.0,29.0,69.0,28.0,67.0,38.0,68.0,59.0,70.0,54.0,29.0,29.0,0.2784810126582278,0.3653846153846153,0.24,0.2784810126582278,0.3076923076923077,0.1162790697674418,0.2,0.0344827586206896,0.2753623188405797,0.3571428571428571,0.0298507462686567,0.2894736842105263,0.3088235294117647,0.0338983050847457,0.2428571428571428,0.1111111111111111,0.0,0.3793103448275862,34,2.0,82.0,2.411764705882353,3.6,96.8,2.847058823529412,8.1,0.3,-3.4,-1.9,-1.5,0.007899726142827,0.538,0.778,0.111,-0.1,0.1,W (+11),W (+11)
7.0,5.0,2022-11-02,25-199,LAL,NOP,0,18.3,4.0,11.0,.364,3.0,9.0,.333,0,0.0,,1.0,1.0,2.0,1.0,0.0,0.0,1.0,1.0,11.0,5.2,-7,2.0,1.0,0.5,12,12,1,8,2,9,11,9,9,8,10,11,2,2,9,11,56.0,64.0,7.0,41.0,66.0,52.0,70.0,55.0,56.0,41.0,67.0,73.0,6.0,4.0,59.0,,76.0,68.0,0.2142857142857142,0.1875,0.1428571428571428,0.1951219512195122,0.0303030303030303,0.173076923076923,0.1571428571428571,0.1636363636363636,0.1607142857142857,0.1951219512195122,0.1492537313432835,0.1506849315068493,0.3333333333333333,0.0,0.0338983050847457,,0.1184210526315789,0.1617647058823529,9,22,19,6,22,20,5,3,1,19,10,2,11,21,2,17,6,11,79.0,52.0,25.0,79.0,65.0,43.0,15.0,29.0,69.0,28.0,67.0,38.0,68.0,59.0,70.0,54.0,29.0,29.0,0.2784810126582278,0.3653846153846153,0.24,0.2784810126582278,0.3076923076923077,0.1162790697674418,0.2,0.0344827586206896,0.2753623188405797,0.3571428571428571,0.0298507462686567,0.2894736842105263,0.3088235294117647,0.0338983050847457,0.2428571428571428,0.1111111111111111,0.0,0.3793103448275862,34,2.0,62.0,1.8235294117647056,5.199999999999999,73.69999999999999,2.1676470588235293,8.1,0.3,-3.4,-1.9,-1.5,0.007899726142827,0.538,0.778,0.111,-0.1,0.1,W (+3),W (+3)
8.0,6.0,2022-11-04,25-201,LAL,UTA,0,10.016666666666667,1.0,4.0,.250,1.0,3.0,.333,0,0.0,,1.0,3.0,4.0,0.0,0.0,0.0,0.0,1.0,3.0,1.8,-3,1.0,0.0,0.0,12,12,1,8,2,9,11,9,9,8,10,11,2,2,9,11,56.0,64.0,7.0,41.0,66.0,52.0,70.0,55.0,56.0,41.0,67.0,73.0,6.0,4.0,59.0,,76.0,68.0,0.2142857142857142,0.1875,0.1428571428571428,0.1951219512195122,0.0303030303030303,0.173076923076923,0.1571428571428571,0.1636363636363636,0.1607142857142857,0.1951219512195122,0.1492537313432835,0.1506849315068493,0.3333333333333333,0.0,0.0338983050847457,,0.1184210526315789,0.1617647058823529,9,22,19,6,22,20,5,3,1,19,10,2,11,21,2,17,6,11,79.0,52.0,25.0,79.0,65.0,43.0,15.0,29.0,69.0,28.0,67.0,38.0,68.0,59.0,70.0,54.0,29.0,29.0,0.2784810126582278,0.3653846153846153,0.24,0.2784810126582278,0.3076923076923077,0.1162790697674418,0.2,0.0344827586206896,0.2753623188405797,0.3571428571428571,0.0298507462686567,0.2894736842105263,0.3088235294117647,0.0338983050847457,0.2428571428571428,0.1111111111111111,0.0,0.3793103448275862,34,3.0,68.0,2.0,1.8000000000000005,82.10000000000002,2.414705882352942,8.1,0.3,-3.4,-1.9,-1.5,0.007899726142827,0.538,0.778,0.111,-0.1,0.1,L (-14),L (-14)
9.0,7.0,2022-11-06,25-203,LAL,CLE,0,17.033333333333335,2.0,6.0,.333,2.0,3.0,.667,2,3.0,.667,0.0,2.0,2.0,2.0,1.0,0.0,1.0,3.0,8.0,5.0,-7,3.0,0.0,0.0,12,12,1,8,2,9,11,9,9,8,10,11,2,2,9,11,56.0,64.0,7.0,41.0,66.0,52.0,70.0,55.0,56.0,41.0,67.0,73.0,6.0,4.0,59.0,,76.0,68.0,0.2142857142857142,0.1875,0.1428571428571428,0.1951219512195122,0.0303030303030303,0.173076923076923,0.1571428571428571,0.1636363636363636,0.1607142857142857,0.1951219512195122,0.1492537313432835,0.1506849315068493,0.3333333333333333,0.0,0.0338983050847457,,0.1184210526315789,0.1617647058823529,9,22,19,6,22,20,5,3,1,19,10,2,11,21,2,17,6,11,79.0,52.0,25.0,79.0,65.0,43.0,15.0,29.0,69.0,28.0,67.0,38.0,68.0,59.0,70.0,54.0,29.0,29.0,0.2784810126582278,0.3653846153846153,0.24,0.2784810126582278,0.3076923076923077,0.1162790697674418,0.2,0.0344827586206896,0.2753623188405797,0.3571428571428571,0.0298507462686567,0.2894736842105263,0.3088235294117647,0.0338983050847457,0.2428571428571428,0.1111111111111111,0.0,0.3793103448275862,34,3.0,62.0,1.8235294117647056,4.200000000000001,67.2,1.9764705882352944,8.1,0.3,-3.4,-1.9,-1.5,0.007899726142827,0.538,0.778,0.111,-0.1,0.1,L (-14),L (-14)
10.0,8.0,2022-11-07,25-204,LAL,UTA,0,17.8,0.0,4.0,.000,0.0,3.0,.000,2,2.0,1.000,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,-0.9,-10,1.0,0.0,0.0,12,12,1,8,2,9,11,9,9,8,10,11,2,2,9,11,56.0,64.0,7.0,41.0,66.0,52.0,70.0,55.0,56.0,41.0,67.0,73.0,6.0,4.0,59.0,,76.0,68.0,0.2142857142857142,0.1875,0.1428571428571428,0.1951219512195122,0.0303030303030303,0.173076923076923,0.1571428571428571,0.1636363636363636,0.1607142857142857,0.1951219512195122,0.1492537313432835,0.1506849315068493,0.3333333333333333,0.0,0.0338983050847457,,0.1184210526315789,0.1617647058823529,9,22,19,6,22,20,5,3,1,19,10,2,11,21,2,17,6,11,79.0,52.0,25.0,79.0,65.0,43.0,15.0,29.0,69.0,28.0,67.0,38.0,68.0,59.0,70.0,54.0,29.0,29.0,0.2784810126582278,0.3653846153846153,0.24,0.2784810126582278,0.3076923076923077,0.1162790697674418,0.2,0.0344827586206896,0.2753623188405797,0.3571428571428571,0.0298507462686567,0.2894736842105263,0.3088235294117647,0.0338983050847457,0.2428571428571428,0.1111111111111111,0.0,0.3793103448275862,34,-3.0,102.0,3.0,-1.7000000000000002,113.79999999999998,3.3470588235294114,8.1,0.3,-3.4,-1.9,-1.5,0.007899726142827,0.538,0.778,0.111,-0.1,0.1,L (-23),L (-23)
