Rk,G,Date,Age,Tm,Opp,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Brandon Ingram,Shared Games with CJ McCollum,Shared Games with Dereon Seabron,Shared Games with Devonte' Graham,Shared Games with Dyson Daniels,Shared Games with Garrett Temple,Shared Games with Herbert Jones,Shared Games with Jaxson Hayes,Shared Games with Jonas Valančiūnas,Shared Games with Jose Alvarado,Shared Games with Larry Nance Jr.,Shared Games with Naji Marshall,Shared Games with Trey Murphy III,Shared Games with Willy Hernangómez,Shared Games with Zion Williamson,Brandon Ingram,CJ McCollum,Dereon Seabron,Devonte' Graham,Dyson Daniels,Garrett Temple,Herbert Jones,Jaxson Hayes,Jonas Valančiūnas,Jose Alvarado,Larry Nance Jr.,Naji Marshall,Trey Murphy III,Willy Hernangómez,Zion Williamson,co_inf with Brandon Ingram,co_inf with CJ McCollum,co_inf with Dereon Seabron,co_inf with Devonte' Graham,co_inf with Dyson Daniels,co_inf with Garrett Temple,co_inf with Herbert Jones,co_inf with Jaxson Hayes,co_inf with Jonas Valančiūnas,co_inf with Jose Alvarado,co_inf with Larry Nance Jr.,co_inf with Naji Marshall,co_inf with Trey Murphy III,co_inf with Willy Hernangómez,co_inf with Zion Williamson,Shared Games with Josh Richardson,Al Horford,Josh Richardson,co_inf with Al Horford,co_inf with Josh Richardson,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS,Co_Points_Share,New Column,Result
1.0,,2022-10-19,21-196,NOP,BRK,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,15,22,3,8,16,13,22,22,22,15,19,25,24,14,1,45.0,75.0,5.0,73.0,59.0,25.0,66.0,47.0,79.0,61.0,65.0,77.0,79.0,38.0,29.0,0.3333333333333333,0.2933333333333333,0.6,0.1095890410958904,0.2711864406779661,0.52,0.3333333333333333,0.4680851063829787,0.2784810126582278,0.2459016393442623,0.2923076923076923,0.3246753246753247,0.3037974683544304,0.3684210526315789,0.0344827586206896,12,63.0,65.0,0.0,0.1846153846153846,16,,100.0,6.25,0.0,105.9,6.61875,0.0121561100447856,W (+22),W (+22)
2.0,,2022-10-21,21-198,NOP,CHO,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,15,22,3,8,16,13,22,22,22,15,19,25,24,14,1,45.0,75.0,5.0,73.0,59.0,25.0,66.0,47.0,79.0,61.0,65.0,77.0,79.0,38.0,29.0,0.3333333333333333,0.2933333333333333,0.6,0.1095890410958904,0.2711864406779661,0.52,0.3333333333333333,0.4680851063829787,0.2784810126582278,0.2459016393442623,0.2923076923076923,0.3246753246753247,0.3037974683544304,0.3684210526315789,0.0344827586206896,12,63.0,65.0,0.0,0.1846153846153846,16,,92.0,5.75,0.0,110.40000000000002,6.900000000000001,0.0121561100447856,W (+12),W (+12)
3.0,,2022-10-23,21-200,NOP,UTA,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,15,22,3,8,16,13,22,22,22,15,19,25,24,14,1,45.0,75.0,5.0,73.0,59.0,25.0,66.0,47.0,79.0,61.0,65.0,77.0,79.0,38.0,29.0,0.3333333333333333,0.2933333333333333,0.6,0.1095890410958904,0.2711864406779661,0.52,0.3333333333333333,0.4680851063829787,0.2784810126582278,0.2459016393442623,0.2923076923076923,0.3246753246753247,0.3037974683544304,0.3684210526315789,0.0344827586206896,12,63.0,65.0,0.0,0.1846153846153846,16,,69.0,4.3125,0.0,89.99999999999999,5.624999999999999,0.0121561100447856,L (-1),L (-1)
4.0,,2022-10-25,21-202,NOP,DAL,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,15,22,3,8,16,13,22,22,22,15,19,25,24,14,1,45.0,75.0,5.0,73.0,59.0,25.0,66.0,47.0,79.0,61.0,65.0,77.0,79.0,38.0,29.0,0.3333333333333333,0.2933333333333333,0.6,0.1095890410958904,0.2711864406779661,0.52,0.3333333333333333,0.4680851063829787,0.2784810126582278,0.2459016393442623,0.2923076923076923,0.3246753246753247,0.3037974683544304,0.3684210526315789,0.0344827586206896,12,63.0,65.0,0.0,0.1846153846153846,16,,78.0,4.875,0.0,83.1,5.19375,0.0121561100447856,W (+2),W (+2)
5.0,,2022-10-28,21-205,NOP,PHO,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,15,22,3,8,16,13,22,22,22,15,19,25,24,14,1,45.0,75.0,5.0,73.0,59.0,25.0,66.0,47.0,79.0,61.0,65.0,77.0,79.0,38.0,29.0,0.3333333333333333,0.2933333333333333,0.6,0.1095890410958904,0.2711864406779661,0.52,0.3333333333333333,0.4680851063829787,0.2784810126582278,0.2459016393442623,0.2923076923076923,0.3246753246753247,0.3037974683544304,0.3684210526315789,0.0344827586206896,12,63.0,65.0,0.0,0.1846153846153846,16,,81.0,5.0625,0.0,85.3,5.33125,0.0121561100447856,L (-13),L (-13)
6.0,,2022-10-30,21-207,NOP,LAC,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,15,22,3,8,16,13,22,22,22,15,19,25,24,14,1,45.0,75.0,5.0,73.0,59.0,25.0,66.0,47.0,79.0,61.0,65.0,77.0,79.0,38.0,29.0,0.3333333333333333,0.2933333333333333,0.6,0.1095890410958904,0.2711864406779661,0.52,0.3333333333333333,0.4680851063829787,0.2784810126582278,0.2459016393442623,0.2923076923076923,0.3246753246753247,0.3037974683544304,0.3684210526315789,0.0344827586206896,12,63.0,65.0,0.0,0.1846153846153846,16,,96.0,6.0,0.0,95.7,5.98125,0.0121561100447856,W (+21),W (+21)
7.0,,2022-11-02,21-210,NOP,LAL,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,15,22,3,8,16,13,22,22,22,15,19,25,24,14,1,45.0,75.0,5.0,73.0,59.0,25.0,66.0,47.0,79.0,61.0,65.0,77.0,79.0,38.0,29.0,0.3333333333333333,0.2933333333333333,0.6,0.1095890410958904,0.2711864406779661,0.52,0.3333333333333333,0.4680851063829787,0.2784810126582278,0.2459016393442623,0.2923076923076923,0.3246753246753247,0.3037974683544304,0.3684210526315789,0.0344827586206896,12,63.0,65.0,0.0,0.1846153846153846,16,,95.0,5.9375,0.0,91.7,5.73125,0.0121561100447856,L (-3),L (-3)
8.0,,2022-11-04,21-212,NOP,GSW,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,15,22,3,8,16,13,22,22,22,15,19,25,24,14,1,45.0,75.0,5.0,73.0,59.0,25.0,66.0,47.0,79.0,61.0,65.0,77.0,79.0,38.0,29.0,0.3333333333333333,0.2933333333333333,0.6,0.1095890410958904,0.2711864406779661,0.52,0.3333333333333333,0.4680851063829787,0.2784810126582278,0.2459016393442623,0.2923076923076923,0.3246753246753247,0.3037974683544304,0.3684210526315789,0.0344827586206896,12,63.0,65.0,0.0,0.1846153846153846,16,,69.0,4.3125,0.0,83.3,5.20625,0.0121561100447856,W (+9),W (+9)
9.0,,2022-11-05,21-213,NOP,ATL,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,15,22,3,8,16,13,22,22,22,15,19,25,24,14,1,45.0,75.0,5.0,73.0,59.0,25.0,66.0,47.0,79.0,61.0,65.0,77.0,79.0,38.0,29.0,0.3333333333333333,0.2933333333333333,0.6,0.1095890410958904,0.2711864406779661,0.52,0.3333333333333333,0.4680851063829787,0.2784810126582278,0.2459016393442623,0.2923076923076923,0.3246753246753247,0.3037974683544304,0.3684210526315789,0.0344827586206896,12,63.0,65.0,0.0,0.1846153846153846,16,,60.0,3.75,0.0,79.99999999999999,4.999999999999999,0.0121561100447856,L (-3),L (-3)
10.0,,2022-11-07,21-215,NOP,IND,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,15,22,3,8,16,13,22,22,22,15,19,25,24,14,1,45.0,75.0,5.0,73.0,59.0,25.0,66.0,47.0,79.0,61.0,65.0,77.0,79.0,38.0,29.0,0.3333333333333333,0.2933333333333333,0.6,0.1095890410958904,0.2711864406779661,0.52,0.3333333333333333,0.4680851063829787,0.2784810126582278,0.2459016393442623,0.2923076923076923,0.3246753246753247,0.3037974683544304,0.3684210526315789,0.0344827586206896,12,63.0,65.0,0.0,0.1846153846153846,16,,100.0,6.25,0.0,93.4,5.8375,0.0121561100447856,L (-7),L (-7)
