Rk,G,Date,Age,Tm,Opp,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Bismack Biyombo,Shared Games with Cameron Johnson,Shared Games with Cameron Payne,Shared Games with Chris Paul,Shared Games with Damion Lee,Shared Games with Dario Šarić,Shared Games with Deandre Ayton,Shared Games with Devin Booker,Shared Games with Ish Wainright,Shared Games with Jock Landale,Shared Games with Josh Okogie,Shared Games with Landry Shamet,Shared Games with Mikal Bridges,Shared Games with Torrey Craig,Bismack Biyombo,Cameron Johnson,Cameron Payne,Chris Paul,Damion Lee,Dario Šarić,Deandre Ayton,Devin Booker,Ish Wainright,Jae Crowder,Jock Landale,Josh Okogie,Landry Shamet,Mikal Bridges,Torrey Craig,co_inf with Bismack Biyombo,co_inf with Cameron Johnson,co_inf with Cameron Payne,co_inf with Chris Paul,co_inf with Damion Lee,co_inf with Dario Šarić,co_inf with Deandre Ayton,co_inf with Devin Booker,co_inf with Ish Wainright,co_inf with Jae Crowder,co_inf with Jock Landale,co_inf with Josh Okogie,co_inf with Landry Shamet,co_inf with Mikal Bridges,co_inf with Torrey Craig,Shared Games with Kevin Durant,Shared Games with T.J. Warren,Blake Griffin,DaQuan Jeffries,Derrick Rose,Evan Fournier,Feron Hunt,Immanuel Quickley,Isaiah Hartenstein,Isaiah Roby,Jalen Brunson,Jericho Sims,Josh Hart,Julius Randle,Miles McBride,Mitchell Robinson,Obi Toppin,Quentin Grimes,RJ Barrett,Trevor Keels,co_inf with Blake Griffin,co_inf with DaQuan Jeffries,co_inf with Derrick Rose,co_inf with Evan Fournier,co_inf with Feron Hunt,co_inf with Immanuel Quickley,co_inf with Isaiah Hartenstein,co_inf with Isaiah Roby,co_inf with Jalen Brunson,co_inf with Jericho Sims,co_inf with Josh Hart,co_inf with Julius Randle,co_inf with Miles McBride,co_inf with Mitchell Robinson,co_inf with Obi Toppin,co_inf with Quentin Grimes,co_inf with RJ Barrett,co_inf with Trevor Keels,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS,Co_Points_Share,New Column,Result
1.0,,2022-10-19,22-209,PHO,DAL,Did Not Play,0.0,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,24,6,16,14,31,18,26,15,23,25,26,14,31,30,61.0,42.0,48.0,59.0,74.0,57.0,67.0,53.0,60.0,18.0,69.0,72.0,40.0,83.0,79.0,0.3934426229508196,0.1428571428571428,0.3333333333333333,0.2372881355932203,0.4189189189189189,0.3157894736842105,0.3880597014925373,0.2830188679245283,0.3833333333333333,0.0,0.3623188405797101,0.3611111111111111,0.35,0.3734939759036144,0.379746835443038,12,8,41.0,,27.0,27.0,,81.0,82.0,42.0,68.0,52.0,76.0,77.0,64.0,59.0,67.0,71.0,73.0,3.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,,79.0,4.9375,0.0,0,0.0,0.0261830668526665,W (+2),W (+2)
2.0,,2022-10-21,22-211,PHO,POR,Did Not Play,0.0,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,24,6,16,14,31,18,26,15,23,25,26,14,31,30,61.0,42.0,48.0,59.0,74.0,57.0,67.0,53.0,60.0,18.0,69.0,72.0,40.0,83.0,79.0,0.3934426229508196,0.1428571428571428,0.3333333333333333,0.2372881355932203,0.4189189189189189,0.3157894736842105,0.3880597014925373,0.2830188679245283,0.3833333333333333,0.0,0.3623188405797101,0.3611111111111111,0.35,0.3734939759036144,0.379746835443038,12,8,41.0,,27.0,27.0,,81.0,82.0,42.0,68.0,52.0,76.0,77.0,64.0,59.0,67.0,71.0,73.0,3.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,,94.0,5.875,0.0,0,0.0,0.0261830668526665,L (-2),L (-2)
3.0,1.0,2022-10-23,22-213,PHO,LAC,0,1.2333333333333334,0.0,1.0,.000,0.0,0.0,,0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7,+2,1.0,0.0,0.0,24,6,16,14,31,18,26,15,23,25,26,14,31,30,61.0,42.0,48.0,59.0,74.0,57.0,67.0,53.0,60.0,18.0,69.0,72.0,40.0,83.0,79.0,0.3934426229508196,0.1428571428571428,0.3333333333333333,0.2372881355932203,0.4189189189189189,0.3157894736842105,0.3880597014925373,0.2830188679245283,0.3833333333333333,0.0,0.3623188405797101,0.3611111111111111,0.35,0.3734939759036144,0.379746835443038,12,8,41.0,,27.0,27.0,,81.0,82.0,42.0,68.0,52.0,76.0,77.0,64.0,59.0,67.0,71.0,73.0,3.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,-1.0,93.0,5.8125,-0.7,0,0.0,0.0261830668526665,W (+17),W (+17)
4.0,,2022-10-25,22-215,PHO,GSW,Did Not Play,0.0,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,24,6,16,14,31,18,26,15,23,25,26,14,31,30,61.0,42.0,48.0,59.0,74.0,57.0,67.0,53.0,60.0,18.0,69.0,72.0,40.0,83.0,79.0,0.3934426229508196,0.1428571428571428,0.3333333333333333,0.2372881355932203,0.4189189189189189,0.3157894736842105,0.3880597014925373,0.2830188679245283,0.3833333333333333,0.0,0.3623188405797101,0.3611111111111111,0.35,0.3734939759036144,0.379746835443038,12,8,41.0,,27.0,27.0,,81.0,82.0,42.0,68.0,52.0,76.0,77.0,64.0,59.0,67.0,71.0,73.0,3.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,,102.0,6.375,0.0,0,0.0,0.0261830668526665,W (+29),W (+29)
5.0,2.0,2022-10-28,22-218,PHO,NOP,0,1.6333333333333333,1.0,3.0,.333,0.0,2.0,.000,0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.3,-1,1.0,1.0,1.0,24,6,16,14,31,18,26,15,23,25,26,14,31,30,61.0,42.0,48.0,59.0,74.0,57.0,67.0,53.0,60.0,18.0,69.0,72.0,40.0,83.0,79.0,0.3934426229508196,0.1428571428571428,0.3333333333333333,0.2372881355932203,0.4189189189189189,0.3157894736842105,0.3880597014925373,0.2830188679245283,0.3833333333333333,0.0,0.3623188405797101,0.3611111111111111,0.35,0.3734939759036144,0.379746835443038,12,8,41.0,,27.0,27.0,,81.0,82.0,42.0,68.0,52.0,76.0,77.0,64.0,59.0,67.0,71.0,73.0,3.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,-1.0,76.0,4.75,0.3000000000000002,0,0.0,0.0261830668526665,W (+13),W (+13)
6.0,3.0,2022-10-30,22-220,PHO,HOU,0,1.0166666666666666,0.0,0.0,,0.0,0.0,,0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,,24,6,16,14,31,18,26,15,23,25,26,14,31,30,61.0,42.0,48.0,59.0,74.0,57.0,67.0,53.0,60.0,18.0,69.0,72.0,40.0,83.0,79.0,0.3934426229508196,0.1428571428571428,0.3333333333333333,0.2372881355932203,0.4189189189189189,0.3157894736842105,0.3880597014925373,0.2830188679245283,0.3833333333333333,0.0,0.3623188405797101,0.3611111111111111,0.35,0.3734939759036144,0.379746835443038,12,8,41.0,,27.0,27.0,,81.0,82.0,42.0,68.0,52.0,76.0,77.0,64.0,59.0,67.0,71.0,73.0,3.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,0.0,75.0,4.6875,0.0,0,0.0,0.0261830668526665,W (+15),W (+15)
7.0,,2022-11-01,22-222,PHO,MIN,Did Not Play,0.0,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,24,6,16,14,31,18,26,15,23,25,26,14,31,30,61.0,42.0,48.0,59.0,74.0,57.0,67.0,53.0,60.0,18.0,69.0,72.0,40.0,83.0,79.0,0.3934426229508196,0.1428571428571428,0.3333333333333333,0.2372881355932203,0.4189189189189189,0.3157894736842105,0.3880597014925373,0.2830188679245283,0.3833333333333333,0.0,0.3623188405797101,0.3611111111111111,0.35,0.3734939759036144,0.379746835443038,12,8,41.0,,27.0,27.0,,81.0,82.0,42.0,68.0,52.0,76.0,77.0,64.0,59.0,67.0,71.0,73.0,3.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,,65.0,4.0625,0.0,0,0.0,0.0261830668526665,W (+9),W (+9)
8.0,,2022-11-04,22-225,PHO,POR,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,24,6,16,14,31,18,26,15,23,25,26,14,31,30,61.0,42.0,48.0,59.0,74.0,57.0,67.0,53.0,60.0,18.0,69.0,72.0,40.0,83.0,79.0,0.3934426229508196,0.1428571428571428,0.3333333333333333,0.2372881355932203,0.4189189189189189,0.3157894736842105,0.3880597014925373,0.2830188679245283,0.3833333333333333,0.0,0.3623188405797101,0.3611111111111111,0.35,0.3734939759036144,0.379746835443038,12,8,41.0,,27.0,27.0,,81.0,82.0,42.0,68.0,52.0,76.0,77.0,64.0,59.0,67.0,71.0,73.0,3.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,,67.0,4.1875,0.0,0,0.0,0.0261830668526665,L (-2),L (-2)
9.0,4.0,2022-11-05,22-226,PHO,POR,0,5.433333333333334,1.0,5.0,.200,0.0,2.0,.000,0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,-2.1,-9,3.0,1.0,0.3333333333333333,24,6,16,14,31,18,26,15,23,25,26,14,31,30,61.0,42.0,48.0,59.0,74.0,57.0,67.0,53.0,60.0,18.0,69.0,72.0,40.0,83.0,79.0,0.3934426229508196,0.1428571428571428,0.3333333333333333,0.2372881355932203,0.4189189189189189,0.3157894736842105,0.3880597014925373,0.2830188679245283,0.3833333333333333,0.0,0.3623188405797101,0.3611111111111111,0.35,0.3734939759036144,0.379746835443038,12,8,41.0,,27.0,27.0,,81.0,82.0,42.0,68.0,52.0,76.0,77.0,64.0,59.0,67.0,71.0,73.0,3.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,-4.0,90.0,5.625,-2.1,0,0.0,0.0261830668526665,W (+20),W (+20)
10.0,,2022-11-07,22-228,PHO,PHI,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,24,6,16,14,31,18,26,15,23,25,26,14,31,30,61.0,42.0,48.0,59.0,74.0,57.0,67.0,53.0,60.0,18.0,69.0,72.0,40.0,83.0,79.0,0.3934426229508196,0.1428571428571428,0.3333333333333333,0.2372881355932203,0.4189189189189189,0.3157894736842105,0.3880597014925373,0.2830188679245283,0.3833333333333333,0.0,0.3623188405797101,0.3611111111111111,0.35,0.3734939759036144,0.379746835443038,12,8,41.0,,27.0,27.0,,81.0,82.0,42.0,68.0,52.0,76.0,77.0,64.0,59.0,67.0,71.0,73.0,3.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,,93.0,5.8125,0.0,0,0.0,0.0261830668526665,L (-12),L (-12)
