Unnamed: 0,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Aaron Wiggins,Shared Games with Aleksej Pokusevski,Shared Games with Chet Holmgren,Shared Games with Darius Bazley,Shared Games with Eugene Omoruyi,Shared Games with Isaiah Joe,Shared Games with Jalen Williams,Shared Games with Jared Butler,Shared Games with Jaylin Williams,Shared Games with Jeremiah Robinson-Earl,Shared Games with Josh Giddey,Shared Games with Kenrich Williams,Shared Games with Lindy Waters III,Shared Games with Luguentz Dort,Shared Games with Ousmane Dieng,Shared Games with Shai Gilgeous-Alexander,Shared Games with Tre Mann,Aaron Wiggins,Aleksej Pokusevski,Chet Holmgren,Darius Bazley,Eugene Omoruyi,Isaiah Joe,Jalen Williams,Jared Butler,Jaylin Williams,Jeremiah Robinson-Earl,Josh Giddey,Kenrich Williams,Lindy Waters III,Luguentz Dort,Ousmane Dieng,Shai Gilgeous-Alexander,Tre Mann,co_inf with Aaron Wiggins,co_inf with Aleksej Pokusevski,co_inf with Chet Holmgren,co_inf with Darius Bazley,co_inf with Eugene Omoruyi,co_inf with Isaiah Joe,co_inf with Jalen Williams,co_inf with Jared Butler,co_inf with Jaylin Williams,co_inf with Jeremiah Robinson-Earl,co_inf with Josh Giddey,co_inf with Kenrich Williams,co_inf with Lindy Waters III,co_inf with Luguentz Dort,co_inf with Ousmane Dieng,co_inf with Shai Gilgeous-Alexander,co_inf with Tre Mann
0,1,1,2022-10-19,31-110,OKC,@,MIN,L (-7),0,7.5,1.0,4.0,.250,0.0,3.0,.000,0,0,,0,3,3,1,0,0,1,0,2,0.2,-2,1.0,1.0,1.0,37,21,0,27,18,37,39,0,20,17,38,38,19,36,14,40,39,70.0,34.0,,43.0,40.0,73.0,75.0,6.0,49.0,43.0,76.0,53.0,41.0,74.0,39.0,68.0,67.0,0.5285714285714286,0.6176470588235294,,0.627906976744186,0.45,0.5068493150684932,0.52,0.0,0.4081632653061224,0.3953488372093023,0.5,0.7169811320754716,0.4634146341463415,0.4864864864864865,0.358974358974359,0.5882352941176471,0.582089552238806
1,2,2,2022-10-22,31-113,OKC,@,DEN,L (-5),0,18.8,6.0,10.0,.600,4.0,7.0,.571,2,2,1.000,0,6,6,1,0,0,0,3,18,14.7,+7,3.0,2.0,0.6666666666666666,37,21,0,27,18,37,39,0,20,17,38,38,19,36,14,40,39,70.0,34.0,,43.0,40.0,73.0,75.0,6.0,49.0,43.0,76.0,53.0,41.0,74.0,39.0,68.0,67.0,0.5285714285714286,0.6176470588235294,,0.627906976744186,0.45,0.5068493150684932,0.52,0.0,0.4081632653061224,0.3953488372093023,0.5,0.7169811320754716,0.4634146341463415,0.4864864864864865,0.358974358974359,0.5882352941176471,0.582089552238806
2,3,3,2022-10-23,31-114,OKC,,MIN,L (-10),0,11.266666666666667,4.0,6.0,.667,1.0,3.0,.333,2,2,1.000,1,8,9,0,0,1,0,1,11,11.8,+10,3.0,3.0,1.0,37,21,0,27,18,37,39,0,20,17,38,38,19,36,14,40,39,70.0,34.0,,43.0,40.0,73.0,75.0,6.0,49.0,43.0,76.0,53.0,41.0,74.0,39.0,68.0,67.0,0.5285714285714286,0.6176470588235294,,0.627906976744186,0.45,0.5068493150684932,0.52,0.0,0.4081632653061224,0.3953488372093023,0.5,0.7169811320754716,0.4634146341463415,0.4864864864864865,0.358974358974359,0.5882352941176471,0.582089552238806
3,4,4,2022-10-25,31-116,OKC,,LAC,W (+14),0,17.983333333333334,4.0,5.0,.800,0.0,0.0,,0,0,,5,5,10,2,0,1,0,2,8,12.4,+8,5.0,4.0,0.8,37,21,0,27,18,37,39,0,20,17,38,38,19,36,14,40,39,70.0,34.0,,43.0,40.0,73.0,75.0,6.0,49.0,43.0,76.0,53.0,41.0,74.0,39.0,68.0,67.0,0.5285714285714286,0.6176470588235294,,0.627906976744186,0.45,0.5068493150684932,0.52,0.0,0.4081632653061224,0.3953488372093023,0.5,0.7169811320754716,0.4634146341463415,0.4864864864864865,0.358974358974359,0.5882352941176471,0.582089552238806
4,5,5,2022-10-27,31-118,OKC,,LAC,W (+8),0,11.666666666666666,1.0,3.0,.333,0.0,1.0,.000,3,4,.750,0,1,1,1,0,0,0,0,5,3.9,-6,2.0,1.0,0.5,37,21,0,27,18,37,39,0,20,17,38,38,19,36,14,40,39,70.0,34.0,,43.0,40.0,73.0,75.0,6.0,49.0,43.0,76.0,53.0,41.0,74.0,39.0,68.0,67.0,0.5285714285714286,0.6176470588235294,,0.627906976744186,0.45,0.5068493150684932,0.52,0.0,0.4081632653061224,0.3953488372093023,0.5,0.7169811320754716,0.4634146341463415,0.4864864864864865,0.358974358974359,0.5882352941176471,0.582089552238806
5,6,6,2022-10-29,31-120,OKC,@,DAL,W (+6),0,11.55,0.0,3.0,.000,0.0,2.0,.000,2,2,1.000,0,2,2,0,0,0,2,2,2,-2.3,+10,1.0,0.0,0.0,37,21,0,27,18,37,39,0,20,17,38,38,19,36,14,40,39,70.0,34.0,,43.0,40.0,73.0,75.0,6.0,49.0,43.0,76.0,53.0,41.0,74.0,39.0,68.0,67.0,0.5285714285714286,0.6176470588235294,,0.627906976744186,0.45,0.5068493150684932,0.52,0.0,0.4081632653061224,0.3953488372093023,0.5,0.7169811320754716,0.4634146341463415,0.4864864864864865,0.358974358974359,0.5882352941176471,0.582089552238806
6,7,,2022-11-01,31-123,OKC,,ORL,W (+8),Did Not Play,0.0,,,Did Not Play,,,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,,,,37,21,0,27,18,37,39,0,20,17,38,38,19,36,14,40,39,70.0,34.0,,43.0,40.0,73.0,75.0,6.0,49.0,43.0,76.0,53.0,41.0,74.0,39.0,68.0,67.0,0.5285714285714286,0.6176470588235294,,0.627906976744186,0.45,0.5068493150684932,0.52,0.0,0.4081632653061224,0.3953488372093023,0.5,0.7169811320754716,0.4634146341463415,0.4864864864864865,0.358974358974359,0.5882352941176471,0.582089552238806
7,8,7,2022-11-03,31-125,OKC,,DEN,L (-12),0,12.85,0.0,3.0,.000,0.0,2.0,.000,0,0,,0,2,2,0,0,0,0,3,0,-2.7,+7,1.0,0.0,0.0,37,21,0,27,18,37,39,0,20,17,38,38,19,36,14,40,39,70.0,34.0,,43.0,40.0,73.0,75.0,6.0,49.0,43.0,76.0,53.0,41.0,74.0,39.0,68.0,67.0,0.5285714285714286,0.6176470588235294,,0.627906976744186,0.45,0.5068493150684932,0.52,0.0,0.4081632653061224,0.3953488372093023,0.5,0.7169811320754716,0.4634146341463415,0.4864864864864865,0.358974358974359,0.5882352941176471,0.582089552238806
8,9,8,2022-11-05,31-127,OKC,@,MIL,L (-14),1,16.533333333333335,3.0,8.0,.375,1.0,6.0,.167,2,4,.500,0,5,5,0,0,0,1,1,9,3.9,-5,2.0,2.0,1.0,37,21,0,27,18,37,39,0,20,17,38,38,19,36,14,40,39,70.0,34.0,,43.0,40.0,73.0,75.0,6.0,49.0,43.0,76.0,53.0,41.0,74.0,39.0,68.0,67.0,0.5285714285714286,0.6176470588235294,,0.627906976744186,0.45,0.5068493150684932,0.52,0.0,0.4081632653061224,0.3953488372093023,0.5,0.7169811320754716,0.4634146341463415,0.4864864864864865,0.358974358974359,0.5882352941176471,0.582089552238806
9,10,9,2022-11-07,31-129,OKC,@,DET,L (-9),0,14.533333333333333,4.0,8.0,.500,3.0,7.0,.429,0,0,,0,4,4,0,0,1,0,3,11,7.7,+9,1.0,1.0,1.0,37,21,0,27,18,37,39,0,20,17,38,38,19,36,14,40,39,70.0,34.0,,43.0,40.0,73.0,75.0,6.0,49.0,43.0,76.0,53.0,41.0,74.0,39.0,68.0,67.0,0.5285714285714286,0.6176470588235294,,0.627906976744186,0.45,0.5068493150684932,0.52,0.0,0.4081632653061224,0.3953488372093023,0.5,0.7169811320754716,0.4634146341463415,0.4864864864864865,0.358974358974359,0.5882352941176471,0.582089552238806
10,11,10,2022-11-09,31-131,OKC,,MIL,L (-4),0,17.133333333333333,2.0,9.0,.222,2.0,6.0,.333,0,0,,1,1,2,1,0,2,1,3,6,1.4,+2,3.0,0.0,0.0,37,21,0,27,18,37,39,0,20,17,38,38,19,36,14,40,39,70.0,34.0,,43.0,40.0,73.0,75.0,6.0,49.0,43.0,76.0,53.0,41.0,74.0,39.0,68.0,67.0,0.5285714285714286,0.6176470588235294,,0.627906976744186,0.45,0.5068493150684932,0.52,0.0,0.4081632653061224,0.3953488372093023,0.5,0.7169811320754716,0.4634146341463415,0.4864864864864865,0.358974358974359,0.5882352941176471,0.582089552238806
11,12,,2022-11-11,31-133,OKC,,TOR,W (+19),Did Not Play,0.0,,,Did Not Play,,,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,,,,37,21,0,27,18,37,39,0,20,17,38,38,19,36,14,40,39,70.0,34.0,,43.0,40.0,73.0,75.0,6.0,49.0,43.0,76.0,53.0,41.0,74.0,39.0,68.0,67.0,0.5285714285714286,0.6176470588235294,,0.627906976744186,0.45,0.5068493150684932,0.52,0.0,0.4081632653061224,0.3953488372093023,0.5,0.7169811320754716,0.4634146341463415,0.4864864864864865,0.358974358974359,0.5882352941176471,0.582089552238806
12,13,11,2022-11-13,31-135,OKC,@,NYK,W (+10),0,12.433333333333334,2.0,3.0,.667,2.0,3.0,.667,0,0,,0,2,2,2,0,1,1,1,6,6.0,-3,0.0,0.0,,37,21,0,27,18,37,39,0,20,17,38,38,19,36,14,40,39,70.0,34.0,,43.0,40.0,73.0,75.0,6.0,49.0,43.0,76.0,53.0,41.0,74.0,39.0,68.0,67.0,0.5285714285714286,0.6176470588235294,,0.627906976744186,0.45,0.5068493150684932,0.52,0.0,0.4081632653061224,0.3953488372093023,0.5,0.7169811320754716,0.4634146341463415,0.4864864864864865,0.358974358974359,0.5882352941176471,0.582089552238806
