Rk,G,Date,Age,Tm,Opp,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Anfernee Simons,Chance Comanche,Damian Lillard,Drew Eubanks,Gary Payton II,Greg Brown III,Jabari Walker,Jeenathan Williams,Jerami Grant,John Butler,Josh Hart,Justin Minaya,Justise Winslow,Jusuf Nurkić,Keon Johnson,Nassir Little,Shaedon Sharpe,Shaquille Harrison,Skylar Mays,Trendon Watford,co_inf with Anfernee Simons,co_inf with Chance Comanche,co_inf with Damian Lillard,co_inf with Drew Eubanks,co_inf with Gary Payton II,co_inf with Greg Brown III,co_inf with Jabari Walker,co_inf with Jeenathan Williams,co_inf with Jerami Grant,co_inf with John Butler,co_inf with Josh Hart,co_inf with Justin Minaya,co_inf with Justise Winslow,co_inf with Jusuf Nurkić,co_inf with Keon Johnson,co_inf with Nassir Little,co_inf with Shaedon Sharpe,co_inf with Shaquille Harrison,co_inf with Skylar Mays,co_inf with Trendon Watford,Shared Games with Aaron Wiggins,Shared Games with Aleksej Pokusevski,Shared Games with Isaiah Joe,Shared Games with Jalen Williams,Shared Games with Jaylin Williams,Shared Games with Jeremiah Robinson-Earl,Shared Games with Josh Giddey,Shared Games with Kenrich Williams,Shared Games with Lindy Waters III,Shared Games with Luguentz Dort,Shared Games with Ousmane Dieng,Shared Games with Shai Gilgeous-Alexander,Shared Games with Tre Mann,Aaron Wiggins,Aleksej Pokusevski,Chet Holmgren,Danilo Gallinari,Dario Šarić,Isaiah Joe,Jalen Williams,Jared Butler,Jaylin Williams,Jeremiah Robinson-Earl,Josh Giddey,Kenrich Williams,Lindy Waters III,Luguentz Dort,Ousmane Dieng,Shai Gilgeous-Alexander,Tre Mann,co_inf with Aaron Wiggins,co_inf with Aleksej Pokusevski,co_inf with Chet Holmgren,co_inf with Danilo Gallinari,co_inf with Dario Šarić,co_inf with Isaiah Joe,co_inf with Jalen Williams,co_inf with Jared Butler,co_inf with Jaylin Williams,co_inf with Jeremiah Robinson-Earl,co_inf with Josh Giddey,co_inf with Kenrich Williams,co_inf with Lindy Waters III,co_inf with Luguentz Dort,co_inf with Ousmane Dieng,co_inf with Shai Gilgeous-Alexander,co_inf with Tre Mann,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS,PER,WS,BPM,OBPM,DBPM,Co_Points_Share,TS%,3PAr,FTr,VORP,OWS,New Column,Result
1.0,,2022-10-19,23-241,POR,SAC,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,62.0,1,58.0,78.0,22.0,16.0,56.0,5,63.0,19.0,76.0,4,29.0,52.0,40.0,54.0,80.0,5.0,6,62.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,5,9,9,3,2,8,7,6,9,1,7,8,70.0,34.0,,,57.0,73.0,75.0,6.0,49.0,43.0,76.0,53.0,41.0,74.0,39.0,68.0,67.0,0.1142857142857142,0.1470588235294117,,,0.0,0.1232876712328767,0.12,0.0,0.0612244897959183,0.0465116279069767,0.1052631578947368,0.1320754716981132,0.1463414634146341,0.1216216216216216,0.0256410256410256,0.1029411764705882,0.1194029850746268,13,,55.0,4.230769230769231,0.0,63.399999999999984,4.876923076923076,11.5,0.2,-4.9,-4.2,-0.7,0.0037371535347243,0.544,0.267,0.233,-0.1,0.1,W (+7),W (+7)
2.0,,2022-10-21,23-243,POR,PHO,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,62.0,1,58.0,78.0,22.0,16.0,56.0,5,63.0,19.0,76.0,4,29.0,52.0,40.0,54.0,80.0,5.0,6,62.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,5,9,9,3,2,8,7,6,9,1,7,8,70.0,34.0,,,57.0,73.0,75.0,6.0,49.0,43.0,76.0,53.0,41.0,74.0,39.0,68.0,67.0,0.1142857142857142,0.1470588235294117,,,0.0,0.1232876712328767,0.12,0.0,0.0612244897959183,0.0465116279069767,0.1052631578947368,0.1320754716981132,0.1463414634146341,0.1216216216216216,0.0256410256410256,0.1029411764705882,0.1194029850746268,13,,54.0,4.153846153846154,0.0,64.09999999999998,4.930769230769229,11.5,0.2,-4.9,-4.2,-0.7,0.0037371535347243,0.544,0.267,0.233,-0.1,0.1,W (+2),W (+2)
3.0,,2022-10-23,23-245,POR,LAL,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,62.0,1,58.0,78.0,22.0,16.0,56.0,5,63.0,19.0,76.0,4,29.0,52.0,40.0,54.0,80.0,5.0,6,62.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,5,9,9,3,2,8,7,6,9,1,7,8,70.0,34.0,,,57.0,73.0,75.0,6.0,49.0,43.0,76.0,53.0,41.0,74.0,39.0,68.0,67.0,0.1142857142857142,0.1470588235294117,,,0.0,0.1232876712328767,0.12,0.0,0.0612244897959183,0.0465116279069767,0.1052631578947368,0.1320754716981132,0.1463414634146341,0.1216216216216216,0.0256410256410256,0.1029411764705882,0.1194029850746268,13,,38.0,2.923076923076923,0.0,54.400000000000006,4.184615384615385,11.5,0.2,-4.9,-4.2,-0.7,0.0037371535347243,0.544,0.267,0.233,-0.1,0.1,W (+2),W (+2)
4.0,,2022-10-24,23-246,POR,DEN,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,62.0,1,58.0,78.0,22.0,16.0,56.0,5,63.0,19.0,76.0,4,29.0,52.0,40.0,54.0,80.0,5.0,6,62.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,5,9,9,3,2,8,7,6,9,1,7,8,70.0,34.0,,,57.0,73.0,75.0,6.0,49.0,43.0,76.0,53.0,41.0,74.0,39.0,68.0,67.0,0.1142857142857142,0.1470588235294117,,,0.0,0.1232876712328767,0.12,0.0,0.0612244897959183,0.0465116279069767,0.1052631578947368,0.1320754716981132,0.1463414634146341,0.1216216216216216,0.0256410256410256,0.1029411764705882,0.1194029850746268,13,,53.0,4.076923076923077,0.0,68.2,5.246153846153846,11.5,0.2,-4.9,-4.2,-0.7,0.0037371535347243,0.544,0.267,0.233,-0.1,0.1,W (+25),W (+25)
5.0,,2022-10-26,23-248,POR,MIA,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,62.0,1,58.0,78.0,22.0,16.0,56.0,5,63.0,19.0,76.0,4,29.0,52.0,40.0,54.0,80.0,5.0,6,62.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,5,9,9,3,2,8,7,6,9,1,7,8,70.0,34.0,,,57.0,73.0,75.0,6.0,49.0,43.0,76.0,53.0,41.0,74.0,39.0,68.0,67.0,0.1142857142857142,0.1470588235294117,,,0.0,0.1232876712328767,0.12,0.0,0.0612244897959183,0.0465116279069767,0.1052631578947368,0.1320754716981132,0.1463414634146341,0.1216216216216216,0.0256410256410256,0.1029411764705882,0.1194029850746268,13,,69.0,5.307692307692308,0.0,82.7,6.361538461538462,11.5,0.2,-4.9,-4.2,-0.7,0.0037371535347243,0.544,0.267,0.233,-0.1,0.1,L (-21),L (-21)
6.0,,2022-10-28,23-250,POR,HOU,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,62.0,1,58.0,78.0,22.0,16.0,56.0,5,63.0,19.0,76.0,4,29.0,52.0,40.0,54.0,80.0,5.0,6,62.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,5,9,9,3,2,8,7,6,9,1,7,8,70.0,34.0,,,57.0,73.0,75.0,6.0,49.0,43.0,76.0,53.0,41.0,74.0,39.0,68.0,67.0,0.1142857142857142,0.1470588235294117,,,0.0,0.1232876712328767,0.12,0.0,0.0612244897959183,0.0465116279069767,0.1052631578947368,0.1320754716981132,0.1463414634146341,0.1216216216216216,0.0256410256410256,0.1029411764705882,0.1194029850746268,13,,64.0,4.923076923076923,0.0,75.7,5.823076923076924,11.5,0.2,-4.9,-4.2,-0.7,0.0037371535347243,0.544,0.267,0.233,-0.1,0.1,W (+14),W (+14)
7.0,,2022-11-02,23-255,POR,MEM,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,62.0,1,58.0,78.0,22.0,16.0,56.0,5,63.0,19.0,76.0,4,29.0,52.0,40.0,54.0,80.0,5.0,6,62.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,5,9,9,3,2,8,7,6,9,1,7,8,70.0,34.0,,,57.0,73.0,75.0,6.0,49.0,43.0,76.0,53.0,41.0,74.0,39.0,68.0,67.0,0.1142857142857142,0.1470588235294117,,,0.0,0.1232876712328767,0.12,0.0,0.0612244897959183,0.0465116279069767,0.1052631578947368,0.1320754716981132,0.1463414634146341,0.1216216216216216,0.0256410256410256,0.1029411764705882,0.1194029850746268,13,,74.0,5.6923076923076925,0.0,85.6,6.584615384615384,11.5,0.2,-4.9,-4.2,-0.7,0.0037371535347243,0.544,0.267,0.233,-0.1,0.1,L (-5),L (-5)
8.0,,2022-11-04,23-257,POR,PHO,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,62.0,1,58.0,78.0,22.0,16.0,56.0,5,63.0,19.0,76.0,4,29.0,52.0,40.0,54.0,80.0,5.0,6,62.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,5,9,9,3,2,8,7,6,9,1,7,8,70.0,34.0,,,57.0,73.0,75.0,6.0,49.0,43.0,76.0,53.0,41.0,74.0,39.0,68.0,67.0,0.1142857142857142,0.1470588235294117,,,0.0,0.1232876712328767,0.12,0.0,0.0612244897959183,0.0465116279069767,0.1052631578947368,0.1320754716981132,0.1463414634146341,0.1216216216216216,0.0256410256410256,0.1029411764705882,0.1194029850746268,13,,56.0,4.307692307692308,0.0,79.3,6.1,11.5,0.2,-4.9,-4.2,-0.7,0.0037371535347243,0.544,0.267,0.233,-0.1,0.1,W (+2),W (+2)
9.0,,2022-11-05,23-258,POR,PHO,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,62.0,1,58.0,78.0,22.0,16.0,56.0,5,63.0,19.0,76.0,4,29.0,52.0,40.0,54.0,80.0,5.0,6,62.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,5,9,9,3,2,8,7,6,9,1,7,8,70.0,34.0,,,57.0,73.0,75.0,6.0,49.0,43.0,76.0,53.0,41.0,74.0,39.0,68.0,67.0,0.1142857142857142,0.1470588235294117,,,0.0,0.1232876712328767,0.12,0.0,0.0612244897959183,0.0465116279069767,0.1052631578947368,0.1320754716981132,0.1463414634146341,0.1216216216216216,0.0256410256410256,0.1029411764705882,0.1194029850746268,13,,46.0,3.5384615384615383,0.0,47.100000000000016,3.623076923076925,11.5,0.2,-4.9,-4.2,-0.7,0.0037371535347243,0.544,0.267,0.233,-0.1,0.1,L (-20),L (-20)
10.0,,2022-11-07,23-260,POR,MIA,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,62.0,1,58.0,78.0,22.0,16.0,56.0,5,63.0,19.0,76.0,4,29.0,52.0,40.0,54.0,80.0,5.0,6,62.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,5,9,9,3,2,8,7,6,9,1,7,8,70.0,34.0,,,57.0,73.0,75.0,6.0,49.0,43.0,76.0,53.0,41.0,74.0,39.0,68.0,67.0,0.1142857142857142,0.1470588235294117,,,0.0,0.1232876712328767,0.12,0.0,0.0612244897959183,0.0465116279069767,0.1052631578947368,0.1320754716981132,0.1463414634146341,0.1216216216216216,0.0256410256410256,0.1029411764705882,0.1194029850746268,13,,47.0,3.615384615384616,0.0,57.9,4.453846153846154,11.5,0.2,-4.9,-4.2,-0.7,0.0037371535347243,0.544,0.267,0.233,-0.1,0.1,W (+3),W (+3)
