Rk,G,Date,Age,Tm,Opp,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Bismack Biyombo,Shared Games with Cameron Johnson,Shared Games with Cameron Payne,Shared Games with Chris Paul,Shared Games with Damion Lee,Shared Games with Dario ?ari?,Shared Games with Deandre Ayton,Shared Games with Devin Booker,Shared Games with Duane Washington Jr.,Shared Games with Ish Wainright,Shared Games with Jock Landale,Shared Games with Landry Shamet,Shared Games with Mikal Bridges,Shared Games with Torrey Craig,Bismack Biyombo,Cameron Johnson,Cameron Payne,Chris Paul,Damion Lee,Dario ?ari?,Deandre Ayton,Devin Booker,Duane Washington Jr.,Ish Wainright,Jae Crowder,Jock Landale,Landry Shamet,Mikal Bridges,Torrey Craig,co_inf with Bismack Biyombo,co_inf with Cameron Johnson,co_inf with Cameron Payne,co_inf with Chris Paul,co_inf with Damion Lee,co_inf with Dario ?ari?,co_inf with Deandre Ayton,co_inf with Devin Booker,co_inf with Duane Washington Jr.,co_inf with Ish Wainright,co_inf with Jae Crowder,co_inf with Jock Landale,co_inf with Landry Shamet,co_inf with Mikal Bridges,co_inf with Torrey Craig,Shared Games with Kevin Durant,Shared Games with T.J. Warren,Shared Games with Darius Bazley,Shared Games with Saben Lee,Shared Games with Terrence Ross,Darius Bazley,Jaylen Brown,Kevin Durant,Saben Lee,T.J. Warren,Terrence Ross,co_inf with Kevin Durant,co_inf with T.J. Warren,co_inf with Darius Bazley,co_inf with Jaylen Brown,co_inf with Saben Lee,co_inf with Terrence Ross,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS,PER,WS,BPM,OBPM,DBPM,Co_Points_Share,TS%,3PAr,FTr,VORP,OWS,New Column,Result
1.0,1.0,2022/10/19,24-048,PHO,DAL,0,3.95,0.0,2.0,0,0.0,2.0,0,0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,-1.5,-8,0.0,0.0,,54,13,43,53,64,30,58,48,26,51,62,34,46,70,61,42,48,59,74,57,67,53,31,60,18,69,40,83,79,0.885245902,0.30952381,0.895833333,0.898305085,0.864864865,0.526315789,0.865671642,0.905660377,0.838709677,0.85,0,0.898550725,0.85,0.554216867,0.886075949,8,16,7,16,21,43,67,47,25,42,63,0.170212766,0.380952381,0.162790698,0,0.64,0.333333333,19,-1.0,81.0,4.2631578947368425,-1.5,89.99999999999999,4.7368421052631575,13.3,2.8,-0.2,-0.8,0.5,0.0567657473977894,0.531,0.476,0.464,0.6,1.1,W (+2),W (+2)
2.0,2.0,2022/10/21,24-050,PHO,POR,0,13.6,1.0,2.0,0.5,0.0,0.0,,0,0.0,,1.0,2.0,3.0,0.0,1.0,0.0,0.0,2.0,2.0,2.5,-5,2.0,1.0,0.5,54,13,43,53,64,30,58,48,26,51,62,34,46,70,61,42,48,59,74,57,67,53,31,60,18,69,40,83,79,0.885245902,0.30952381,0.895833333,0.898305085,0.864864865,0.526315789,0.865671642,0.905660377,0.838709677,0.85,0,0.898550725,0.85,0.554216867,0.886075949,8,16,7,16,21,43,67,47,25,42,63,0.170212766,0.380952381,0.162790698,0,0.64,0.333333333,19,4.0,91.0,4.789473684210527,2.499999999999999,94.9,4.994736842105263,13.3,2.8,-0.2,-0.8,0.5,0.0567657473977894,0.531,0.476,0.464,0.6,1.1,L (-2),L (-2)
3.0,3.0,2022/10/23,24-052,PHO,LAC,0,1.2333333333333334,0.0,0.0,,0.0,0.0,,2,2.0,1,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,2.3,2,0.0,0.0,,54,13,43,53,64,30,58,48,26,51,62,34,46,70,61,42,48,59,74,57,67,53,31,60,18,69,40,83,79,0.885245902,0.30952381,0.895833333,0.898305085,0.864864865,0.526315789,0.865671642,0.905660377,0.838709677,0.85,0,0.898550725,0.85,0.554216867,0.886075949,8,16,7,16,21,43,67,47,25,42,63,0.170212766,0.380952381,0.162790698,0,0.64,0.333333333,19,1.0,102.0,5.368421052631579,1.4999999999999998,123.3,6.489473684210526,13.3,2.8,-0.2,-0.8,0.5,0.0567657473977894,0.531,0.476,0.464,0.6,1.1,W (+17),W (+17)
4.0,4.0,2022/10/25,24-054,PHO,GSW,0,1.5166666666666666,1.0,1.0,1,0.0,0.0,,0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.7,5,1.0,1.0,1.0,54,13,43,53,64,30,58,48,26,51,62,34,46,70,61,42,48,59,74,57,67,53,31,60,18,69,40,83,79,0.885245902,0.30952381,0.895833333,0.898305085,0.864864865,0.526315789,0.865671642,0.905660377,0.838709677,0.85,0,0.898550725,0.85,0.554216867,0.886075949,8,16,7,16,21,43,67,47,25,42,63,0.170212766,0.380952381,0.162790698,0,0.64,0.333333333,19,1.0,83.0,4.368421052631579,1.7,106.29999999999998,5.594736842105262,13.3,2.8,-0.2,-0.8,0.5,0.0567657473977894,0.531,0.476,0.464,0.6,1.1,W (+29),W (+29)
5.0,5.0,2022/10/28,24-057,PHO,NOP,0,1.6333333333333333,0.0,0.0,,0.0,0.0,,0,0.0,,2.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7,-1,0.0,0.0,,54,13,43,53,64,30,58,48,26,51,62,34,46,70,61,42,48,59,74,57,67,53,31,60,18,69,40,83,79,0.885245902,0.30952381,0.895833333,0.898305085,0.864864865,0.526315789,0.865671642,0.905660377,0.838709677,0.85,0,0.898550725,0.85,0.554216867,0.886075949,8,16,7,16,21,43,67,47,25,42,63,0.170212766,0.380952381,0.162790698,0,0.64,0.333333333,19,3.0,97.0,5.105263157894737,1.7,107.1,5.636842105263158,13.3,2.8,-0.2,-0.8,0.5,0.0567657473977894,0.531,0.476,0.464,0.6,1.1,W (+13),W (+13)
6.0,6.0,2022/10/30,24-059,PHO,HOU,0,1.0166666666666666,1.0,1.0,1,0.0,0.0,,0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.7,0,1.0,1.0,1.0,54,13,43,53,64,30,58,48,26,51,62,34,46,70,61,42,48,59,74,57,67,53,31,60,18,69,40,83,79,0.885245902,0.30952381,0.895833333,0.898305085,0.864864865,0.526315789,0.865671642,0.905660377,0.838709677,0.85,0,0.898550725,0.85,0.554216867,0.886075949,8,16,7,16,21,43,67,47,25,42,63,0.170212766,0.380952381,0.162790698,0,0.64,0.333333333,19,1.0,87.0,4.578947368421052,1.7,104.5,5.5,13.3,2.8,-0.2,-0.8,0.5,0.0567657473977894,0.531,0.476,0.464,0.6,1.1,W (+15),W (+15)
7.0,,2022/11/1,24-061,PHO,MIN,Did Not Play,0.0,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,54,13,43,53,64,30,58,48,26,51,62,34,46,70,61,42,48,59,74,57,67,53,31,60,18,69,40,83,79,0.885245902,0.30952381,0.895833333,0.898305085,0.864864865,0.526315789,0.865671642,0.905660377,0.838709677,0.85,0,0.898550725,0.85,0.554216867,0.886075949,8,16,7,16,21,43,67,47,25,42,63,0.170212766,0.380952381,0.162790698,0,0.64,0.333333333,19,,78.0,4.105263157894737,0.0,82.30000000000001,4.331578947368421,13.3,2.8,-0.2,-0.8,0.5,0.0567657473977894,0.531,0.476,0.464,0.6,1.1,W (+9),W (+9)
8.0,7.0,2022/11/4,24-064,PHO,POR,0,5.066666666666666,0.0,0.0,,0.0,0.0,,0,0.0,,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.3,-7,0.0,0.0,,54,13,43,53,64,30,58,48,26,51,62,34,46,70,61,42,48,59,74,57,67,53,31,60,18,69,40,83,79,0.885245902,0.30952381,0.895833333,0.898305085,0.864864865,0.526315789,0.865671642,0.905660377,0.838709677,0.85,0,0.898550725,0.85,0.554216867,0.886075949,8,16,7,16,21,43,67,47,25,42,63,0.170212766,0.380952381,0.162790698,0,0.64,0.333333333,19,1.0,76.0,4.0,0.3,91.0,4.789473684210527,13.3,2.8,-0.2,-0.8,0.5,0.0567657473977894,0.531,0.476,0.464,0.6,1.1,L (-2),L (-2)
9.0,8.0,2022/11/5,24-065,PHO,POR,0,16.183333333333334,1.0,4.0,0.25,0.0,2.0,0,2,4.0,0.5,0.0,3.0,3.0,0.0,1.0,1.0,3.0,3.0,4.0,-0.8,2,2.0,1.0,0.5,54,13,43,53,64,30,58,48,26,51,62,34,46,70,61,42,48,59,74,57,67,53,31,60,18,69,40,83,79,0.885245902,0.30952381,0.895833333,0.898305085,0.864864865,0.526315789,0.865671642,0.905660377,0.838709677,0.85,0,0.898550725,0.85,0.554216867,0.886075949,8,16,7,16,21,43,67,47,25,42,63,0.170212766,0.380952381,0.162790698,0,0.64,0.333333333,19,-2.0,103.0,5.421052631578948,-1.5999999999999992,96.0,5.052631578947368,13.3,2.8,-0.2,-0.8,0.5,0.0567657473977894,0.531,0.476,0.464,0.6,1.1,W (+20),W (+20)
10.0,9.0,2022/11/7,24-067,PHO,PHI,0,1.3166666666666669,0.0,1.0,0,0.0,1.0,0,0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7,1,0.0,0.0,,54,13,43,53,64,30,58,48,26,51,62,34,46,70,61,42,48,59,74,57,67,53,31,60,18,69,40,83,79,0.885245902,0.30952381,0.895833333,0.898305085,0.864864865,0.526315789,0.865671642,0.905660377,0.838709677,0.85,0,0.898550725,0.85,0.554216867,0.886075949,8,16,7,16,21,43,67,47,25,42,63,0.170212766,0.380952381,0.162790698,0,0.64,0.333333333,19,-1.0,61.0,3.210526315789474,-0.7,69.39999999999999,3.652631578947368,13.3,2.8,-0.2,-0.8,0.5,0.0567657473977894,0.531,0.476,0.464,0.6,1.1,L (-12),L (-12)
