Rk,G,Date,Age,Tm,Opp,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Brandon Ingram,Shared Games with CJ McCollum,Shared Games with Dereon Seabron,Shared Games with Dyson Daniels,Shared Games with Garrett Temple,Shared Games with Herbert Jones,Shared Games with Jaxson Hayes,Shared Games with Jonas Valančiūnas,Shared Games with Jose Alvarado,Shared Games with Kira Lewis Jr.,Shared Games with Larry Nance Jr.,Shared Games with Naji Marshall,Shared Games with Trey Murphy III,Shared Games with Willy Hernangómez,Shared Games with Zion Williamson,Brandon Ingram,CJ McCollum,Dereon Seabron,Dyson Daniels,Garrett Temple,Herbert Jones,Jaxson Hayes,Jonas Valančiūnas,Jose Alvarado,Kira Lewis Jr.,Larry Nance Jr.,Naji Marshall,Trey Murphy III,Willy Hernangómez,Zion Williamson,co_inf with Brandon Ingram,co_inf with CJ McCollum,co_inf with Dereon Seabron,co_inf with Dyson Daniels,co_inf with Garrett Temple,co_inf with Herbert Jones,co_inf with Jaxson Hayes,co_inf with Jonas Valančiūnas,co_inf with Jose Alvarado,co_inf with Kira Lewis Jr.,co_inf with Larry Nance Jr.,co_inf with Naji Marshall,co_inf with Trey Murphy III,co_inf with Willy Hernangómez,co_inf with Zion Williamson,Shared Games with Blake Wesley,Shared Games with Charles Bassey,Shared Games with Devin Vassell,Shared Games with Dominick Barlow,Shared Games with Doug McDermott,Shared Games with Gorgui Dieng,Shared Games with Jeremy Sochan,Shared Games with Julian Champagnie,Shared Games with Keita Bates-Diop,Shared Games with Keldon Johnson,Shared Games with Malaki Branham,Shared Games with Romeo Langford,Shared Games with Sandro Mamukelashvili,Shared Games with Tre Jones,Shared Games with Zach Collins,Alize Johnson,Blake Wesley,Charles Bassey,Devin Vassell,Dominick Barlow,Doug McDermott,Gorgui Dieng,Jeremy Sochan,Jordan Hall,Joshua Primo,Julian Champagnie,Justin Jackson,Keita Bates-Diop,Keldon Johnson,Khem Birch,Malaki Branham,Romeo Langford,Sandro Mamukelashvili,Stanley Johnson,Tre Jones,Zach Collins,co_inf with Alize Johnson,co_inf with Blake Wesley,co_inf with Charles Bassey,co_inf with Devin Vassell,co_inf with Dominick Barlow,co_inf with Doug McDermott,co_inf with Gorgui Dieng,co_inf with Jeremy Sochan,co_inf with Jordan Hall,co_inf with Joshua Primo,co_inf with Julian Champagnie,co_inf with Justin Jackson,co_inf with Keita Bates-Diop,co_inf with Keldon Johnson,co_inf with Khem Birch,co_inf with Malaki Branham,co_inf with Romeo Langford,co_inf with Sandro Mamukelashvili,co_inf with Stanley Johnson,co_inf with Tre Jones,co_inf with Zach Collins,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS,PER,WS,BPM,OBPM,DBPM,Co_Points_Share,TS%,3PAr,FTr,VORP,OWS,New Column,Result
1.0,1.0,2022-10-19,27-239,NOP,BRK,0,15.033333333333331,0.0,3.0,.000,0.0,1.0,.000,0,0.0,,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,-0.7,-4,2.0,0.0,0.0,18,47,4,39,17,37,30,52,52,8,43,48,50,27,29,45.0,75.0,5.0,59.0,25.0,66.0,47.0,79.0,61.0,25.0,65.0,77.0,79.0,38.0,29.0,0.4,0.6266666666666667,0.8,0.6610169491525424,0.68,0.5606060606060606,0.6382978723404256,0.6582278481012658,0.8524590163934426,0.32,0.6615384615384615,0.6233766233766234,0.6329113924050633,0.7105263157894737,1.0,19,9,7,17,11,8,11,12,19,12,18,6,15,12,16,4.0,37.0,35.0,38.0,28.0,64.0,31.0,56.0,9.0,4.0,17.0,23.0,67.0,63.0,20.0,66.0,43.0,43.0,30.0,68.0,63.0,0.0,0.5135135135135135,0.2571428571428571,0.1842105263157894,0.6071428571428571,0.171875,0.2580645161290322,0.1964285714285714,0.0,0.0,0.7058823529411765,0.0,0.2835820895522388,0.1904761904761904,0.0,0.2727272727272727,0.1395348837209302,0.3488372093023256,0.0,0.1764705882352941,0.2539682539682539,30,-1.0,43.0,1.4333333333333331,-0.6999999999999997,49.59999999999999,1.6533333333333329,12.5,2.5,-0.1,0.1,-0.2,0.027942604380192,0.552,0.784,0.304,0.6,1.5,W (+22),W (+22)
2.0,2.0,2022-10-21,27-241,NOP,CHO,0,11.4,1.0,4.0,.250,1.0,4.0,.250,1,2.0,.500,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,4.0,2.2,-6,0.0,0.0,,18,47,4,39,17,37,30,52,52,8,43,48,50,27,29,45.0,75.0,5.0,59.0,25.0,66.0,47.0,79.0,61.0,25.0,65.0,77.0,79.0,38.0,29.0,0.4,0.6266666666666667,0.8,0.6610169491525424,0.68,0.5606060606060606,0.6382978723404256,0.6582278481012658,0.8524590163934426,0.32,0.6615384615384615,0.6233766233766234,0.6329113924050633,0.7105263157894737,1.0,19,9,7,17,11,8,11,12,19,12,18,6,15,12,16,4.0,37.0,35.0,38.0,28.0,64.0,31.0,56.0,9.0,4.0,17.0,23.0,67.0,63.0,20.0,66.0,43.0,43.0,30.0,68.0,63.0,0.0,0.5135135135135135,0.2571428571428571,0.1842105263157894,0.6071428571428571,0.171875,0.2580645161290322,0.1964285714285714,0.0,0.0,0.7058823529411765,0.0,0.2835820895522388,0.1904761904761904,0.0,0.2727272727272727,0.1395348837209302,0.3488372093023256,0.0,0.1764705882352941,0.2539682539682539,30,0.0,61.0,2.033333333333333,1.8000000000000005,65.3,2.1766666666666667,12.5,2.5,-0.1,0.1,-0.2,0.027942604380192,0.552,0.784,0.304,0.6,1.5,W (+12),W (+12)
3.0,3.0,2022-10-23,27-243,NOP,UTA,0,14.916666666666666,1.0,2.0,.500,1.0,1.0,1.000,0,0.0,,0.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,3.0,4.0,+1,1.0,0.0,0.0,18,47,4,39,17,37,30,52,52,8,43,48,50,27,29,45.0,75.0,5.0,59.0,25.0,66.0,47.0,79.0,61.0,25.0,65.0,77.0,79.0,38.0,29.0,0.4,0.6266666666666667,0.8,0.6610169491525424,0.68,0.5606060606060606,0.6382978723404256,0.6582278481012658,0.8524590163934426,0.32,0.6615384615384615,0.6233766233766234,0.6329113924050633,0.7105263157894737,1.0,19,9,7,17,11,8,11,12,19,12,18,6,15,12,16,4.0,37.0,35.0,38.0,28.0,64.0,31.0,56.0,9.0,4.0,17.0,23.0,67.0,63.0,20.0,66.0,43.0,43.0,30.0,68.0,63.0,0.0,0.5135135135135135,0.2571428571428571,0.1842105263157894,0.6071428571428571,0.171875,0.2580645161290322,0.1964285714285714,0.0,0.0,0.7058823529411765,0.0,0.2835820895522388,0.1904761904761904,0.0,0.2727272727272727,0.1395348837209302,0.3488372093023256,0.0,0.1764705882352941,0.2539682539682539,30,5.0,58.0,1.933333333333333,4.0,57.3,1.91,12.5,2.5,-0.1,0.1,-0.2,0.027942604380192,0.552,0.784,0.304,0.6,1.5,L (-1),L (-1)
4.0,4.0,2022-10-25,27-245,NOP,DAL,0,27.016666666666666,4.0,10.0,.400,4.0,8.0,.500,2,4.0,.500,0.0,1.0,1.0,3.0,0.0,0.0,0.0,2.0,14.0,9.4,-1,2.0,0.0,0.0,18,47,4,39,17,37,30,52,52,8,43,48,50,27,29,45.0,75.0,5.0,59.0,25.0,66.0,47.0,79.0,61.0,25.0,65.0,77.0,79.0,38.0,29.0,0.4,0.6266666666666667,0.8,0.6610169491525424,0.68,0.5606060606060606,0.6382978723404256,0.6582278481012658,0.8524590163934426,0.32,0.6615384615384615,0.6233766233766234,0.6329113924050633,0.7105263157894737,1.0,19,9,7,17,11,8,11,12,19,12,18,6,15,12,16,4.0,37.0,35.0,38.0,28.0,64.0,31.0,56.0,9.0,4.0,17.0,23.0,67.0,63.0,20.0,66.0,43.0,43.0,30.0,68.0,63.0,0.0,0.5135135135135135,0.2571428571428571,0.1842105263157894,0.6071428571428571,0.171875,0.2580645161290322,0.1964285714285714,0.0,0.0,0.7058823529411765,0.0,0.2835820895522388,0.1904761904761904,0.0,0.2727272727272727,0.1395348837209302,0.3488372093023256,0.0,0.1764705882352941,0.2539682539682539,30,4.0,68.0,2.2666666666666666,8.6,55.89999999999999,1.863333333333333,12.5,2.5,-0.1,0.1,-0.2,0.027942604380192,0.552,0.784,0.304,0.6,1.5,W (+2),W (+2)
5.0,5.0,2022-10-28,27-248,NOP,PHO,0,28.05,3.0,7.0,.429,3.0,6.0,.500,2,2.0,1.000,0.0,3.0,3.0,2.0,2.0,0.0,1.0,2.0,11.0,9.8,-21,1.0,0.0,0.0,18,47,4,39,17,37,30,52,52,8,43,48,50,27,29,45.0,75.0,5.0,59.0,25.0,66.0,47.0,79.0,61.0,25.0,65.0,77.0,79.0,38.0,29.0,0.4,0.6266666666666667,0.8,0.6610169491525424,0.68,0.5606060606060606,0.6382978723404256,0.6582278481012658,0.8524590163934426,0.32,0.6615384615384615,0.6233766233766234,0.6329113924050633,0.7105263157894737,1.0,19,9,7,17,11,8,11,12,19,12,18,6,15,12,16,4.0,37.0,35.0,38.0,28.0,64.0,31.0,56.0,9.0,4.0,17.0,23.0,67.0,63.0,20.0,66.0,43.0,43.0,30.0,68.0,63.0,0.0,0.5135135135135135,0.2571428571428571,0.1842105263157894,0.6071428571428571,0.171875,0.2580645161290322,0.1964285714285714,0.0,0.0,0.7058823529411765,0.0,0.2835820895522388,0.1904761904761904,0.0,0.2727272727272727,0.1395348837209302,0.3488372093023256,0.0,0.1764705882352941,0.2539682539682539,30,8.0,60.0,2.0,9.0,69.1,2.303333333333333,12.5,2.5,-0.1,0.1,-0.2,0.027942604380192,0.552,0.784,0.304,0.6,1.5,L (-13),L (-13)
6.0,6.0,2022-10-30,27-250,NOP,LAC,0,23.55,3.0,6.0,.500,3.0,6.0,.500,0,0.0,,1.0,3.0,4.0,6.0,1.0,0.0,0.0,1.0,9.0,12.4,+14,0.0,0.0,,18,47,4,39,17,37,30,52,52,8,43,48,50,27,29,45.0,75.0,5.0,59.0,25.0,66.0,47.0,79.0,61.0,25.0,65.0,77.0,79.0,38.0,29.0,0.4,0.6266666666666667,0.8,0.6610169491525424,0.68,0.5606060606060606,0.6382978723404256,0.6582278481012658,0.8524590163934426,0.32,0.6615384615384615,0.6233766233766234,0.6329113924050633,0.7105263157894737,1.0,19,9,7,17,11,8,11,12,19,12,18,6,15,12,16,4.0,37.0,35.0,38.0,28.0,64.0,31.0,56.0,9.0,4.0,17.0,23.0,67.0,63.0,20.0,66.0,43.0,43.0,30.0,68.0,63.0,0.0,0.5135135135135135,0.2571428571428571,0.1842105263157894,0.6071428571428571,0.171875,0.2580645161290322,0.1964285714285714,0.0,0.0,0.7058823529411765,0.0,0.2835820895522388,0.1904761904761904,0.0,0.2727272727272727,0.1395348837209302,0.3488372093023256,0.0,0.1764705882352941,0.2539682539682539,30,14.0,53.0,1.7666666666666666,12.4,67.1,2.2366666666666664,12.5,2.5,-0.1,0.1,-0.2,0.027942604380192,0.552,0.784,0.304,0.6,1.5,W (+21),W (+21)
7.0,7.0,2022-11-02,27-253,NOP,LAL,0,18.33333333333333,2.0,3.0,.667,0.0,1.0,.000,0,0.0,,0.0,1.0,1.0,2.0,0.0,0.0,3.0,1.0,4.0,1.0,+2,2.0,2.0,1.0,18,47,4,39,17,37,30,52,52,8,43,48,50,27,29,45.0,75.0,5.0,59.0,25.0,66.0,47.0,79.0,61.0,25.0,65.0,77.0,79.0,38.0,29.0,0.4,0.6266666666666667,0.8,0.6610169491525424,0.68,0.5606060606060606,0.6382978723404256,0.6582278481012658,0.8524590163934426,0.32,0.6615384615384615,0.6233766233766234,0.6329113924050633,0.7105263157894737,1.0,19,9,7,17,11,8,11,12,19,12,18,6,15,12,16,4.0,37.0,35.0,38.0,28.0,64.0,31.0,56.0,9.0,4.0,17.0,23.0,67.0,63.0,20.0,66.0,43.0,43.0,30.0,68.0,63.0,0.0,0.5135135135135135,0.2571428571428571,0.1842105263157894,0.6071428571428571,0.171875,0.2580645161290322,0.1964285714285714,0.0,0.0,0.7058823529411765,0.0,0.2835820895522388,0.1904761904761904,0.0,0.2727272727272727,0.1395348837209302,0.3488372093023256,0.0,0.1764705882352941,0.2539682539682539,30,1.0,56.0,1.8666666666666667,1.0,64.1,2.1366666666666663,12.5,2.5,-0.1,0.1,-0.2,0.027942604380192,0.552,0.784,0.304,0.6,1.5,L (-3),L (-3)
8.0,8.0,2022-11-04,27-255,NOP,GSW,0,9.4,0.0,1.0,.000,0.0,1.0,.000,0,0.0,,0.0,1.0,1.0,4.0,0.0,0.0,0.0,1.0,0.0,2.0,-4,0.0,0.0,,18,47,4,39,17,37,30,52,52,8,43,48,50,27,29,45.0,75.0,5.0,59.0,25.0,66.0,47.0,79.0,61.0,25.0,65.0,77.0,79.0,38.0,29.0,0.4,0.6266666666666667,0.8,0.6610169491525424,0.68,0.5606060606060606,0.6382978723404256,0.6582278481012658,0.8524590163934426,0.32,0.6615384615384615,0.6233766233766234,0.6329113924050633,0.7105263157894737,1.0,19,9,7,17,11,8,11,12,19,12,18,6,15,12,16,4.0,37.0,35.0,38.0,28.0,64.0,31.0,56.0,9.0,4.0,17.0,23.0,67.0,63.0,20.0,66.0,43.0,43.0,30.0,68.0,63.0,0.0,0.5135135135135135,0.2571428571428571,0.1842105263157894,0.6071428571428571,0.171875,0.2580645161290322,0.1964285714285714,0.0,0.0,0.7058823529411765,0.0,0.2835820895522388,0.1904761904761904,0.0,0.2727272727272727,0.1395348837209302,0.3488372093023256,0.0,0.1764705882352941,0.2539682539682539,30,4.0,59.0,1.9666666666666663,2.0,47.59999999999999,1.5866666666666662,12.5,2.5,-0.1,0.1,-0.2,0.027942604380192,0.552,0.784,0.304,0.6,1.5,W (+9),W (+9)
9.0,9.0,2022-11-05,27-256,NOP,ATL,0,11.016666666666667,0.0,1.0,.000,0.0,1.0,.000,0,0.0,,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,0.0,-1.8,-9,0.0,0.0,,18,47,4,39,17,37,30,52,52,8,43,48,50,27,29,45.0,75.0,5.0,59.0,25.0,66.0,47.0,79.0,61.0,25.0,65.0,77.0,79.0,38.0,29.0,0.4,0.6266666666666667,0.8,0.6610169491525424,0.68,0.5606060606060606,0.6382978723404256,0.6582278481012658,0.8524590163934426,0.32,0.6615384615384615,0.6233766233766234,0.6329113924050633,0.7105263157894737,1.0,19,9,7,17,11,8,11,12,19,12,18,6,15,12,16,4.0,37.0,35.0,38.0,28.0,64.0,31.0,56.0,9.0,4.0,17.0,23.0,67.0,63.0,20.0,66.0,43.0,43.0,30.0,68.0,63.0,0.0,0.5135135135135135,0.2571428571428571,0.1842105263157894,0.6071428571428571,0.171875,0.2580645161290322,0.1964285714285714,0.0,0.0,0.7058823529411765,0.0,0.2835820895522388,0.1904761904761904,0.0,0.2727272727272727,0.1395348837209302,0.3488372093023256,0.0,0.1764705882352941,0.2539682539682539,30,-1.0,66.0,2.2,-1.8,79.69999999999999,2.6566666666666663,12.5,2.5,-0.1,0.1,-0.2,0.027942604380192,0.552,0.784,0.304,0.6,1.5,L (-3),L (-3)
10.0,10.0,2022-11-07,27-258,NOP,IND,0,20.366666666666667,3.0,9.0,.333,3.0,8.0,.375,2,2.0,1.000,0.0,2.0,2.0,4.0,0.0,0.0,0.0,0.0,11.0,9.3,0,1.0,0.0,0.0,18,47,4,39,17,37,30,52,52,8,43,48,50,27,29,45.0,75.0,5.0,59.0,25.0,66.0,47.0,79.0,61.0,25.0,65.0,77.0,79.0,38.0,29.0,0.4,0.6266666666666667,0.8,0.6610169491525424,0.68,0.5606060606060606,0.6382978723404256,0.6582278481012658,0.8524590163934426,0.32,0.6615384615384615,0.6233766233766234,0.6329113924050633,0.7105263157894737,1.0,19,9,7,17,11,8,11,12,19,12,18,6,15,12,16,4.0,37.0,35.0,38.0,28.0,64.0,31.0,56.0,9.0,4.0,17.0,23.0,67.0,63.0,20.0,66.0,43.0,43.0,30.0,68.0,63.0,0.0,0.5135135135135135,0.2571428571428571,0.1842105263157894,0.6071428571428571,0.171875,0.2580645161290322,0.1964285714285714,0.0,0.0,0.7058823529411765,0.0,0.2835820895522388,0.1904761904761904,0.0,0.2727272727272727,0.1395348837209302,0.3488372093023256,0.0,0.1764705882352941,0.2539682539682539,30,6.0,60.0,2.0,8.499999999999996,64.8,2.16,12.5,2.5,-0.1,0.1,-0.2,0.027942604380192,0.552,0.784,0.304,0.6,1.5,L (-7),L (-7)
11.0,11.0,2022-11-09,27-260,NOP,CHI,0,16.366666666666667,1.0,2.0,.500,1.0,2.0,.500,0,0.0,,0.0,1.0,1.0,2.0,1.0,2.0,0.0,1.0,3.0,5.7,+2,0.0,0.0,,18,47,4,39,17,37,30,52,52,8,43,48,50,27,29,45.0,75.0,5.0,59.0,25.0,66.0,47.0,79.0,61.0,25.0,65.0,77.0,79.0,38.0,29.0,0.4,0.6266666666666667,0.8,0.6610169491525424,0.68,0.5606060606060606,0.6382978723404256,0.6582278481012658,0.8524590163934426,0.32,0.6615384615384615,0.6233766233766234,0.6329113924050633,0.7105263157894737,1.0,19,9,7,17,11,8,11,12,19,12,18,6,15,12,16,4.0,37.0,35.0,38.0,28.0,64.0,31.0,56.0,9.0,4.0,17.0,23.0,67.0,63.0,20.0,66.0,43.0,43.0,30.0,68.0,63.0,0.0,0.5135135135135135,0.2571428571428571,0.1842105263157894,0.6071428571428571,0.171875,0.2580645161290322,0.1964285714285714,0.0,0.0,0.7058823529411765,0.0,0.2835820895522388,0.1904761904761904,0.0,0.2727272727272727,0.1395348837209302,0.3488372093023256,0.0,0.1764705882352941,0.2539682539682539,30,7.0,63.0,2.1,5.699999999999999,64.8,2.16,12.5,2.5,-0.1,0.1,-0.2,0.027942604380192,0.552,0.784,0.304,0.6,1.5,W (+4),W (+4)
12.0,12.0,2022-11-10,27-261,NOP,POR,0,7.966666666666667,0.0,1.0,.000,0.0,1.0,.000,0,0.0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-4,0.0,0.0,,18,47,4,39,17,37,30,52,52,8,43,48,50,27,29,45.0,75.0,5.0,59.0,25.0,66.0,47.0,79.0,61.0,25.0,65.0,77.0,79.0,38.0,29.0,0.4,0.6266666666666667,0.8,0.6610169491525424,0.68,0.5606060606060606,0.6382978723404256,0.6582278481012658,0.8524590163934426,0.32,0.6615384615384615,0.6233766233766234,0.6329113924050633,0.7105263157894737,1.0,19,9,7,17,11,8,11,12,19,12,18,6,15,12,16,4.0,37.0,35.0,38.0,28.0,64.0,31.0,56.0,9.0,4.0,17.0,23.0,67.0,63.0,20.0,66.0,43.0,43.0,30.0,68.0,63.0,0.0,0.5135135135135135,0.2571428571428571,0.1842105263157894,0.6071428571428571,0.171875,0.2580645161290322,0.1964285714285714,0.0,0.0,0.7058823529411765,0.0,0.2835820895522388,0.1904761904761904,0.0,0.2727272727272727,0.1395348837209302,0.3488372093023256,0.0,0.1764705882352941,0.2539682539682539,30,0.0,55.0,1.8333333333333333,0.0,56.80000000000001,1.893333333333333,12.5,2.5,-0.1,0.1,-0.2,0.027942604380192,0.552,0.784,0.304,0.6,1.5,L (-11),L (-11)
13.0,13.0,2022-11-12,27-263,NOP,HOU,0,9.316666666666666,2.0,4.0,.500,1.0,2.0,.500,0,0.0,,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,5.0,5.7,-7,2.0,1.0,0.5,18,47,4,39,17,37,30,52,52,8,43,48,50,27,29,45.0,75.0,5.0,59.0,25.0,66.0,47.0,79.0,61.0,25.0,65.0,77.0,79.0,38.0,29.0,0.4,0.6266666666666667,0.8,0.6610169491525424,0.68,0.5606060606060606,0.6382978723404256,0.6582278481012658,0.8524590163934426,0.32,0.6615384615384615,0.6233766233766234,0.6329113924050633,0.7105263157894737,1.0,19,9,7,17,11,8,11,12,19,12,18,6,15,12,16,4.0,37.0,35.0,38.0,28.0,64.0,31.0,56.0,9.0,4.0,17.0,23.0,67.0,63.0,20.0,66.0,43.0,43.0,30.0,68.0,63.0,0.0,0.5135135135135135,0.2571428571428571,0.1842105263157894,0.6071428571428571,0.171875,0.2580645161290322,0.1964285714285714,0.0,0.0,0.7058823529411765,0.0,0.2835820895522388,0.1904761904761904,0.0,0.2727272727272727,0.1395348837209302,0.3488372093023256,0.0,0.1764705882352941,0.2539682539682539,30,4.0,58.0,1.933333333333333,5.7,59.900000000000006,1.9966666666666668,12.5,2.5,-0.1,0.1,-0.2,0.027942604380192,0.552,0.784,0.304,0.6,1.5,W (+13),W (+13)
14.0,14.0,2022-11-15,27-266,NOP,MEM,0,9.483333333333333,0.0,1.0,.000,0.0,1.0,.000,1,2.0,.500,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,1.6,+4,0.0,0.0,,18,47,4,39,17,37,30,52,52,8,43,48,50,27,29,45.0,75.0,5.0,59.0,25.0,66.0,47.0,79.0,61.0,25.0,65.0,77.0,79.0,38.0,29.0,0.4,0.6266666666666667,0.8,0.6610169491525424,0.68,0.5606060606060606,0.6382978723404256,0.6582278481012658,0.8524590163934426,0.32,0.6615384615384615,0.6233766233766234,0.6329113924050633,0.7105263157894737,1.0,19,9,7,17,11,8,11,12,19,12,18,6,15,12,16,4.0,37.0,35.0,38.0,28.0,64.0,31.0,56.0,9.0,4.0,17.0,23.0,67.0,63.0,20.0,66.0,43.0,43.0,30.0,68.0,63.0,0.0,0.5135135135135135,0.2571428571428571,0.1842105263157894,0.6071428571428571,0.171875,0.2580645161290322,0.1964285714285714,0.0,0.0,0.7058823529411765,0.0,0.2835820895522388,0.1904761904761904,0.0,0.2727272727272727,0.1395348837209302,0.3488372093023256,0.0,0.1764705882352941,0.2539682539682539,30,1.0,16.0,0.5333333333333333,1.2,32.0,1.0666666666666669,12.5,2.5,-0.1,0.1,-0.2,0.027942604380192,0.552,0.784,0.304,0.6,1.5,W (+11),W (+11)
