Rk,G,Date,Age,Tm,Opp,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Chris Boucher,Shared Games with Christian Koloko,Shared Games with Dalano Banton,Shared Games with Gary Trent Jr.,Shared Games with Jeff Dowtin,Shared Games with Joe Wieskamp,Shared Games with Juancho Hernangómez,Shared Games with Justin Champagnie,Shared Games with Khem Birch,Shared Games with Malachi Flynn,Shared Games with OG Anunoby,Shared Games with Otto Porter Jr.,Shared Games with Pascal Siakam,Shared Games with Precious Achiuwa,Shared Games with Ron Harper Jr.,Shared Games with Scottie Barnes,Shared Games with Thaddeus Young,Chris Boucher,Christian Koloko,Dalano Banton,Gary Trent Jr.,Jeff Dowtin,Joe Wieskamp,Juancho Hernangómez,Justin Champagnie,Khem Birch,Malachi Flynn,OG Anunoby,Otto Porter Jr.,Pascal Siakam,Precious Achiuwa,Ron Harper Jr.,Scottie Barnes,Thaddeus Young,co_inf with Chris Boucher,co_inf with Christian Koloko,co_inf with Dalano Banton,co_inf with Gary Trent Jr.,co_inf with Jeff Dowtin,co_inf with Joe Wieskamp,co_inf with Juancho Hernangómez,co_inf with Justin Champagnie,co_inf with Khem Birch,co_inf with Malachi Flynn,co_inf with OG Anunoby,co_inf with Otto Porter Jr.,co_inf with Pascal Siakam,co_inf with Precious Achiuwa,co_inf with Ron Harper Jr.,co_inf with Scottie Barnes,co_inf with Thaddeus Young,Shared Games with Jakob Poeltl,Jakob Poeltl,Luke Kornet,co_inf with Jakob Poeltl,co_inf with Luke Kornet,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS,PER,WS,BPM,OBPM,DBPM,Co_Points_Share,TS%,3PAr,FTr,VORP,OWS,New Column,Result
1.0,1.0,2022-10-19,28-236,TOR,CLE,1,38.68333333333333,4.0,9.0,.444,3.0,6.0,.500,4,4.0,1.000,1.0,1.0,2.0,5.0,4.0,0.0,1.0,3.0,15.0,16.6,+7,3.0,1.0,0.3333333333333333,63,48,24,54,16,5,33,2,15,43,55,4,62,47,5,65,45,76.0,58.0,31.0,66.0,25.0,9.0,42.0,5.0,20.0,53.0,67.0,8.0,71.0,55.0,9.0,77.0,54.0,0.8289473684210527,0.8275862068965517,0.7741935483870968,0.8181818181818182,0.64,0.5555555555555556,0.7857142857142857,0.4,0.75,0.8113207547169812,0.8208955223880597,0.5,0.8732394366197183,0.8545454545454545,0.5555555555555556,0.8441558441558441,0.8333333333333334,23,72.0,69.0,0.3194444444444444,0.0,18,12.0,53.0,2.9444444444444446,15.0,70.0,3.888888888888889,17.0,6.5,2.5,2.0,0.5,0.1442619407823643,0.54,0.545,0.254,2.9,3.7,W (+3),W (+3)
2.0,2.0,2022-10-21,28-238,TOR,BRK,1,37.91666666666666,7.0,11.0,.636,4.0,6.0,.667,0,0.0,,1.0,6.0,7.0,9.0,4.0,1.0,0.0,3.0,18.0,25.4,+3,5.0,3.0,0.6,63,48,24,54,16,5,33,2,15,43,55,4,62,47,5,65,45,76.0,58.0,31.0,66.0,25.0,9.0,42.0,5.0,20.0,53.0,67.0,8.0,71.0,55.0,9.0,77.0,54.0,0.8289473684210527,0.8275862068965517,0.7741935483870968,0.8181818181818182,0.64,0.5555555555555556,0.7857142857142857,0.4,0.75,0.8113207547169812,0.8208955223880597,0.5,0.8732394366197183,0.8545454545454545,0.5555555555555556,0.8441558441558441,0.8333333333333334,23,72.0,69.0,0.3194444444444444,0.0,18,28.0,48.0,2.6666666666666665,25.40000000000001,69.39999999999998,3.8555555555555534,17.0,6.5,2.5,2.0,0.5,0.1442619407823643,0.54,0.545,0.254,2.9,3.7,L (-4),L (-4)
3.0,3.0,2022-10-22,28-239,TOR,MIA,1,38.81666666666667,2.0,9.0,.222,1.0,6.0,.167,2,2.0,1.000,1.0,1.0,2.0,10.0,3.0,0.0,1.0,5.0,7.0,9.5,+6,3.0,1.0,0.3333333333333333,63,48,24,54,16,5,33,2,15,43,55,4,62,47,5,65,45,76.0,58.0,31.0,66.0,25.0,9.0,42.0,5.0,20.0,53.0,67.0,8.0,71.0,55.0,9.0,77.0,54.0,0.8289473684210527,0.8275862068965517,0.7741935483870968,0.8181818181818182,0.64,0.5555555555555556,0.7857142857142857,0.4,0.75,0.8113207547169812,0.8208955223880597,0.5,0.8732394366197183,0.8545454545454545,0.5555555555555556,0.8441558441558441,0.8333333333333334,23,72.0,69.0,0.3194444444444444,0.0,18,10.0,69.0,3.8333333333333335,8.7,85.1,4.727777777777778,17.0,6.5,2.5,2.0,0.5,0.1442619407823643,0.54,0.545,0.254,2.9,3.7,L (-3),L (-3)
4.0,4.0,2022-10-24,28-241,TOR,MIA,1,39.21666666666667,6.0,16.0,.375,4.0,6.0,.667,8,9.0,.889,2.0,2.0,4.0,9.0,1.0,0.0,2.0,1.0,24.0,21.7,+13,10.0,2.0,0.2,63,48,24,54,16,5,33,2,15,43,55,4,62,47,5,65,45,76.0,58.0,31.0,66.0,25.0,9.0,42.0,5.0,20.0,53.0,67.0,8.0,71.0,55.0,9.0,77.0,54.0,0.8289473684210527,0.8275862068965517,0.7741935483870968,0.8181818181818182,0.64,0.5555555555555556,0.7857142857142857,0.4,0.75,0.8113207547169812,0.8208955223880597,0.5,0.8732394366197183,0.8545454545454545,0.5555555555555556,0.8441558441558441,0.8333333333333334,23,72.0,69.0,0.3194444444444444,0.0,18,11.0,74.0,4.111111111111111,18.5,64.9,3.605555555555556,17.0,6.5,2.5,2.0,0.5,0.1442619407823643,0.54,0.545,0.254,2.9,3.7,W (+8),W (+8)
5.0,5.0,2022-10-26,28-243,TOR,PHI,1,38.833333333333336,5.0,12.0,.417,2.0,5.0,.400,3,3.0,1.000,0.0,6.0,6.0,8.0,2.0,3.0,2.0,1.0,15.0,17.7,+8,7.0,3.0,0.4285714285714285,63,48,24,54,16,5,33,2,15,43,55,4,62,47,5,65,45,76.0,58.0,31.0,66.0,25.0,9.0,42.0,5.0,20.0,53.0,67.0,8.0,71.0,55.0,9.0,77.0,54.0,0.8289473684210527,0.8275862068965517,0.7741935483870968,0.8181818181818182,0.64,0.5555555555555556,0.7857142857142857,0.4,0.75,0.8113207547169812,0.8208955223880597,0.5,0.8732394366197183,0.8545454545454545,0.5555555555555556,0.8441558441558441,0.8333333333333334,23,72.0,69.0,0.3194444444444444,0.0,18,17.0,99.0,5.5,16.500000000000004,100.90000000000002,5.605555555555557,17.0,6.5,2.5,2.0,0.5,0.1442619407823643,0.54,0.545,0.254,2.9,3.7,W (+10),W (+10)
6.0,6.0,2022-10-28,28-245,TOR,PHI,1,34.21666666666667,0.0,11.0,.000,0.0,8.0,.000,1,3.0,.333,1.0,2.0,3.0,5.0,1.0,0.0,1.0,3.0,1.0,-3.9,-19,3.0,0.0,0.0,63,48,24,54,16,5,33,2,15,43,55,4,62,47,5,65,45,76.0,58.0,31.0,66.0,25.0,9.0,42.0,5.0,20.0,53.0,67.0,8.0,71.0,55.0,9.0,77.0,54.0,0.8289473684210527,0.8275862068965517,0.7741935483870968,0.8181818181818182,0.64,0.5555555555555556,0.7857142857142857,0.4,0.75,0.8113207547169812,0.8208955223880597,0.5,0.8732394366197183,0.8545454545454545,0.5555555555555556,0.8441558441558441,0.8333333333333334,23,72.0,69.0,0.3194444444444444,0.0,18,-5.0,77.0,4.277777777777778,-4.3,81.29999999999998,4.516666666666666,17.0,6.5,2.5,2.0,0.5,0.1442619407823643,0.54,0.545,0.254,2.9,3.7,L (-22),L (-22)
7.0,,2022-10-31,28-248,TOR,ATL,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,63,48,24,54,16,5,33,2,15,43,55,4,62,47,5,65,45,76.0,58.0,31.0,66.0,25.0,9.0,42.0,5.0,20.0,53.0,67.0,8.0,71.0,55.0,9.0,77.0,54.0,0.8289473684210527,0.8275862068965517,0.7741935483870968,0.8181818181818182,0.64,0.5555555555555556,0.7857142857142857,0.4,0.75,0.8113207547169812,0.8208955223880597,0.5,0.8732394366197183,0.8545454545454545,0.5555555555555556,0.8441558441558441,0.8333333333333334,23,72.0,69.0,0.3194444444444444,0.0,18,,111.0,6.166666666666667,0.0,124.29999999999998,6.905555555555555,17.0,6.5,2.5,2.0,0.5,0.1442619407823643,0.54,0.545,0.254,2.9,3.7,W (+30),W (+30)
8.0,,2022-11-02,28-250,TOR,SAS,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,63,48,24,54,16,5,33,2,15,43,55,4,62,47,5,65,45,76.0,58.0,31.0,66.0,25.0,9.0,42.0,5.0,20.0,53.0,67.0,8.0,71.0,55.0,9.0,77.0,54.0,0.8289473684210527,0.8275862068965517,0.7741935483870968,0.8181818181818182,0.64,0.5555555555555556,0.7857142857142857,0.4,0.75,0.8113207547169812,0.8208955223880597,0.5,0.8732394366197183,0.8545454545454545,0.5555555555555556,0.8441558441558441,0.8333333333333334,23,72.0,69.0,0.3194444444444444,0.0,18,,123.0,6.833333333333333,0.0,130.1,7.227777777777778,17.0,6.5,2.5,2.0,0.5,0.1442619407823643,0.54,0.545,0.254,2.9,3.7,W (+43),W (+43)
9.0,,2022-11-04,28-252,TOR,DAL,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,63,48,24,54,16,5,33,2,15,43,55,4,62,47,5,65,45,76.0,58.0,31.0,66.0,25.0,9.0,42.0,5.0,20.0,53.0,67.0,8.0,71.0,55.0,9.0,77.0,54.0,0.8289473684210527,0.8275862068965517,0.7741935483870968,0.8181818181818182,0.64,0.5555555555555556,0.7857142857142857,0.4,0.75,0.8113207547169812,0.8208955223880597,0.5,0.8732394366197183,0.8545454545454545,0.5555555555555556,0.8441558441558441,0.8333333333333334,23,72.0,69.0,0.3194444444444444,0.0,18,,64.0,3.555555555555556,0.0,79.40000000000002,4.411111111111112,17.0,6.5,2.5,2.0,0.5,0.1442619407823643,0.54,0.545,0.254,2.9,3.7,L (-1),L (-1)
10.0,7.0,2022-11-06,28-254,TOR,CHI,1,39.333333333333336,9.0,22.0,.409,5.0,13.0,.385,7,7.0,1.000,0.0,5.0,5.0,11.0,0.0,0.0,1.0,1.0,30.0,26.0,+27,9.0,4.0,0.4444444444444444,63,48,24,54,16,5,33,2,15,43,55,4,62,47,5,65,45,76.0,58.0,31.0,66.0,25.0,9.0,42.0,5.0,20.0,53.0,67.0,8.0,71.0,55.0,9.0,77.0,54.0,0.8289473684210527,0.8275862068965517,0.7741935483870968,0.8181818181818182,0.64,0.5555555555555556,0.7857142857142857,0.4,0.75,0.8113207547169812,0.8208955223880597,0.5,0.8732394366197183,0.8545454545454545,0.5555555555555556,0.8441558441558441,0.8333333333333334,23,72.0,69.0,0.3194444444444444,0.0,18,16.0,76.0,4.222222222222222,23.2,85.80000000000001,4.766666666666668,17.0,6.5,2.5,2.0,0.5,0.1442619407823643,0.54,0.545,0.254,2.9,3.7,W (+9),W (+9)
