Rk,G,Date,Age,Tm,Opp,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Chris Boucher,Shared Games with Christian Koloko,Shared Games with Dalano Banton,Shared Games with Fred VanVleet,Shared Games with Gary Trent Jr.,Shared Games with Jeff Dowtin,Shared Games with Joe Wieskamp,Shared Games with Juancho Hernangómez,Shared Games with Justin Champagnie,Shared Games with Khem Birch,Shared Games with Malachi Flynn,Shared Games with Otto Porter Jr.,Shared Games with Pascal Siakam,Shared Games with Precious Achiuwa,Shared Games with Ron Harper Jr.,Shared Games with Scottie Barnes,Shared Games with Thaddeus Young,Chris Boucher,Christian Koloko,Dalano Banton,Fred VanVleet,Gary Trent Jr.,Jeff Dowtin,Joe Wieskamp,Juancho Hernangómez,Justin Champagnie,Khem Birch,Malachi Flynn,Otto Porter Jr.,Pascal Siakam,Precious Achiuwa,Ron Harper Jr.,Scottie Barnes,Thaddeus Young,co_inf with Chris Boucher,co_inf with Christian Koloko,co_inf with Dalano Banton,co_inf with Fred VanVleet,co_inf with Gary Trent Jr.,co_inf with Jeff Dowtin,co_inf with Joe Wieskamp,co_inf with Juancho Hernangómez,co_inf with Justin Champagnie,co_inf with Khem Birch,co_inf with Malachi Flynn,co_inf with Otto Porter Jr.,co_inf with Pascal Siakam,co_inf with Precious Achiuwa,co_inf with Ron Harper Jr.,co_inf with Scottie Barnes,co_inf with Thaddeus Young,Shared Games with Jakob Poeltl,Jakob Poeltl,Luke Kornet,co_inf with Jakob Poeltl,co_inf with Luke Kornet,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS,PER,WS,BPM,OBPM,DBPM,Co_Points_Share,TS%,3PAr,FTr,VORP,OWS,New Column,Result
1.0,1.0,2022-10-19,25-094,TOR,CLE,1.0,37.55,5.0,12.0,0.417,2.0,5.0,0.4,6.0,7.0,0.857,1.0,6.0,7.0,5.0,3.0,1.0,3.0,4.0,18.0,16.3,9.0,7.0,3.0,0.4285714285714285,61,48,23,55,55,22,9,34,3,17,41,8,57,44,7,62,41,76.0,58.0,31.0,69.0,66.0,25.0,9.0,42.0,5.0,20.0,53.0,8.0,71.0,55.0,9.0,77.0,54.0,0.8026315789473685,0.8275862068965517,0.7419354838709677,0.7971014492753623,0.8333333333333334,0.88,1.0,0.8095238095238095,0.6,0.85,0.7735849056603774,1.0,0.8028169014084507,0.8,0.7777777777777778,0.8051948051948052,0.7592592592592593,22,72.0,69.0,0.3055555555555556,0.0,18,12.0,53.0,2.9444444444444446,13.9,71.1,3.95,14.6,4.7,0.4,-0.3,0.7,0.1214609898422303,0.586,0.415,0.189,1.5,1.8,W (+3),W (+3)
2.0,2.0,2022-10-21,25-096,TOR,BRK,1.0,37.25,3.0,9.0,0.333,2.0,4.0,0.5,2.0,2.0,1.0,1.0,4.0,5.0,1.0,1.0,1.0,3.0,4.0,10.0,4.6,4.0,5.0,1.0,0.2,61,48,23,55,55,22,9,34,3,17,41,8,57,44,7,62,41,76.0,58.0,31.0,69.0,66.0,25.0,9.0,42.0,5.0,20.0,53.0,8.0,71.0,55.0,9.0,77.0,54.0,0.8026315789473685,0.8275862068965517,0.7419354838709677,0.7971014492753623,0.8333333333333334,0.88,1.0,0.8095238095238095,0.6,0.85,0.7735849056603774,1.0,0.8028169014084507,0.8,0.7777777777777778,0.8051948051948052,0.7592592592592593,22,72.0,69.0,0.3055555555555556,0.0,18,4.0,72.0,4.0,3.7999999999999954,91.0,5.055555555555555,14.6,4.7,0.4,-0.3,0.7,0.1214609898422303,0.586,0.415,0.189,1.5,1.8,L (-4),L (-4)
3.0,3.0,2022-10-22,25-097,TOR,MIA,1.0,38.35,5.0,14.0,0.357,3.0,6.0,0.5,0.0,0.0,,1.0,8.0,9.0,0.0,1.0,1.0,0.0,3.0,13.0,8.8,4.0,8.0,2.0,0.25,61,48,23,55,55,22,9,34,3,17,41,8,57,44,7,62,41,76.0,58.0,31.0,69.0,66.0,25.0,9.0,42.0,5.0,20.0,53.0,8.0,71.0,55.0,9.0,77.0,54.0,0.8026315789473685,0.8275862068965517,0.7419354838709677,0.7971014492753623,0.8333333333333334,0.88,1.0,0.8095238095238095,0.6,0.85,0.7735849056603774,1.0,0.8028169014084507,0.8,0.7777777777777778,0.8051948051948052,0.7592592592592593,22,72.0,69.0,0.3055555555555556,0.0,18,10.0,69.0,3.8333333333333335,8.799999999999997,84.99999999999999,4.722222222222221,14.6,4.7,0.4,-0.3,0.7,0.1214609898422303,0.586,0.415,0.189,1.5,1.8,L (-3),L (-3)
4.0,4.0,2022-10-24,25-099,TOR,MIA,1.0,33.516666666666666,2.0,4.0,0.5,1.0,3.0,0.333,1.0,2.0,0.5,0.0,7.0,7.0,0.0,2.0,1.0,3.0,5.0,6.0,3.4,16.0,1.0,1.0,1.0,61,48,23,55,55,22,9,34,3,17,41,8,57,44,7,62,41,76.0,58.0,31.0,69.0,66.0,25.0,9.0,42.0,5.0,20.0,53.0,8.0,71.0,55.0,9.0,77.0,54.0,0.8026315789473685,0.8275862068965517,0.7419354838709677,0.7971014492753623,0.8333333333333334,0.88,1.0,0.8095238095238095,0.6,0.85,0.7735849056603774,1.0,0.8028169014084507,0.8,0.7777777777777778,0.8051948051948052,0.7592592592592593,22,72.0,69.0,0.3055555555555556,0.0,18,7.0,78.0,4.333333333333333,3.0,80.4,4.466666666666667,14.6,4.7,0.4,-0.3,0.7,0.1214609898422303,0.586,0.415,0.189,1.5,1.8,W (+8),W (+8)
5.0,5.0,2022-10-26,25-101,TOR,PHI,1.0,34.416666666666664,6.0,10.0,0.6,1.0,3.0,0.333,2.0,2.0,1.0,0.0,2.0,2.0,1.0,3.0,0.0,1.0,4.0,15.0,12.1,3.0,7.0,5.0,0.7142857142857143,61,48,23,55,55,22,9,34,3,17,41,8,57,44,7,62,41,76.0,58.0,31.0,69.0,66.0,25.0,9.0,42.0,5.0,20.0,53.0,8.0,71.0,55.0,9.0,77.0,54.0,0.8026315789473685,0.8275862068965517,0.7419354838709677,0.7971014492753623,0.8333333333333334,0.88,1.0,0.8095238095238095,0.6,0.85,0.7735849056603774,1.0,0.8028169014084507,0.8,0.7777777777777778,0.8051948051948052,0.7592592592592593,22,72.0,69.0,0.3055555555555556,0.0,18,8.0,108.0,6.0,11.3,106.1,5.894444444444444,14.6,4.7,0.4,-0.3,0.7,0.1214609898422303,0.586,0.415,0.189,1.5,1.8,W (+10),W (+10)
6.0,6.0,2022-10-28,25-103,TOR,PHI,1.0,35.81666666666667,7.0,16.0,0.438,2.0,7.0,0.286,3.0,5.0,0.6,3.0,6.0,9.0,2.0,2.0,1.0,2.0,2.0,19.0,15.0,-12.0,9.0,5.0,0.5555555555555556,61,48,23,55,55,22,9,34,3,17,41,8,57,44,7,62,41,76.0,58.0,31.0,69.0,66.0,25.0,9.0,42.0,5.0,20.0,53.0,8.0,71.0,55.0,9.0,77.0,54.0,0.8026315789473685,0.8275862068965517,0.7419354838709677,0.7971014492753623,0.8333333333333334,0.88,1.0,0.8095238095238095,0.6,0.85,0.7735849056603774,1.0,0.8028169014084507,0.8,0.7777777777777778,0.8051948051948052,0.7592592592592593,22,72.0,69.0,0.3055555555555556,0.0,18,10.0,62.0,3.4444444444444446,13.799999999999995,63.19999999999999,3.51111111111111,14.6,4.7,0.4,-0.3,0.7,0.1214609898422303,0.586,0.415,0.189,1.5,1.8,L (-22),L (-22)
7.0,7.0,2022-10-31,25-106,TOR,ATL,1.0,31.6,5.0,10.0,0.5,2.0,7.0,0.286,2.0,2.0,1.0,1.0,5.0,6.0,3.0,6.0,2.0,1.0,5.0,14.0,17.7,12.0,3.0,3.0,1.0,61,48,23,55,55,22,9,34,3,17,41,8,57,44,7,62,41,76.0,58.0,31.0,69.0,66.0,25.0,9.0,42.0,5.0,20.0,53.0,8.0,71.0,55.0,9.0,77.0,54.0,0.8026315789473685,0.8275862068965517,0.7419354838709677,0.7971014492753623,0.8333333333333334,0.88,1.0,0.8095238095238095,0.6,0.85,0.7735849056603774,1.0,0.8028169014084507,0.8,0.7777777777777778,0.8051948051948052,0.7592592592592593,22,72.0,69.0,0.3055555555555556,0.0,18,18.0,93.0,5.166666666666667,16.899999999999995,107.39999999999998,5.966666666666665,14.6,4.7,0.4,-0.3,0.7,0.1214609898422303,0.586,0.415,0.189,1.5,1.8,W (+30),W (+30)
8.0,8.0,2022-11-02,25-108,TOR,SAS,1.0,24.35,7.0,12.0,0.583,1.0,3.0,0.333,3.0,3.0,1.0,1.0,4.0,5.0,3.0,5.0,1.0,2.0,2.0,18.0,19.3,28.0,9.0,6.0,0.6666666666666666,61,48,23,55,55,22,9,34,3,17,41,8,57,44,7,62,41,76.0,58.0,31.0,69.0,66.0,25.0,9.0,42.0,5.0,20.0,53.0,8.0,71.0,55.0,9.0,77.0,54.0,0.8026315789473685,0.8275862068965517,0.7419354838709677,0.7971014492753623,0.8333333333333334,0.88,1.0,0.8095238095238095,0.6,0.85,0.7735849056603774,1.0,0.8028169014084507,0.8,0.7777777777777778,0.8051948051948052,0.7592592592592593,22,72.0,69.0,0.3055555555555556,0.0,18,15.0,108.0,6.0,18.1,111.99999999999996,6.22222222222222,14.6,4.7,0.4,-0.3,0.7,0.1214609898422303,0.586,0.415,0.189,1.5,1.8,W (+43),W (+43)
9.0,9.0,2022-11-04,25-110,TOR,DAL,1.0,38.18333333333333,11.0,21.0,0.524,4.0,6.0,0.667,1.0,1.0,1.0,2.0,5.0,7.0,1.0,5.0,0.0,4.0,4.0,27.0,19.7,-2.0,15.0,7.0,0.4666666666666667,61,48,23,55,55,22,9,34,3,17,41,8,57,44,7,62,41,76.0,58.0,31.0,69.0,66.0,25.0,9.0,42.0,5.0,20.0,53.0,8.0,71.0,55.0,9.0,77.0,54.0,0.8026315789473685,0.8275862068965517,0.7419354838709677,0.7971014492753623,0.8333333333333334,0.88,1.0,0.8095238095238095,0.6,0.85,0.7735849056603774,1.0,0.8028169014084507,0.8,0.7777777777777778,0.8051948051948052,0.7592592592592593,22,72.0,69.0,0.3055555555555556,0.0,18,14.0,50.0,2.7777777777777777,19.3,60.1,3.338888888888889,14.6,4.7,0.4,-0.3,0.7,0.1214609898422303,0.586,0.415,0.189,1.5,1.8,L (-1),L (-1)
10.0,10.0,2022-11-06,25-112,TOR,CHI,1.0,38.3,10.0,19.0,0.526,2.0,5.0,0.4,0.0,0.0,,4.0,2.0,6.0,3.0,3.0,1.0,1.0,3.0,22.0,19.7,24.0,14.0,8.0,0.5714285714285714,61,48,23,55,55,22,9,34,3,17,41,8,57,44,7,62,41,76.0,58.0,31.0,69.0,66.0,25.0,9.0,42.0,5.0,20.0,53.0,8.0,71.0,55.0,9.0,77.0,54.0,0.8026315789473685,0.8275862068965517,0.7419354838709677,0.7971014492753623,0.8333333333333334,0.88,1.0,0.8095238095238095,0.6,0.85,0.7735849056603774,1.0,0.8028169014084507,0.8,0.7777777777777778,0.8051948051948052,0.7592592592592593,22,72.0,69.0,0.3055555555555556,0.0,18,15.0,77.0,4.277777777777778,19.700000000000014,89.3,4.961111111111111,14.6,4.7,0.4,-0.3,0.7,0.1214609898422303,0.586,0.415,0.189,1.5,1.8,W (+9),W (+9)
