Rk,G,Date,Age,Tm,Opp,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Collin Sexton,Shared Games with Jarred Vanderbilt,Shared Games with Jordan Clarkson,Shared Games with Kelly Olynyk,Shared Games with Kris Dunn,Shared Games with Lauri Markkanen,Shared Games with Luka Šamanić,Shared Games with Malik Beasley,Shared Games with Micah Potter,Shared Games with Mike Conley,Shared Games with Nickeil Alexander-Walker,Shared Games with Ochai Agbaji,Shared Games with Rudy Gay,Shared Games with Simone Fontecchio,Shared Games with Talen Horton-Tucker,Shared Games with Udoka Azubuike,Shared Games with Walker Kessler,Collin Sexton,Frank Jackson,Jarred Vanderbilt,Jarrell Brantley,Johnny Juzang,Jordan Clarkson,Kelly Olynyk,Kris Dunn,Lauri Markkanen,Luka Šamanić,Malik Beasley,Micah Potter,Mike Conley,Nickeil Alexander-Walker,Ochai Agbaji,Rudy Gay,Simone Fontecchio,Talen Horton-Tucker,Udoka Azubuike,Walker Kessler,co_inf with Collin Sexton,co_inf with Frank Jackson,co_inf with Jarred Vanderbilt,co_inf with Jarrell Brantley,co_inf with Johnny Juzang,co_inf with Jordan Clarkson,co_inf with Kelly Olynyk,co_inf with Kris Dunn,co_inf with Lauri Markkanen,co_inf with Luka Šamanić,co_inf with Malik Beasley,co_inf with Micah Potter,co_inf with Mike Conley,co_inf with Nickeil Alexander-Walker,co_inf with Ochai Agbaji,co_inf with Rudy Gay,co_inf with Simone Fontecchio,co_inf with Talen Horton-Tucker,co_inf with Udoka Azubuike,co_inf with Walker Kessler,Damian Jones,Juan Toscano-Anderson,Malcolm Brogdon,co_inf with Damian Jones,co_inf with Juan Toscano-Anderson,co_inf with Malcolm Brogdon,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS,PER,WS,BPM,OBPM,DBPM,Co_Points_Share,TS%,3PAr,FTr,VORP,OWS,New Column,Result
1.0,1.0,2022-10-19,22-038,UTA,DEN,0,0.9166666666666666,0.0,0.0,,0.0,0.0,,0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,+4,0.0,0.0,,9,12,13,8,3,13,2,13,2,11,13,14,12,11,13,12,13,48.0,1.0,78.0,4.0,18.0,61.0,68.0,22.0,66.0,7,81.0,7.0,67.0,59.0,59.0,56.0,52.0,65.0,36.0,74.0,0.1875,0.0,0.1538461538461538,0.0,0.0,0.2131147540983606,0.1176470588235294,0.1363636363636363,0.1969696969696969,0.2857142857142857,0.1604938271604938,0.2857142857142857,0.1641791044776119,0.2203389830508474,0.2372881355932203,0.2142857142857142,0.2115384615384615,0.2,0.3333333333333333,0.1756756756756756,41.0,52.0,67.0,0.0,0.0,0.0,17,0.0,62.0,3.647058823529412,0.0,68.3,4.017647058823529,-5.0,-0.3,-14.7,-12.4,-2.3,0.000625,0.15,0.2,0.0,-0.2,-0.4,W (+21),W (+21)
2.0,,2022-10-21,22-040,UTA,MIN,Did Not Play,0.0,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,9,12,13,8,3,13,2,13,2,11,13,14,12,11,13,12,13,48.0,1.0,78.0,4.0,18.0,61.0,68.0,22.0,66.0,7,81.0,7.0,67.0,59.0,59.0,56.0,52.0,65.0,36.0,74.0,0.1875,0.0,0.1538461538461538,0.0,0.0,0.2131147540983606,0.1176470588235294,0.1363636363636363,0.1969696969696969,0.2857142857142857,0.1604938271604938,0.2857142857142857,0.1641791044776119,0.2203389830508474,0.2372881355932203,0.2142857142857142,0.2115384615384615,0.2,0.3333333333333333,0.1756756756756756,41.0,52.0,67.0,0.0,0.0,0.0,17,,101.0,5.941176470588236,0.0,103.2,6.070588235294117,-5.0,-0.3,-14.7,-12.4,-2.3,0.000625,0.15,0.2,0.0,-0.2,-0.4,W (+6),W (+6)
3.0,,2022-10-23,22-042,UTA,NOP,Did Not Play,0.0,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,9,12,13,8,3,13,2,13,2,11,13,14,12,11,13,12,13,48.0,1.0,78.0,4.0,18.0,61.0,68.0,22.0,66.0,7,81.0,7.0,67.0,59.0,59.0,56.0,52.0,65.0,36.0,74.0,0.1875,0.0,0.1538461538461538,0.0,0.0,0.2131147540983606,0.1176470588235294,0.1363636363636363,0.1969696969696969,0.2857142857142857,0.1604938271604938,0.2857142857142857,0.1641791044776119,0.2203389830508474,0.2372881355932203,0.2142857142857142,0.2115384615384615,0.2,0.3333333333333333,0.1756756756756756,41.0,52.0,67.0,0.0,0.0,0.0,17,,68.0,4.0,0.0,82.0,4.823529411764706,-5.0,-0.3,-14.7,-12.4,-2.3,0.000625,0.15,0.2,0.0,-0.2,-0.4,W (+1),W (+1)
4.0,,2022-10-24,22-043,UTA,HOU,Did Not Play,0.0,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,9,12,13,8,3,13,2,13,2,11,13,14,12,11,13,12,13,48.0,1.0,78.0,4.0,18.0,61.0,68.0,22.0,66.0,7,81.0,7.0,67.0,59.0,59.0,56.0,52.0,65.0,36.0,74.0,0.1875,0.0,0.1538461538461538,0.0,0.0,0.2131147540983606,0.1176470588235294,0.1363636363636363,0.1969696969696969,0.2857142857142857,0.1604938271604938,0.2857142857142857,0.1641791044776119,0.2203389830508474,0.2372881355932203,0.2142857142857142,0.2115384615384615,0.2,0.3333333333333333,0.1756756756756756,41.0,52.0,67.0,0.0,0.0,0.0,17,,84.0,4.941176470588236,0.0,70.3,4.135294117647058,-5.0,-0.3,-14.7,-12.4,-2.3,0.000625,0.15,0.2,0.0,-0.2,-0.4,L (-6),L (-6)
5.0,,2022-10-26,22-045,UTA,HOU,Did Not Play,0.0,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,9,12,13,8,3,13,2,13,2,11,13,14,12,11,13,12,13,48.0,1.0,78.0,4.0,18.0,61.0,68.0,22.0,66.0,7,81.0,7.0,67.0,59.0,59.0,56.0,52.0,65.0,36.0,74.0,0.1875,0.0,0.1538461538461538,0.0,0.0,0.2131147540983606,0.1176470588235294,0.1363636363636363,0.1969696969696969,0.2857142857142857,0.1604938271604938,0.2857142857142857,0.1641791044776119,0.2203389830508474,0.2372881355932203,0.2142857142857142,0.2115384615384615,0.2,0.3333333333333333,0.1756756756756756,41.0,52.0,67.0,0.0,0.0,0.0,17,,87.0,5.117647058823529,0.0,72.39999999999998,4.258823529411764,-5.0,-0.3,-14.7,-12.4,-2.3,0.000625,0.15,0.2,0.0,-0.2,-0.4,W (+8),W (+8)
6.0,2.0,2022-10-28,22-047,UTA,DEN,0,15.3,1.0,3.0,.333,0.0,1.0,.000,0,0.0,,1.0,0.0,1.0,2.0,0.0,1.0,1.0,3.0,2.0,0.9,+16,2.0,1.0,0.5,9,12,13,8,3,13,2,13,2,11,13,14,12,11,13,12,13,48.0,1.0,78.0,4.0,18.0,61.0,68.0,22.0,66.0,7,81.0,7.0,67.0,59.0,59.0,56.0,52.0,65.0,36.0,74.0,0.1875,0.0,0.1538461538461538,0.0,0.0,0.2131147540983606,0.1176470588235294,0.1363636363636363,0.1969696969696969,0.2857142857142857,0.1604938271604938,0.2857142857142857,0.1641791044776119,0.2203389830508474,0.2372881355932203,0.2142857142857142,0.2115384615384615,0.2,0.3333333333333333,0.1756756756756756,41.0,52.0,67.0,0.0,0.0,0.0,17,2.0,73.0,4.294117647058823,0.9000000000000004,67.6,3.9764705882352938,-5.0,-0.3,-14.7,-12.4,-2.3,0.000625,0.15,0.2,0.0,-0.2,-0.4,L (-16),L (-16)
7.0,,2022-10-29,22-048,UTA,MEM,Did Not Play,0.0,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,9,12,13,8,3,13,2,13,2,11,13,14,12,11,13,12,13,48.0,1.0,78.0,4.0,18.0,61.0,68.0,22.0,66.0,7,81.0,7.0,67.0,59.0,59.0,56.0,52.0,65.0,36.0,74.0,0.1875,0.0,0.1538461538461538,0.0,0.0,0.2131147540983606,0.1176470588235294,0.1363636363636363,0.1969696969696969,0.2857142857142857,0.1604938271604938,0.2857142857142857,0.1641791044776119,0.2203389830508474,0.2372881355932203,0.2142857142857142,0.2115384615384615,0.2,0.3333333333333333,0.1756756756756756,41.0,52.0,67.0,0.0,0.0,0.0,17,,66.0,3.882352941176471,0.0,81.70000000000002,4.805882352941177,-5.0,-0.3,-14.7,-12.4,-2.3,0.000625,0.15,0.2,0.0,-0.2,-0.4,W (+1),W (+1)
8.0,,2022-10-31,22-050,UTA,MEM,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,9,12,13,8,3,13,2,13,2,11,13,14,12,11,13,12,13,48.0,1.0,78.0,4.0,18.0,61.0,68.0,22.0,66.0,7,81.0,7.0,67.0,59.0,59.0,56.0,52.0,65.0,36.0,74.0,0.1875,0.0,0.1538461538461538,0.0,0.0,0.2131147540983606,0.1176470588235294,0.1363636363636363,0.1969696969696969,0.2857142857142857,0.1604938271604938,0.2857142857142857,0.1641791044776119,0.2203389830508474,0.2372881355932203,0.2142857142857142,0.2115384615384615,0.2,0.3333333333333333,0.1756756756756756,41.0,52.0,67.0,0.0,0.0,0.0,17,,62.0,3.647058823529412,0.0,59.8,3.5176470588235293,-5.0,-0.3,-14.7,-12.4,-2.3,0.000625,0.15,0.2,0.0,-0.2,-0.4,W (+16),W (+16)
9.0,,2022-11-02,22-052,UTA,DAL,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,9,12,13,8,3,13,2,13,2,11,13,14,12,11,13,12,13,48.0,1.0,78.0,4.0,18.0,61.0,68.0,22.0,66.0,7,81.0,7.0,67.0,59.0,59.0,56.0,52.0,65.0,36.0,74.0,0.1875,0.0,0.1538461538461538,0.0,0.0,0.2131147540983606,0.1176470588235294,0.1363636363636363,0.1969696969696969,0.2857142857142857,0.1604938271604938,0.2857142857142857,0.1641791044776119,0.2203389830508474,0.2372881355932203,0.2142857142857142,0.2115384615384615,0.2,0.3333333333333333,0.1756756756756756,41.0,52.0,67.0,0.0,0.0,0.0,17,,58.0,3.411764705882353,0.0,50.300000000000026,2.958823529411766,-5.0,-0.3,-14.7,-12.4,-2.3,0.000625,0.15,0.2,0.0,-0.2,-0.4,L (-3),L (-3)
10.0,,2022-11-04,22-054,UTA,LAL,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,9,12,13,8,3,13,2,13,2,11,13,14,12,11,13,12,13,48.0,1.0,78.0,4.0,18.0,61.0,68.0,22.0,66.0,7,81.0,7.0,67.0,59.0,59.0,56.0,52.0,65.0,36.0,74.0,0.1875,0.0,0.1538461538461538,0.0,0.0,0.2131147540983606,0.1176470588235294,0.1363636363636363,0.1969696969696969,0.2857142857142857,0.1604938271604938,0.2857142857142857,0.1641791044776119,0.2203389830508474,0.2372881355932203,0.2142857142857142,0.2115384615384615,0.2,0.3333333333333333,0.1756756756756756,41.0,52.0,67.0,0.0,0.0,0.0,17,,88.0,5.176470588235294,0.0,86.3,5.076470588235294,-5.0,-0.3,-14.7,-12.4,-2.3,0.000625,0.15,0.2,0.0,-0.2,-0.4,W (+14),W (+14)
11.0,,2022-11-06,22-056,UTA,LAC,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,9,12,13,8,3,13,2,13,2,11,13,14,12,11,13,12,13,48.0,1.0,78.0,4.0,18.0,61.0,68.0,22.0,66.0,7,81.0,7.0,67.0,59.0,59.0,56.0,52.0,65.0,36.0,74.0,0.1875,0.0,0.1538461538461538,0.0,0.0,0.2131147540983606,0.1176470588235294,0.1363636363636363,0.1969696969696969,0.2857142857142857,0.1604938271604938,0.2857142857142857,0.1641791044776119,0.2203389830508474,0.2372881355932203,0.2142857142857142,0.2115384615384615,0.2,0.3333333333333333,0.1756756756756756,41.0,52.0,67.0,0.0,0.0,0.0,17,,63.0,3.7058823529411766,0.0,72.79999999999998,4.28235294117647,-5.0,-0.3,-14.7,-12.4,-2.3,0.000625,0.15,0.2,0.0,-0.2,-0.4,W (+8),W (+8)
12.0,3.0,2022-11-07,22-057,UTA,LAL,0,5.033333333333333,1.0,4.0,.250,0.0,1.0,.000,0,0.0,,0.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,2.0,0.2,-2,3.0,1.0,0.3333333333333333,9,12,13,8,3,13,2,13,2,11,13,14,12,11,13,12,13,48.0,1.0,78.0,4.0,18.0,61.0,68.0,22.0,66.0,7,81.0,7.0,67.0,59.0,59.0,56.0,52.0,65.0,36.0,74.0,0.1875,0.0,0.1538461538461538,0.0,0.0,0.2131147540983606,0.1176470588235294,0.1363636363636363,0.1969696969696969,0.2857142857142857,0.1604938271604938,0.2857142857142857,0.1641791044776119,0.2203389830508474,0.2372881355932203,0.2142857142857142,0.2115384615384615,0.2,0.3333333333333333,0.1756756756756756,41.0,52.0,67.0,0.0,0.0,0.0,17,-1.0,90.0,5.294117647058823,0.2000000000000006,98.5,5.794117647058823,-5.0,-0.3,-14.7,-12.4,-2.3,0.000625,0.15,0.2,0.0,-0.2,-0.4,W (+23),W (+23)
13.0,,2022-11-09,22-059,UTA,ATL,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,9,12,13,8,3,13,2,13,2,11,13,14,12,11,13,12,13,48.0,1.0,78.0,4.0,18.0,61.0,68.0,22.0,66.0,7,81.0,7.0,67.0,59.0,59.0,56.0,52.0,65.0,36.0,74.0,0.1875,0.0,0.1538461538461538,0.0,0.0,0.2131147540983606,0.1176470588235294,0.1363636363636363,0.1969696969696969,0.2857142857142857,0.1604938271604938,0.2857142857142857,0.1641791044776119,0.2203389830508474,0.2372881355932203,0.2142857142857142,0.2115384615384615,0.2,0.3333333333333333,0.1756756756756756,41.0,52.0,67.0,0.0,0.0,0.0,17,,46.0,2.7058823529411766,0.0,60.899999999999984,3.58235294117647,-5.0,-0.3,-14.7,-12.4,-2.3,0.000625,0.15,0.2,0.0,-0.2,-0.4,W (+6),W (+6)
14.0,,2022-11-12,22-062,UTA,WAS,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,9,12,13,8,3,13,2,13,2,11,13,14,12,11,13,12,13,48.0,1.0,78.0,4.0,18.0,61.0,68.0,22.0,66.0,7,81.0,7.0,67.0,59.0,59.0,56.0,52.0,65.0,36.0,74.0,0.1875,0.0,0.1538461538461538,0.0,0.0,0.2131147540983606,0.1176470588235294,0.1363636363636363,0.1969696969696969,0.2857142857142857,0.1604938271604938,0.2857142857142857,0.1641791044776119,0.2203389830508474,0.2372881355932203,0.2142857142857142,0.2115384615384615,0.2,0.3333333333333333,0.1756756756756756,41.0,52.0,67.0,0.0,0.0,0.0,17,,52.0,3.0588235294117645,0.0,66.39999999999998,3.905882352941175,-5.0,-0.3,-14.7,-12.4,-2.3,0.000625,0.15,0.2,0.0,-0.2,-0.4,L (-9),L (-9)
15.0,,2022-11-13,22-063,UTA,PHI,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,9,12,13,8,3,13,2,13,2,11,13,14,12,11,13,12,13,48.0,1.0,78.0,4.0,18.0,61.0,68.0,22.0,66.0,7,81.0,7.0,67.0,59.0,59.0,56.0,52.0,65.0,36.0,74.0,0.1875,0.0,0.1538461538461538,0.0,0.0,0.2131147540983606,0.1176470588235294,0.1363636363636363,0.1969696969696969,0.2857142857142857,0.1604938271604938,0.2857142857142857,0.1641791044776119,0.2203389830508474,0.2372881355932203,0.2142857142857142,0.2115384615384615,0.2,0.3333333333333333,0.1756756756756756,41.0,52.0,67.0,0.0,0.0,0.0,17,,33.0,1.9411764705882355,0.0,47.1,2.7705882352941176,-5.0,-0.3,-14.7,-12.4,-2.3,0.000625,0.15,0.2,0.0,-0.2,-0.4,L (-7),L (-7)
