,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
0,1,,2021-10-20,23-325,CHO,,IND,W (+1),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
1,2,1,2021-10-22,23-327,CHO,@,CLE,W (+11),0,1:10,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,-5
2,3,2,2021-10-24,23-329,CHO,@,BRK,W (+16),0,0:47,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,0
3,4,3,2021-10-25,23-330,CHO,,BOS,L (-11),0,13:33,3,4,.750,0,0,,1,1,1.000,1,2,3,0,0,3,1,1,7,7.4,-3
4,5,4,2021-10-27,23-332,CHO,@,ORL,W (+9),0,7:34,2,2,1.000,0,0,,0,0,,1,2,3,0,0,0,0,0,4,4.7,+14
5,6,,2021-10-29,23-334,CHO,@,MIA,L (-15),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
6,7,,2021-10-31,23-336,CHO,,POR,W (+12),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
7,8,5,2021-11-01,23-337,CHO,,CLE,L (-3),0,4:15,1,1,1.000,0,0,,0,0,,0,0,0,0,0,0,1,1,2,0.3,+2
8,9,6,2021-11-03,23-339,CHO,@,GSW,L (-22),0,1:51,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,-5
9,10,7,2021-11-05,23-341,CHO,@,SAC,L (-30),0,18:42,2,5,.400,0,0,,3,3,1.000,2,0,2,2,3,1,1,3,7,8.6,-12
10,11,8,2021-11-07,23-343,CHO,@,LAC,L (-14),0,13:21,3,3,1.000,0,0,,0,0,,2,0,2,0,0,0,2,3,6,3.3,+3
11,12,9,2021-11-08,23-344,CHO,@,LAL,L (-3),0,15:35,1,4,.250,0,0,,1,1,1.000,2,2,4,0,1,1,3,3,3,0.1,-18
12,13,10,2021-11-10,23-346,CHO,@,MEM,W (+10),0,10:05,2,3,.667,0,0,,0,0,,0,4,4,0,0,2,0,5,4,3.3,0
13,14,11,2021-11-12,23-348,CHO,,NYK,W (+8),0,10:57,2,3,.667,0,0,,1,2,.500,3,1,4,0,0,0,1,2,5,3.9,-8
14,15,,2021-11-14,23-350,CHO,,GSW,W (+4),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
15,16,12,2021-11-17,23-353,CHO,,WAS,W (+10),0,13:32,3,4,.750,0,0,,0,0,,1,1,2,0,0,2,1,4,6,4.2,-1
16,17,13,2021-11-19,23-355,CHO,,IND,W (+3),0,4:55,0,1,.000,0,0,,1,2,.500,0,1,1,2,0,0,0,1,1,1.2,+2
17,18,,2021-11-20,23-356,CHO,@,ATL,L (-10),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
