,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
0,1,1,2021-10-20,30-257,ORL,@,SAS,L (-26),0,27:21,5,10,.500,1,1,1.000,4,4,1.000,0,3,3,0,0,0,1,1,15,9.5,-32
1,2,2,2021-10-22,30-259,ORL,,NYK,L (-25),0,24:05,4,8,.500,4,7,.571,0,1,.000,0,1,1,1,0,0,2,1,12,6.2,-34
2,3,3,2021-10-24,30-261,ORL,@,NYK,W (+6),0,31:17,6,11,.545,2,6,.333,8,9,.889,1,0,1,3,2,0,0,1,22,20.7,0
3,4,4,2021-10-25,30-262,ORL,@,MIA,L (-17),0,21:31,0,7,.000,0,6,.000,0,0,,0,0,0,2,0,0,3,2,0,-7.3,-21
4,5,5,2021-10-27,30-264,ORL,,CHO,L (-9),0,29:30,7,15,.467,4,8,.500,0,0,,1,0,1,1,0,0,1,3,18,9.5,-8
5,6,6,2021-10-29,30-266,ORL,@,TOR,L (-1),0,21:31,4,7,.571,1,4,.250,0,1,.000,0,3,3,1,0,0,0,2,9,6.1,-13
6,7,7,2021-10-30,30-267,ORL,@,DET,L (-7),0,24:59,0,5,.000,0,3,.000,3,3,1.000,0,3,3,1,1,2,1,1,3,2.1,-22
7,8,8,2021-11-01,30-269,ORL,@,MIN,W (+18),0,28:08,2,3,.667,1,2,.500,0,0,,0,3,3,4,1,0,0,0,5,8.4,+13
8,9,9,2021-11-03,30-271,ORL,,BOS,L (-13),0,28:43,3,6,.500,0,2,.000,2,2,1.000,0,1,1,2,0,0,0,1,8,6.3,-2
9,10,10,2021-11-05,30-273,ORL,,SAS,L (-13),0,26:59,0,2,.000,0,2,.000,2,2,1.000,0,2,2,3,3,0,3,0,2,3.3,-3
10,11,11,2021-11-07,30-275,ORL,,UTA,W (+7),0,22:30,2,12,.167,0,6,.000,0,1,.000,1,1,2,3,0,0,2,1,4,-3.3,-10
11,12,12,2021-11-10,30-278,ORL,,BRK,L (-33),0,20:07,7,14,.500,0,0,,3,6,.500,0,3,3,1,0,1,1,1,17,9.7,-4
12,13,13,2021-11-13,30-281,ORL,,WAS,L (-12),0,31:07,3,9,.333,1,5,.200,0,0,,1,1,2,4,0,0,1,0,7,4.7,-21
13,14,14,2021-11-15,30-283,ORL,@,ATL,L (-18),0,26:10,8,19,.421,3,12,.250,0,0,,0,0,0,2,0,0,2,1,19,7.9,-13
14,15,15,2021-11-17,30-285,ORL,@,NYK,W (+6),0,29:57,6,15,.400,3,8,.375,4,4,1.000,0,2,2,2,2,0,1,0,19,13.9,+16
15,16,16,2021-11-19,30-287,ORL,@,BRK,L (-2),0,33:55,3,9,.333,3,6,.500,6,7,.857,0,3,3,4,1,0,0,2,15,13.4,+4
16,17,17,2021-11-20,30-288,ORL,@,MIL,L (-9),0,22:27,3,8,.375,2,5,.400,0,0,,0,2,2,3,0,0,2,1,8,3.9,-3
17,18,18,2021-11-22,30-290,ORL,@,MIL,L (-31),0,18:03,1,5,.200,1,2,.500,1,2,.500,0,1,1,0,1,0,4,3,4,-3.4,-31
18,19,,2021-11-24,30-292,ORL,,CHO,L (-7),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
19,20,19,2021-11-26,30-294,ORL,,CHI,L (-35),0,20:03,2,6,.333,1,3,.333,0,0,,0,2,2,0,0,0,2,1,5,-0.2,-31
20,Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
21,21,20,2021-11-27,30-295,ORL,@,CLE,L (-13),0,11:13,2,5,.400,1,1,1.000,0,0,,0,2,2,3,0,0,1,0,5,4.0,+3
22,22,21,2021-11-29,30-297,ORL,@,PHI,L (-5),0,23:08,2,11,.182,0,6,.000,1,1,1.000,1,2,3,1,0,0,2,2,5,-2.7,-12
23,23,22,2021-12-01,30-299,ORL,,DEN,W (+5),0,23:25,4,7,.571,1,3,.333,1,2,.500,0,4,4,4,0,1,2,1,10,8.6,-5
24,24,23,2021-12-03,30-301,ORL,@,HOU,L (-2),0,21:41,6,12,.500,1,5,.200,5,5,1.000,0,3,3,2,1,0,3,3,18,11.1,-13
25,25,24,2021-12-06,30-304,ORL,@,GSW,L (-31),0,21:19,3,6,.500,2,5,.400,0,0,,1,4,5,0,0,0,3,0,8,3.9,-6
26,26,25,2021-12-08,30-306,ORL,@,SAC,L (-12),0,34:44,6,13,.462,3,8,.375,2,2,1.000,0,2,2,4,0,0,1,2,17,11.9,-8
27,27,26,2021-12-11,30-309,ORL,@,LAC,L (-2),0,25:57,4,11,.364,1,6,.167,13,13,1.000,0,1,1,1,1,1,1,0,22,17.6,-3
28,28,27,2021-12-12,30-310,ORL,@,LAL,L (-12),0,32:48,4,11,.364,2,4,.500,5,5,1.000,3,3,6,2,3,0,2,4,15,12.7,+3
29,29,28,2021-12-15,30-313,ORL,,ATL,L (-12),0,32:02,7,17,.412,0,5,.000,4,5,.800,1,6,7,8,1,1,4,1,18,13.9,-8
30,30,,2021-12-17,30-315,ORL,,MIA,L (-10),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
31,31,,2021-12-18,30-316,ORL,@,BRK,W (+7),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
32,32,,2021-12-22,30-320,ORL,@,ATL,W (+6),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
33,33,,2021-12-23,30-321,ORL,,NOP,L (-6),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
34,34,,2021-12-26,30-324,ORL,@,MIA,L (-10),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
