,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
0,1,1,2021-10-21,29-219,DAL,@,ATL,L (-26),1,27:56,4,9,.444,2,6,.333,4,4,1.000,0,2,2,0,1,0,1,3,14,8.7,-17
1,2,2,2021-10-23,29-221,DAL,@,TOR,W (+8),1,38:53,9,16,.563,7,11,.636,0,0,,1,2,3,2,1,0,0,2,25,20.3,+9
2,3,3,2021-10-26,29-224,DAL,,HOU,W (+10),1,29:45,6,12,.500,2,7,.286,2,4,.500,1,1,2,0,2,0,0,1,16,11.8,+12
3,4,4,2021-10-28,29-226,DAL,,SAS,W (+5),1,31:49,2,8,.250,1,4,.250,1,2,.500,0,5,5,3,0,0,0,3,6,3.2,-23
4,5,5,2021-10-29,29-227,DAL,@,DEN,L (-31),1,21:19,1,7,.143,1,5,.200,0,0,,0,3,3,2,2,0,2,1,3,0.4,-22
5,6,6,2021-10-31,29-229,DAL,,SAC,W (+6),1,32:49,5,14,.357,4,11,.364,2,2,1.000,0,3,3,3,2,0,2,1,16,10.8,+5
6,7,7,2021-11-02,29-231,DAL,,MIA,L (-15),1,31:06,5,15,.333,4,13,.308,3,4,.750,0,3,3,3,0,1,0,3,17,10.6,-9
7,8,8,2021-11-03,29-232,DAL,@,SAS,W (+1),1,35:41,7,17,.412,3,9,.333,6,6,1.000,0,6,6,3,2,0,1,2,23,18.0,+18
8,9,9,2021-11-06,29-235,DAL,,BOS,W (+3),1,34:49,3,8,.375,0,4,.000,1,2,.500,0,2,2,3,0,0,1,1,7,3.5,0
9,10,10,2021-11-08,29-237,DAL,,NOP,W (+16),1,33:23,6,9,.667,4,5,.800,1,2,.500,0,6,6,4,0,0,0,0,17,17.3,+11
10,11,11,2021-11-10,29-239,DAL,@,CHI,L (-10),1,33:11,7,15,.467,5,9,.556,2,3,.667,0,3,3,2,0,0,0,3,21,14.0,-11
11,12,12,2021-11-12,29-241,DAL,@,SAS,W (+14),1,31:05,2,11,.182,0,5,.000,1,2,.500,0,6,6,2,0,0,0,1,5,0.5,-13
12,13,13,2021-11-15,29-244,DAL,,DEN,W (+10),1,33:08,8,14,.571,2,6,.333,1,1,1.000,0,7,7,4,0,0,0,2,19,16.5,+14
13,14,14,2021-11-17,29-246,DAL,@,PHO,L (-7),1,36:50,9,23,.391,3,8,.375,1,1,1.000,1,1,2,4,2,0,1,4,22,12.7,-11
14,15,15,2021-11-19,29-248,DAL,@,PHO,L (-8),1,35:05,7,21,.333,2,10,.200,2,2,1.000,0,4,4,1,1,0,0,1,18,8.6,-15
15,16,16,2021-11-21,29-250,DAL,@,LAC,L (-6),1,35:56,2,12,.167,1,4,.250,3,3,1.000,1,5,6,5,0,0,1,4,8,3.5,-7
16,17,17,2021-11-23,29-252,DAL,@,LAC,W (+8),1,41:00,5,17,.294,2,10,.200,1,2,.500,0,5,5,2,1,0,0,5,13,4.6,+6
17,18,18,2021-11-27,29-256,DAL,,WAS,L (-6),1,35:54,4,12,.333,2,5,.400,0,2,.000,1,1,2,2,3,0,0,3,10,6.6,-7
18,19,19,2021-11-29,29-258,DAL,,CLE,L (-18),1,26:52,3,10,.300,0,3,.000,0,0,,0,1,1,2,2,1,2,0,6,2.6,+1
19,20,20,2021-12-01,29-260,DAL,@,NOP,W (+32),0,25:13,6,9,.667,4,7,.571,0,0,,0,2,2,1,0,0,0,2,16,12.6,+9
