Unnamed: 0,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Bam Adebayo,Shared Games with Caleb Martin,Shared Games with Cody Zeller,Shared Games with Dewayne Dedmon,Shared Games with Duncan Robinson,Shared Games with Gabe Vincent,Shared Games with Haywood Highsmith,Shared Games with Jamal Cain,Shared Games with Jimmy Butler,Shared Games with Kyle Lowry,Shared Games with Max Strus,Shared Games with Nikola Jović,Shared Games with Orlando Robinson,Shared Games with Tyler Herro,Shared Games with Udonis Haslem,Bam Adebayo,Caleb Martin,Cody Zeller,Dewayne Dedmon,Duncan Robinson,Gabe Vincent,Haywood Highsmith,Jamal Cain,Jamaree Bouyea,Jimmy Butler,Kyle Lowry,Max Strus,Nikola Jović,Omer Yurtseven,Orlando Robinson,Tyler Herro,Udonis Haslem,Victor Oladipo,co_inf with Bam Adebayo,co_inf with Caleb Martin,co_inf with Cody Zeller,co_inf with Dewayne Dedmon,co_inf with Duncan Robinson,co_inf with Gabe Vincent,co_inf with Haywood Highsmith,co_inf with Jamal Cain,co_inf with Jamaree Bouyea,co_inf with Jimmy Butler,co_inf with Kyle Lowry,co_inf with Max Strus,co_inf with Nikola Jović,co_inf with Omer Yurtseven,co_inf with Orlando Robinson,co_inf with Tyler Herro,co_inf with Udonis Haslem,co_inf with Victor Oladipo,Shared Games with Kevin Love,Shared Games with Ben Simmons,Shared Games with Cam Thomas,Shared Games with Cameron Johnson,Shared Games with David Duke Jr.,Shared Games with Day'Ron Sharpe,Shared Games with Dorian Finney-Smith,Shared Games with Edmond Sumner,Shared Games with Joe Harris,Shared Games with Mikal Bridges,Shared Games with Nic Claxton,Shared Games with Patty Mills,Shared Games with Royce O'Neale,Shared Games with Seth Curry,Shared Games with Spencer Dinwiddie,Shared Games with Yuta Watanabe,Alondes Williams,Ben Simmons,Bogdan Bogdanović,Cam Thomas,Cameron Johnson,David Duke Jr.,Day'Ron Sharpe,Dorian Finney-Smith,Edmond Sumner,Joe Harris,Mikal Bridges,Moses Brown,Nerlens Noel,Nic Claxton,Patty Mills,Payton Pritchard,RaiQuan Gray,Royce O'Neale,Seth Curry,Spencer Dinwiddie,Yuta Watanabe,co_inf with Alondes Williams,co_inf with Ben Simmons,co_inf with Bogdan Bogdanović,co_inf with Cam Thomas,co_inf with Cameron Johnson,co_inf with David Duke Jr.,co_inf with Day'Ron Sharpe,co_inf with Dorian Finney-Smith,co_inf with Edmond Sumner,co_inf with Joe Harris,co_inf with Mikal Bridges,co_inf with Moses Brown,co_inf with Nerlens Noel,co_inf with Nic Claxton,co_inf with Patty Mills,co_inf with Payton Pritchard,co_inf with RaiQuan Gray,co_inf with Royce O'Neale,co_inf with Seth Curry,co_inf with Spencer Dinwiddie,co_inf with Yuta Watanabe,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS
0,1,,2022-10-19,24-293,MIA,,CHI,L (-8),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,4,5,2,5,3,4,3,3,3,5,3,4,4,3,1,75.0,71.0,15.0,38.0,42.0,68.0,54.0,18.0,5.0,64.0,55.0,80.0,15.0,9.0,31.0,67.0,7.0,42.0,0.0533333333333333,0.0704225352112676,0.1333333333333333,0.131578947368421,0.0714285714285714,0.0588235294117647,0.0555555555555555,0.1666666666666666,0.0,0.046875,0.0909090909090909,0.0375,0.2666666666666666,0.0,0.1290322580645161,0.044776119402985,0.1428571428571428,0.0,1,7,7,3,2,6,3,6,8,3,9,5,9,7,3,6,1.0,42.0,54.0,57.0,42.0,23.0,48.0,66.0,53.0,74.0,83.0,36.0,17.0,76.0,40.0,48.0,1,76.0,61.0,79.0,58.0,0.0,0.1666666666666666,0.0,0.1228070175438596,0.0714285714285714,0.0869565217391304,0.125,0.0454545454545454,0.1132075471698113,0.1081081081081081,0.036144578313253,0.0,0.0,0.1184210526315789,0.125,0.0,0.0,0.1184210526315789,0.1147540983606557,0.0379746835443038,0.1034482758620689,31,,91.0,2.935483870967742,0.0,88.19999999999999,2.8451612903225802
1,2,,2022-10-21,24-295,MIA,,BOS,L (-7),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,4,5,2,5,3,4,3,3,3,5,3,4,4,3,1,75.0,71.0,15.0,38.0,42.0,68.0,54.0,18.0,5.0,64.0,55.0,80.0,15.0,9.0,31.0,67.0,7.0,42.0,0.0533333333333333,0.0704225352112676,0.1333333333333333,0.131578947368421,0.0714285714285714,0.0588235294117647,0.0555555555555555,0.1666666666666666,0.0,0.046875,0.0909090909090909,0.0375,0.2666666666666666,0.0,0.1290322580645161,0.044776119402985,0.1428571428571428,0.0,1,7,7,3,2,6,3,6,8,3,9,5,9,7,3,6,1.0,42.0,54.0,57.0,42.0,23.0,48.0,66.0,53.0,74.0,83.0,36.0,17.0,76.0,40.0,48.0,1,76.0,61.0,79.0,58.0,0.0,0.1666666666666666,0.0,0.1228070175438596,0.0714285714285714,0.0869565217391304,0.125,0.0454545454545454,0.1132075471698113,0.1081081081081081,0.036144578313253,0.0,0.0,0.1184210526315789,0.125,0.0,0.0,0.1184210526315789,0.1147540983606557,0.0379746835443038,0.1034482758620689,31,,76.0,2.4516129032258065,0.0,75.89999999999999,2.4483870967741934
2,3,,2022-10-22,24-296,MIA,,TOR,W (+3),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,4,5,2,5,3,4,3,3,3,5,3,4,4,3,1,75.0,71.0,15.0,38.0,42.0,68.0,54.0,18.0,5.0,64.0,55.0,80.0,15.0,9.0,31.0,67.0,7.0,42.0,0.0533333333333333,0.0704225352112676,0.1333333333333333,0.131578947368421,0.0714285714285714,0.0588235294117647,0.0555555555555555,0.1666666666666666,0.0,0.046875,0.0909090909090909,0.0375,0.2666666666666666,0.0,0.1290322580645161,0.044776119402985,0.1428571428571428,0.0,1,7,7,3,2,6,3,6,8,3,9,5,9,7,3,6,1.0,42.0,54.0,57.0,42.0,23.0,48.0,66.0,53.0,74.0,83.0,36.0,17.0,76.0,40.0,48.0,1,76.0,61.0,79.0,58.0,0.0,0.1666666666666666,0.0,0.1228070175438596,0.0714285714285714,0.0869565217391304,0.125,0.0454545454545454,0.1132075471698113,0.1081081081081081,0.036144578313253,0.0,0.0,0.1184210526315789,0.125,0.0,0.0,0.1184210526315789,0.1147540983606557,0.0379746835443038,0.1034482758620689,31,,73.0,2.3548387096774195,0.0,73.2,2.361290322580645
3,4,,2022-10-24,24-298,MIA,,TOR,L (-8),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,4,5,2,5,3,4,3,3,3,5,3,4,4,3,1,75.0,71.0,15.0,38.0,42.0,68.0,54.0,18.0,5.0,64.0,55.0,80.0,15.0,9.0,31.0,67.0,7.0,42.0,0.0533333333333333,0.0704225352112676,0.1333333333333333,0.131578947368421,0.0714285714285714,0.0588235294117647,0.0555555555555555,0.1666666666666666,0.0,0.046875,0.0909090909090909,0.0375,0.2666666666666666,0.0,0.1290322580645161,0.044776119402985,0.1428571428571428,0.0,1,7,7,3,2,6,3,6,8,3,9,5,9,7,3,6,1.0,42.0,54.0,57.0,42.0,23.0,48.0,66.0,53.0,74.0,83.0,36.0,17.0,76.0,40.0,48.0,1,76.0,61.0,79.0,58.0,0.0,0.1666666666666666,0.0,0.1228070175438596,0.0714285714285714,0.0869565217391304,0.125,0.0454545454545454,0.1132075471698113,0.1081081081081081,0.036144578313253,0.0,0.0,0.1184210526315789,0.125,0.0,0.0,0.1184210526315789,0.1147540983606557,0.0379746835443038,0.1034482758620689,31,,64.0,2.064516129032258,0.0,64.7,2.0870967741935487
4,5,1,2022-10-26,24-300,MIA,@,POR,W (+21),0,5:37,1.0,3.0,.333,0.0,2.0,.000,0,0.0,,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,2.0,1.2,-5,1.0,1.0,1.0,4,5,2,5,3,4,3,3,3,5,3,4,4,3,1,75.0,71.0,15.0,38.0,42.0,68.0,54.0,18.0,5.0,64.0,55.0,80.0,15.0,9.0,31.0,67.0,7.0,42.0,0.0533333333333333,0.0704225352112676,0.1333333333333333,0.131578947368421,0.0714285714285714,0.0588235294117647,0.0555555555555555,0.1666666666666666,0.0,0.046875,0.0909090909090909,0.0375,0.2666666666666666,0.0,0.1290322580645161,0.044776119402985,0.1428571428571428,0.0,1,7,7,3,2,6,3,6,8,3,9,5,9,7,3,6,1.0,42.0,54.0,57.0,42.0,23.0,48.0,66.0,53.0,74.0,83.0,36.0,17.0,76.0,40.0,48.0,1,76.0,61.0,79.0,58.0,0.0,0.1666666666666666,0.0,0.1228070175438596,0.0714285714285714,0.0869565217391304,0.125,0.0454545454545454,0.1132075471698113,0.1081081081081081,0.036144578313253,0.0,0.0,0.1184210526315789,0.125,0.0,0.0,0.1184210526315789,0.1147540983606557,0.0379746835443038,0.1034482758620689,31,1.0,81.0,2.6129032258064515,1.2000000000000002,94.7,3.0548387096774197
5,6,,2022-10-27,24-301,MIA,@,GSW,L (-13),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,4,5,2,5,3,4,3,3,3,5,3,4,4,3,1,75.0,71.0,15.0,38.0,42.0,68.0,54.0,18.0,5.0,64.0,55.0,80.0,15.0,9.0,31.0,67.0,7.0,42.0,0.0533333333333333,0.0704225352112676,0.1333333333333333,0.131578947368421,0.0714285714285714,0.0588235294117647,0.0555555555555555,0.1666666666666666,0.0,0.046875,0.0909090909090909,0.0375,0.2666666666666666,0.0,0.1290322580645161,0.044776119402985,0.1428571428571428,0.0,1,7,7,3,2,6,3,6,8,3,9,5,9,7,3,6,1.0,42.0,54.0,57.0,42.0,23.0,48.0,66.0,53.0,74.0,83.0,36.0,17.0,76.0,40.0,48.0,1,76.0,61.0,79.0,58.0,0.0,0.1666666666666666,0.0,0.1228070175438596,0.0714285714285714,0.0869565217391304,0.125,0.0454545454545454,0.1132075471698113,0.1081081081081081,0.036144578313253,0.0,0.0,0.1184210526315789,0.125,0.0,0.0,0.1184210526315789,0.1147540983606557,0.0379746835443038,0.1034482758620689,31,,97.0,3.129032258064516,0.0,95.0,3.064516129032258
6,7,,2022-10-29,24-303,MIA,@,SAC,L (-6),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,4,5,2,5,3,4,3,3,3,5,3,4,4,3,1,75.0,71.0,15.0,38.0,42.0,68.0,54.0,18.0,5.0,64.0,55.0,80.0,15.0,9.0,31.0,67.0,7.0,42.0,0.0533333333333333,0.0704225352112676,0.1333333333333333,0.131578947368421,0.0714285714285714,0.0588235294117647,0.0555555555555555,0.1666666666666666,0.0,0.046875,0.0909090909090909,0.0375,0.2666666666666666,0.0,0.1290322580645161,0.044776119402985,0.1428571428571428,0.0,1,7,7,3,2,6,3,6,8,3,9,5,9,7,3,6,1.0,42.0,54.0,57.0,42.0,23.0,48.0,66.0,53.0,74.0,83.0,36.0,17.0,76.0,40.0,48.0,1,76.0,61.0,79.0,58.0,0.0,0.1666666666666666,0.0,0.1228070175438596,0.0714285714285714,0.0869565217391304,0.125,0.0454545454545454,0.1132075471698113,0.1081081081081081,0.036144578313253,0.0,0.0,0.1184210526315789,0.125,0.0,0.0,0.1184210526315789,0.1147540983606557,0.0379746835443038,0.1034482758620689,31,,88.0,2.838709677419355,0.0,105.1,3.390322580645161
7,8,,2022-11-01,24-306,MIA,,GSW,W (+7),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,4,5,2,5,3,4,3,3,3,5,3,4,4,3,1,75.0,71.0,15.0,38.0,42.0,68.0,54.0,18.0,5.0,64.0,55.0,80.0,15.0,9.0,31.0,67.0,7.0,42.0,0.0533333333333333,0.0704225352112676,0.1333333333333333,0.131578947368421,0.0714285714285714,0.0588235294117647,0.0555555555555555,0.1666666666666666,0.0,0.046875,0.0909090909090909,0.0375,0.2666666666666666,0.0,0.1290322580645161,0.044776119402985,0.1428571428571428,0.0,1,7,7,3,2,6,3,6,8,3,9,5,9,7,3,6,1.0,42.0,54.0,57.0,42.0,23.0,48.0,66.0,53.0,74.0,83.0,36.0,17.0,76.0,40.0,48.0,1,76.0,61.0,79.0,58.0,0.0,0.1666666666666666,0.0,0.1228070175438596,0.0714285714285714,0.0869565217391304,0.125,0.0454545454545454,0.1132075471698113,0.1081081081081081,0.036144578313253,0.0,0.0,0.1184210526315789,0.125,0.0,0.0,0.1184210526315789,0.1147540983606557,0.0379746835443038,0.1034482758620689,31,,83.0,2.677419354838709,0.0,94.2,3.0387096774193547
8,9,,2022-11-02,24-307,MIA,,SAC,W (+3),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,4,5,2,5,3,4,3,3,3,5,3,4,4,3,1,75.0,71.0,15.0,38.0,42.0,68.0,54.0,18.0,5.0,64.0,55.0,80.0,15.0,9.0,31.0,67.0,7.0,42.0,0.0533333333333333,0.0704225352112676,0.1333333333333333,0.131578947368421,0.0714285714285714,0.0588235294117647,0.0555555555555555,0.1666666666666666,0.0,0.046875,0.0909090909090909,0.0375,0.2666666666666666,0.0,0.1290322580645161,0.044776119402985,0.1428571428571428,0.0,1,7,7,3,2,6,3,6,8,3,9,5,9,7,3,6,1.0,42.0,54.0,57.0,42.0,23.0,48.0,66.0,53.0,74.0,83.0,36.0,17.0,76.0,40.0,48.0,1,76.0,61.0,79.0,58.0,0.0,0.1666666666666666,0.0,0.1228070175438596,0.0714285714285714,0.0869565217391304,0.125,0.0454545454545454,0.1132075471698113,0.1081081081081081,0.036144578313253,0.0,0.0,0.1184210526315789,0.125,0.0,0.0,0.1184210526315789,0.1147540983606557,0.0379746835443038,0.1034482758620689,31,,102.0,3.290322580645161,0.0,110.6,3.5677419354838706
9,10,,2022-11-04,24-309,MIA,@,IND,L (-2),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,4,5,2,5,3,4,3,3,3,5,3,4,4,3,1,75.0,71.0,15.0,38.0,42.0,68.0,54.0,18.0,5.0,64.0,55.0,80.0,15.0,9.0,31.0,67.0,7.0,42.0,0.0533333333333333,0.0704225352112676,0.1333333333333333,0.131578947368421,0.0714285714285714,0.0588235294117647,0.0555555555555555,0.1666666666666666,0.0,0.046875,0.0909090909090909,0.0375,0.2666666666666666,0.0,0.1290322580645161,0.044776119402985,0.1428571428571428,0.0,1,7,7,3,2,6,3,6,8,3,9,5,9,7,3,6,1.0,42.0,54.0,57.0,42.0,23.0,48.0,66.0,53.0,74.0,83.0,36.0,17.0,76.0,40.0,48.0,1,76.0,61.0,79.0,58.0,0.0,0.1666666666666666,0.0,0.1228070175438596,0.0714285714285714,0.0869565217391304,0.125,0.0454545454545454,0.1132075471698113,0.1081081081081081,0.036144578313253,0.0,0.0,0.1184210526315789,0.125,0.0,0.0,0.1184210526315789,0.1147540983606557,0.0379746835443038,0.1034482758620689,31,,82.0,2.6451612903225805,0.0,95.5,3.0806451612903225
