Unnamed: 0,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Alex Caruso,Shared Games with Andre Drummond,Shared Games with Ayo Dosunmu,Shared Games with Carlik Jones,Shared Games with Dalen Terry,Shared Games with DeMar DeRozan,Shared Games with Derrick Jones Jr.,Shared Games with Goran Dragić,Shared Games with Javonte Green,Shared Games with Malcolm Hill,Shared Games with Marko Simonovic,Shared Games with Nikola Vučević,Shared Games with Patrick Williams,Shared Games with Tony Bradley,Shared Games with Zach LaVine,Alex Caruso,Andre Drummond,Ayo Dosunmu,Carlik Jones,Dalen Terry,DeMar DeRozan,Derrick Jones Jr.,Goran Dragić,Javonte Green,Kostas Antetokounmpo,Lonzo Ball,Malcolm Hill,Marko Simonovic,Nikola Vučević,Patrick Williams,Tony Bradley,Zach LaVine,co_inf with Alex Caruso,co_inf with Andre Drummond,co_inf with Ayo Dosunmu,co_inf with Carlik Jones,co_inf with Dalen Terry,co_inf with DeMar DeRozan,co_inf with Derrick Jones Jr.,co_inf with Goran Dragić,co_inf with Javonte Green,co_inf with Kostas Antetokounmpo,co_inf with Lonzo Ball,co_inf with Malcolm Hill,co_inf with Marko Simonovic,co_inf with Nikola Vučević,co_inf with Patrick Williams,co_inf with Tony Bradley,co_inf with Zach LaVine,Shared Games with Terry Taylor,Shared Games with Patrick Beverley,Clint Capela,Patrick Beverley,Robert Williams,Terry Taylor,co_inf with Terry Taylor,co_inf with Clint Capela,co_inf with Patrick Beverley,co_inf with Robert Williams,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS
0,1,1,2022-10-19,22-245,CHI,@,MIA,W (+8),0,24:33,4.0,11.0,.364,2.0,7.0,.286,0,0.0,,0.0,2.0,2.0,0.0,1.0,0.0,1.0,3.0,10.0,3.3,0,4.0,2.0,0.5,59,64,72,7,33,66,56,43,24,4,7,74,74,9,70,67.0,67.0,80.0,7.0,38.0,74.0,64.0,58.0,32.0,,,5.0,7.0,82.0,82.0,12.0,77.0,0.8805970149253731,0.9552238805970148,0.9,1.0,0.868421052631579,0.8918918918918919,0.875,0.7413793103448276,0.75,,,0.8,1.0,0.902439024390244,0.902439024390244,0.75,0.9090909090909092,5,22,65.0,67.0,35.0,31.0,0.1612903225806451,0.0,0.3283582089552239,0.0,17,1.0,80.0,4.705882352941177,3.3,80.9,4.758823529411765
1,2,2,2022-10-21,22-247,CHI,@,WAS,L (-2),0,31:03,3.0,6.0,.500,2.0,4.0,.500,2,4.0,.500,0.0,2.0,2.0,1.0,1.0,0.0,1.0,1.0,10.0,7.1,+17,2.0,1.0,0.5,59,64,72,7,33,66,56,43,24,4,7,74,74,9,70,67.0,67.0,80.0,7.0,38.0,74.0,64.0,58.0,32.0,,,5.0,7.0,82.0,82.0,12.0,77.0,0.8805970149253731,0.9552238805970148,0.9,1.0,0.868421052631579,0.8918918918918919,0.875,0.7413793103448276,0.75,,,0.8,1.0,0.902439024390244,0.902439024390244,0.75,0.9090909090909092,5,22,65.0,67.0,35.0,31.0,0.1612903225806451,0.0,0.3283582089552239,0.0,17,3.0,58.0,3.411764705882353,6.299999999999999,62.5,3.676470588235294
2,3,3,2022-10-22,22-248,CHI,,CLE,L (-32),0,23:36,2.0,8.0,.250,0.0,5.0,.000,1,1.0,1.000,1.0,0.0,1.0,1.0,0.0,0.0,0.0,3.0,5.0,0.4,-30,3.0,2.0,0.6666666666666666,59,64,72,7,33,66,56,43,24,4,7,74,74,9,70,67.0,67.0,80.0,7.0,38.0,74.0,64.0,58.0,32.0,,,5.0,7.0,82.0,82.0,12.0,77.0,0.8805970149253731,0.9552238805970148,0.9,1.0,0.868421052631579,0.8918918918918919,0.875,0.7413793103448276,0.75,,,0.8,1.0,0.902439024390244,0.902439024390244,0.75,0.9090909090909092,5,22,65.0,67.0,35.0,31.0,0.1612903225806451,0.0,0.3283582089552239,0.0,17,-2.0,74.0,4.352941176470588,4.440892098500626e-16,82.69999999999999,4.864705882352941
3,4,4,2022-10-24,22-250,CHI,,BOS,W (+18),0,9:24,0.0,1.0,.000,0.0,1.0,.000,0,0.0,,0.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0,1.7,+5,0.0,0.0,,59,64,72,7,33,66,56,43,24,4,7,74,74,9,70,67.0,67.0,80.0,7.0,38.0,74.0,64.0,58.0,32.0,,,5.0,7.0,82.0,82.0,12.0,77.0,0.8805970149253731,0.9552238805970148,0.9,1.0,0.868421052631579,0.8918918918918919,0.875,0.7413793103448276,0.75,,,0.8,1.0,0.902439024390244,0.902439024390244,0.75,0.9090909090909092,5,22,65.0,67.0,35.0,31.0,0.1612903225806451,0.0,0.3283582089552239,0.0,17,3.0,108.0,6.352941176470588,1.6999999999999995,103.6,6.094117647058823
4,5,5,2022-10-26,22-252,CHI,,IND,W (+15),0,11:56,2.0,6.0,.333,2.0,6.0,.333,0,0.0,,0.0,3.0,3.0,0.0,1.0,0.0,0.0,1.0,6.0,4.1,+3,0.0,0.0,,59,64,72,7,33,66,56,43,24,4,7,74,74,9,70,67.0,67.0,80.0,7.0,38.0,74.0,64.0,58.0,32.0,,,5.0,7.0,82.0,82.0,12.0,77.0,0.8805970149253731,0.9552238805970148,0.9,1.0,0.868421052631579,0.8918918918918919,0.875,0.7413793103448276,0.75,,,0.8,1.0,0.902439024390244,0.902439024390244,0.75,0.9090909090909092,5,22,65.0,67.0,35.0,31.0,0.1612903225806451,0.0,0.3283582089552239,0.0,17,4.0,95.0,5.588235294117647,4.1,85.49999999999999,5.029411764705881
5,6,6,2022-10-28,22-254,CHI,@,SAS,L (-5),0,30:51,7.0,14.0,.500,3.0,7.0,.429,2,4.0,.500,0.0,4.0,4.0,4.0,1.0,0.0,1.0,5.0,19.0,13.2,+18,7.0,4.0,0.5714285714285714,59,64,72,7,33,66,56,43,24,4,7,74,74,9,70,67.0,67.0,80.0,7.0,38.0,74.0,64.0,58.0,32.0,,,5.0,7.0,82.0,82.0,12.0,77.0,0.8805970149253731,0.9552238805970148,0.9,1.0,0.868421052631579,0.8918918918918919,0.875,0.7413793103448276,0.75,,,0.8,1.0,0.902439024390244,0.902439024390244,0.75,0.9090909090909092,5,22,65.0,67.0,35.0,31.0,0.1612903225806451,0.0,0.3283582089552239,0.0,17,9.0,71.0,4.176470588235294,12.4,70.2,4.129411764705883
6,7,7,2022-10-29,22-255,CHI,,PHI,L (-5),0,21:34,3.0,9.0,.333,1.0,4.0,.250,0,0.0,,0.0,0.0,0.0,2.0,1.0,0.0,3.0,0.0,7.0,1.3,-2,5.0,2.0,0.4,59,64,72,7,33,66,56,43,24,4,7,74,74,9,70,67.0,67.0,80.0,7.0,38.0,74.0,64.0,58.0,32.0,,,5.0,7.0,82.0,82.0,12.0,77.0,0.8805970149253731,0.9552238805970148,0.9,1.0,0.868421052631579,0.8918918918918919,0.875,0.7413793103448276,0.75,,,0.8,1.0,0.902439024390244,0.902439024390244,0.75,0.9090909090909092,5,22,65.0,67.0,35.0,31.0,0.1612903225806451,0.0,0.3283582089552239,0.0,17,-2.0,68.0,4.0,1.2999999999999998,80.89999999999998,4.758823529411764
7,8,,2022-11-01,22-258,CHI,@,BRK,W (+9),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,59,64,72,7,33,66,56,43,24,4,7,74,74,9,70,67.0,67.0,80.0,7.0,38.0,74.0,64.0,58.0,32.0,,,5.0,7.0,82.0,82.0,12.0,77.0,0.8805970149253731,0.9552238805970148,0.9,1.0,0.868421052631579,0.8918918918918919,0.875,0.7413793103448276,0.75,,,0.8,1.0,0.902439024390244,0.902439024390244,0.75,0.9090909090909092,5,22,65.0,67.0,35.0,31.0,0.1612903225806451,0.0,0.3283582089552239,0.0,17,,77.0,4.529411764705882,0.0,84.9,4.9941176470588236
8,9,,2022-11-02,22-259,CHI,,CHO,W (+18),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,59,64,72,7,33,66,56,43,24,4,7,74,74,9,70,67.0,67.0,80.0,7.0,38.0,74.0,64.0,58.0,32.0,,,5.0,7.0,82.0,82.0,12.0,77.0,0.8805970149253731,0.9552238805970148,0.9,1.0,0.868421052631579,0.8918918918918919,0.875,0.7413793103448276,0.75,,,0.8,1.0,0.902439024390244,0.902439024390244,0.75,0.9090909090909092,5,22,65.0,67.0,35.0,31.0,0.1612903225806451,0.0,0.3283582089552239,0.0,17,,94.0,5.529411764705882,0.0,89.89999999999999,5.288235294117647
9,10,,2022-11-04,22-261,CHI,@,BOS,L (-4),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,59,64,72,7,33,66,56,43,24,4,7,74,74,9,70,67.0,67.0,80.0,7.0,38.0,74.0,64.0,58.0,32.0,,,5.0,7.0,82.0,82.0,12.0,77.0,0.8805970149253731,0.9552238805970148,0.9,1.0,0.868421052631579,0.8918918918918919,0.875,0.7413793103448276,0.75,,,0.8,1.0,0.902439024390244,0.902439024390244,0.75,0.9090909090909092,5,22,65.0,67.0,35.0,31.0,0.1612903225806451,0.0,0.3283582089552239,0.0,17,,75.0,4.411764705882353,0.0,81.99999999999999,4.823529411764705
