Unnamed: 0,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Caris LeVert,Shared Games with Cedi Osman,Shared Games with Darius Garland,Shared Games with Dean Wade,Shared Games with Donovan Mitchell,Shared Games with Dylan Windler,Shared Games with Isaac Okoro,Shared Games with Isaiah Mobley,Shared Games with Jarrett Allen,Shared Games with Kevin Love,Shared Games with Lamar Stevens,Shared Games with Mamadi Diakite,Shared Games with Raul Neto,Shared Games with Ricky Rubio,Shared Games with Robin Lopez,Caris LeVert,Cedi Osman,Darius Garland,Dean Wade,Donovan Mitchell,Dylan Windler,Isaac Okoro,Isaiah Mobley,Jarrett Allen,Kevin Love,Lamar Stevens,Mamadi Diakite,Raul Neto,Ricky Rubio,Robin Lopez,Sam Merrill,co_inf with Caris LeVert,co_inf with Cedi Osman,co_inf with Darius Garland,co_inf with Dean Wade,co_inf with Donovan Mitchell,co_inf with Dylan Windler,co_inf with Isaac Okoro,co_inf with Isaiah Mobley,co_inf with Jarrett Allen,co_inf with Kevin Love,co_inf with Lamar Stevens,co_inf with Mamadi Diakite,co_inf with Raul Neto,co_inf with Ricky Rubio,co_inf with Robin Lopez,co_inf with Sam Merrill,Shared Games with Danny Green,Danny Green,Dejounte Murray,co_inf with Danny Green,co_inf with Dejounte Murray,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS
0,1,1,2022-10-19,21-123,CLE,@,TOR,L (-3),1,35:35,5.0,9.0,.556,1.0,3.0,.333,3,4.0,.750,0.0,6.0,6.0,1.0,1.0,1.0,3.0,1.0,14.0,10.1,-14,6.0,4.0,0.6666666666666666,72,74,69,43,66,3,74,12,66,39,59,20,45,32,34,74.0,77.0,69.0,44.0,68.0,3.0,76.0,12.0,68.0,62.0,62.0,22.0,48.0,33.0,37.0,5.0,0.972972972972973,0.961038961038961,1.0,0.9772727272727272,0.9705882352941176,1.0,0.9736842105263158,1.0,0.9705882352941176,0.6290322580645161,0.9516129032258064,0.9090909090909092,0.9375,0.9696969696969696,0.918918918918919,0.0,8,11.0,74.0,0.7272727272727273,0.0,16,7.0,65.0,4.0625,8.899999999999999,80.9,5.05625
1,2,2,2022-10-22,21-126,CLE,@,CHI,W (+32),1,24:46,7.0,9.0,.778,0.0,0.0,,2,2.0,1.000,1.0,2.0,3.0,1.0,1.0,1.0,3.0,1.0,16.0,12.8,+7,9.0,7.0,0.7777777777777778,72,74,69,43,66,3,74,12,66,39,59,20,45,32,34,74.0,77.0,69.0,44.0,68.0,3.0,76.0,12.0,68.0,62.0,62.0,22.0,48.0,33.0,37.0,5.0,0.972972972972973,0.961038961038961,1.0,0.9772727272727272,0.9705882352941176,1.0,0.9736842105263158,1.0,0.9705882352941176,0.6290322580645161,0.9516129032258064,0.9090909090909092,0.9375,0.9696969696969696,0.918918918918919,0.0,8,11.0,74.0,0.7272727272727273,0.0,16,8.0,83.0,5.1875,11.999999999999998,91.6,5.725
2,3,3,2022-10-23,21-127,CLE,,WAS,W (+10),1,36:35,2.0,7.0,.286,0.0,0.0,,6,6.0,1.000,2.0,5.0,7.0,2.0,2.0,1.0,2.0,3.0,10.0,9.7,-3,7.0,2.0,0.2857142857142857,72,74,69,43,66,3,74,12,66,39,59,20,45,32,34,74.0,77.0,69.0,44.0,68.0,3.0,76.0,12.0,68.0,62.0,62.0,22.0,48.0,33.0,37.0,5.0,0.972972972972973,0.961038961038961,1.0,0.9772727272727272,0.9705882352941176,1.0,0.9736842105263158,1.0,0.9705882352941176,0.6290322580645161,0.9516129032258064,0.9090909090909092,0.9375,0.9696969696969696,0.918918918918919,0.0,8,11.0,74.0,0.7272727272727273,0.0,16,7.0,65.0,4.0625,7.300000000000001,86.49999999999999,5.406249999999999
3,4,4,2022-10-26,21-130,CLE,,ORL,W (+11),1,34:26,9.0,15.0,.600,0.0,0.0,,2,4.0,.500,0.0,3.0,3.0,3.0,1.0,1.0,3.0,4.0,20.0,12.4,+3,15.0,9.0,0.6,72,74,69,43,66,3,74,12,66,39,59,20,45,32,34,74.0,77.0,69.0,44.0,68.0,3.0,76.0,12.0,68.0,62.0,62.0,22.0,48.0,33.0,37.0,5.0,0.972972972972973,0.961038961038961,1.0,0.9772727272727272,0.9705882352941176,1.0,0.9736842105263158,1.0,0.9705882352941176,0.6290322580645161,0.9516129032258064,0.9090909090909092,0.9375,0.9696969696969696,0.918918918918919,0.0,8,11.0,74.0,0.7272727272727273,0.0,16,6.0,50.0,3.125,11.6,64.4,4.025
4,5,5,2022-10-28,21-132,CLE,@,BOS,W (+9),1,41:59,7.0,12.0,.583,1.0,3.0,.333,4,6.0,.667,3.0,7.0,10.0,3.0,1.0,2.0,2.0,4.0,19.0,17.7,+2,9.0,6.0,0.6666666666666666,72,74,69,43,66,3,74,12,66,39,59,20,45,32,34,74.0,77.0,69.0,44.0,68.0,3.0,76.0,12.0,68.0,62.0,62.0,22.0,48.0,33.0,37.0,5.0,0.972972972972973,0.961038961038961,1.0,0.9772727272727272,0.9705882352941176,1.0,0.9736842105263158,1.0,0.9705882352941176,0.6290322580645161,0.9516129032258064,0.9090909090909092,0.9375,0.9696969696969696,0.918918918918919,0.0,8,11.0,74.0,0.7272727272727273,0.0,16,15.0,58.0,3.625,16.1,85.0,5.3125
5,6,6,2022-10-30,21-134,CLE,,NYK,W (+13),1,34:15,6.0,13.0,.462,0.0,2.0,.000,4,4.0,1.000,2.0,5.0,7.0,3.0,1.0,1.0,2.0,5.0,16.0,12.0,+18,11.0,6.0,0.5454545454545454,72,74,69,43,66,3,74,12,66,39,59,20,45,32,34,74.0,77.0,69.0,44.0,68.0,3.0,76.0,12.0,68.0,62.0,62.0,22.0,48.0,33.0,37.0,5.0,0.972972972972973,0.961038961038961,1.0,0.9772727272727272,0.9705882352941176,1.0,0.9736842105263158,1.0,0.9705882352941176,0.6290322580645161,0.9516129032258064,0.9090909090909092,0.9375,0.9696969696969696,0.918918918918919,0.0,8,11.0,74.0,0.7272727272727273,0.0,16,9.0,67.0,4.1875,10.4,72.39999999999999,4.5249999999999995
6,7,7,2022-11-02,21-137,CLE,,BOS,W (+1),1,32:00,7.0,8.0,.875,0.0,1.0,.000,1,2.0,.500,2.0,5.0,7.0,2.0,0.0,0.0,3.0,3.0,15.0,11.9,+15,7.0,7.0,1.0,72,74,69,43,66,3,74,12,66,39,59,20,45,32,34,74.0,77.0,69.0,44.0,68.0,3.0,76.0,12.0,68.0,62.0,62.0,22.0,48.0,33.0,37.0,5.0,0.972972972972973,0.961038961038961,1.0,0.9772727272727272,0.9705882352941176,1.0,0.9736842105263158,1.0,0.9705882352941176,0.6290322580645161,0.9516129032258064,0.9090909090909092,0.9375,0.9696969696969696,0.918918918918919,0.0,8,11.0,74.0,0.7272727272727273,0.0,16,11.0,66.0,4.125,11.5,76.70000000000002,4.793750000000001
7,8,8,2022-11-04,21-139,CLE,@,DET,W (+24),1,30:12,5.0,14.0,.357,0.0,1.0,.000,1,2.0,.500,2.0,6.0,8.0,2.0,0.0,8.0,1.0,0.0,11.0,12.0,0,13.0,5.0,0.3846153846153846,72,74,69,43,66,3,74,12,66,39,59,20,45,32,34,74.0,77.0,69.0,44.0,68.0,3.0,76.0,12.0,68.0,62.0,62.0,22.0,48.0,33.0,37.0,5.0,0.972972972972973,0.961038961038961,1.0,0.9772727272727272,0.9705882352941176,1.0,0.9736842105263158,1.0,0.9705882352941176,0.6290322580645161,0.9516129032258064,0.9090909090909092,0.9375,0.9696969696969696,0.918918918918919,0.0,8,11.0,74.0,0.7272727272727273,0.0,16,12.0,77.0,4.8125,11.599999999999996,89.49999999999999,5.593749999999999
8,9,9,2022-11-06,21-141,CLE,@,LAL,W (+14),1,30:27,2.0,7.0,.286,0.0,1.0,.000,1,2.0,.500,2.0,5.0,7.0,3.0,2.0,1.0,1.0,3.0,5.0,6.0,+1,6.0,2.0,0.3333333333333333,72,74,69,43,66,3,74,12,66,39,59,20,45,32,34,74.0,77.0,69.0,44.0,68.0,3.0,76.0,12.0,68.0,62.0,62.0,22.0,48.0,33.0,37.0,5.0,0.972972972972973,0.961038961038961,1.0,0.9772727272727272,0.9705882352941176,1.0,0.9736842105263158,1.0,0.9705882352941176,0.6290322580645161,0.9516129032258064,0.9090909090909092,0.9375,0.9696969696969696,0.918918918918919,0.0,8,11.0,74.0,0.7272727272727273,0.0,16,8.0,60.0,3.75,5.599999999999998,84.10000000000001,5.2562500000000005
9,10,10,2022-11-07,21-142,CLE,@,LAC,L (-2),1,33:41,12.0,18.0,.667,0.0,0.0,,2,2.0,1.000,3.0,5.0,8.0,1.0,0.0,0.0,3.0,6.0,26.0,17.1,-20,18.0,12.0,0.6666666666666666,72,74,69,43,66,3,74,12,66,39,59,20,45,32,34,74.0,77.0,69.0,44.0,68.0,3.0,76.0,12.0,68.0,62.0,62.0,22.0,48.0,33.0,37.0,5.0,0.972972972972973,0.961038961038961,1.0,0.9772727272727272,0.9705882352941176,1.0,0.9736842105263158,1.0,0.9705882352941176,0.6290322580645161,0.9516129032258064,0.9090909090909092,0.9375,0.9696969696969696,0.918918918918919,0.0,8,11.0,74.0,0.7272727272727273,0.0,16,12.0,76.0,4.75,16.299999999999997,81.4,5.0875
