Unnamed: 0,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Caris LeVert,Shared Games with Cedi Osman,Shared Games with Darius Garland,Shared Games with Dean Wade,Shared Games with Donovan Mitchell,Shared Games with Dylan Windler,Shared Games with Evan Mobley,Shared Games with Isaac Okoro,Shared Games with Isaiah Mobley,Shared Games with Jarrett Allen,Shared Games with Kevin Love,Shared Games with Lamar Stevens,Shared Games with Mamadi Diakite,Shared Games with Ricky Rubio,Shared Games with Robin Lopez,Caris LeVert,Cedi Osman,Darius Garland,Dean Wade,Donovan Mitchell,Dylan Windler,Evan Mobley,Isaac Okoro,Isaiah Mobley,Jarrett Allen,Kevin Love,Lamar Stevens,Mamadi Diakite,Ricky Rubio,Robin Lopez,Sam Merrill,co_inf with Caris LeVert,co_inf with Cedi Osman,co_inf with Darius Garland,co_inf with Dean Wade,co_inf with Donovan Mitchell,co_inf with Dylan Windler,co_inf with Evan Mobley,co_inf with Isaac Okoro,co_inf with Isaiah Mobley,co_inf with Jarrett Allen,co_inf with Kevin Love,co_inf with Lamar Stevens,co_inf with Mamadi Diakite,co_inf with Ricky Rubio,co_inf with Robin Lopez,co_inf with Sam Merrill,Shared Games with Danny Green,Danny Green,Dejounte Murray,co_inf with Danny Green,co_inf with Dejounte Murray,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS
0,1,1,2022-10-19,30-153,CLE,@,TOR,L (-3),0,6:02,0.0,1.0,.000,0.0,1.0,.000,0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,-1.4,-8,0.0,0.0,,41,45,36,29,35,2,45,45,11,38,22,38,18,14,29,74.0,77.0,69.0,44.0,68.0,3.0,79.0,76.0,12.0,68.0,62.0,62.0,22.0,33.0,37.0,5.0,0.5540540540540541,0.5844155844155844,0.5217391304347826,0.6590909090909091,0.5147058823529411,0.6666666666666666,0.569620253164557,0.5921052631578947,0.9166666666666666,0.5588235294117647,0.3548387096774194,0.6129032258064516,0.8181818181818182,0.4242424242424242,0.7837837837837838,0.0,4,11.0,74.0,0.3636363636363636,0.0,16,-1.0,73.0,4.5625,-1.4,91.2,5.7
1,2,2,2022-10-22,30-156,CLE,@,CHI,W (+32),0,15:12,3.0,5.0,.600,0.0,1.0,.000,0,0.0,,0.0,4.0,4.0,4.0,1.0,0.0,1.0,1.0,6.0,7.3,+11,4.0,3.0,0.75,41,45,36,29,35,2,45,45,11,38,22,38,18,14,29,74.0,77.0,69.0,44.0,68.0,3.0,79.0,76.0,12.0,68.0,62.0,62.0,22.0,33.0,37.0,5.0,0.5540540540540541,0.5844155844155844,0.5217391304347826,0.6590909090909091,0.5147058823529411,0.6666666666666666,0.569620253164557,0.5921052631578947,0.9166666666666666,0.5588235294117647,0.3548387096774194,0.6129032258064516,0.8181818181818182,0.4242424242424242,0.7837837837837838,0.0,4,11.0,74.0,0.3636363636363636,0.0,16,9.0,82.0,5.125,7.299999999999999,96.29999999999998,6.018749999999999
2,3,3,2022-10-23,30-157,CLE,,WAS,W (+10),0,8:06,2.0,5.0,.400,0.0,1.0,.000,0,0.0,,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,4.0,3.0,+8,4.0,2.0,0.5,41,45,36,29,35,2,45,45,11,38,22,38,18,14,29,74.0,77.0,69.0,44.0,68.0,3.0,79.0,76.0,12.0,68.0,62.0,62.0,22.0,33.0,37.0,5.0,0.5540540540540541,0.5844155844155844,0.5217391304347826,0.6590909090909091,0.5147058823529411,0.6666666666666666,0.569620253164557,0.5921052631578947,0.9166666666666666,0.5588235294117647,0.3548387096774194,0.6129032258064516,0.8181818181818182,0.4242424242424242,0.7837837837837838,0.0,4,11.0,74.0,0.3636363636363636,0.0,16,1.0,71.0,4.4375,3.0,90.79999999999998,5.674999999999999
3,4,4,2022-10-26,30-160,CLE,,ORL,W (+11),0,13:53,1.0,2.0,.500,1.0,1.0,1.000,4,4.0,1.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,5.6,+3,1.0,0.0,0.0,41,45,36,29,35,2,45,45,11,38,22,38,18,14,29,74.0,77.0,69.0,44.0,68.0,3.0,79.0,76.0,12.0,68.0,62.0,62.0,22.0,33.0,37.0,5.0,0.5540540540540541,0.5844155844155844,0.5217391304347826,0.6590909090909091,0.5147058823529411,0.6666666666666666,0.569620253164557,0.5921052631578947,0.9166666666666666,0.5588235294117647,0.3548387096774194,0.6129032258064516,0.8181818181818182,0.4242424242424242,0.7837837837837838,0.0,4,11.0,74.0,0.3636363636363636,0.0,16,1.0,55.0,3.4375,4.0,72.0,4.5
4,5,5,2022-10-28,30-162,CLE,@,BOS,W (+9),0,7:18,0.0,1.0,.000,0.0,1.0,.000,0,0.0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,-0.4,-9,0.0,0.0,,41,45,36,29,35,2,45,45,11,38,22,38,18,14,29,74.0,77.0,69.0,44.0,68.0,3.0,79.0,76.0,12.0,68.0,62.0,62.0,22.0,33.0,37.0,5.0,0.5540540540540541,0.5844155844155844,0.5217391304347826,0.6590909090909091,0.5147058823529411,0.6666666666666666,0.569620253164557,0.5921052631578947,0.9166666666666666,0.5588235294117647,0.3548387096774194,0.6129032258064516,0.8181818181818182,0.4242424242424242,0.7837837837837838,0.0,4,11.0,74.0,0.3636363636363636,0.0,16,0.0,73.0,4.5625,-0.4,101.5,6.34375
5,6,6,2022-10-30,30-164,CLE,,NYK,W (+13),0,10:50,1.0,3.0,.333,0.0,1.0,.000,0,0.0,,1.0,0.0,1.0,3.0,0.0,0.0,0.0,3.0,2.0,1.9,-5,2.0,1.0,0.5,41,45,36,29,35,2,45,45,11,38,22,38,18,14,29,74.0,77.0,69.0,44.0,68.0,3.0,79.0,76.0,12.0,68.0,62.0,62.0,22.0,33.0,37.0,5.0,0.5540540540540541,0.5844155844155844,0.5217391304347826,0.6590909090909091,0.5147058823529411,0.6666666666666666,0.569620253164557,0.5921052631578947,0.9166666666666666,0.5588235294117647,0.3548387096774194,0.6129032258064516,0.8181818181818182,0.4242424242424242,0.7837837837837838,0.0,4,11.0,74.0,0.3636363636363636,0.0,16,3.0,73.0,4.5625,1.9,80.89999999999999,5.0562499999999995
6,7,,2022-11-02,30-167,CLE,,BOS,W (+1),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,41,45,36,29,35,2,45,45,11,38,22,38,18,14,29,74.0,77.0,69.0,44.0,68.0,3.0,79.0,76.0,12.0,68.0,62.0,62.0,22.0,33.0,37.0,5.0,0.5540540540540541,0.5844155844155844,0.5217391304347826,0.6590909090909091,0.5147058823529411,0.6666666666666666,0.569620253164557,0.5921052631578947,0.9166666666666666,0.5588235294117647,0.3548387096774194,0.6129032258064516,0.8181818181818182,0.4242424242424242,0.7837837837837838,0.0,4,11.0,74.0,0.3636363636363636,0.0,16,,77.0,4.8125,0.0,88.20000000000002,5.512500000000001
7,8,7,2022-11-04,30-169,CLE,@,DET,W (+24),0,24:23,3.0,7.0,.429,2.0,3.0,.667,2,2.0,1.000,0.0,5.0,5.0,5.0,2.0,0.0,2.0,0.0,10.0,11.3,+6,4.0,1.0,0.25,41,45,36,29,35,2,45,45,11,38,22,38,18,14,29,74.0,77.0,69.0,44.0,68.0,3.0,79.0,76.0,12.0,68.0,62.0,62.0,22.0,33.0,37.0,5.0,0.5540540540540541,0.5844155844155844,0.5217391304347826,0.6590909090909091,0.5147058823529411,0.6666666666666666,0.569620253164557,0.5921052631578947,0.9166666666666666,0.5588235294117647,0.3548387096774194,0.6129032258064516,0.8181818181818182,0.4242424242424242,0.7837837837837838,0.0,4,11.0,74.0,0.3636363636363636,0.0,16,11.0,78.0,4.875,10.5,90.59999999999998,5.662499999999999
8,9,,2022-11-06,30-171,CLE,@,LAL,W (+14),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,41,45,36,29,35,2,45,45,11,38,22,38,18,14,29,74.0,77.0,69.0,44.0,68.0,3.0,79.0,76.0,12.0,68.0,62.0,62.0,22.0,33.0,37.0,5.0,0.5540540540540541,0.5844155844155844,0.5217391304347826,0.6590909090909091,0.5147058823529411,0.6666666666666666,0.569620253164557,0.5921052631578947,0.9166666666666666,0.5588235294117647,0.3548387096774194,0.6129032258064516,0.8181818181818182,0.4242424242424242,0.7837837837837838,0.0,4,11.0,74.0,0.3636363636363636,0.0,16,,68.0,4.25,0.0,89.69999999999999,5.606249999999999
9,10,,2022-11-07,30-172,CLE,@,LAC,L (-2),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,41,45,36,29,35,2,45,45,11,38,22,38,18,14,29,74.0,77.0,69.0,44.0,68.0,3.0,79.0,76.0,12.0,68.0,62.0,62.0,22.0,33.0,37.0,5.0,0.5540540540540541,0.5844155844155844,0.5217391304347826,0.6590909090909091,0.5147058823529411,0.6666666666666666,0.569620253164557,0.5921052631578947,0.9166666666666666,0.5588235294117647,0.3548387096774194,0.6129032258064516,0.8181818181818182,0.4242424242424242,0.7837837837837838,0.0,4,11.0,74.0,0.3636363636363636,0.0,16,,88.0,5.5,0.0,97.7,6.10625
