Unnamed: 0,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Christian Wood,Shared Games with Dorian Finney-Smith,Shared Games with Dwight Powell,Shared Games with Dāvis Bertāns,Shared Games with Frank Ntilikina,Shared Games with Jaden Hardy,Shared Games with JaVale McGee,Shared Games with Josh Green,Shared Games with Luka Dončić,Shared Games with Maxi Kleber,Shared Games with McKinley Wright IV,Shared Games with Reggie Bullock,Shared Games with Spencer Dinwiddie,Shared Games with Tim Hardaway Jr.,Shared Games with Tyler Dorsey,Chris Silva,Christian Wood,Dorian Finney-Smith,Dwight Powell,Dāvis Bertāns,Facundo Campazzo,Frank Ntilikina,Jaden Hardy,JaVale McGee,Josh Green,Kemba Walker,Luka Dončić,Maxi Kleber,McKinley Wright IV,Reggie Bullock,Spencer Dinwiddie,Tim Hardaway Jr.,Tyler Dorsey,co_inf with Chris Silva,co_inf with Christian Wood,co_inf with Dorian Finney-Smith,co_inf with Dwight Powell,co_inf with Dāvis Bertāns,co_inf with Facundo Campazzo,co_inf with Frank Ntilikina,co_inf with Jaden Hardy,co_inf with JaVale McGee,co_inf with Josh Green,co_inf with Kemba Walker,co_inf with Luka Dončić,co_inf with Maxi Kleber,co_inf with McKinley Wright IV,co_inf with Reggie Bullock,co_inf with Spencer Dinwiddie,co_inf with Tim Hardaway Jr.,co_inf with Tyler Dorsey,Shared Games with Justin Holiday,Shared Games with Kyrie Irving,Shared Games with Markieff Morris,Shared Games with A.J. Lawson,A.J. Lawson,Derrick Favors,Justin Holiday,Kyrie Irving,Markieff Morris,co_inf with Justin Holiday,co_inf with Kyrie Irving,co_inf with Markieff Morris,co_inf with A.J. Lawson,co_inf with Derrick Favors,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS
0,1,,2022-10-19,26-348,DAL,@,PHO,L (-2),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,31,15,37,27,35,32,25,22,28,8,24,36,25,34,3,1.0,67.0,66.0,76.0,45.0,8.0,47.0,48.0,42.0,60.0,9.0,66.0,37.0,27.0,78.0,79.0,71.0,3.0,0.0,0.4626865671641791,0.2272727272727272,0.4868421052631579,0.6,0.0,0.7446808510638298,0.6666666666666666,0.5952380952380952,0.3666666666666666,0.0,0.4242424242424242,0.2162162162162162,0.8888888888888888,0.4615384615384615,0.3164556962025316,0.4788732394366197,1.0,6,9,3,8,15.0,,46.0,60.0,35.0,0.1304347826086956,0.15,0.0857142857142857,0.5333333333333333,,19,,45.0,2.3684210526315788,0.0,65.50000000000001,3.4473684210526323
1,2,1,2022-10-22,26-351,DAL,,MEM,W (+41),0,7:00,0.0,0.0,,0.0,0.0,,2,2.0,1.000,0.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,2.0,3.3,+8,0.0,0.0,,31,15,37,27,35,32,25,22,28,8,24,36,25,34,3,1.0,67.0,66.0,76.0,45.0,8.0,47.0,48.0,42.0,60.0,9.0,66.0,37.0,27.0,78.0,79.0,71.0,3.0,0.0,0.4626865671641791,0.2272727272727272,0.4868421052631579,0.6,0.0,0.7446808510638298,0.6666666666666666,0.5952380952380952,0.3666666666666666,0.0,0.4242424242424242,0.2162162162162162,0.8888888888888888,0.4615384615384615,0.3164556962025316,0.4788732394366197,1.0,6,9,3,8,15.0,,46.0,60.0,35.0,0.1304347826086956,0.15,0.0857142857142857,0.5333333333333333,,19,3.0,90.0,4.7368421052631575,2.5,113.0,5.947368421052632
2,3,,2022-10-25,26-354,DAL,@,NOP,L (-2),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,31,15,37,27,35,32,25,22,28,8,24,36,25,34,3,1.0,67.0,66.0,76.0,45.0,8.0,47.0,48.0,42.0,60.0,9.0,66.0,37.0,27.0,78.0,79.0,71.0,3.0,0.0,0.4626865671641791,0.2272727272727272,0.4868421052631579,0.6,0.0,0.7446808510638298,0.6666666666666666,0.5952380952380952,0.3666666666666666,0.0,0.4242424242424242,0.2162162162162162,0.8888888888888888,0.4615384615384615,0.3164556962025316,0.4788732394366197,1.0,6,9,3,8,15.0,,46.0,60.0,35.0,0.1304347826086956,0.15,0.0857142857142857,0.5333333333333333,,19,,64.0,3.3684210526315788,0.0,90.2,4.747368421052632
3,4,,2022-10-27,26-356,DAL,@,BRK,W (+4),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,31,15,37,27,35,32,25,22,28,8,24,36,25,34,3,1.0,67.0,66.0,76.0,45.0,8.0,47.0,48.0,42.0,60.0,9.0,66.0,37.0,27.0,78.0,79.0,71.0,3.0,0.0,0.4626865671641791,0.2272727272727272,0.4868421052631579,0.6,0.0,0.7446808510638298,0.6666666666666666,0.5952380952380952,0.3666666666666666,0.0,0.4242424242424242,0.2162162162162162,0.8888888888888888,0.4615384615384615,0.3164556962025316,0.4788732394366197,1.0,6,9,3,8,15.0,,46.0,60.0,35.0,0.1304347826086956,0.15,0.0857142857142857,0.5333333333333333,,19,,70.0,3.684210526315789,0.0,96.6,5.084210526315789
4,5,,2022-10-29,26-358,DAL,,OKC,L (-6),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,31,15,37,27,35,32,25,22,28,8,24,36,25,34,3,1.0,67.0,66.0,76.0,45.0,8.0,47.0,48.0,42.0,60.0,9.0,66.0,37.0,27.0,78.0,79.0,71.0,3.0,0.0,0.4626865671641791,0.2272727272727272,0.4868421052631579,0.6,0.0,0.7446808510638298,0.6666666666666666,0.5952380952380952,0.3666666666666666,0.0,0.4242424242424242,0.2162162162162162,0.8888888888888888,0.4615384615384615,0.3164556962025316,0.4788732394366197,1.0,6,9,3,8,15.0,,46.0,60.0,35.0,0.1304347826086956,0.15,0.0857142857142857,0.5333333333333333,,19,,49.0,2.5789473684210527,0.0,68.3,3.594736842105263
5,6,,2022-10-30,26-359,DAL,,ORL,W (+9),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,31,15,37,27,35,32,25,22,28,8,24,36,25,34,3,1.0,67.0,66.0,76.0,45.0,8.0,47.0,48.0,42.0,60.0,9.0,66.0,37.0,27.0,78.0,79.0,71.0,3.0,0.0,0.4626865671641791,0.2272727272727272,0.4868421052631579,0.6,0.0,0.7446808510638298,0.6666666666666666,0.5952380952380952,0.3666666666666666,0.0,0.4242424242424242,0.2162162162162162,0.8888888888888888,0.4615384615384615,0.3164556962025316,0.4788732394366197,1.0,6,9,3,8,15.0,,46.0,60.0,35.0,0.1304347826086956,0.15,0.0857142857142857,0.5333333333333333,,19,,60.0,3.1578947368421053,0.0,93.2,4.905263157894737
6,7,,2022-11-02,26-362,DAL,,UTA,W (+3),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,31,15,37,27,35,32,25,22,28,8,24,36,25,34,3,1.0,67.0,66.0,76.0,45.0,8.0,47.0,48.0,42.0,60.0,9.0,66.0,37.0,27.0,78.0,79.0,71.0,3.0,0.0,0.4626865671641791,0.2272727272727272,0.4868421052631579,0.6,0.0,0.7446808510638298,0.6666666666666666,0.5952380952380952,0.3666666666666666,0.0,0.4242424242424242,0.2162162162162162,0.8888888888888888,0.4615384615384615,0.3164556962025316,0.4788732394366197,1.0,6,9,3,8,15.0,,46.0,60.0,35.0,0.1304347826086956,0.15,0.0857142857142857,0.5333333333333333,,19,,79.0,4.157894736842105,0.0,97.7,5.1421052631578945
7,8,,2022-11-04,26-364,DAL,,TOR,W (+1),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,31,15,37,27,35,32,25,22,28,8,24,36,25,34,3,1.0,67.0,66.0,76.0,45.0,8.0,47.0,48.0,42.0,60.0,9.0,66.0,37.0,27.0,78.0,79.0,71.0,3.0,0.0,0.4626865671641791,0.2272727272727272,0.4868421052631579,0.6,0.0,0.7446808510638298,0.6666666666666666,0.5952380952380952,0.3666666666666666,0.0,0.4242424242424242,0.2162162162162162,0.8888888888888888,0.4615384615384615,0.3164556962025316,0.4788732394366197,1.0,6,9,3,8,15.0,,46.0,60.0,35.0,0.1304347826086956,0.15,0.0857142857142857,0.5333333333333333,,19,,51.0,2.6842105263157894,0.0,57.7,3.0368421052631582
8,9,,2022-11-07,27-002,DAL,,BRK,W (+2),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,31,15,37,27,35,32,25,22,28,8,24,36,25,34,3,1.0,67.0,66.0,76.0,45.0,8.0,47.0,48.0,42.0,60.0,9.0,66.0,37.0,27.0,78.0,79.0,71.0,3.0,0.0,0.4626865671641791,0.2272727272727272,0.4868421052631579,0.6,0.0,0.7446808510638298,0.6666666666666666,0.5952380952380952,0.3666666666666666,0.0,0.4242424242424242,0.2162162162162162,0.8888888888888888,0.4615384615384615,0.3164556962025316,0.4788732394366197,1.0,6,9,3,8,15.0,,46.0,60.0,35.0,0.1304347826086956,0.15,0.0857142857142857,0.5333333333333333,,19,,46.0,2.421052631578948,0.0,54.99999999999999,2.894736842105263
9,10,,2022-11-09,27-004,DAL,@,ORL,L (-7),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,31,15,37,27,35,32,25,22,28,8,24,36,25,34,3,1.0,67.0,66.0,76.0,45.0,8.0,47.0,48.0,42.0,60.0,9.0,66.0,37.0,27.0,78.0,79.0,71.0,3.0,0.0,0.4626865671641791,0.2272727272727272,0.4868421052631579,0.6,0.0,0.7446808510638298,0.6666666666666666,0.5952380952380952,0.3666666666666666,0.0,0.4242424242424242,0.2162162162162162,0.8888888888888888,0.4615384615384615,0.3164556962025316,0.4788732394366197,1.0,6,9,3,8,15.0,,46.0,60.0,35.0,0.1304347826086956,0.15,0.0857142857142857,0.5333333333333333,,19,,33.0,1.736842105263158,0.0,42.900000000000006,2.2578947368421054
