Unnamed: 0,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Alperen Şengün,Shared Games with Boban Marjanović,Shared Games with Bruno Fernando,Shared Games with Daishen Nix,Shared Games with Darius Days,Shared Games with Eric Gordon,Shared Games with Garrison Mathews,Shared Games with Jabari Smith Jr.,Shared Games with Jae'Sean Tate,Shared Games with Jalen Green,Shared Games with Josh Christopher,Shared Games with Kevin Porter Jr.,Shared Games with Tari Eason,Shared Games with Trevor Hudgins,Shared Games with TyTy Washington Jr.,Shared Games with Usman Garuba,Alperen Şengün,Boban Marjanović,Bruno Fernando,Daishen Nix,Darius Days,Eric Gordon,Garrison Mathews,Jabari Smith Jr.,Jae'Sean Tate,Jalen Green,Josh Christopher,Kevin Porter Jr.,Tari Eason,Trevor Hudgins,TyTy Washington Jr.,Usman Garuba,Willie Cauley-Stein,co_inf with Alperen Şengün,co_inf with Boban Marjanović,co_inf with Bruno Fernando,co_inf with Daishen Nix,co_inf with Darius Days,co_inf with Eric Gordon,co_inf with Garrison Mathews,co_inf with Jabari Smith Jr.,co_inf with Jae'Sean Tate,co_inf with Jalen Green,co_inf with Josh Christopher,co_inf with Kevin Porter Jr.,co_inf with Tari Eason,co_inf with Trevor Hudgins,co_inf with TyTy Washington Jr.,co_inf with Usman Garuba,co_inf with Willie Cauley-Stein,Shared Games with Frank Kaminsky,Shared Games with Justin Holiday,Frank Kaminsky,Jarrett Culver,John Wall,co_inf with Frank Kaminsky,co_inf with John Wall,co_inf with Jarrett Culver,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS
0,1,1,2022-10-19,21-286,HOU,@,ATL,L (-10),0,22:42,1.0,7.0,.143,0.0,2.0,.000,4,4.0,1.000,0.0,5.0,5.0,0.0,1.0,0.0,1.0,4.0,6.0,1.4,-10,5.0,1.0,0.2,75,31,31,57,4,47,45,79,31,76,64,59,82,5,31,75,75.0,31.0,39.0,57.0,4.0,69.0,54.0,79.0,31.0,76.0,64.0,59.0,82.0,5.0,31.0,75.0,,1.0,1.0,0.7948717948717948,1.0,1.0,0.6811594202898551,0.8333333333333334,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,9,32,36.0,10.0,34.0,0.25,0.0,0.0,18,0.0,43.0,2.388888888888889,-0.1999999999999993,50.7,2.816666666666667
1,2,2,2022-10-21,21-288,HOU,,MEM,L (-7),0,24:47,3.0,5.0,.600,1.0,2.0,.500,1,2.0,.500,1.0,4.0,5.0,3.0,1.0,1.0,3.0,2.0,8.0,7.2,+12,3.0,2.0,0.6666666666666666,75,31,31,57,4,47,45,79,31,76,64,59,82,5,31,75,75.0,31.0,39.0,57.0,4.0,69.0,54.0,79.0,31.0,76.0,64.0,59.0,82.0,5.0,31.0,75.0,,1.0,1.0,0.7948717948717948,1.0,1.0,0.6811594202898551,0.8333333333333334,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,9,32,36.0,10.0,34.0,0.25,0.0,0.0,18,8.0,39.0,2.1666666666666665,6.799999999999995,58.2,3.2333333333333334
2,3,3,2022-10-22,21-289,HOU,@,MIL,L (-20),1,29:53,6.0,11.0,.545,2.0,5.0,.400,0,1.0,.000,2.0,3.0,5.0,2.0,0.0,0.0,1.0,1.0,14.0,10.6,-5,6.0,4.0,0.6666666666666666,75,31,31,57,4,47,45,79,31,76,64,59,82,5,31,75,75.0,31.0,39.0,57.0,4.0,69.0,54.0,79.0,31.0,76.0,64.0,59.0,82.0,5.0,31.0,75.0,,1.0,1.0,0.7948717948717948,1.0,1.0,0.6811594202898551,0.8333333333333334,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,9,32,36.0,10.0,34.0,0.25,0.0,0.0,18,8.0,59.0,3.2777777777777777,10.599999999999994,62.899999999999984,3.4944444444444436
3,4,4,2022-10-24,21-291,HOU,,UTA,W (+6),1,34:16,1.0,9.0,.111,1.0,6.0,.167,0,0.0,,1.0,3.0,4.0,3.0,1.0,1.0,1.0,4.0,3.0,-0.1,-4,3.0,0.0,0.0,75,31,31,57,4,47,45,79,31,76,64,59,82,5,31,75,75.0,31.0,39.0,57.0,4.0,69.0,54.0,79.0,31.0,76.0,64.0,59.0,82.0,5.0,31.0,75.0,,1.0,1.0,0.7948717948717948,1.0,1.0,0.6811594202898551,0.8333333333333334,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,9,32,36.0,10.0,34.0,0.25,0.0,0.0,18,2.0,53.0,2.9444444444444446,-0.1000000000000009,67.3,3.738888888888889
4,5,5,2022-10-26,21-293,HOU,@,UTA,L (-8),0,24:54,3.0,9.0,.333,0.0,2.0,.000,5,7.0,.714,2.0,8.0,10.0,3.0,0.0,0.0,1.0,4.0,11.0,8.4,+4,7.0,3.0,0.4285714285714285,75,31,31,57,4,47,45,79,31,76,64,59,82,5,31,75,75.0,31.0,39.0,57.0,4.0,69.0,54.0,79.0,31.0,76.0,64.0,59.0,82.0,5.0,31.0,75.0,,1.0,1.0,0.7948717948717948,1.0,1.0,0.6811594202898551,0.8333333333333334,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,9,32,36.0,10.0,34.0,0.25,0.0,0.0,18,7.0,33.0,1.8333333333333333,6.4,24.599999999999994,1.3666666666666663
5,6,6,2022-10-28,21-295,HOU,@,POR,L (-14),0,16:37,4.0,6.0,.667,1.0,1.0,1.000,2,2.0,1.000,1.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,11.0,10.0,-11,5.0,3.0,0.6,75,31,31,57,4,47,45,79,31,76,64,59,82,5,31,75,75.0,31.0,39.0,57.0,4.0,69.0,54.0,79.0,31.0,76.0,64.0,59.0,82.0,5.0,31.0,75.0,,1.0,1.0,0.7948717948717948,1.0,1.0,0.6811594202898551,0.8333333333333334,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,9,32,36.0,10.0,34.0,0.25,0.0,0.0,18,7.0,46.0,2.555555555555556,9.2,53.60000000000001,2.9777777777777783
6,7,7,2022-10-30,21-297,HOU,@,PHO,L (-15),0,24:05,4.0,6.0,.667,0.0,1.0,.000,0,0.0,,2.0,1.0,3.0,1.0,0.0,0.0,1.0,1.0,8.0,6.4,-2,5.0,4.0,0.8,75,31,31,57,4,47,45,79,31,76,64,59,82,5,31,75,75.0,31.0,39.0,57.0,4.0,69.0,54.0,79.0,31.0,76.0,64.0,59.0,82.0,5.0,31.0,75.0,,1.0,1.0,0.7948717948717948,1.0,1.0,0.6811594202898551,0.8333333333333334,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,9,32,36.0,10.0,34.0,0.25,0.0,0.0,18,5.0,51.0,2.833333333333333,6.4,62.39999999999999,3.4666666666666663
7,8,8,2022-10-31,21-298,HOU,@,LAC,L (-2),0,28:45,9.0,17.0,.529,2.0,8.0,.250,3,6.0,.500,0.0,6.0,6.0,1.0,1.0,2.0,1.0,3.0,23.0,16.2,+3,9.0,7.0,0.7777777777777778,75,31,31,57,4,47,45,79,31,76,64,59,82,5,31,75,75.0,31.0,39.0,57.0,4.0,69.0,54.0,79.0,31.0,76.0,64.0,59.0,82.0,5.0,31.0,75.0,,1.0,1.0,0.7948717948717948,1.0,1.0,0.6811594202898551,0.8333333333333334,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,9,32,36.0,10.0,34.0,0.25,0.0,0.0,18,9.0,29.0,1.6111111111111112,15.000000000000004,32.4,1.7999999999999998
8,9,9,2022-11-02,21-300,HOU,,LAC,L (-8),0,20:14,1.0,2.0,.500,0.0,1.0,.000,0,0.0,,0.0,3.0,3.0,1.0,1.0,0.0,1.0,2.0,2.0,1.8,-2,1.0,1.0,1.0,75,31,31,57,4,47,45,79,31,76,64,59,82,5,31,75,75.0,31.0,39.0,57.0,4.0,69.0,54.0,79.0,31.0,76.0,64.0,59.0,82.0,5.0,31.0,75.0,,1.0,1.0,0.7948717948717948,1.0,1.0,0.6811594202898551,0.8333333333333334,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,9,32,36.0,10.0,34.0,0.25,0.0,0.0,18,4.0,57.0,3.1666666666666665,1.7999999999999998,61.10000000000001,3.394444444444445
9,10,10,2022-11-05,21-303,HOU,@,MIN,L (-12),1,31:18,6.0,8.0,.750,3.0,5.0,.600,2,3.0,.667,1.0,2.0,3.0,1.0,1.0,0.0,2.0,1.0,17.0,14.0,-19,3.0,3.0,1.0,75,31,31,57,4,47,45,79,31,76,64,59,82,5,31,75,75.0,31.0,39.0,57.0,4.0,69.0,54.0,79.0,31.0,76.0,64.0,59.0,82.0,5.0,31.0,75.0,,1.0,1.0,0.7948717948717948,1.0,1.0,0.6811594202898551,0.8333333333333334,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,9,32,36.0,10.0,34.0,0.25,0.0,0.0,18,9.0,35.0,1.9444444444444444,13.199999999999998,48.99999999999999,2.722222222222222
