Unnamed: 0,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Alperen Şengün,Shared Games with Boban Marjanović,Shared Games with Bruno Fernando,Shared Games with Daishen Nix,Shared Games with Darius Days,Shared Games with Eric Gordon,Shared Games with Garrison Mathews,Shared Games with Jabari Smith Jr.,Shared Games with Jae'Sean Tate,Shared Games with Jalen Green,Shared Games with Josh Christopher,Shared Games with Kenyon Martin Jr.,Shared Games with Kevin Porter Jr.,Shared Games with Tari Eason,Shared Games with Trevor Hudgins,Shared Games with TyTy Washington Jr.,Alperen Şengün,Boban Marjanović,Bruno Fernando,Daishen Nix,Darius Days,Eric Gordon,Garrison Mathews,Jabari Smith Jr.,Jae'Sean Tate,Jalen Green,Josh Christopher,Kenyon Martin Jr.,Kevin Porter Jr.,Tari Eason,Trevor Hudgins,TyTy Washington Jr.,Willie Cauley-Stein,co_inf with Alperen Şengün,co_inf with Boban Marjanović,co_inf with Bruno Fernando,co_inf with Daishen Nix,co_inf with Darius Days,co_inf with Eric Gordon,co_inf with Garrison Mathews,co_inf with Jabari Smith Jr.,co_inf with Jae'Sean Tate,co_inf with Jalen Green,co_inf with Josh Christopher,co_inf with Kenyon Martin Jr.,co_inf with Kevin Porter Jr.,co_inf with Tari Eason,co_inf with Trevor Hudgins,co_inf with TyTy Washington Jr.,co_inf with Willie Cauley-Stein,Shared Games with Frank Kaminsky,Shared Games with Justin Holiday,Frank Kaminsky,Jarrett Culver,John Wall,co_inf with Frank Kaminsky,co_inf with John Wall,co_inf with Jarrett Culver,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS
0,1,,2022-10-19,20-224,HOU,@,ATL,L (-10),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,68,30,24,54,4,41,39,72,27,71,57,75,57,75,5,29,75.0,31.0,39.0,57.0,4.0,69.0,54.0,79.0,31.0,76.0,64.0,82.0,59.0,82.0,5.0,31.0,,0.9066666666666666,0.967741935483871,0.6153846153846154,0.9473684210526316,1.0,0.5942028985507246,0.7222222222222222,0.9113924050632912,0.8709677419354839,0.9342105263157896,0.890625,0.9146341463414634,0.9661016949152542,0.9146341463414634,1.0,0.935483870967742,,9,29,36.0,10.0,34.0,0.25,0.0,0.0,18,,43.0,2.388888888888889,0.0,50.5,2.8055555555555554
1,2,,2022-10-21,20-226,HOU,,MEM,L (-7),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,68,30,24,54,4,41,39,72,27,71,57,75,57,75,5,29,75.0,31.0,39.0,57.0,4.0,69.0,54.0,79.0,31.0,76.0,64.0,82.0,59.0,82.0,5.0,31.0,,0.9066666666666666,0.967741935483871,0.6153846153846154,0.9473684210526316,1.0,0.5942028985507246,0.7222222222222222,0.9113924050632912,0.8709677419354839,0.9342105263157896,0.890625,0.9146341463414634,0.9661016949152542,0.9146341463414634,1.0,0.935483870967742,,9,29,36.0,10.0,34.0,0.25,0.0,0.0,18,,47.0,2.611111111111111,0.0,65.0,3.611111111111111
2,3,1,2022-10-22,20-227,HOU,@,MIL,L (-20),1,25:02,2.0,3.0,.667,1.0,1.0,1.000,1,2.0,.500,4.0,4.0,8.0,2.0,4.0,0.0,2.0,2.0,6.0,10.9,-12,2.0,1.0,0.5,68,30,24,54,4,41,39,72,27,71,57,75,57,75,5,29,75.0,31.0,39.0,57.0,4.0,69.0,54.0,79.0,31.0,76.0,64.0,82.0,59.0,82.0,5.0,31.0,,0.9066666666666666,0.967741935483871,0.6153846153846154,0.9473684210526316,1.0,0.5942028985507246,0.7222222222222222,0.9113924050632912,0.8709677419354839,0.9342105263157896,0.890625,0.9146341463414634,0.9661016949152542,0.9146341463414634,1.0,0.935483870967742,,9,29,36.0,10.0,34.0,0.25,0.0,0.0,18,13.0,54.0,3.0,10.499999999999998,62.99999999999999,3.4999999999999996
3,4,2,2022-10-24,20-229,HOU,,UTA,W (+6),0,10:37,1.0,3.0,.333,0.0,0.0,,0,2.0,.000,3.0,1.0,4.0,1.0,0.0,0.0,2.0,2.0,2.0,-0.2,+5,3.0,1.0,0.3333333333333333,68,30,24,54,4,41,39,72,27,71,57,75,57,75,5,29,75.0,31.0,39.0,57.0,4.0,69.0,54.0,79.0,31.0,76.0,64.0,82.0,59.0,82.0,5.0,31.0,,0.9066666666666666,0.967741935483871,0.6153846153846154,0.9473684210526316,1.0,0.5942028985507246,0.7222222222222222,0.9113924050632912,0.8709677419354839,0.9342105263157896,0.890625,0.9146341463414634,0.9661016949152542,0.9146341463414634,1.0,0.935483870967742,,9,29,36.0,10.0,34.0,0.25,0.0,0.0,18,0.0,55.0,3.055555555555556,-0.1999999999999995,67.4,3.744444444444445
4,5,3,2022-10-26,20-231,HOU,@,UTA,L (-8),0,8:29,1.0,1.0,1.000,0.0,0.0,,0,0.0,,2.0,3.0,5.0,0.0,0.0,0.0,2.0,3.0,2.0,0.8,-5,1.0,1.0,1.0,68,30,24,54,4,41,39,72,27,71,57,75,57,75,5,29,75.0,31.0,39.0,57.0,4.0,69.0,54.0,79.0,31.0,76.0,64.0,82.0,59.0,82.0,5.0,31.0,,0.9066666666666666,0.967741935483871,0.6153846153846154,0.9473684210526316,1.0,0.5942028985507246,0.7222222222222222,0.9113924050632912,0.8709677419354839,0.9342105263157896,0.890625,0.9146341463414634,0.9661016949152542,0.9146341463414634,1.0,0.935483870967742,,9,29,36.0,10.0,34.0,0.25,0.0,0.0,18,4.0,36.0,2.0,0.7999999999999989,30.2,1.6777777777777778
5,6,4,2022-10-28,20-233,HOU,@,POR,L (-14),0,5:05,1.0,1.0,1.000,0.0,0.0,,0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.7,0,1.0,1.0,1.0,68,30,24,54,4,41,39,72,27,71,57,75,57,75,5,29,75.0,31.0,39.0,57.0,4.0,69.0,54.0,79.0,31.0,76.0,64.0,82.0,59.0,82.0,5.0,31.0,,0.9066666666666666,0.967741935483871,0.6153846153846154,0.9473684210526316,1.0,0.5942028985507246,0.7222222222222222,0.9113924050632912,0.8709677419354839,0.9342105263157896,0.890625,0.9146341463414634,0.9661016949152542,0.9146341463414634,1.0,0.935483870967742,,9,29,36.0,10.0,34.0,0.25,0.0,0.0,18,1.0,52.0,2.888888888888889,1.7,61.10000000000001,3.394444444444445
6,7,5,2022-10-30,20-235,HOU,@,PHO,L (-15),0,12:27,1.0,1.0,1.000,1.0,1.0,1.000,0,0.0,,3.0,4.0,7.0,1.0,1.0,0.0,0.0,1.0,3.0,7.3,-4,0.0,0.0,,68,30,24,54,4,41,39,72,27,71,57,75,57,75,5,29,75.0,31.0,39.0,57.0,4.0,69.0,54.0,79.0,31.0,76.0,64.0,82.0,59.0,82.0,5.0,31.0,,0.9066666666666666,0.967741935483871,0.6153846153846154,0.9473684210526316,1.0,0.5942028985507246,0.7222222222222222,0.9113924050632912,0.8709677419354839,0.9342105263157896,0.890625,0.9146341463414634,0.9661016949152542,0.9146341463414634,1.0,0.935483870967742,,9,29,36.0,10.0,34.0,0.25,0.0,0.0,18,11.0,45.0,2.5,7.3,61.49999999999999,3.416666666666666
7,8,6,2022-10-31,20-236,HOU,@,LAC,L (-2),0,10:26,1.0,2.0,.500,0.0,0.0,,0,0.0,,2.0,6.0,8.0,1.0,0.0,1.0,1.0,0.0,2.0,4.6,+4,2.0,1.0,0.5,68,30,24,54,4,41,39,72,27,71,57,75,57,75,5,29,75.0,31.0,39.0,57.0,4.0,69.0,54.0,79.0,31.0,76.0,64.0,82.0,59.0,82.0,5.0,31.0,,0.9066666666666666,0.967741935483871,0.6153846153846154,0.9473684210526316,1.0,0.5942028985507246,0.7222222222222222,0.9113924050632912,0.8709677419354839,0.9342105263157896,0.890625,0.9146341463414634,0.9661016949152542,0.9146341463414634,1.0,0.935483870967742,,9,29,36.0,10.0,34.0,0.25,0.0,0.0,18,9.0,29.0,1.6111111111111112,4.6,42.8,2.3777777777777778
8,9,7,2022-11-02,20-238,HOU,,LAC,L (-8),0,12:25,3.0,5.0,.600,0.0,1.0,.000,0,1.0,.000,4.0,2.0,6.0,1.0,2.0,0.0,2.0,4.0,6.0,5.8,+6,4.0,3.0,0.75,68,30,24,54,4,41,39,72,27,71,57,75,57,75,5,29,75.0,31.0,39.0,57.0,4.0,69.0,54.0,79.0,31.0,76.0,64.0,82.0,59.0,82.0,5.0,31.0,,0.9066666666666666,0.967741935483871,0.6153846153846154,0.9473684210526316,1.0,0.5942028985507246,0.7222222222222222,0.9113924050632912,0.8709677419354839,0.9342105263157896,0.890625,0.9146341463414634,0.9661016949152542,0.9146341463414634,1.0,0.935483870967742,,9,29,36.0,10.0,34.0,0.25,0.0,0.0,18,7.0,54.0,3.0,5.799999999999999,57.10000000000001,3.1722222222222225
9,10,8,2022-11-05,20-241,HOU,@,MIN,L (-12),0,24:32,2.0,4.0,.500,0.0,0.0,,3,4.0,.750,0.0,3.0,3.0,1.0,2.0,0.0,2.0,2.0,7.0,5.4,-16,4.0,2.0,0.5,68,30,24,54,4,41,39,72,27,71,57,75,57,75,5,29,75.0,31.0,39.0,57.0,4.0,69.0,54.0,79.0,31.0,76.0,64.0,82.0,59.0,82.0,5.0,31.0,,0.9066666666666666,0.967741935483871,0.6153846153846154,0.9473684210526316,1.0,0.5942028985507246,0.7222222222222222,0.9113924050632912,0.8709677419354839,0.9342105263157896,0.890625,0.9146341463414634,0.9661016949152542,0.9146341463414634,1.0,0.935483870967742,,9,29,36.0,10.0,34.0,0.25,0.0,0.0,18,3.0,41.0,2.2777777777777777,4.199999999999998,58.0,3.2222222222222223
