Unnamed: 0,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Aaron Nesmith,Shared Games with Andrew Nembhard,Shared Games with Buddy Hield,Shared Games with Chris Duarte,Shared Games with Daniel Theis,Shared Games with Goga Bitadze,Shared Games with Isaiah Jackson,Shared Games with Jalen Smith,Shared Games with James Johnson,Shared Games with Kendall Brown,Shared Games with Myles Turner,Shared Games with Oshae Brissett,Shared Games with T.J. McConnell,Shared Games with Terry Taylor,Shared Games with Trevelin Queen,Shared Games with Tyrese Haliburton,Aaron Nesmith,Andrew Nembhard,Buddy Hield,Chris Duarte,Daniel Theis,Gabe York,Goga Bitadze,Isaiah Jackson,Jalen Smith,James Johnson,Kendall Brown,Myles Turner,Oshae Brissett,T.J. McConnell,Terry Taylor,Trevelin Queen,Tyrese Haliburton,co_inf with Aaron Nesmith,co_inf with Andrew Nembhard,co_inf with Buddy Hield,co_inf with Chris Duarte,co_inf with Daniel Theis,co_inf with Gabe York,co_inf with Goga Bitadze,co_inf with Isaiah Jackson,co_inf with Jalen Smith,co_inf with James Johnson,co_inf with Kendall Brown,co_inf with Myles Turner,co_inf with Oshae Brissett,co_inf with T.J. McConnell,co_inf with Terry Taylor,co_inf with Trevelin Queen,co_inf with Tyrese Haliburton,Shared Games with George Hill,Shared Games with Jordan Nwora,George Hill,John Collins,Jordan Nwora,Serge Ibaka,co_inf with George Hill,co_inf with John Collins,co_inf with Jordan Nwora,co_inf with Serge Ibaka,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS
0,1,1,2022-10-19,20-122,IND,,WAS,L (-7),0,27:50,7.0,15.0,.467,3.0,7.0,.429,2,5.0,.400,2.0,5.0,7.0,2.0,2.0,0.0,3.0,3.0,19.0,12.2,+9,8.0,4.0,0.5,69,71,76,44,7,21,60,64,17,6,60,61,73,26,7,56,73.0,75.0,80.0,46.0,7.0,3.0,38.0,63.0,68.0,18.0,6.0,62.0,65.0,75.0,31.0,7.0,56.0,0.9452054794520548,0.9466666666666668,0.95,0.9565217391304348,1.0,0.0,0.5526315789473685,0.9523809523809524,0.9411764705882352,0.9444444444444444,1.0,0.967741935483871,0.9384615384615383,0.9733333333333334,0.8387096774193549,1.0,1.0,9,20,46.0,71.0,62.0,16.0,0.1956521739130435,0.0,0.3225806451612903,0.0,18,7.0,56.0,3.111111111111111,11.4,52.99999999999999,2.944444444444444
1,2,2,2022-10-21,20-124,IND,,SAS,L (-3),0,28:00,8.0,15.0,.533,3.0,6.0,.500,7,8.0,.875,1.0,4.0,5.0,2.0,0.0,0.0,0.0,3.0,26.0,20.4,+9,9.0,5.0,0.5555555555555556,69,71,76,44,7,21,60,64,17,6,60,61,73,26,7,56,73.0,75.0,80.0,46.0,7.0,3.0,38.0,63.0,68.0,18.0,6.0,62.0,65.0,75.0,31.0,7.0,56.0,0.9452054794520548,0.9466666666666668,0.95,0.9565217391304348,1.0,0.0,0.5526315789473685,0.9523809523809524,0.9411764705882352,0.9444444444444444,1.0,0.967741935483871,0.9384615384615383,0.9733333333333334,0.8387096774193549,1.0,1.0,9,20,46.0,71.0,62.0,16.0,0.1956521739130435,0.0,0.3225806451612903,0.0,18,10.0,102.0,5.666666666666667,17.6,82.1,4.561111111111111
2,3,3,2022-10-22,20-125,IND,,DET,W (+9),0,30:39,10.0,18.0,.556,5.0,8.0,.625,2,2.0,1.000,1.0,6.0,7.0,2.0,0.0,0.0,2.0,3.0,27.0,19.1,0,10.0,5.0,0.5,69,71,76,44,7,21,60,64,17,6,60,61,73,26,7,56,73.0,75.0,80.0,46.0,7.0,3.0,38.0,63.0,68.0,18.0,6.0,62.0,65.0,75.0,31.0,7.0,56.0,0.9452054794520548,0.9466666666666668,0.95,0.9565217391304348,1.0,0.0,0.5526315789473685,0.9523809523809524,0.9411764705882352,0.9444444444444444,1.0,0.967741935483871,0.9384615384615383,0.9733333333333334,0.8387096774193549,1.0,1.0,9,20,46.0,71.0,62.0,16.0,0.1956521739130435,0.0,0.3225806451612903,0.0,18,14.0,86.0,4.777777777777778,18.3,78.1,4.338888888888889
3,4,4,2022-10-24,20-127,IND,@,PHI,L (-14),0,24:44,6.0,16.0,.375,1.0,7.0,.143,4,4.0,1.000,2.0,2.0,4.0,2.0,0.0,0.0,3.0,3.0,17.0,7.4,-18,9.0,5.0,0.5555555555555556,69,71,76,44,7,21,60,64,17,6,60,61,73,26,7,56,73.0,75.0,80.0,46.0,7.0,3.0,38.0,63.0,68.0,18.0,6.0,62.0,65.0,75.0,31.0,7.0,56.0,0.9452054794520548,0.9466666666666668,0.95,0.9565217391304348,1.0,0.0,0.5526315789473685,0.9523809523809524,0.9411764705882352,0.9444444444444444,1.0,0.967741935483871,0.9384615384615383,0.9733333333333334,0.8387096774193549,1.0,1.0,9,20,46.0,71.0,62.0,16.0,0.1956521739130435,0.0,0.3225806451612903,0.0,18,0.0,83.0,4.611111111111111,5.799999999999997,65.69999999999999,3.6499999999999995
4,5,5,2022-10-26,20-129,IND,@,CHI,L (-15),0,26:32,3.0,11.0,.273,0.0,3.0,.000,9,10.0,.900,1.0,1.0,2.0,4.0,2.0,0.0,2.0,2.0,15.0,11.1,-18,8.0,3.0,0.375,69,71,76,44,7,21,60,64,17,6,60,61,73,26,7,56,73.0,75.0,80.0,46.0,7.0,3.0,38.0,63.0,68.0,18.0,6.0,62.0,65.0,75.0,31.0,7.0,56.0,0.9452054794520548,0.9466666666666668,0.95,0.9565217391304348,1.0,0.0,0.5526315789473685,0.9523809523809524,0.9411764705882352,0.9444444444444444,1.0,0.967741935483871,0.9384615384615383,0.9733333333333334,0.8387096774193549,1.0,1.0,9,20,46.0,71.0,62.0,16.0,0.1956521739130435,0.0,0.3225806451612903,0.0,18,0.0,90.0,5.0,7.5,78.5,4.361111111111111
5,6,6,2022-10-28,20-131,IND,@,WAS,W (+10),0,23:04,4.0,11.0,.364,1.0,4.0,.250,2,2.0,1.000,1.0,1.0,2.0,2.0,0.0,0.0,1.0,1.0,11.0,5.9,+5,7.0,3.0,0.4285714285714285,69,71,76,44,7,21,60,64,17,6,60,61,73,26,7,56,73.0,75.0,80.0,46.0,7.0,3.0,38.0,63.0,68.0,18.0,6.0,62.0,65.0,75.0,31.0,7.0,56.0,0.9452054794520548,0.9466666666666668,0.95,0.9565217391304348,1.0,0.0,0.5526315789473685,0.9523809523809524,0.9411764705882352,0.9444444444444444,1.0,0.967741935483871,0.9384615384615383,0.9733333333333334,0.8387096774193549,1.0,1.0,9,20,46.0,71.0,62.0,16.0,0.1956521739130435,0.0,0.3225806451612903,0.0,18,1.0,79.0,4.388888888888889,5.1000000000000005,90.20000000000002,5.011111111111112
6,7,7,2022-10-29,20-132,IND,@,BRK,W (+9),0,33:06,8.0,16.0,.500,6.0,9.0,.667,10,10.0,1.000,2.0,3.0,5.0,2.0,0.0,0.0,2.0,4.0,32.0,24.1,+9,7.0,2.0,0.2857142857142857,69,71,76,44,7,21,60,64,17,6,60,61,73,26,7,56,73.0,75.0,80.0,46.0,7.0,3.0,38.0,63.0,68.0,18.0,6.0,62.0,65.0,75.0,31.0,7.0,56.0,0.9452054794520548,0.9466666666666668,0.95,0.9565217391304348,1.0,0.0,0.5526315789473685,0.9523809523809524,0.9411764705882352,0.9444444444444444,1.0,0.967741935483871,0.9384615384615383,0.9733333333333334,0.8387096774193549,1.0,1.0,9,20,46.0,71.0,62.0,16.0,0.1956521739130435,0.0,0.3225806451612903,0.0,18,11.0,98.0,5.444444444444445,20.1,83.8,4.655555555555555
7,8,8,2022-10-31,20-134,IND,@,BRK,L (-7),0,22:11,6.0,12.0,.500,2.0,5.0,.400,2,3.0,.667,2.0,0.0,2.0,1.0,0.0,0.0,4.0,1.0,16.0,7.3,-5,7.0,4.0,0.5714285714285714,69,71,76,44,7,21,60,64,17,6,60,61,73,26,7,56,73.0,75.0,80.0,46.0,7.0,3.0,38.0,63.0,68.0,18.0,6.0,62.0,65.0,75.0,31.0,7.0,56.0,0.9452054794520548,0.9466666666666668,0.95,0.9565217391304348,1.0,0.0,0.5526315789473685,0.9523809523809524,0.9411764705882352,0.9444444444444444,1.0,0.967741935483871,0.9384615384615383,0.9733333333333334,0.8387096774193549,1.0,1.0,9,20,46.0,71.0,62.0,16.0,0.1956521739130435,0.0,0.3225806451612903,0.0,18,0.0,60.0,3.333333333333333,6.499999999999998,57.400000000000006,3.188888888888889
8,9,9,2022-11-04,20-138,IND,,MIA,W (+2),0,36:42,5.0,11.0,.455,3.0,7.0,.429,10,12.0,.833,0.0,1.0,1.0,2.0,0.0,1.0,3.0,1.0,23.0,15.5,+4,4.0,2.0,0.5,69,71,76,44,7,21,60,64,17,6,60,61,73,26,7,56,73.0,75.0,80.0,46.0,7.0,3.0,38.0,63.0,68.0,18.0,6.0,62.0,65.0,75.0,31.0,7.0,56.0,0.9452054794520548,0.9466666666666668,0.95,0.9565217391304348,1.0,0.0,0.5526315789473685,0.9523809523809524,0.9411764705882352,0.9444444444444444,1.0,0.967741935483871,0.9384615384615383,0.9733333333333334,0.8387096774193549,1.0,1.0,9,20,46.0,71.0,62.0,16.0,0.1956521739130435,0.0,0.3225806451612903,0.0,18,1.0,79.0,4.388888888888889,11.499999999999998,63.2,3.511111111111111
9,10,10,2022-11-07,20-141,IND,,NOP,W (+7),0,30:08,2.0,8.0,.250,1.0,6.0,.167,3,3.0,1.000,0.0,2.0,2.0,5.0,0.0,0.0,4.0,1.0,8.0,2.9,-4,2.0,1.0,0.5,69,71,76,44,7,21,60,64,17,6,60,61,73,26,7,56,73.0,75.0,80.0,46.0,7.0,3.0,38.0,63.0,68.0,18.0,6.0,62.0,65.0,75.0,31.0,7.0,56.0,0.9452054794520548,0.9466666666666668,0.95,0.9565217391304348,1.0,0.0,0.5526315789473685,0.9523809523809524,0.9411764705882352,0.9444444444444444,1.0,0.967741935483871,0.9384615384615383,0.9733333333333334,0.8387096774193549,1.0,1.0,9,20,46.0,71.0,62.0,16.0,0.1956521739130435,0.0,0.3225806451612903,0.0,18,0.0,106.0,5.888888888888889,1.7000000000000002,104.5,5.805555555555555
