Unnamed: 0,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Anthony Davis,Shared Games with Austin Reaves,Shared Games with Cole Swider,Shared Games with Damian Jones,Shared Games with Dennis Schröder,Shared Games with Juan Toscano-Anderson,Shared Games with Kendrick Nunn,Shared Games with LeBron James,Shared Games with Lonnie Walker IV,Shared Games with Matt Ryan,Shared Games with Patrick Beverley,Shared Games with Russell Westbrook,Shared Games with Scotty Pippen Jr.,Shared Games with Thomas Bryant,Shared Games with Troy Brown Jr.,Shared Games with Wenyen Gabriel,Anthony Davis,Austin Reaves,Cole Swider,Damian Jones,Dennis Schröder,Juan Toscano-Anderson,Kendrick Nunn,LeBron James,Lonnie Walker IV,Matt Ryan,Patrick Beverley,Russell Westbrook,Scotty Pippen Jr.,Sterling Brown,Thomas Bryant,Tristan Thompson,Troy Brown Jr.,Wenyen Gabriel,co_inf with Anthony Davis,co_inf with Austin Reaves,co_inf with Cole Swider,co_inf with Damian Jones,co_inf with Dennis Schröder,co_inf with Juan Toscano-Anderson,co_inf with Kendrick Nunn,co_inf with LeBron James,co_inf with Lonnie Walker IV,co_inf with Matt Ryan,co_inf with Patrick Beverley,co_inf with Russell Westbrook,co_inf with Scotty Pippen Jr.,co_inf with Sterling Brown,co_inf with Thomas Bryant,co_inf with Tristan Thompson,co_inf with Troy Brown Jr.,co_inf with Wenyen Gabriel,Shared Games with Davon Reed,Shared Games with D'Angelo Russell,Shared Games with Jarred Vanderbilt,Shared Games with Malik Beasley,Shared Games with Mo Bamba,D'Angelo Russell,Davon Reed,Jarred Vanderbilt,Malik Beasley,Mo Bamba,Onyeka Okongwu,Shaquille Harrison,co_inf with Davon Reed,co_inf with D'Angelo Russell,co_inf with Jarred Vanderbilt,co_inf with Malik Beasley,co_inf with Mo Bamba,co_inf with Onyeka Okongwu,co_inf with Shaquille Harrison,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS
0,1,1,2022-10-18,19-250,LAL,@,GSW,L (-14),0,1:52,1.0,1.0,1.000,1.0,1.0,1.000,0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,+3,0.0,0.0,,20,26,7,16,31,25,25,28,25,8,25,30,6,24,36,37,56.0,64.0,7.0,41.0,66.0,52.0,70.0,55.0,56.0,34.0,67.0,73.0,6.0,4.0,59.0,,76.0,68.0,0.3571428571428571,0.40625,1.0,0.3902439024390244,0.4696969696969697,0.4807692307692308,0.3571428571428571,0.509090909090909,0.4464285714285714,0.2352941176470588,0.373134328358209,0.410958904109589,1.0,0.0,0.4067796610169492,,0.4736842105263157,0.5441176470588235,2,3,7,7,3,71.0,43.0,78.0,81.0,49.0,80.0,5.0,0.0465116279069767,0.0422535211267605,0.0897435897435897,0.0864197530864197,0.0612244897959183,0.0,0.0,21,3.0,75.0,3.571428571428572,3.0,73.8,3.5142857142857142
1,2,,2022-10-20,19-252,LAL,,LAC,L (-6),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,20,26,7,16,31,25,25,28,25,8,25,30,6,24,36,37,56.0,64.0,7.0,41.0,66.0,52.0,70.0,55.0,56.0,34.0,67.0,73.0,6.0,4.0,59.0,,76.0,68.0,0.3571428571428571,0.40625,1.0,0.3902439024390244,0.4696969696969697,0.4807692307692308,0.3571428571428571,0.509090909090909,0.4464285714285714,0.2352941176470588,0.373134328358209,0.410958904109589,1.0,0.0,0.4067796610169492,,0.4736842105263157,0.5441176470588235,2,3,7,7,3,71.0,43.0,78.0,81.0,49.0,80.0,5.0,0.0465116279069767,0.0422535211267605,0.0897435897435897,0.0864197530864197,0.0612244897959183,0.0,0.0,21,,85.0,4.047619047619048,0.0,90.9,4.328571428571429
2,3,,2022-10-23,19-255,LAL,,POR,L (-2),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,20,26,7,16,31,25,25,28,25,8,25,30,6,24,36,37,56.0,64.0,7.0,41.0,66.0,52.0,70.0,55.0,56.0,34.0,67.0,73.0,6.0,4.0,59.0,,76.0,68.0,0.3571428571428571,0.40625,1.0,0.3902439024390244,0.4696969696969697,0.4807692307692308,0.3571428571428571,0.509090909090909,0.4464285714285714,0.2352941176470588,0.373134328358209,0.410958904109589,1.0,0.0,0.4067796610169492,,0.4736842105263157,0.5441176470588235,2,3,7,7,3,71.0,43.0,78.0,81.0,49.0,80.0,5.0,0.0465116279069767,0.0422535211267605,0.0897435897435897,0.0864197530864197,0.0612244897959183,0.0,0.0,21,,82.0,3.9047619047619047,0.0,79.60000000000002,3.7904761904761917
3,4,2,2022-10-26,19-258,LAL,@,DEN,L (-11),0,2:46,0.0,0.0,,0.0,0.0,,2,2.0,1.000,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,3.0,+7,0.0,0.0,,20,26,7,16,31,25,25,28,25,8,25,30,6,24,36,37,56.0,64.0,7.0,41.0,66.0,52.0,70.0,55.0,56.0,34.0,67.0,73.0,6.0,4.0,59.0,,76.0,68.0,0.3571428571428571,0.40625,1.0,0.3902439024390244,0.4696969696969697,0.4807692307692308,0.3571428571428571,0.509090909090909,0.4464285714285714,0.2352941176470588,0.373134328358209,0.410958904109589,1.0,0.0,0.4067796610169492,,0.4736842105263157,0.5441176470588235,2,3,7,7,3,71.0,43.0,78.0,81.0,49.0,80.0,5.0,0.0465116279069767,0.0422535211267605,0.0897435897435897,0.0864197530864197,0.0612244897959183,0.0,0.0,21,2.0,100.0,4.761904761904762,2.2,95.4,4.542857142857143
4,5,,2022-10-28,19-260,LAL,@,MIN,L (-9),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,20,26,7,16,31,25,25,28,25,8,25,30,6,24,36,37,56.0,64.0,7.0,41.0,66.0,52.0,70.0,55.0,56.0,34.0,67.0,73.0,6.0,4.0,59.0,,76.0,68.0,0.3571428571428571,0.40625,1.0,0.3902439024390244,0.4696969696969697,0.4807692307692308,0.3571428571428571,0.509090909090909,0.4464285714285714,0.2352941176470588,0.373134328358209,0.410958904109589,1.0,0.0,0.4067796610169492,,0.4736842105263157,0.5441176470588235,2,3,7,7,3,71.0,43.0,78.0,81.0,49.0,80.0,5.0,0.0465116279069767,0.0422535211267605,0.0897435897435897,0.0864197530864197,0.0612244897959183,0.0,0.0,21,,99.0,4.714285714285714,0.0,73.6,3.5047619047619043
5,6,,2022-10-30,19-262,LAL,,DEN,W (+11),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,20,26,7,16,31,25,25,28,25,8,25,30,6,24,36,37,56.0,64.0,7.0,41.0,66.0,52.0,70.0,55.0,56.0,34.0,67.0,73.0,6.0,4.0,59.0,,76.0,68.0,0.3571428571428571,0.40625,1.0,0.3902439024390244,0.4696969696969697,0.4807692307692308,0.3571428571428571,0.509090909090909,0.4464285714285714,0.2352941176470588,0.373134328358209,0.410958904109589,1.0,0.0,0.4067796610169492,,0.4736842105263157,0.5441176470588235,2,3,7,7,3,71.0,43.0,78.0,81.0,49.0,80.0,5.0,0.0465116279069767,0.0422535211267605,0.0897435897435897,0.0864197530864197,0.0612244897959183,0.0,0.0,21,,93.0,4.428571428571429,0.0,103.7,4.938095238095238
6,7,,2022-11-02,19-265,LAL,,NOP,W (+3),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,20,26,7,16,31,25,25,28,25,8,25,30,6,24,36,37,56.0,64.0,7.0,41.0,66.0,52.0,70.0,55.0,56.0,34.0,67.0,73.0,6.0,4.0,59.0,,76.0,68.0,0.3571428571428571,0.40625,1.0,0.3902439024390244,0.4696969696969697,0.4807692307692308,0.3571428571428571,0.509090909090909,0.4464285714285714,0.2352941176470588,0.373134328358209,0.410958904109589,1.0,0.0,0.4067796610169492,,0.4736842105263157,0.5441176470588235,2,3,7,7,3,71.0,43.0,78.0,81.0,49.0,80.0,5.0,0.0465116279069767,0.0422535211267605,0.0897435897435897,0.0864197530864197,0.0612244897959183,0.0,0.0,21,,102.0,4.857142857142857,0.0,98.6,4.6952380952380945
7,8,3,2022-11-04,19-267,LAL,,UTA,L (-14),0,1:17,0.0,1.0,.000,0.0,0.0,,0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7,-2,1.0,0.0,0.0,20,26,7,16,31,25,25,28,25,8,25,30,6,24,36,37,56.0,64.0,7.0,41.0,66.0,52.0,70.0,55.0,56.0,34.0,67.0,73.0,6.0,4.0,59.0,,76.0,68.0,0.3571428571428571,0.40625,1.0,0.3902439024390244,0.4696969696969697,0.4807692307692308,0.3571428571428571,0.509090909090909,0.4464285714285714,0.2352941176470588,0.373134328358209,0.410958904109589,1.0,0.0,0.4067796610169492,,0.4736842105263157,0.5441176470588235,2,3,7,7,3,71.0,43.0,78.0,81.0,49.0,80.0,5.0,0.0465116279069767,0.0422535211267605,0.0897435897435897,0.0864197530864197,0.0612244897959183,0.0,0.0,21,-1.0,79.0,3.761904761904762,-0.7,79.8,3.8
8,9,4,2022-11-06,19-269,LAL,,CLE,L (-14),0,4:50,1.0,1.0,1.000,0.0,0.0,,0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.3,+3,1.0,1.0,1.0,20,26,7,16,31,25,25,28,25,8,25,30,6,24,36,37,56.0,64.0,7.0,41.0,66.0,52.0,70.0,55.0,56.0,34.0,67.0,73.0,6.0,4.0,59.0,,76.0,68.0,0.3571428571428571,0.40625,1.0,0.3902439024390244,0.4696969696969697,0.4807692307692308,0.3571428571428571,0.509090909090909,0.4464285714285714,0.2352941176470588,0.373134328358209,0.410958904109589,1.0,0.0,0.4067796610169492,,0.4736842105263157,0.5441176470588235,2,3,7,7,3,71.0,43.0,78.0,81.0,49.0,80.0,5.0,0.0465116279069767,0.0422535211267605,0.0897435897435897,0.0864197530864197,0.0612244897959183,0.0,0.0,21,1.0,54.0,2.571428571428572,1.2999999999999998,61.8,2.9428571428571426
9,10,5,2022-11-07,19-270,LAL,@,UTA,L (-23),0,29:03,3.0,7.0,.429,2.0,4.0,.500,0,0.0,,1.0,0.0,1.0,2.0,2.0,0.0,1.0,0.0,8.0,7.4,-16,3.0,1.0,0.3333333333333333,20,26,7,16,31,25,25,28,25,8,25,30,6,24,36,37,56.0,64.0,7.0,41.0,66.0,52.0,70.0,55.0,56.0,34.0,67.0,73.0,6.0,4.0,59.0,,76.0,68.0,0.3571428571428571,0.40625,1.0,0.3902439024390244,0.4696969696969697,0.4807692307692308,0.3571428571428571,0.509090909090909,0.4464285714285714,0.2352941176470588,0.373134328358209,0.410958904109589,1.0,0.0,0.4067796610169492,,0.4736842105263157,0.5441176470588235,2,3,7,7,3,71.0,43.0,78.0,81.0,49.0,80.0,5.0,0.0465116279069767,0.0422535211267605,0.0897435897435897,0.0864197530864197,0.0612244897959183,0.0,0.0,21,5.0,63.0,3.0,7.399999999999999,67.5,3.2142857142857144
