Unnamed: 0,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Bol Bol,Shared Games with Caleb Houstan,Shared Games with Chuma Okeke,Shared Games with Cole Anthony,Shared Games with Franz Wagner,Shared Games with Gary Harris,Shared Games with Jalen Suggs,Shared Games with Jonathan Isaac,Shared Games with Kevon Harris,Shared Games with Markelle Fultz,Shared Games with Michael Carter-Williams,Shared Games with Mo Bamba,Shared Games with Moritz Wagner,Shared Games with Paolo Banchero,Shared Games with R.J. Hampton,Shared Games with Terrence Ross,Shared Games with Wendell Carter Jr.,Bol Bol,Caleb Houstan,Chuma Okeke,Cole Anthony,Franz Wagner,Gary Harris,Jalen Suggs,Jay Scrubb,Jonathan Isaac,Kevon Harris,Markelle Fultz,Michael Carter-Williams,Mo Bamba,Moritz Wagner,Paolo Banchero,R.J. Hampton,Terrence Ross,Wendell Carter Jr.,co_inf with Bol Bol,co_inf with Caleb Houstan,co_inf with Chuma Okeke,co_inf with Cole Anthony,co_inf with Franz Wagner,co_inf with Gary Harris,co_inf with Jalen Suggs,co_inf with Jay Scrubb,co_inf with Jonathan Isaac,co_inf with Kevon Harris,co_inf with Markelle Fultz,co_inf with Michael Carter-Williams,co_inf with Mo Bamba,co_inf with Moritz Wagner,co_inf with Paolo Banchero,co_inf with R.J. Hampton,co_inf with Terrence Ross,co_inf with Wendell Carter Jr.,Shared Games with Goga Bitadze,Derrick White,Goga Bitadze,co_inf with Goga Bitadze,co_inf with Derrick White,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS
0,1,,2022-10-19,25-203,ORL,@,DET,L (-4),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,33,24,15,23,36,15,20,1,21,25,3,20,24,28,16,24,17,70.0,51.0,27.0,60.0,80.0,48.0,53.0,2.0,11.0,34.0,60.0,4.0,49.0,57.0,72.0,47.0,63.0,57.0,0.4714285714285714,0.4705882352941176,0.5555555555555556,0.3833333333333333,0.45,0.3125,0.3773584905660377,0.0,0.0909090909090909,0.6176470588235294,0.4166666666666667,0.75,0.4081632653061224,0.4210526315789473,0.3888888888888889,0.3404255319148936,0.3809523809523809,0.2982456140350877,7,82.0,38.0,0.1842105263157894,0.0,18,,63.0,3.5,0.0,58.89999999999999,3.2722222222222217
1,2,,2022-10-21,25-205,ORL,@,ATL,L (-10),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,33,24,15,23,36,15,20,1,21,25,3,20,24,28,16,24,17,70.0,51.0,27.0,60.0,80.0,48.0,53.0,2.0,11.0,34.0,60.0,4.0,49.0,57.0,72.0,47.0,63.0,57.0,0.4714285714285714,0.4705882352941176,0.5555555555555556,0.3833333333333333,0.45,0.3125,0.3773584905660377,0.0,0.0909090909090909,0.6176470588235294,0.4166666666666667,0.75,0.4081632653061224,0.4210526315789473,0.3888888888888889,0.3404255319148936,0.3809523809523809,0.2982456140350877,7,82.0,38.0,0.1842105263157894,0.0,18,,45.0,2.5,0.0,50.49999999999999,2.8055555555555554
2,3,,2022-10-22,25-206,ORL,,BOS,L (-6),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,33,24,15,23,36,15,20,1,21,25,3,20,24,28,16,24,17,70.0,51.0,27.0,60.0,80.0,48.0,53.0,2.0,11.0,34.0,60.0,4.0,49.0,57.0,72.0,47.0,63.0,57.0,0.4714285714285714,0.4705882352941176,0.5555555555555556,0.3833333333333333,0.45,0.3125,0.3773584905660377,0.0,0.0909090909090909,0.6176470588235294,0.4166666666666667,0.75,0.4081632653061224,0.4210526315789473,0.3888888888888889,0.3404255319148936,0.3809523809523809,0.2982456140350877,7,82.0,38.0,0.1842105263157894,0.0,18,,94.0,5.222222222222222,0.0,81.2,4.511111111111111
3,4,,2022-10-24,25-208,ORL,@,NYK,L (-13),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,33,24,15,23,36,15,20,1,21,25,3,20,24,28,16,24,17,70.0,51.0,27.0,60.0,80.0,48.0,53.0,2.0,11.0,34.0,60.0,4.0,49.0,57.0,72.0,47.0,63.0,57.0,0.4714285714285714,0.4705882352941176,0.5555555555555556,0.3833333333333333,0.45,0.3125,0.3773584905660377,0.0,0.0909090909090909,0.6176470588235294,0.4166666666666667,0.75,0.4081632653061224,0.4210526315789473,0.3888888888888889,0.3404255319148936,0.3809523809523809,0.2982456140350877,7,82.0,38.0,0.1842105263157894,0.0,18,,44.0,2.4444444444444446,0.0,59.8,3.322222222222222
4,5,,2022-10-26,25-210,ORL,@,CLE,L (-11),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,33,24,15,23,36,15,20,1,21,25,3,20,24,28,16,24,17,70.0,51.0,27.0,60.0,80.0,48.0,53.0,2.0,11.0,34.0,60.0,4.0,49.0,57.0,72.0,47.0,63.0,57.0,0.4714285714285714,0.4705882352941176,0.5555555555555556,0.3833333333333333,0.45,0.3125,0.3773584905660377,0.0,0.0909090909090909,0.6176470588235294,0.4166666666666667,0.75,0.4081632653061224,0.4210526315789473,0.3888888888888889,0.3404255319148936,0.3809523809523809,0.2982456140350877,7,82.0,38.0,0.1842105263157894,0.0,18,,47.0,2.611111111111111,0.0,47.7,2.6500000000000004
5,6,1,2022-10-28,25-212,ORL,,CHO,W (+20),0,13:19,2.0,3.0,.667,1.0,2.0,.500,0,0.0,,0.0,2.0,2.0,0.0,0.0,0.0,0.0,3.0,5.0,3.1,-5,1.0,1.0,1.0,33,24,15,23,36,15,20,1,21,25,3,20,24,28,16,24,17,70.0,51.0,27.0,60.0,80.0,48.0,53.0,2.0,11.0,34.0,60.0,4.0,49.0,57.0,72.0,47.0,63.0,57.0,0.4714285714285714,0.4705882352941176,0.5555555555555556,0.3833333333333333,0.45,0.3125,0.3773584905660377,0.0,0.0909090909090909,0.6176470588235294,0.4166666666666667,0.75,0.4081632653061224,0.4210526315789473,0.3888888888888889,0.3404255319148936,0.3809523809523809,0.2982456140350877,7,82.0,38.0,0.1842105263157894,0.0,18,4.0,67.0,3.7222222222222223,3.1,59.4,3.3
6,7,2,2022-10-30,25-214,ORL,@,DAL,L (-9),0,4:05,0.0,0.0,,0.0,0.0,,0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.4,-4,0.0,0.0,,33,24,15,23,36,15,20,1,21,25,3,20,24,28,16,24,17,70.0,51.0,27.0,60.0,80.0,48.0,53.0,2.0,11.0,34.0,60.0,4.0,49.0,57.0,72.0,47.0,63.0,57.0,0.4714285714285714,0.4705882352941176,0.5555555555555556,0.3833333333333333,0.45,0.3125,0.3773584905660377,0.0,0.0909090909090909,0.6176470588235294,0.4166666666666667,0.75,0.4081632653061224,0.4210526315789473,0.3888888888888889,0.3404255319148936,0.3809523809523809,0.2982456140350877,7,82.0,38.0,0.1842105263157894,0.0,18,0.0,47.0,2.611111111111111,-0.4,49.6,2.7555555555555555
7,8,,2022-11-01,25-216,ORL,@,OKC,L (-8),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,33,24,15,23,36,15,20,1,21,25,3,20,24,28,16,24,17,70.0,51.0,27.0,60.0,80.0,48.0,53.0,2.0,11.0,34.0,60.0,4.0,49.0,57.0,72.0,47.0,63.0,57.0,0.4714285714285714,0.4705882352941176,0.5555555555555556,0.3833333333333333,0.45,0.3125,0.3773584905660377,0.0,0.0909090909090909,0.6176470588235294,0.4166666666666667,0.75,0.4081632653061224,0.4210526315789473,0.3888888888888889,0.3404255319148936,0.3809523809523809,0.2982456140350877,7,82.0,38.0,0.1842105263157894,0.0,18,,68.0,3.7777777777777777,0.0,68.79999999999998,3.822222222222221
8,9,,2022-11-03,25-218,ORL,,GSW,W (+1),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,33,24,15,23,36,15,20,1,21,25,3,20,24,28,16,24,17,70.0,51.0,27.0,60.0,80.0,48.0,53.0,2.0,11.0,34.0,60.0,4.0,49.0,57.0,72.0,47.0,63.0,57.0,0.4714285714285714,0.4705882352941176,0.5555555555555556,0.3833333333333333,0.45,0.3125,0.3773584905660377,0.0,0.0909090909090909,0.6176470588235294,0.4166666666666667,0.75,0.4081632653061224,0.4210526315789473,0.3888888888888889,0.3404255319148936,0.3809523809523809,0.2982456140350877,7,82.0,38.0,0.1842105263157894,0.0,18,,66.0,3.6666666666666665,0.0,82.89999999999999,4.605555555555555
9,10,3,2022-11-05,25-220,ORL,,SAC,L (-3),0,2:40,0.0,0.0,,0.0,0.0,,0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4,0.0,0.0,,33,24,15,23,36,15,20,1,21,25,3,20,24,28,16,24,17,70.0,51.0,27.0,60.0,80.0,48.0,53.0,2.0,11.0,34.0,60.0,4.0,49.0,57.0,72.0,47.0,63.0,57.0,0.4714285714285714,0.4705882352941176,0.5555555555555556,0.3833333333333333,0.45,0.3125,0.3773584905660377,0.0,0.0909090909090909,0.6176470588235294,0.4166666666666667,0.75,0.4081632653061224,0.4210526315789473,0.3888888888888889,0.3404255319148936,0.3809523809523809,0.2982456140350877,7,82.0,38.0,0.1842105263157894,0.0,18,0.0,86.0,4.777777777777778,0.0,90.4,5.022222222222222
