Unnamed: 0,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Danuel House Jr.,Shared Games with De'Anthony Melton,Shared Games with Furkan Korkmaz,Shared Games with Georges Niang,Shared Games with James Harden,Shared Games with Joel Embiid,Shared Games with Mac McClung,Shared Games with Matisse Thybulle,Shared Games with Montrezl Harrell,Shared Games with P.J. Tucker,Shared Games with Paul Reed,Shared Games with Shake Milton,Shared Games with Tobias Harris,Shared Games with Tyrese Maxey,Danuel House Jr.,De'Anthony Melton,Furkan Korkmaz,Georges Niang,James Harden,Joel Embiid,Julian Champagnie,Louis King,Mac McClung,Matisse Thybulle,Michael Foster Jr.,Montrezl Harrell,P.J. Tucker,Paul Reed,Saben Lee,Shake Milton,Tobias Harris,Tyrese Maxey,co_inf with Danuel House Jr.,co_inf with De'Anthony Melton,co_inf with Furkan Korkmaz,co_inf with Georges Niang,co_inf with James Harden,co_inf with Joel Embiid,co_inf with Julian Champagnie,co_inf with Louis King,co_inf with Mac McClung,co_inf with Matisse Thybulle,co_inf with Michael Foster Jr.,co_inf with Montrezl Harrell,co_inf with P.J. Tucker,co_inf with Paul Reed,co_inf with Saben Lee,co_inf with Shake Milton,co_inf with Tobias Harris,co_inf with Tyrese Maxey,Shared Games with Jalen McDaniels,Shared Games with Dewayne Dedmon,Dewayne Dedmon,Grant Williams,Jalen McDaniels,co_inf with Jalen McDaniels,co_inf with Dewayne Dedmon,co_inf with Grant Williams,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS
0,1,,2022-10-18,20-023,PHI,@,BOS,L (-9),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,12,13,16,15,8,12,1,7,11,12,16,16,14,11,56.0,77.0,37.0,78.0,58.0,66.0,17.0,1.0,2.0,71.0,1.0,57.0,75.0,69.0,25.0,76.0,74.0,60.0,0.2142857142857142,0.1688311688311688,0.4324324324324324,0.1923076923076923,0.1379310344827586,0.1818181818181818,0.0,0.0,0.5,0.0985915492957746,0.0,0.1929824561403508,0.16,0.2318840579710145,0.0,0.2105263157894736,0.1891891891891892,0.1833333333333333,7,4,38.0,79.0,80.0,0.0875,0.1052631578947368,0.0,16,,78.0,4.875,0.0,87.7,5.48125
1,2,,2022-10-20,20-025,PHI,,MIL,L (-2),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,12,13,16,15,8,12,1,7,11,12,16,16,14,11,56.0,77.0,37.0,78.0,58.0,66.0,17.0,1.0,2.0,71.0,1.0,57.0,75.0,69.0,25.0,76.0,74.0,60.0,0.2142857142857142,0.1688311688311688,0.4324324324324324,0.1923076923076923,0.1379310344827586,0.1818181818181818,0.0,0.0,0.5,0.0985915492957746,0.0,0.1929824561403508,0.16,0.2318840579710145,0.0,0.2105263157894736,0.1891891891891892,0.1833333333333333,7,4,38.0,79.0,80.0,0.0875,0.1052631578947368,0.0,16,,81.0,5.0625,0.0,72.1,4.50625
2,3,,2022-10-22,20-027,PHI,,SAS,L (-9),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,12,13,16,15,8,12,1,7,11,12,16,16,14,11,56.0,77.0,37.0,78.0,58.0,66.0,17.0,1.0,2.0,71.0,1.0,57.0,75.0,69.0,25.0,76.0,74.0,60.0,0.2142857142857142,0.1688311688311688,0.4324324324324324,0.1923076923076923,0.1379310344827586,0.1818181818181818,0.0,0.0,0.5,0.0985915492957746,0.0,0.1929824561403508,0.16,0.2318840579710145,0.0,0.2105263157894736,0.1891891891891892,0.1833333333333333,7,4,38.0,79.0,80.0,0.0875,0.1052631578947368,0.0,16,,88.0,5.5,0.0,86.6,5.4125
3,4,1,2022-10-24,20-029,PHI,,IND,W (+14),0,2:00,0.0,1.0,.000,0.0,0.0,,1,2.0,.500,1.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,1.6,-4,1.0,0.0,0.0,12,13,16,15,8,12,1,7,11,12,16,16,14,11,56.0,77.0,37.0,78.0,58.0,66.0,17.0,1.0,2.0,71.0,1.0,57.0,75.0,69.0,25.0,76.0,74.0,60.0,0.2142857142857142,0.1688311688311688,0.4324324324324324,0.1923076923076923,0.1379310344827586,0.1818181818181818,0.0,0.0,0.5,0.0985915492957746,0.0,0.1929824561403508,0.16,0.2318840579710145,0.0,0.2105263157894736,0.1891891891891892,0.1833333333333333,7,4,38.0,79.0,80.0,0.0875,0.1052631578947368,0.0,16,1.0,98.0,6.125,1.2,110.19999999999996,6.8874999999999975
4,5,,2022-10-26,20-031,PHI,@,TOR,L (-10),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,12,13,16,15,8,12,1,7,11,12,16,16,14,11,56.0,77.0,37.0,78.0,58.0,66.0,17.0,1.0,2.0,71.0,1.0,57.0,75.0,69.0,25.0,76.0,74.0,60.0,0.2142857142857142,0.1688311688311688,0.4324324324324324,0.1923076923076923,0.1379310344827586,0.1818181818181818,0.0,0.0,0.5,0.0985915492957746,0.0,0.1929824561403508,0.16,0.2318840579710145,0.0,0.2105263157894736,0.1891891891891892,0.1833333333333333,7,4,38.0,79.0,80.0,0.0875,0.1052631578947368,0.0,16,,76.0,4.75,0.0,88.60000000000001,5.5375000000000005
5,6,2,2022-10-28,20-033,PHI,@,TOR,W (+22),0,2:15,2.0,2.0,1.000,0.0,0.0,,0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,3.0,+3,2.0,2.0,1.0,12,13,16,15,8,12,1,7,11,12,16,16,14,11,56.0,77.0,37.0,78.0,58.0,66.0,17.0,1.0,2.0,71.0,1.0,57.0,75.0,69.0,25.0,76.0,74.0,60.0,0.2142857142857142,0.1688311688311688,0.4324324324324324,0.1923076923076923,0.1379310344827586,0.1818181818181818,0.0,0.0,0.5,0.0985915492957746,0.0,0.1929824561403508,0.16,0.2318840579710145,0.0,0.2105263157894736,0.1891891891891892,0.1833333333333333,7,4,38.0,79.0,80.0,0.0875,0.1052631578947368,0.0,16,2.0,99.0,6.1875,3.0,90.69999999999996,5.6687499999999975
6,7,,2022-10-29,20-034,PHI,@,CHI,W (+5),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,12,13,16,15,8,12,1,7,11,12,16,16,14,11,56.0,77.0,37.0,78.0,58.0,66.0,17.0,1.0,2.0,71.0,1.0,57.0,75.0,69.0,25.0,76.0,74.0,60.0,0.2142857142857142,0.1688311688311688,0.4324324324324324,0.1923076923076923,0.1379310344827586,0.1818181818181818,0.0,0.0,0.5,0.0985915492957746,0.0,0.1929824561403508,0.16,0.2318840579710145,0.0,0.2105263157894736,0.1891891891891892,0.1833333333333333,7,4,38.0,79.0,80.0,0.0875,0.1052631578947368,0.0,16,,90.0,5.625,0.0,93.0,5.8125
7,8,,2022-10-31,20-036,PHI,@,WAS,W (+7),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,12,13,16,15,8,12,1,7,11,12,16,16,14,11,56.0,77.0,37.0,78.0,58.0,66.0,17.0,1.0,2.0,71.0,1.0,57.0,75.0,69.0,25.0,76.0,74.0,60.0,0.2142857142857142,0.1688311688311688,0.4324324324324324,0.1923076923076923,0.1379310344827586,0.1818181818181818,0.0,0.0,0.5,0.0985915492957746,0.0,0.1929824561403508,0.16,0.2318840579710145,0.0,0.2105263157894736,0.1891891891891892,0.1833333333333333,7,4,38.0,79.0,80.0,0.0875,0.1052631578947368,0.0,16,,93.0,5.8125,0.0,108.6,6.7875
8,9,,2022-11-02,20-038,PHI,,WAS,L (-10),Not With Team,Not With Team,0.0,0.0,Not With Team,,,Not With Team,Not With Team,0.0,Not With Team,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Not With Team,Not With Team,,,,12,13,16,15,8,12,1,7,11,12,16,16,14,11,56.0,77.0,37.0,78.0,58.0,66.0,17.0,1.0,2.0,71.0,1.0,57.0,75.0,69.0,25.0,76.0,74.0,60.0,0.2142857142857142,0.1688311688311688,0.4324324324324324,0.1923076923076923,0.1379310344827586,0.1818181818181818,0.0,0.0,0.5,0.0985915492957746,0.0,0.1929824561403508,0.16,0.2318840579710145,0.0,0.2105263157894736,0.1891891891891892,0.1833333333333333,7,4,38.0,79.0,80.0,0.0875,0.1052631578947368,0.0,16,,80.0,5.0,0.0,84.0,5.25
9,10,,2022-11-04,20-040,PHI,,NYK,L (-2),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,12,13,16,15,8,12,1,7,11,12,16,16,14,11,56.0,77.0,37.0,78.0,58.0,66.0,17.0,1.0,2.0,71.0,1.0,57.0,75.0,69.0,25.0,76.0,74.0,60.0,0.2142857142857142,0.1688311688311688,0.4324324324324324,0.1923076923076923,0.1379310344827586,0.1818181818181818,0.0,0.0,0.5,0.0985915492957746,0.0,0.1929824561403508,0.16,0.2318840579710145,0.0,0.2105263157894736,0.1891891891891892,0.1833333333333333,7,4,38.0,79.0,80.0,0.0875,0.1052631578947368,0.0,16,,71.0,4.4375,0.0,75.0,4.6875
