Unnamed: 0,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Cameron Johnson,Shared Games with Cameron Payne,Shared Games with Chris Paul,Shared Games with Damion Lee,Shared Games with Dario Šarić,Shared Games with Deandre Ayton,Shared Games with Devin Booker,Shared Games with Duane Washington Jr.,Shared Games with Ish Wainright,Shared Games with Jock Landale,Shared Games with Josh Okogie,Shared Games with Landry Shamet,Shared Games with Mikal Bridges,Shared Games with Torrey Craig,Cameron Johnson,Cameron Payne,Chris Paul,Damion Lee,Dario Šarić,Deandre Ayton,Devin Booker,Duane Washington Jr.,Ish Wainright,Jae Crowder,Jock Landale,Josh Okogie,Landry Shamet,Mikal Bridges,Torrey Craig,co_inf with Cameron Johnson,co_inf with Cameron Payne,co_inf with Chris Paul,co_inf with Damion Lee,co_inf with Dario Šarić,co_inf with Deandre Ayton,co_inf with Devin Booker,co_inf with Duane Washington Jr.,co_inf with Ish Wainright,co_inf with Jae Crowder,co_inf with Jock Landale,co_inf with Josh Okogie,co_inf with Landry Shamet,co_inf with Mikal Bridges,co_inf with Torrey Craig,Shared Games with Kevin Durant,Shared Games with T.J. Warren,Shared Games with Darius Bazley,Shared Games with Saben Lee,Shared Games with Terrence Ross,Darius Bazley,Jaylen Brown,Kevin Durant,Saben Lee,T.J. Warren,Terrence Ross,co_inf with Kevin Durant,co_inf with T.J. Warren,co_inf with Darius Bazley,co_inf with Jaylen Brown,co_inf with Saben Lee,co_inf with Terrence Ross,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS
0,1,1,2022-10-19,30-052,PHO,,DAL,W (+2),0,7:26,0.0,1.0,.000,0.0,0.0,,0,0.0,,0.0,2.0,2.0,1.0,0.0,0.0,1.0,2.0,0.0,-1.2,-7,1.0,0.0,0.0,13,35,42,53,28,47,40,24,44,48,54,32,43,58,42.0,48.0,59.0,74.0,57.0,67.0,53.0,31.0,60.0,18.0,69.0,72.0,40.0,83.0,79.0,0.3095238095238095,0.7291666666666666,0.711864406779661,0.7162162162162162,0.4912280701754385,0.7014925373134329,0.7547169811320755,0.7741935483870968,0.7333333333333333,0.0,0.6956521739130435,0.75,0.8,0.5180722891566265,0.7341772151898734,5,11,5,18,16,43.0,67.0,47.0,25.0,42.0,63.0,0.1063829787234042,0.2619047619047619,0.1162790697674418,0.0,0.72,0.2539682539682539,19,1.0,79.0,4.157894736842105,-1.2000000000000002,89.69999999999999,4.721052631578947
1,2,2,2022-10-21,30-054,PHO,@,POR,L (-2),0,0:01,0.0,0.0,,0.0,0.0,,0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,,13,35,42,53,28,47,40,24,44,48,54,32,43,58,42.0,48.0,59.0,74.0,57.0,67.0,53.0,31.0,60.0,18.0,69.0,72.0,40.0,83.0,79.0,0.3095238095238095,0.7291666666666666,0.711864406779661,0.7162162162162162,0.4912280701754385,0.7014925373134329,0.7547169811320755,0.7741935483870968,0.7333333333333333,0.0,0.6956521739130435,0.75,0.8,0.5180722891566265,0.7341772151898734,5,11,5,18,16,43.0,67.0,47.0,25.0,42.0,63.0,0.1063829787234042,0.2619047619047619,0.1162790697674418,0.0,0.72,0.2539682539682539,19,0.0,95.0,5.0,0.0,97.4,5.126315789473685
2,3,,2022-10-23,30-056,PHO,@,LAC,W (+17),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,13,35,42,53,28,47,40,24,44,48,54,32,43,58,42.0,48.0,59.0,74.0,57.0,67.0,53.0,31.0,60.0,18.0,69.0,72.0,40.0,83.0,79.0,0.3095238095238095,0.7291666666666666,0.711864406779661,0.7162162162162162,0.4912280701754385,0.7014925373134329,0.7547169811320755,0.7741935483870968,0.7333333333333333,0.0,0.6956521739130435,0.75,0.8,0.5180722891566265,0.7341772151898734,5,11,5,18,16,43.0,67.0,47.0,25.0,42.0,63.0,0.1063829787234042,0.2619047619047619,0.1162790697674418,0.0,0.72,0.2539682539682539,19,,103.0,5.421052631578948,0.0,124.8,6.568421052631579
3,4,,2022-10-25,30-058,PHO,,GSW,W (+29),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,13,35,42,53,28,47,40,24,44,48,54,32,43,58,42.0,48.0,59.0,74.0,57.0,67.0,53.0,31.0,60.0,18.0,69.0,72.0,40.0,83.0,79.0,0.3095238095238095,0.7291666666666666,0.711864406779661,0.7162162162162162,0.4912280701754385,0.7014925373134329,0.7547169811320755,0.7741935483870968,0.7333333333333333,0.0,0.6956521739130435,0.75,0.8,0.5180722891566265,0.7341772151898734,5,11,5,18,16,43.0,67.0,47.0,25.0,42.0,63.0,0.1063829787234042,0.2619047619047619,0.1162790697674418,0.0,0.72,0.2539682539682539,19,,84.0,4.421052631578948,0.0,108.0,5.684210526315789
4,5,3,2022-10-28,30-061,PHO,,NOP,W (+13),0,23:18,5.0,7.0,.714,0.0,0.0,,1,2.0,.500,4.0,9.0,13.0,2.0,0.0,2.0,0.0,5.0,11.0,14.0,0,7.0,5.0,0.7142857142857143,13,35,42,53,28,47,40,24,44,48,54,32,43,58,42.0,48.0,59.0,74.0,57.0,67.0,53.0,31.0,60.0,18.0,69.0,72.0,40.0,83.0,79.0,0.3095238095238095,0.7291666666666666,0.711864406779661,0.7162162162162162,0.4912280701754385,0.7014925373134329,0.7547169811320755,0.7741935483870968,0.7333333333333333,0.0,0.6956521739130435,0.75,0.8,0.5180722891566265,0.7341772151898734,5,11,5,18,16,43.0,67.0,47.0,25.0,42.0,63.0,0.1063829787234042,0.2619047619047619,0.1162790697674418,0.0,0.72,0.2539682539682539,19,19.0,81.0,4.2631578947368425,13.599999999999998,95.20000000000002,5.010526315789474
5,6,4,2022-10-30,30-063,PHO,,HOU,W (+15),1,21:59,1.0,1.0,1.000,0.0,0.0,,3,5.0,.600,0.0,5.0,5.0,0.0,0.0,5.0,2.0,3.0,5.0,5.7,+12,1.0,1.0,1.0,13,35,42,53,28,47,40,24,44,48,54,32,43,58,42.0,48.0,59.0,74.0,57.0,67.0,53.0,31.0,60.0,18.0,69.0,72.0,40.0,83.0,79.0,0.3095238095238095,0.7291666666666666,0.711864406779661,0.7162162162162162,0.4912280701754385,0.7014925373134329,0.7547169811320755,0.7741935483870968,0.7333333333333333,0.0,0.6956521739130435,0.75,0.8,0.5180722891566265,0.7341772151898734,5,11,5,18,16,43.0,67.0,47.0,25.0,42.0,63.0,0.1063829787234042,0.2619047619047619,0.1162790697674418,0.0,0.72,0.2539682539682539,19,7.0,81.0,4.2631578947368425,4.500000000000001,101.7,5.352631578947369
6,7,5,2022-11-01,30-065,PHO,,MIN,W (+9),1,29:49,4.0,5.0,.800,0.0,0.0,,0,0.0,,1.0,3.0,4.0,1.0,0.0,4.0,1.0,2.0,8.0,9.4,+11,5.0,4.0,0.8,13,35,42,53,28,47,40,24,44,48,54,32,43,58,42.0,48.0,59.0,74.0,57.0,67.0,53.0,31.0,60.0,18.0,69.0,72.0,40.0,83.0,79.0,0.3095238095238095,0.7291666666666666,0.711864406779661,0.7162162162162162,0.4912280701754385,0.7014925373134329,0.7547169811320755,0.7741935483870968,0.7333333333333333,0.0,0.6956521739130435,0.75,0.8,0.5180722891566265,0.7341772151898734,5,11,5,18,16,43.0,67.0,47.0,25.0,42.0,63.0,0.1063829787234042,0.2619047619047619,0.1162790697674418,0.0,0.72,0.2539682539682539,19,11.0,67.0,3.526315789473684,9.4,72.9,3.836842105263158
7,8,6,2022-11-04,30-068,PHO,,POR,L (-2),0,3:43,1.0,3.0,.333,0.0,0.0,,0,0.0,,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,2.0,2.0,-8,3.0,1.0,0.3333333333333333,13,35,42,53,28,47,40,24,44,48,54,32,43,58,42.0,48.0,59.0,74.0,57.0,67.0,53.0,31.0,60.0,18.0,69.0,72.0,40.0,83.0,79.0,0.3095238095238095,0.7291666666666666,0.711864406779661,0.7162162162162162,0.4912280701754385,0.7014925373134329,0.7547169811320755,0.7741935483870968,0.7333333333333333,0.0,0.6956521739130435,0.75,0.8,0.5180722891566265,0.7341772151898734,5,11,5,18,16,43.0,67.0,47.0,25.0,42.0,63.0,0.1063829787234042,0.2619047619047619,0.1162790697674418,0.0,0.72,0.2539682539682539,19,2.0,75.0,3.947368421052632,2.0,89.30000000000001,4.7
8,9,7,2022-11-05,30-069,PHO,,POR,W (+20),0,13:49,1.0,4.0,.250,0.0,0.0,,1,1.0,1.000,1.0,3.0,4.0,0.0,0.0,3.0,2.0,3.0,3.0,1.1,+2,4.0,1.0,0.25,13,35,42,53,28,47,40,24,44,48,54,32,43,58,42.0,48.0,59.0,74.0,57.0,67.0,53.0,31.0,60.0,18.0,69.0,72.0,40.0,83.0,79.0,0.3095238095238095,0.7291666666666666,0.711864406779661,0.7162162162162162,0.4912280701754385,0.7014925373134329,0.7547169811320755,0.7741935483870968,0.7333333333333333,0.0,0.6956521739130435,0.75,0.8,0.5180722891566265,0.7341772151898734,5,11,5,18,16,43.0,67.0,47.0,25.0,42.0,63.0,0.1063829787234042,0.2619047619047619,0.1162790697674418,0.0,0.72,0.2539682539682539,19,3.0,98.0,5.157894736842105,0.6999999999999997,93.7,4.931578947368421
9,10,8,2022-11-07,30-071,PHO,@,PHI,L (-12),0,10:36,0.0,0.0,,0.0,0.0,,0,0.0,,1.0,3.0,4.0,1.0,0.0,0.0,0.0,1.0,0.0,1.9,+4,0.0,0.0,,13,35,42,53,28,47,40,24,44,48,54,32,43,58,42.0,48.0,59.0,74.0,57.0,67.0,53.0,31.0,60.0,18.0,69.0,72.0,40.0,83.0,79.0,0.3095238095238095,0.7291666666666666,0.711864406779661,0.7162162162162162,0.4912280701754385,0.7014925373134329,0.7547169811320755,0.7741935483870968,0.7333333333333333,0.0,0.6956521739130435,0.75,0.8,0.5180722891566265,0.7341772151898734,5,11,5,18,16,43.0,67.0,47.0,25.0,42.0,63.0,0.1063829787234042,0.2619047619047619,0.1162790697674418,0.0,0.72,0.2539682539682539,19,5.0,55.0,2.894736842105264,1.9,66.8,3.5157894736842104
