Date,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS,PER,WS,BPM,OBPM,DBPM,TS%,3PAr,FTr,VORP,OWS,Player_Played,avg_MP,avg_FG,avg_FGA,avg_FG%,avg_3P,avg_3PA,avg_3P%,avg_FT,avg_FTA,avg_FT%,avg_ORB,avg_DRB,avg_TRB,avg_AST,avg_STL,avg_BLK,avg_TOV,avg_PF,avg_PTS,avg_GmSc,avg_+/-,avg_2PA,avg_2P,avg_2P%,avg_CO_EFF,avg_avg_EFF,avg_CO_HGS,avg_avg_HGS,avg_PER,avg_WS,avg_BPM,avg_OBPM,avg_DBPM,avg_TS%,avg_3PAr,avg_FTr,avg_VORP,avg_OWS,WIN,home,team_opp,Team
2022/10/19,240,41,93,3.704,13,36,2.62,21,28,4.136,12,34,46,23,12,6,14,26,116,91,40,57,28,4.214912281,63,1233,137,70.4,1207.5,134.1666667,158.8,29.9,10.3,0.4,10.1,6.61,4.119,2.862,10.9,18,9,26.66666667,4.555555556,10.33333333,0.411555556,1.444444444,4,0.291111111,2.333333333,3.111111111,0.459555556,1.333333333,3.777777778,5.111111111,2.555555556,1.333333333,0.666666667,1.555555556,2.888888889,12.88888889,10.11111111,4.444444444,6.333333333,3.111111111,0.468323587,7,15.22222222,7.822222222,14.90740741,17.64444444,3.322222222,1.144444444,0.044444444,1.122222222,0.734444444,0.457666667,0.318,1.211111111,2,W (+8),@,MIA,CHI
2022/10/21,240,33,79,3.526,7,27,1.702,27,33,3.909,10,28,38,19,8,3,13,15,100,75.3,-10,52,26,4.085714286,37,939,104.3333333,49.8,987.2,109.6888889,158.8,29.9,10.3,0.4,10.1,6.61,4.119,2.862,10.9,18,9,26.66666667,3.666666667,8.777777778,0.391777778,0.777777778,3,0.189111111,3,3.666666667,0.434333333,1.111111111,3.111111111,4.222222222,2.111111111,0.888888889,0.333333333,1.444444444,1.666666667,11.11111111,8.366666667,-1.111111111,5.777777778,2.888888889,0.453968254,4.111111111,11.59259259,5.533333333,12.18765432,17.64444444,3.322222222,1.144444444,0.044444444,1.122222222,0.734444444,0.457666667,0.318,1.211111111,2,L (-2),@,WAS,CHI
2022/10/22,240,34,84,4.209,7,29,2.583,21,25,6.667,10,25,35,19,12,7,10,19,96,76.3,-160,55,27,5.037157287,46,1106,79,60.3,1183.6,84.54285714,158.8,29.9,10.3,0.4,10.1,6.61,4.119,2.862,10.9,18,14,17.14285714,2.428571429,6,0.300642857,0.5,2.071428571,0.1845,1.5,1.785714286,0.476214286,0.714285714,1.785714286,2.5,1.357142857,0.857142857,0.5,0.714285714,1.357142857,6.857142857,5.45,-11.42857143,3.928571429,1.928571429,0.359796949,3.285714286,5.642857143,4.307142857,6.03877551,11.34285714,2.135714286,0.735714286,0.028571429,0.721428571,0.472142857,0.294214286,0.204428571,0.778571429,1.285714286,L (-32),,CLE,CHI
2022/10/24,240,42,87,5.761,10,21,3.6,26,29,5.407,14,46,60,29,4,6,13,18,120,106.6,90,66,32,4.959068627,88,1688,120.5714286,87.5,1511.6,107.9714286,158.8,29.9,10.3,0.4,10.1,6.61,4.119,2.862,10.9,18,14,17.14285714,3,6.214285714,0.4115,0.714285714,1.5,0.257142857,1.857142857,2.071428571,0.386214286,1,3.285714286,4.285714286,2.071428571,0.285714286,0.428571429,0.928571429,1.285714286,8.571428571,7.614285714,6.428571429,4.714285714,2.285714286,0.354219188,6.285714286,8.612244898,6.25,7.712244898,11.34285714,2.135714286,0.735714286,0.028571429,0.721428571,0.472142857,0.294214286,0.204428571,0.778571429,1.285714286,W (+18),,BOS,CHI
2022/10/26,240,43,87,5.441,16,30,4.083,22,24,3.833,9,35,44,34,10,5,17,25,124,106.6,75,57,27,4.904395604,80,1504,115.6923077,78.1,1279,98.38461538,158.8,29.9,10.3,0.4,10.1,6.61,4.119,2.862,10.9,18,13,18.46153846,3.307692308,6.692307692,0.418538462,1.230769231,2.307692308,0.314076923,1.692307692,1.846153846,0.294846154,0.692307692,2.692307692,3.384615385,2.615384615,0.769230769,0.384615385,1.307692308,1.923076923,9.538461538,8.2,5.769230769,4.384615385,2.076923077,0.3772612,6.153846154,8.899408284,6.007692308,7.568047337,12.21538462,2.3,0.792307692,0.030769231,0.776923077,0.508461538,0.316846154,0.220153846,0.838461538,1.384615385,W (+15),,IND,CHI
2022/10/28,240,47,99,4.433,9,27,2.295,21,26,4.75,15,27,42,20,13,3,12,19,124,99.6,-25,72,38,4.62537594,60,1220,122,65.6,1179.6,117.96,158.8,29.9,10.3,0.4,10.1,6.61,4.119,2.862,10.9,18,10,24,4.7,9.9,0.4433,0.9,2.7,0.2295,2.1,2.6,0.475,1.5,2.7,4.2,2,1.3,0.3,1.2,1.9,12.4,9.96,-2.5,7.2,3.8,0.462537594,6,12.2,6.56,11.796,15.88,2.99,1.03,0.04,1.01,0.661,0.4119,0.2862,1.09,1.8,L (-5),@,SAS,CHI
2022/10/29,240,36,80,4.125,11,31,2.519,26,29,6.317,9,31,40,22,7,3,18,20,109,80.3,-25,49,25,4.528571429,56,1000,100,71.5,1161.5,116.15,158.8,29.9,10.3,0.4,10.1,6.61,4.119,2.862,10.9,18,10,24,3.6,8,0.4125,1.1,3.1,0.2519,2.6,2.9,0.6317,0.9,3.1,4,2.2,0.7,0.3,1.8,2,10.9,8.03,-2.5,4.9,2.5,0.452857143,5.6,10,7.15,11.615,15.88,2.99,1.03,0.04,1.01,0.661,0.4119,0.2862,1.09,1.8,L (-5),,PHI,CHI
2022/11/1,240,39,89,3.368,12,30,2.372,18,21,6.75,11,33,44,20,8,4,9,13,108,88.3,45,59,27,3.201754386,58,1174,130.4444444,70,1218.7,135.4111111,158.8,29.9,10.3,0.4,10.1,6.61,4.119,2.862,10.9,18,9,26.66666667,4.333333333,9.888888889,0.374222222,1.333333333,3.333333333,0.263555556,2,2.333333333,0.75,1.222222222,3.666666667,4.888888889,2.222222222,0.888888889,0.444444444,1,1.444444444,12,9.811111111,5,6.555555556,3,0.355750487,6.444444444,14.49382716,7.777777778,15.04567901,17.64444444,3.322222222,1.144444444,0.044444444,1.122222222,0.734444444,0.457666667,0.318,1.211111111,2,W (+9),@,BRK,CHI
2022/11/2,240,38,88,4.49,14,31,4.286,16,18,5.5,11,40,51,28,6,9,19,18,106,84.2,90,57,24,4.784126984,66,1438,143.8,66.2,1283.8,128.38,158.8,29.9,10.3,0.4,10.1,6.61,4.119,2.862,10.9,18,10,24,3.8,8.8,0.449,1.4,3.1,0.4286,1.6,1.8,0.55,1.1,4,5.1,2.8,0.6,0.9,1.9,1.8,10.6,8.42,9,5.7,2.4,0.478412698,6.6,14.38,6.62,12.838,15.88,2.99,1.03,0.04,1.01,0.661,0.4119,0.2862,1.09,1.8,W (+18),,CHO,CHI
2022/11/4,240,43,83,4.088,11,28,3.466,22,25,1.576,4,33,37,21,8,5,17,28,119,87.6,-20,55,32,5.05952381,66,1134,126,77.9,1160.3,128.9222222,158.8,29.9,10.3,0.4,10.1,6.61,4.119,2.862,10.9,18,9,26.66666667,4.777777778,9.222222222,0.454222222,1.222222222,3.111111111,0.385111111,2.444444444,2.777777778,0.175111111,0.444444444,3.666666667,4.111111111,2.333333333,0.888888889,0.555555556,1.888888889,3.111111111,13.22222222,9.733333333,-2.222222222,6.111111111,3.555555556,0.562169312,7.333333333,14,8.655555556,14.32469136,17.64444444,3.322222222,1.144444444,0.044444444,1.122222222,0.734444444,0.457666667,0.318,1.211111111,2,L (-4),@,BOS,CHI
