Date,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS,PER,WS,BPM,OBPM,DBPM,TS%,3PAr,FTr,VORP,OWS,Player_Played,avg_MP,avg_FG,avg_FGA,avg_FG%,avg_3P,avg_3PA,avg_3P%,avg_FT,avg_FTA,avg_FT%,avg_ORB,avg_DRB,avg_TRB,avg_AST,avg_STL,avg_BLK,avg_TOV,avg_PF,avg_PTS,avg_GmSc,avg_+/-,avg_2PA,avg_2P,avg_2P%,avg_CO_EFF,avg_avg_EFF,avg_CO_HGS,avg_avg_HGS,avg_PER,avg_WS,avg_BPM,avg_OBPM,avg_DBPM,avg_TS%,avg_3PAr,avg_FTr,avg_VORP,avg_OWS,WIN,home,team_opp,Team
2022/10/19,240,39,88,3.425,11,28,2.925,26,33,4.769,11,33,44,20,11,2,11,17,115,92.4,35,60,28,3.115367965,44,1156,128.4444444,65.3,1170.2,130.0222222,129,19.8,-23.9,-15,-8.8,5.453,3.547,2.87,4.4,13.4,9,26.66666667,4.333333333,9.777777778,0.380555556,1.222222222,3.111111111,0.325,2.888888889,3.666666667,0.529888889,1.222222222,3.666666667,4.888888889,2.222222222,1.222222222,0.222222222,1.222222222,1.888888889,12.77777778,10.26666667,3.888888889,6.666666667,3.111111111,0.346151996,4.888888889,14.27160494,7.255555556,14.44691358,14.33333333,2.2,-2.655555556,-1.666666667,-0.977777778,0.605888889,0.394111111,0.318888889,0.488888889,1.488888889,W (+7),@,SAC,POR
2022/10/21,265,36,82,3.853,10,29,2.667,31,36,5.889,13,35,48,14,8,5,18,19,113,83.3,10,53,26,4.140842491,44,1004,111.5555556,62.4,1030.7,114.5222222,134.7,19.8,-30.1,-20.4,-9.6,5.864,4.207,2.945,4.2,13.3,9,29.44444444,4,9.111111111,0.428111111,1.111111111,3.222222222,0.296333333,3.444444444,4,0.654333333,1.444444444,3.888888889,5.333333333,1.555555556,0.888888889,0.555555556,2,2.111111111,12.55555556,9.255555556,1.111111111,5.888888889,2.888888889,0.46009361,4.888888889,12.39506173,6.933333333,12.72469136,14.96666667,2.2,-3.344444444,-2.266666667,-1.066666667,0.651555556,0.467444444,0.327222222,0.466666667,1.477777778,W (+2),,PHO,POR
2022/10/23,240,37,84,3.432,10,27,2.462,22,27,6.131,13,39,52,19,6,5,19,20,106,76.6,10,57,27,3.796212121,36,1255,139.4444444,54.6,1114.1,123.7888889,134.7,19.8,-30.1,-20.4,-9.6,5.864,4.207,2.945,4.2,13.3,9,26.66666667,4.111111111,9.333333333,0.381333333,1.111111111,3,0.273555556,2.444444444,3,0.681222222,1.444444444,4.333333333,5.777777778,2.111111111,0.666666667,0.555555556,2.111111111,2.222222222,11.77777778,8.511111111,1.111111111,6.333333333,3,0.421801347,4,15.49382716,6.066666667,13.75432099,14.96666667,2.2,-3.344444444,-2.266666667,-1.066666667,0.651555556,0.467444444,0.327222222,0.466666667,1.477777778,W (+2),@,LAL,POR
2022/10/24,240,48,83,7.406,16,35,2.988,23,31,4.779,9,36,45,23,3,6,8,15,135,119.3,125,48,32,7.704112554,81,1328,120.7272727,104,1373.8,124.8909091,134.7,19.8,-30.1,-20.4,-9.6,5.864,4.207,2.945,4.2,13.3,11,21.81818182,4.363636364,7.545454545,0.673272727,1.454545455,3.181818182,0.271636364,2.090909091,2.818181818,0.434454545,0.818181818,3.272727273,4.090909091,2.090909091,0.272727273,0.545454545,0.727272727,1.363636364,12.27272727,10.84545455,11.36363636,4.363636364,2.909090909,0.700373869,7.363636364,10.97520661,9.454545455,11.35371901,12.24545455,1.8,-2.736363636,-1.854545455,-0.872727273,0.533090909,0.382454545,0.267727273,0.381818182,1.209090909,W (+25),,DEN,POR
2022/10/26,240,34,78,5.842,12,37,2.672,18,26,4.75,11,27,38,20,9,4,19,17,98,69.6,-105,41,22,7.861904762,29,752,62.66666667,47.5,840.7,70.05833333,134.7,19.8,-30.1,-20.4,-9.6,5.864,4.207,2.945,4.2,13.3,12,20,2.833333333,6.5,0.486833333,1,3.083333333,0.222666667,1.5,2.166666667,0.395833333,0.916666667,2.25,3.166666667,1.666666667,0.75,0.333333333,1.583333333,1.416666667,8.166666667,5.8,-8.75,3.416666667,1.833333333,0.65515873,2.416666667,5.222222222,3.958333333,5.838194444,11.225,1.65,-2.508333333,-1.7,-0.8,0.488666667,0.350583333,0.245416667,0.35,1.108333333,L (-21),,MIA,POR
2022/10/28,240,48,90,5.714,13,35,3.05,16,20,5.75,11,34,45,30,9,6,15,19,125,109.1,70,55,35,6.004166667,81,1391,126.4545455,94.7,1431.7,130.1545455,134.7,19.8,-30.1,-20.4,-9.6,5.864,4.207,2.945,4.2,13.3,11,21.81818182,4.363636364,8.181818182,0.519454545,1.181818182,3.181818182,0.277272727,1.454545455,1.818181818,0.522727273,1,3.090909091,4.090909091,2.727272727,0.818181818,0.545454545,1.363636364,1.727272727,11.36363636,9.918181818,6.363636364,5,3.181818182,0.545833333,7.363636364,11.49586777,8.609090909,11.8322314,12.24545455,1.8,-2.736363636,-1.854545455,-0.872727273,0.533090909,0.382454545,0.267727273,0.381818182,1.209090909,W (+14),,HOU,POR
2022/11/2,240,36,89,3.164,13,33,2.43,21,26,3.832,16,30,46,27,5,3,20,17,106,75.5,-25,56,23,3.198989899,47,815,90.55555556,64,849.7,94.41111111,134.7,19.8,-30.1,-20.4,-9.6,5.864,4.207,2.945,4.2,13.3,9,26.66666667,4,9.888888889,0.351555556,1.444444444,3.666666667,0.27,2.333333333,2.888888889,0.425777778,1.777777778,3.333333333,5.111111111,3,0.555555556,0.333333333,2.222222222,1.888888889,11.77777778,8.388888889,-2.777777778,6.222222222,2.555555556,0.355443322,5.222222222,10.0617284,7.111111111,10.49012346,14.96666667,2.2,-3.344444444,-2.266666667,-1.066666667,0.651555556,0.467444444,0.327222222,0.466666667,1.477777778,L (-5),,MEM,POR
2022/11/4,240,43,85,4.691,10,23,3.25,12,15,2.318,11,31,42,30,6,3,17,24,108,84,10,62,33,4.751948052,60,1058,117.5555556,72.8,1018.8,113.2,134.7,19.8,-30.1,-20.4,-9.6,5.864,4.207,2.945,4.2,13.3,9,26.66666667,4.777777778,9.444444444,0.521222222,1.111111111,2.555555556,0.361111111,1.333333333,1.666666667,0.257555556,1.222222222,3.444444444,4.666666667,3.333333333,0.666666667,0.333333333,1.888888889,2.666666667,12,9.333333333,1.111111111,6.888888889,3.666666667,0.527994228,6.666666667,13.0617284,8.088888889,12.57777778,14.96666667,2.2,-3.344444444,-2.266666667,-1.066666667,0.651555556,0.467444444,0.327222222,0.466666667,1.477777778,W (+2),@,PHO,POR
2022/11/5,240,30,79,4.925,7,15,4.5,15,24,4.166,8,32,40,22,5,7,17,26,82,48.2,-100,64,23,5.082539683,24,544,45.33333333,34.9,517.5,43.125,134.7,19.8,-30.1,-20.4,-9.6,5.864,4.207,2.945,4.2,13.3,12,20,2.5,6.583333333,0.410416667,0.583333333,1.25,0.375,1.25,2,0.347166667,0.666666667,2.666666667,3.333333333,1.833333333,0.416666667,0.583333333,1.416666667,2.166666667,6.833333333,4.016666667,-8.333333333,5.333333333,1.916666667,0.423544974,2,3.777777778,2.908333333,3.59375,11.225,1.65,-2.508333333,-1.7,-0.8,0.488666667,0.350583333,0.245416667,0.35,1.108333333,L (-20),@,PHO,POR
2022/11/7,239.9833333,38,72,5.733,16,37,3.333,18,21,3.603,4,33,37,27,7,2,18,16,110,89.2,15,35,22,6.136904762,58,786,78.6,71,888.9,88.89,134.7,19.8,-30.1,-20.4,-9.6,5.864,4.207,2.945,4.2,13.3,10,23.99833333,3.8,7.2,0.5733,1.6,3.7,0.3333,1.8,2.1,0.3603,0.4,3.3,3.7,2.7,0.7,0.2,1.8,1.6,11,8.92,1.5,3.5,2.2,0.613690476,5.8,7.86,7.1,8.889,13.47,1.98,-3.01,-2.04,-0.96,0.5864,0.4207,0.2945,0.42,1.33,W (+3),@,MIA,POR
