Date,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS,PER,WS,BPM,OBPM,DBPM,TS%,3PAr,FTr,VORP,OWS,Player_Played,avg_MP,avg_FG,avg_FGA,avg_FG%,avg_3P,avg_3PA,avg_3P%,avg_FT,avg_FTA,avg_FT%,avg_ORB,avg_DRB,avg_TRB,avg_AST,avg_STL,avg_BLK,avg_TOV,avg_PF,avg_PTS,avg_GmSc,avg_+/-,avg_2PA,avg_2P,avg_2P%,avg_CO_EFF,avg_avg_EFF,avg_CO_HGS,avg_avg_HGS,avg_PER,avg_WS,avg_BPM,avg_OBPM,avg_DBPM,avg_TS%,avg_3PAr,avg_FTr,avg_VORP,avg_OWS,WIN,home,team_opp,Team
2022/10/19,239.9666667,36,86,3.175,13,30,3.483,23,32,5.071,12,29,41,19,15,4,13,23,108,84.6,15,56,23,2.622602887,56,919,91.9,75.4,1190,119,151.7,31.7,-9.6,-12.5,3.1,5.913,3.866,2.572,8,16.2,10,23.99666667,3.6,8.6,0.3175,1.3,3,0.3483,2.3,3.2,0.5071,1.2,2.9,4.1,1.9,1.5,0.4,1.3,2.3,10.8,8.46,1.5,5.6,2.3,0.262260289,5.6,9.19,7.54,11.9,15.17,3.17,-0.96,-1.25,0.31,0.5913,0.3866,0.2572,0.8,1.62,W (+3),,CLE,TOR
2022/10/21,239.9833333,41,84,3.225,11,28,2.286,12,18,3.723,8,33,41,25,9,4,13,21,105,83.6,-20,56,30,3.477777778,69,1071,119,78.8,1327.2,147.4666667,151.7,31.7,-9.6,-12.5,3.1,5.913,3.866,2.572,8,16.2,9,26.66481481,4.555555556,9.333333333,0.358333333,1.222222222,3.111111111,0.254,1.333333333,2,0.413666667,0.888888889,3.666666667,4.555555556,2.777777778,1,0.444444444,1.444444444,2.333333333,11.66666667,9.288888889,-2.222222222,6.222222222,3.333333333,0.386419753,7.666666667,13.22222222,8.755555556,16.38518519,16.85555556,3.522222222,-1.066666667,-1.388888889,0.344444444,0.657,0.429555556,0.285777778,0.888888889,1.8,L (-4),@,BRK,TOR
2022/10/22,240,37,87,4.168,14,39,2.484,21,28,4.232,8,29,37,24,9,5,6,25,109,87.7,-15,48,23,3.762254902,63,1122,112.2,79.3,1313.2,131.32,151.7,31.7,-9.6,-12.5,3.1,5.913,3.866,2.572,8,16.2,10,24,3.7,8.7,0.4168,1.4,3.9,0.2484,2.1,2.8,0.4232,0.8,2.9,3.7,2.4,0.9,0.5,0.6,2.5,10.9,8.77,-1.5,4.8,2.3,0.37622549,6.3,11.22,7.93,13.132,15.17,3.17,-0.96,-1.25,0.31,0.5913,0.3866,0.2572,0.8,1.62,L (-3),@,MIA,TOR
2022/10/24,240,34,86,4.278,14,32,3.666,16,20,2.264,10,42,52,22,6,6,12,22,98,74.2,40,54,20,4.06228355,64,1211,121.1,66.2,1167.6,116.76,151.7,31.7,-9.6,-12.5,3.1,5.913,3.866,2.572,8,16.2,10,24,3.4,8.6,0.4278,1.4,3.2,0.3666,1.6,2,0.2264,1,4.2,5.2,2.2,0.6,0.6,1.2,2.2,9.8,7.42,4,5.4,2,0.406228355,6.4,12.11,6.62,11.676,15.17,3.17,-0.96,-1.25,0.31,0.5913,0.3866,0.2572,0.8,1.62,W (+8),@,MIA,TOR
2022/10/26,240,46,84,5.673,16,37,2.816,11,14,4,6,33,39,32,9,5,9,21,119,109,50,47,30,6.332142857,95,1645,164.5,105.2,1643.6,164.36,151.7,31.7,-9.6,-12.5,3.1,5.913,3.866,2.572,8,16.2,10,24,4.6,8.4,0.5673,1.6,3.7,0.2816,1.1,1.4,0.4,0.6,3.3,3.9,3.2,0.9,0.5,0.9,2.1,11.9,10.9,5,4.7,3,0.633214286,9.5,16.45,10.52,16.436,15.17,3.17,-0.96,-1.25,0.31,0.5913,0.3866,0.2572,0.8,1.62,W (+10),,PHI,TOR
2022/10/28,240,33,86,4.909,9,39,2.155,15,24,3.544,15,30,45,20,9,5,17,15,90,62.4,-110,47,24,5.222222222,40,1040,80,54,1078,82.92307692,151.7,31.7,-9.6,-12.5,3.1,5.913,3.866,2.572,8,16.2,13,18.46153846,2.538461538,6.615384615,0.377615385,0.692307692,3,0.165769231,1.153846154,1.846153846,0.272615385,1.153846154,2.307692308,3.461538462,1.538461538,0.692307692,0.384615385,1.307692308,1.153846154,6.923076923,4.8,-8.461538462,3.615384615,1.846153846,0.401709402,3.076923077,6.153846154,4.153846154,6.378698225,11.66923077,2.438461538,-0.738461538,-0.961538462,0.238461538,0.454846154,0.297384615,0.197846154,0.615384615,1.246153846,L (-22),,PHI,TOR
2022/10/31,240,46,92,7.724,14,34,4.175,33,40,6.646,12,32,44,25,13,9,6,22,139,130.2,150,58,32,7.804761905,82,1583,113.0714286,106.5,1748,124.8571429,151.7,31.7,-9.6,-12.5,3.1,5.913,3.866,2.572,8,16.2,14,17.14285714,3.285714286,6.571428571,0.551714286,1,2.428571429,0.298214286,2.357142857,2.857142857,0.474714286,0.857142857,2.285714286,3.142857143,1.785714286,0.928571429,0.642857143,0.428571429,1.571428571,9.928571429,9.3,10.71428571,4.142857143,2.285714286,0.557482993,5.857142857,8.076530612,7.607142857,8.918367347,10.83571429,2.264285714,-0.685714286,-0.892857143,0.221428571,0.422357143,0.276142857,0.183714286,0.571428571,1.157142857,W (+30),,ATL,TOR
2022/11/2,240,57,106,6.384,14,33,4.216,15,16,5.5,9,41,50,31,16,6,11,17,143,133.9,215,73,43,6.162554113,112,1733,123.7857143,127,1815.3,129.6642857,151.7,31.7,-9.6,-12.5,3.1,5.913,3.866,2.572,8,16.2,14,17.14285714,4.071428571,7.571428571,0.456,1,2.357142857,0.301142857,1.071428571,1.142857143,0.392857143,0.642857143,2.928571429,3.571428571,2.214285714,1.142857143,0.428571429,0.785714286,1.214285714,10.21428571,9.564285714,15.35714286,5.214285714,3.071428571,0.440182437,8,8.841836735,9.071428571,9.261734694,10.83571429,2.264285714,-0.685714286,-0.892857143,0.221428571,0.422357143,0.276142857,0.183714286,0.571428571,1.157142857,W (+43),@,SAS,TOR
2022/11/4,240,39,88,4.68,11,34,2.31,21,25,5.25,18,26,44,20,10,4,19,22,110,81.8,-5,54,28,5.021428571,56,904,90.4,73.4,1104.6,110.46,151.7,31.7,-9.6,-12.5,3.1,5.913,3.866,2.572,8,16.2,10,24,3.9,8.8,0.468,1.1,3.4,0.231,2.1,2.5,0.525,1.8,2.6,4.4,2,1,0.4,1.9,2.2,11,8.18,-0.5,5.4,2.8,0.502142857,5.6,9.04,7.34,11.046,15.17,3.17,-0.96,-1.25,0.31,0.5913,0.3866,0.2572,0.8,1.62,L (-1),@,DAL,TOR
2022/11/6,240,44,103,3.686,10,37,1.271,15,20,3.35,23,29,52,28,11,10,9,16,113,103.5,45,66,34,4.587301587,82,1298,144.2222222,97.5,1520.1,168.9,151.7,31.7,-9.6,-12.5,3.1,5.913,3.866,2.572,8,16.2,9,26.66666667,4.888888889,11.44444444,0.409555556,1.111111111,4.111111111,0.141222222,1.666666667,2.222222222,0.372222222,2.555555556,3.222222222,5.777777778,3.111111111,1.222222222,1.111111111,1,1.777777778,12.55555556,11.5,5,7.333333333,3.777777778,0.509700176,9.111111111,16.02469136,10.83333333,18.76666667,16.85555556,3.522222222,-1.066666667,-1.388888889,0.344444444,0.657,0.429555556,0.285777778,0.888888889,1.8,W (+9),,CHI,TOR
