,Rk,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,1.0,Shareef Abdur-Rahim,25.0,77,77.0,2980,598,1297,0.461,21,70,0.3,577,1227,0.47,0.469,419,523,0.801,198,498,696,239,98,81,250,214,1636
1,2.0,Jason Terry,24.0,78,78.0,2967,524,1219,0.43,172,444,0.387,352,775,0.454,0.5,284,340,0.835,40,230,270,444,144,13,181,156,1504
2,3.0,Nazr Mohammed,24.0,82,73.0,2168,329,713,0.461,0,1,0.0,329,712,0.462,0.461,137,222,0.617,242,409,651,33,63,61,118,252,795
3,4.0,Jacque Vaughn,26.0,82,16.0,1856,206,438,0.47,24,54,0.444,182,384,0.474,0.498,104,126,0.825,18,150,168,349,65,2,112,183,540
4,5.0,DerMarr Johnson,21.0,72,46.0,1727,214,540,0.396,89,247,0.36,125,293,0.427,0.479,85,105,0.81,59,188,247,81,62,56,102,163,602
5,6.0,Toni Kukoč,33.0,59,9.0,1494,211,504,0.419,53,171,0.31,158,333,0.474,0.471,109,153,0.712,43,175,218,210,48,17,113,91,584
6,7.0,Hanno Möttölä,25.0,82,14.0,1371,169,384,0.44,1,13,0.077,168,371,0.453,0.441,57,76,0.75,81,187,268,50,20,19,70,174,396
7,8.0,Ira Newble,27.0,42,35.0,1273,131,263,0.498,1,7,0.143,130,256,0.508,0.5,75,88,0.852,80,142,222,45,38,20,49,117,338
8,9.0,Dion Glover,23.0,55,25.0,1156,192,456,0.421,30,91,0.33,162,365,0.444,0.454,78,103,0.757,36,133,169,84,45,14,76,89,492
9,10.0,Emanual Davis,33.0,28,20.0,774,70,198,0.354,29,85,0.341,41,113,0.363,0.427,16,18,0.889,19,55,74,68,27,5,52,68,185
10,11.0,Mark Strickland,31.0,46,10.0,654,91,204,0.446,1,4,0.25,90,200,0.45,0.449,25,44,0.568,41,90,131,20,19,17,28,48,208
11,12.0,Cal Bowdler,24.0,52,0.0,585,61,174,0.351,1,5,0.2,60,169,0.355,0.353,39,47,0.83,38,72,110,11,18,15,11,64,162
12,13.0,Alan Henderson,29.0,26,1.0,422,59,116,0.509,1,1,1.0,58,115,0.504,0.513,24,45,0.533,31,66,97,11,11,15,21,40,143
13,14.0,Chris Crawford,26.0,7,4.0,131,21,45,0.467,0,1,0.0,21,44,0.477,0.467,11,15,0.733,9,16,25,5,2,5,10,21,53
14,15.0,Leon Smith,21.0,14,0.0,100,10,26,0.385,0,0,,10,26,0.385,0.385,11,17,0.647,10,21,31,3,5,1,3,12,31
15,16.0,Theo Ratliff,28.0,3,2.0,82,10,20,0.5,0,0,,10,20,0.5,0.5,6,11,0.545,5,11,16,1,1,8,7,8,26
16,17.0,Reggie Slater,31.0,4,0.0,37,5,13,0.385,0,0,,5,13,0.385,0.385,6,9,0.667,5,2,7,1,1,1,0,2,16
17,18.0,Dickey Simpkins,29.0,1,0.0,3,0,0,,0,0,,0,0,,,0,0,,0,0,0,1,0,0,0,0,0
18,,,,82,,19780,2901,6610,0.439,423,1194,0.354,2478,5416,0.458,0.471,1486,1942,0.765,955,2445,3400,1656,667,350,1275,1702,7711
