,Rk,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,1.0,Jeff Green,27.0,82,82.0,2805,482,1171,0.412,135,396,0.341,347,775,0.448,0.469,283,356,0.795,54,326,380,138,57,47,165,180,1382
1,2.0,Brandon Bass,28.0,82,73.0,2266,352,725,0.486,2,6,0.333,350,719,0.487,0.487,205,239,0.858,161,309,470,87,36,71,102,190,911
2,3.0,Jared Sullinger,21.0,74,44.0,2041,384,899,0.427,56,208,0.269,328,691,0.475,0.458,158,203,0.778,241,360,601,118,35,49,119,251,982
3,4.0,Avery Bradley,23.0,60,58.0,1855,361,825,0.438,79,200,0.395,282,625,0.451,0.485,90,112,0.804,48,178,226,85,63,11,96,145,891
4,5.0,Gerald Wallace,31.0,58,16.0,1416,116,230,0.504,19,64,0.297,97,166,0.584,0.546,47,101,0.465,36,176,212,143,73,14,97,79,298
5,6.0,Kelly Olynyk,22.0,70,9.0,1400,234,502,0.466,40,114,0.351,194,388,0.5,0.506,99,122,0.811,140,225,365,109,35,27,106,227,607
6,7.0,Kris Humphries,28.0,69,30.0,1376,231,461,0.501,0,2,0.0,231,459,0.503,0.501,117,144,0.813,127,282,409,67,31,61,64,136,579
7,8.0,Jordan Crawford,25.0,39,35.0,1198,188,455,0.413,50,157,0.318,138,298,0.463,0.468,110,126,0.873,18,102,120,224,34,3,84,76,536
8,9.0,Phil Pressey,22.0,75,11.0,1132,78,253,0.308,28,106,0.264,50,147,0.34,0.364,29,45,0.644,20,85,105,241,68,5,87,97,213
9,10.0,Jerryd Bayless,25.0,41,14.0,1036,158,378,0.418,51,129,0.395,107,249,0.43,0.485,49,61,0.803,14,72,86,128,40,4,60,89,416
10,11.0,Rajon Rondo,27.0,30,30.0,998,141,350,0.403,26,90,0.289,115,260,0.442,0.44,42,67,0.627,22,142,164,294,40,2,99,65,350
11,12.0,Chris Johnson,23.0,40,0.0,789,85,214,0.397,43,127,0.339,42,87,0.483,0.498,37,43,0.86,31,66,97,31,27,4,22,63,250
12,13.0,Courtney Lee,28.0,30,0.0,504,90,183,0.492,23,52,0.442,67,131,0.511,0.555,18,22,0.818,8,41,49,32,20,9,25,37,221
13,14.0,Vítor Luiz Faverani,25.0,37,8.0,488,64,147,0.435,12,40,0.3,52,107,0.486,0.476,24,37,0.649,42,86,128,16,14,27,41,74,164
14,15.0,Joel Anthony,31.0,21,0.0,149,10,26,0.385,0,0,,10,26,0.385,0.385,2,6,0.333,13,18,31,2,3,8,2,13,22
15,16.0,Chris Babb,23.0,14,0.0,132,8,30,0.267,6,27,0.222,2,3,0.667,0.367,0,0,,4,13,17,3,6,0,3,13,22
16,17.0,MarShon Brooks,25.0,10,0.0,73,9,24,0.375,2,4,0.5,7,20,0.35,0.417,11,14,0.786,1,18,19,4,1,1,7,5,31
17,18.0,Keith Bogans,33.0,6,0.0,55,3,6,0.5,3,6,0.5,0,0,,0.75,3,3,1.0,0,3,3,3,1,0,1,2,12
18,19.0,Vander Blue,21.0,3,0.0,15,2,4,0.5,0,1,0.0,2,3,0.667,0.5,1,5,0.2,0,3,3,1,0,0,2,1,5
19,,,,82,,19730,2996,6883,0.435,575,1729,0.333,2421,5154,0.47,0.477,1325,1706,0.777,980,2505,3485,1726,584,343,1261,1743,7892
