,Rk,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,1.0,Raymond Felton,21.0,80,54.0,2406,345,883,0.391,97,271,0.358,248,612,0.405,0.446,161,222,0.725,77,188,265,446,102,8,182,181,948
1,2.0,Brevin Knight,30.0,69,67.0,2351,308,772,0.399,3,13,0.231,305,759,0.402,0.401,252,314,0.803,35,188,223,610,157,4,164,202,871
2,3.0,Primož Brezec,26.0,79,79.0,2165,409,791,0.517,0,2,0.0,409,789,0.518,0.517,164,224,0.732,181,259,440,45,19,32,85,227,982
3,4.0,Jumaine Jones,26.0,76,42.0,2089,298,736,0.405,115,335,0.343,183,401,0.456,0.483,88,121,0.727,105,271,376,63,68,22,74,200,799
4,5.0,Gerald Wallace,23.0,55,52.0,1895,317,589,0.538,14,50,0.28,303,539,0.562,0.55,188,306,0.614,123,289,412,96,138,115,99,150,836
5,6.0,Melvin Ely,27.0,57,22.0,1348,216,425,0.508,0,2,0.0,216,423,0.511,0.508,128,192,0.667,94,183,277,76,29,44,100,160,560
6,7.0,Bernard Robinson,25.0,66,18.0,1303,157,365,0.43,2,21,0.095,155,344,0.451,0.433,106,134,0.791,62,157,219,77,81,10,74,141,422
7,8.0,Matt Carroll,25.0,78,6.0,1275,192,476,0.403,72,185,0.389,120,291,0.412,0.479,138,168,0.821,34,123,157,35,47,11,48,120,594
8,9.0,Kareem Rush,25.0,47,25.0,1111,181,469,0.386,57,164,0.348,124,305,0.407,0.447,55,77,0.714,18,85,103,50,38,13,65,79,474
9,10.0,Emeka Okafor,23.0,26,25.0,874,131,316,0.415,0,0,,131,316,0.415,0.415,82,125,0.656,94,167,261,31,22,50,53,88,344
10,11.0,Keith Bogans,25.0,39,9.0,848,114,288,0.396,33,98,0.337,81,190,0.426,0.453,80,105,0.762,29,77,106,45,39,3,41,78,341
11,12.0,Jake Voskuhl,28.0,51,2.0,818,114,261,0.437,1,3,0.333,113,258,0.438,0.439,41,60,0.683,62,121,183,39,26,23,33,157,270
12,13.0,Alan Anderson,23.0,36,7.0,564,75,181,0.414,24,58,0.414,51,123,0.415,0.481,33,41,0.805,23,47,70,32,11,4,32,48,207
13,14.0,Sean May,21.0,23,1.0,398,70,171,0.409,0,5,0.0,70,166,0.422,0.409,49,64,0.766,42,67,109,22,17,12,33,58,189
14,15.0,Kevin Burleson,26.0,39,1.0,340,22,88,0.25,10,54,0.185,12,34,0.353,0.307,16,17,0.941,4,22,26,48,26,2,25,63,70
15,16.0,Lonny Baxter,27.0,18,0.0,119,12,32,0.375,0,0,,12,32,0.375,0.375,12,16,0.75,7,26,33,2,2,1,7,8,36
16,,,,82,,19905,2961,6843,0.433,428,1261,0.339,2533,5582,0.454,0.464,1593,2186,0.729,990,2270,3260,1717,822,354,1167,1960,7943
