,Rk,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,1.0,Jalen Rose,30.0,82,82.0,3351,642,1583,0.406,133,359,0.37,509,1224,0.416,0.448,399,467,0.854,68,283,351,395,72,23,285,271,1816
1,2.0,Donyell Marshall,29.0,78,53.0,2378,421,918,0.459,33,87,0.379,388,831,0.467,0.477,167,221,0.756,234,465,699,137,95,85,135,234,1042
2,3.0,Trenton Hassell,23.0,82,53.0,1999,144,392,0.367,13,40,0.325,131,352,0.372,0.384,41,55,0.745,37,218,255,151,45,61,83,197,342
3,4.0,Jamal Crawford,22.0,80,31.0,1992,334,808,0.413,86,242,0.355,248,566,0.438,0.467,104,129,0.806,21,164,185,334,77,25,134,126,858
4,5.0,Jay Williams,21.0,75,54.0,1961,273,685,0.399,65,202,0.322,208,483,0.431,0.446,103,161,0.64,27,168,195,350,86,17,171,179,714
5,6.0,Tyson Chandler,20.0,75,68.0,1827,257,484,0.531,0,0,,257,484,0.531,0.531,177,291,0.608,169,345,514,76,37,106,135,220,691
6,7.0,Eddy Curry,20.0,81,48.0,1571,335,573,0.585,0,0,,335,573,0.585,0.585,179,287,0.624,116,237,353,37,18,62,137,226,849
7,8.0,Eddie Robinson,26.0,64,18.0,1355,155,315,0.492,3,14,0.214,152,301,0.505,0.497,51,63,0.81,76,124,200,66,62,13,52,120,364
8,9.0,Corie Blount,34.0,50,3.0,836,65,134,0.485,0,0,,65,134,0.485,0.485,20,35,0.571,68,137,205,50,33,19,43,121,150
9,10.0,Marcus Fizer,24.0,38,0.0,809,178,383,0.465,1,6,0.167,177,377,0.469,0.466,88,134,0.657,80,136,216,48,14,17,57,89,445
10,11.0,Fred Hoiberg,30.0,63,0.0,784,49,126,0.389,5,21,0.238,44,105,0.419,0.409,41,50,0.82,11,126,137,70,40,5,25,59,144
11,12.0,Lonny Baxter,24.0,55,0.0,682,96,206,0.466,0,2,0.0,96,204,0.471,0.466,70,103,0.68,65,100,165,16,9,22,46,135,262
12,13.0,Rick Brunson,30.0,17,0.0,196,23,50,0.46,4,6,0.667,19,44,0.432,0.5,10,12,0.833,4,15,19,36,10,3,17,20,60
13,14.0,Roger Mason,22.0,17,0.0,113,11,31,0.355,6,18,0.333,5,13,0.385,0.452,2,2,1.0,2,10,12,12,4,0,5,20,30
14,15.0,Dalibor Bagarić,22.0,10,0.0,76,8,26,0.308,0,0,,8,26,0.308,0.308,3,4,0.75,7,13,20,4,3,3,5,11,19
15,,,,82,,19930,2991,6714,0.445,349,997,0.35,2642,5717,0.462,0.471,1455,2014,0.722,985,2541,3526,1782,605,461,1388,2028,7786
