,Rk,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,1.0,Andre Miller,24.0,82,82.0,2848,452,999,0.452,17,64,0.266,435,935,0.465,0.461,375,450,0.833,94,266,360,657,119,28,265,229,1296
1,2.0,Clarence Weatherspoon,30.0,82,82.0,2774,347,692,0.501,0,0,,347,692,0.501,0.501,230,291,0.79,223,573,796,103,85,105,112,171,924
2,3.0,Lamond Murray,27.0,78,46.0,2225,391,925,0.423,61,165,0.37,330,760,0.434,0.456,155,211,0.735,104,236,340,124,83,27,141,173,998
3,4.0,Chris Gatling,33.0,74,6.0,1670,329,733,0.449,28,92,0.304,301,641,0.47,0.468,156,228,0.684,99,292,391,61,52,27,119,185,842
4,5.0,Matt Harpring,24.0,56,55.0,1615,238,524,0.454,13,52,0.25,225,472,0.477,0.467,134,165,0.812,90,152,242,102,42,17,90,161,623
5,6.0,Robert Traylor,23.0,70,7.0,1212,161,324,0.497,0,2,0.0,161,322,0.5,0.497,80,141,0.567,124,176,300,63,49,76,98,204,402
6,7.0,Chris Mihm,21.0,59,43.0,1166,173,391,0.442,0,1,0.0,173,390,0.444,0.442,100,126,0.794,106,174,280,16,20,53,80,156,446
7,8.0,Jim Jackson,30.0,39,26.0,1140,162,415,0.39,10,42,0.238,152,373,0.408,0.402,66,84,0.786,36,109,145,113,34,6,82,97,400
8,9.0,Trajan Langdon,24.0,65,5.0,1116,135,313,0.431,51,124,0.411,84,189,0.444,0.513,68,76,0.895,12,77,89,81,38,9,52,114,389
9,10.0,Cedric Henderson,25.0,55,10.0,961,102,262,0.389,1,8,0.125,101,254,0.398,0.391,30,46,0.652,19,71,90,79,29,23,63,101,235
10,11.0,Wesley Person,29.0,44,22.0,958,128,292,0.438,34,84,0.405,94,208,0.452,0.497,24,30,0.8,11,119,130,64,27,11,40,62,314
11,12.0,Bimbo Coles,32.0,47,0.0,804,91,239,0.381,2,16,0.125,89,223,0.399,0.385,48,56,0.857,9,39,48,138,27,6,59,87,232
12,13.0,Zydrunas Ilgauskas,25.0,24,24.0,616,114,234,0.487,0,2,0.0,114,232,0.491,0.487,53,78,0.679,65,95,160,18,15,37,60,78,281
13,14.0,Chucky Brown,32.0,20,2.0,265,31,75,0.413,0,1,0.0,31,74,0.419,0.413,16,24,0.667,5,31,36,6,6,6,6,27,78
14,15.0,Anthony Johnson,26.0,28,0.0,232,27,81,0.333,1,2,0.5,26,79,0.329,0.34,11,16,0.688,7,14,21,44,6,1,14,21,66
15,16.0,Brevin Knight,25.0,6,0.0,93,2,15,0.133,0,0,,2,15,0.133,0.133,5,6,0.833,1,6,7,25,6,1,7,17,9
16,17.0,Michael Hawkins,28.0,10,0.0,76,3,9,0.333,2,4,0.5,1,5,0.2,0.444,0,0,,2,3,5,13,2,0,6,13,8
17,18.0,J.R. Reid,32.0,6,0.0,39,2,5,0.4,0,0,,2,5,0.4,0.4,6,8,0.75,5,3,8,1,2,1,1,4,10
18,19.0,Etdrick Bohannon,27.0,6,0.0,19,2,4,0.5,0,0,,2,4,0.5,0.5,4,4,1.0,3,4,7,0,0,2,1,4,8
19,20.0,Larry Robinson,33.0,1,0.0,1,0,0,,0,0,,0,0,,,0,0,,0,0,0,0,0,0,1,0,0
20,,,,82,,19830,2890,6532,0.442,220,659,0.334,2670,5873,0.455,0.459,1561,2040,0.765,1015,2440,3455,1708,642,436,1350,1904,7561
