,Rk,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,1.0,Rolando Blackman,32.0,75,74.0,2527,535,1161,0.461,65,169,0.385,470,992,0.474,0.489,239,266,0.898,78,161,239,204,50,22,153,134,1374
1,2.0,Derek Harper,30.0,65,64.0,2252,448,1011,0.443,58,186,0.312,390,825,0.473,0.472,198,261,0.759,49,121,170,373,101,17,154,150,1152
2,3.0,Terry Davis,24.0,68,67.0,2149,256,531,0.482,0,5,0.0,256,526,0.487,0.482,181,285,0.635,228,444,672,57,26,29,117,202,693
3,4.0,Rodney McCray,30.0,75,48.0,2106,271,622,0.436,25,85,0.294,246,537,0.458,0.456,110,153,0.719,149,319,468,219,48,30,115,180,677
4,5.0,Herb Williams,33.0,75,26.0,2040,367,851,0.431,1,6,0.167,366,845,0.433,0.432,124,171,0.725,106,348,454,94,35,98,114,189,859
5,6.0,Doug Smith,22.0,76,32.0,1707,291,702,0.415,0,11,0.0,291,691,0.421,0.415,89,121,0.736,129,262,391,129,62,34,97,259,671
6,7.0,Mike Iuzzolino,24.0,52,21.0,1280,160,355,0.451,59,136,0.434,101,219,0.461,0.534,107,128,0.836,27,71,98,194,33,1,92,79,486
7,8.0,Donald Hodge,22.0,51,27.0,1058,163,328,0.497,0,0,,163,328,0.497,0.497,100,150,0.667,118,157,275,39,25,23,75,128,426
8,9.0,Randy White,24.0,65,12.0,1021,145,382,0.38,4,27,0.148,141,355,0.397,0.385,124,162,0.765,96,140,236,31,31,22,68,157,418
9,10.0,James Donaldson,34.0,44,32.0,994,107,227,0.471,0,0,,107,227,0.471,0.471,59,84,0.702,97,173,270,31,8,44,41,86,273
10,11.0,Fat Lever,31.0,31,5.0,884,135,349,0.387,17,52,0.327,118,297,0.397,0.411,60,80,0.75,56,105,161,107,46,12,36,73,347
11,12.0,Tracy Moore,26.0,42,2.0,782,130,325,0.4,30,84,0.357,100,241,0.415,0.446,65,78,0.833,31,51,82,48,32,4,44,97,355
12,13.0,Brad Davis,36.0,33,0.0,429,38,86,0.442,5,18,0.278,33,68,0.485,0.471,11,15,0.733,4,29,33,66,11,3,27,57,92
13,14.0,Brian Howard,24.0,27,0.0,318,54,104,0.519,1,2,0.5,53,102,0.52,0.524,22,31,0.71,17,34,51,14,11,8,15,55,131
14,15.0,Brian Quinnett,25.0,15,0.0,136,15,51,0.294,3,15,0.2,12,36,0.333,0.324,8,12,0.667,7,20,27,5,9,2,8,11,41
15,16.0,Tom Garrick,25.0,6,0.0,63,4,17,0.235,0,1,0.0,4,16,0.25,0.235,2,2,1.0,2,4,6,17,8,0,4,7,10
16,17.0,João Vianna,25.0,1,0.0,9,1,2,0.5,0,0,,1,2,0.5,0.5,0,0,,0,0,0,2,0,0,1,3,2
17,,,,82,,19755,3120,7104,0.439,268,797,0.336,2852,6307,0.452,0.458,1499,1999,0.75,1194,2439,3633,1630,536,349,1202,1867,8007
