,Rk,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,1.0,Arron Afflalo,25.0,69,69.0,2324,312,627,0.498,105,248,0.423,207,379,0.546,0.581,138,163,0.847,45,206,251,168,34,31,71,153,867
1,2.0,Nenê,28.0,75,75.0,2291,402,654,0.615,1,5,0.2,401,649,0.618,0.615,286,402,0.711,145,426,571,149,84,73,134,238,1091
2,3.0,Ty Lawson,23.0,80,31.0,2103,346,688,0.503,69,171,0.404,277,517,0.536,0.553,172,225,0.764,67,142,209,377,80,4,137,133,933
3,4.0,J.R. Smith,25.0,79,6.0,1968,341,784,0.435,124,318,0.39,217,466,0.466,0.514,163,221,0.738,45,277,322,175,92,16,100,173,969
4,5.0,Carmelo Anthony,26.0,50,50.0,1774,437,967,0.452,42,126,0.333,395,841,0.47,0.474,343,417,0.823,77,305,382,140,43,31,142,134,1259
5,6.0,Al Harrington,30.0,73,3.0,1665,281,675,0.416,117,328,0.357,164,347,0.473,0.503,86,117,0.735,76,256,332,101,39,10,106,202,765
6,7.0,Chauncey Billups,34.0,51,51.0,1646,235,536,0.438,105,238,0.441,130,298,0.436,0.536,265,287,0.923,12,113,125,271,52,12,129,94,840
7,8.0,Kenyon Martin,33.0,48,48.0,1233,185,362,0.511,2,9,0.222,183,353,0.518,0.514,42,72,0.583,67,230,297,109,43,35,59,136,414
8,9.0,Gary Forbes,25.0,63,11.0,791,124,273,0.454,19,58,0.328,105,215,0.488,0.489,59,87,0.678,28,88,116,49,23,6,46,77,326
9,10.0,Chris Andersen,32.0,45,0.0,732,82,137,0.599,0,1,0.0,82,136,0.603,0.599,86,135,0.637,75,144,219,20,23,58,25,79,250
10,11.0,Shelden Williams,27.0,42,32.0,713,82,181,0.453,0,0,,82,181,0.453,0.453,34,46,0.739,74,149,223,19,18,22,37,92,198
11,12.0,Raymond Felton,26.0,21,0.0,663,88,204,0.431,28,61,0.459,60,143,0.42,0.5,37,60,0.617,8,67,75,137,28,0,45,37,241
12,13.0,Wilson Chandler,23.0,21,19.0,642,101,241,0.419,26,75,0.347,75,166,0.452,0.473,34,42,0.81,13,92,105,34,14,24,37,47,262
13,14.0,Danilo Gallinari,22.0,14,12.0,433,54,131,0.412,20,54,0.37,34,77,0.442,0.489,78,101,0.772,11,65,76,22,13,9,25,27,206
14,15.0,Melvin Ely,32.0,30,2.0,366,28,51,0.549,0,0,,28,51,0.549,0.549,13,21,0.619,27,47,74,14,4,11,14,50,69
15,16.0,Anthony Carter,35.0,14,0.0,153,10,30,0.333,4,12,0.333,6,18,0.333,0.4,2,2,1.0,0,12,12,26,9,1,14,19,26
16,17.0,Kosta Koufos,21.0,11,1.0,98,21,42,0.5,0,0,,21,42,0.5,0.5,12,19,0.632,15,18,33,0,2,5,6,9,54
17,18.0,Timofey Mozgov,24.0,11,0.0,66,11,21,0.524,0,0,,11,21,0.524,0.524,6,8,0.75,5,12,17,0,1,2,3,8,28
18,19.0,Renaldo Balkman,26.0,5,0.0,44,5,9,0.556,0,0,,5,9,0.556,0.556,3,4,0.75,1,3,4,2,3,2,0,11,13
19,,,,82,,19705,3145,6613,0.476,662,1704,0.388,2483,4909,0.506,0.526,1859,2429,0.765,791,2652,3443,1813,605,352,1157,1719,8811
