,Rk,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,1.0,James Harden,26.0,82,82.0,3125,710,1617,0.439,236,657,0.359,474,960,0.494,0.512,720,837,0.86,63,438,501,612,139,51,374,229,2376
1,2.0,Trevor Ariza,30.0,81,81.0,2859,357,859,0.416,185,499,0.371,172,360,0.478,0.523,126,161,0.783,67,299,366,188,160,26,113,177,1025
2,3.0,Dwight Howard,30.0,71,71.0,2280,372,600,0.62,0,6,0.0,372,594,0.626,0.62,232,474,0.489,238,597,835,98,69,113,166,219,976
3,4.0,Patrick Beverley,27.0,71,63.0,2041,258,594,0.434,124,310,0.4,134,284,0.472,0.539,60,88,0.682,73,177,250,239,94,26,91,234,700
4,5.0,Corey Brewer,29.0,82,12.0,1669,212,552,0.384,61,224,0.272,151,328,0.46,0.439,105,140,0.75,42,157,199,109,84,19,78,168,590
5,6.0,Clint Capela,21.0,77,35.0,1471,231,397,0.582,0,1,0.0,231,396,0.583,0.582,80,211,0.379,194,300,494,47,59,92,60,190,542
6,7.0,Jason Terry,38.0,72,7.0,1258,151,376,0.402,93,261,0.356,58,115,0.504,0.525,27,33,0.818,14,65,79,103,47,9,49,91,422
7,8.0,Ty Lawson,28.0,53,12.0,1176,111,287,0.387,31,94,0.33,80,193,0.415,0.441,56,80,0.7,20,69,89,180,43,6,82,71,309
8,9.0,Terrence Jones,24.0,50,11.0,1044,166,367,0.452,25,79,0.316,141,288,0.49,0.486,77,116,0.664,62,149,211,41,23,39,49,86,434
9,10.0,Marcus Thornton,28.0,47,6.0,885,174,435,0.4,73,216,0.338,101,219,0.461,0.484,51,58,0.879,31,84,115,66,34,3,40,73,472
10,11.0,Donatas Motiejūnas,25.0,37,22.0,547,90,205,0.439,16,57,0.281,74,148,0.5,0.478,34,53,0.642,37,72,109,41,17,5,44,69,230
11,12.0,Josh Smith,30.0,23,6.0,421,58,169,0.343,23,85,0.271,35,84,0.417,0.411,12,25,0.48,18,49,67,48,16,13,36,56,151
12,13.0,Montrezl Harrell,22.0,39,1.0,379,58,90,0.644,0,1,0.0,58,89,0.652,0.644,24,46,0.522,25,40,65,17,11,11,17,48,140
13,14.0,Michael Beasley,27.0,20,0.0,363,107,205,0.522,3,9,0.333,104,196,0.531,0.529,38,49,0.776,29,69,98,16,11,9,24,39,255
14,15.0,K.J. McDaniels,22.0,37,1.0,235,29,72,0.403,7,25,0.28,22,47,0.468,0.451,24,30,0.8,16,26,42,10,7,6,17,30,89
15,16.0,Andrew Goudelock,27.0,8,0.0,50,9,20,0.45,1,9,0.111,8,11,0.727,0.475,3,4,0.75,1,1,2,4,6,2,7,4,22
16,17.0,Chuck Hayes,32.0,2,0.0,24,1,2,0.5,0,0,,1,2,0.5,0.5,2,2,1.0,0,8,8,2,0,0,3,6,4
17,18.0,Sam Dekker,21.0,3,0.0,6,0,0,,0,0,,0,0,,,0,0,,0,1,1,0,1,0,0,0,0
18,,,,82,,19830,3094,6847,0.452,878,2533,0.347,2216,4314,0.514,0.516,1671,2407,0.694,930,2601,3531,1821,821,430,1307,1790,8737
