,Rk,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,1.0,Danny Granger,23.0,82,57.0,2785,398,868,0.459,110,288,0.382,288,580,0.497,0.522,236,294,0.803,114,267,381,114,67,61,135,245,1142
1,2.0,Jermaine O'Neal,28.0,69,69.0,2459,498,1141,0.436,0,7,0.0,498,1134,0.439,0.436,343,447,0.767,153,508,661,167,50,182,203,232,1339
2,3.0,Jamaal Tinsley,28.0,72,72.0,2243,346,889,0.389,61,193,0.316,285,696,0.409,0.424,172,239,0.72,60,180,240,494,117,25,200,190,925
3,4.0,Jeff Foster,30.0,75,43.0,1740,122,260,0.469,0,1,0.0,122,259,0.471,0.469,78,122,0.639,253,356,609,57,62,37,70,202,322
4,5.0,Mike Dunleavy,26.0,43,43.0,1529,218,480,0.454,34,120,0.283,184,360,0.511,0.49,133,168,0.792,44,200,244,111,46,10,78,120,603
5,6.0,Darrell Armstrong,38.0,81,4.0,1275,156,377,0.414,72,214,0.336,84,163,0.515,0.509,73,93,0.785,34,101,135,191,70,6,76,102,457
6,7.0,Al Harrington,26.0,36,36.0,1208,223,487,0.458,54,118,0.458,169,369,0.458,0.513,72,101,0.713,71,155,226,51,25,10,91,116,572
7,8.0,Stephen Jackson,28.0,37,32.0,1186,180,430,0.419,41,138,0.297,139,292,0.476,0.466,120,146,0.822,17,78,95,114,33,20,81,87,521
8,9.0,Troy Murphy,26.0,42,31.0,1185,185,401,0.461,36,88,0.409,149,313,0.476,0.506,61,79,0.772,63,194,257,66,25,25,49,133,467
9,10.0,Marquis Daniels,26.0,45,4.0,800,129,281,0.459,6,26,0.231,123,255,0.482,0.47,56,80,0.7,26,56,82,57,27,7,55,56,320
10,11.0,Šarūnas Jasikevičius,30.0,37,1.0,664,91,221,0.412,32,86,0.372,59,135,0.437,0.484,59,64,0.922,10,38,48,111,13,0,59,53,273
11,12.0,Shawne Williams,20.0,46,3.0,556,75,160,0.469,19,52,0.365,56,108,0.519,0.528,11,20,0.55,33,50,83,22,6,8,24,69,180
12,13.0,Ike Diogu,23.0,42,2.0,538,83,183,0.454,0,0,,83,183,0.454,0.454,77,96,0.802,54,86,140,20,5,15,49,87,243
13,14.0,Maceo Baston,31.0,47,2.0,405,49,76,0.645,3,7,0.429,46,69,0.667,0.664,37,47,0.787,21,53,74,16,12,18,32,65,138
14,15.0,Rawle Marshall,24.0,40,2.0,361,32,89,0.36,4,18,0.222,28,71,0.394,0.382,31,45,0.689,8,21,29,13,12,5,19,22,99
15,16.0,Keith McLeod,27.0,22,7.0,339,32,83,0.386,7,22,0.318,25,61,0.41,0.428,22,25,0.88,1,21,22,45,7,2,23,30,93
16,17.0,Orien Greene,24.0,41,0.0,254,23,62,0.371,2,11,0.182,21,51,0.412,0.387,15,25,0.6,12,32,44,22,17,4,28,38,63
17,18.0,David Harrison,24.0,24,2.0,190,30,58,0.517,0,0,,30,58,0.517,0.517,11,22,0.5,9,33,42,6,5,12,26,47,71
18,19.0,Josh Powell,24.0,7,0.0,64,2,15,0.133,0,0,,2,15,0.133,0.133,8,12,0.667,7,12,19,3,0,0,5,18,12
19,,,,82,,19780,2872,6561,0.438,481,1389,0.346,2391,5172,0.462,0.474,1615,2125,0.76,990,2441,3431,1680,599,447,1335,1912,7840
