,Rk,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,1.0,DeAndre Jordan,27.0,77,77.0,2598,357,508,0.703,0,1,0.0,357,507,0.704,0.703,266,619,0.43,267,792,1059,90,51,177,107,207,980
1,2.0,Chris Paul,30.0,74,74.0,2420,515,1114,0.462,122,329,0.371,393,785,0.501,0.517,294,328,0.896,39,271,310,738,152,13,194,185,1446
2,3.0,Jamal Crawford,35.0,79,5.0,2126,379,939,0.404,117,344,0.34,262,595,0.44,0.466,245,271,0.904,20,125,145,183,52,12,113,122,1120
3,4.0,J.J. Redick,31.0,75,75.0,2097,422,880,0.48,200,421,0.475,222,459,0.484,0.593,182,205,0.888,10,129,139,106,42,5,78,135,1226
4,5.0,Wesley Johnson,28.0,80,9.0,1666,208,515,0.404,103,309,0.333,105,206,0.51,0.504,30,46,0.652,37,211,248,49,89,56,54,173,549
5,6.0,Austin Rivers,23.0,67,7.0,1464,226,516,0.438,62,185,0.335,164,331,0.495,0.498,79,116,0.681,22,108,130,99,48,9,61,137,593
6,7.0,Luc Mbah a Moute,29.0,75,61.0,1274,94,207,0.454,13,40,0.325,81,167,0.485,0.486,30,57,0.526,60,111,171,30,44,19,34,100,231
7,8.0,Paul Pierce,38.0,68,38.0,1231,144,397,0.363,75,242,0.31,69,155,0.445,0.457,54,66,0.818,12,174,186,71,33,17,58,129,417
8,9.0,Blake Griffin,26.0,35,35.0,1170,301,603,0.499,6,18,0.333,295,585,0.504,0.504,141,194,0.727,51,243,294,170,28,17,83,95,749
9,10.0,Pablo Prigioni,38.0,59,3.0,823,55,147,0.374,28,95,0.295,27,52,0.519,0.469,7,8,0.875,38,76,114,130,53,1,49,82,145
10,11.0,Cole Aldrich,27.0,60,5.0,800,134,225,0.596,0,0,,134,225,0.596,0.596,60,84,0.714,86,202,288,50,47,68,64,139,328
11,12.0,Jeff Green,29.0,27,10.0,709,114,267,0.427,25,77,0.325,89,190,0.468,0.474,40,65,0.615,19,72,91,40,18,21,24,62,293
12,13.0,Lance Stephenson,25.0,43,10.0,680,82,166,0.494,19,47,0.404,63,119,0.529,0.551,21,30,0.7,19,89,108,60,24,3,48,79,204
13,14.0,Josh Smith,30.0,32,1.0,459,69,180,0.383,18,58,0.31,51,122,0.418,0.433,25,42,0.595,33,92,125,42,18,34,41,62,181
14,15.0,C.J. Wilcox,25.0,23,0.0,167,26,66,0.394,9,23,0.391,17,43,0.395,0.462,9,12,0.75,1,11,12,10,10,2,2,15,70
15,16.0,Jeff Ayres,28.0,17,0.0,107,12,23,0.522,0,1,0.0,12,22,0.545,0.522,6,6,1.0,4,18,22,5,0,3,6,18,30
16,17.0,Branden Dawson,22.0,6,0.0,29,2,5,0.4,0,0,,2,5,0.4,0.4,1,1,1.0,2,2,4,0,0,1,0,2,5
17,18.0,Alex Stepheson,28.0,4,0.0,12,1,1,1.0,0,0,,1,1,1.0,1.0,0,2,0.0,1,1,2,0,0,2,0,4,2
18,,,,82,,19830,3141,6759,0.465,797,2190,0.364,2344,4569,0.513,0.524,1490,2152,0.692,721,2727,3448,1873,709,460,1063,1746,8569
