Unnamed: 0,Rk,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Co_Points_Share
0,1.0,Dennis Schröder,29.0,66,50.0,1986,270,650,0.415,74,225,0.329,196,425,0.461,0.472,216,252,0.857,21,144,165,298,50,10,112,145,830,0.08638634471273939
1,2.0,LeBron James,38.0,55,54.0,1954,609,1219,0.5,121,377,0.321,488,842,0.58,0.549,251,327,0.768,65,392,457,375,50,32,178,88,1590,0.1654870940882598
2,3.0,Anthony Davis,29.0,56,54.0,1904,542,962,0.563,19,74,0.257,523,888,0.589,0.573,348,444,0.784,195,507,702,148,59,114,122,146,1451,0.15101998334721065
3,4.0,Troy Brown Jr.,23.0,76,45.0,1860,200,465,0.43,107,281,0.381,93,184,0.505,0.545,34,39,0.872,62,246,308,95,59,16,49,120,541,0.05630724396336386
4,5.0,Austin Reaves,24.0,64,22.0,1843,259,490,0.529,86,216,0.398,173,274,0.631,0.616,229,265,0.864,33,160,193,215,33,19,99,108,833,0.08669858451290591
5,6.0,Russell Westbrook,34.0,52,3.0,1491,304,729,0.417,63,213,0.296,241,516,0.467,0.46,156,238,0.655,59,262,321,391,53,23,184,121,827,0.08607410491257285
6,7.0,Lonnie Walker IV,24.0,56,32.0,1297,236,527,0.448,91,249,0.365,145,278,0.522,0.534,91,106,0.858,14,95,109,64,30,17,46,71,654,0.06806827643630307
7,8.0,Patrick Beverley,34.0,45,45.0,1211,97,241,0.402,55,158,0.348,42,83,0.506,0.517,39,50,0.78,24,116,140,118,40,25,42,124,288,0.02997502081598668
8,9.0,Wenyen Gabriel,25.0,68,2.0,1024,155,260,0.596,10,36,0.278,145,224,0.647,0.615,52,84,0.619,116,170,286,36,26,35,46,144,372,0.03871773522064946
9,10.0,Thomas Bryant,25.0,41,25.0,876,197,301,0.654,22,50,0.44,175,251,0.697,0.691,80,108,0.741,67,212,279,29,14,23,28,77,496,0.051623646960865945
10,11.0,Rui Hachimura,24.0,33,9.0,738,126,260,0.485,21,71,0.296,105,189,0.556,0.525,44,61,0.721,34,121,155,23,8,14,17,33,317,0.03299333888426311
11,12.0,Jarred Vanderbilt,23.0,26,24.0,625,74,140,0.529,10,33,0.303,64,107,0.598,0.564,29,37,0.784,49,124,173,42,30,6,29,57,187,0.019462947543713572
12,13.0,Malik Beasley,26.0,26,14.0,621,105,268,0.392,66,187,0.353,39,81,0.481,0.515,13,21,0.619,8,78,86,31,21,1,30,32,289,0.03007910074937552
13,14.0,Kendrick Nunn,27.0,39,2.0,528,102,251,0.406,41,126,0.325,61,125,0.488,0.488,17,21,0.81,5,50,55,34,11,3,31,35,262,0.02726894254787677
14,15.0,D'Angelo Russell,26.0,17,17.0,526,107,221,0.484,46,111,0.414,61,110,0.555,0.588,36,49,0.735,7,43,50,103,10,8,39,23,296,0.030807660283097418
15,16.0,Max Christie,19.0,41,3.0,512,44,106,0.415,26,62,0.419,18,44,0.409,0.538,14,16,0.875,7,68,75,21,9,7,13,33,128,0.013322231473771857
16,17.0,Juan Toscano-Anderson,29.0,30,7.0,365,33,66,0.5,4,20,0.2,29,46,0.63,0.53,11,15,0.733,14,47,61,25,10,7,17,46,81,0.008430474604496254
17,18.0,Damian Jones,27.0,22,1.0,176,20,37,0.541,0,3,0.0,20,34,0.588,0.541,15,20,0.75,18,37,55,4,3,12,9,17,55,0.005724396336386345
18,19.0,Matt Ryan,25.0,12,0.0,129,15,49,0.306,13,35,0.371,2,14,0.143,0.439,4,5,0.8,2,12,14,4,2,0,3,14,47,0.0048917568692756035
19,20.0,Mo Bamba,24.0,9,1.0,88,11,27,0.407,5,16,0.313,6,11,0.545,0.5,6,11,0.545,11,30,41,4,1,5,8,19,33,0.0034346378018318066
20,21.0,Cole Swider,23.0,7,0.0,41,3,9,0.333,3,8,0.375,0,1,0.0,0.5,0,0,,1,6,7,4,0,0,0,3,9,0.0009367194004995837
21,22.0,Scotty Pippen Jr.,22.0,6,0.0,32,4,12,0.333,1,3,0.333,3,9,0.333,0.375,5,9,0.556,2,2,4,2,2,1,2,3,14,0.0014571190674437969
22,23.0,Davon Reed,27.0,8,0.0,27,3,4,0.75,1,2,0.5,2,2,1.0,0.875,1,4,0.25,1,3,4,4,2,0,0,3,8,0.0008326394671107411
23,24.0,Sterling Brown,27.0,4,0.0,24,0,4,0.0,0,2,0.0,0,2,0.0,0.0,0,0,,3,5,8,2,3,0,0,4,0,0.0
24,,,,82,,19880,3516,7298,0.482,885,2558,0.346,2631,4740,0.555,0.542,1691,2182,0.775,818,2930,3748,2072,526,378,1154,1466,9608,1.0
