,Rk,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,1.0,Alonzo Mourning,25.0,70,70.0,2671,563,1076,0.523,9,30,0.3,554,1046,0.53,0.527,488,712,0.685,218,509,727,159,70,189,262,245,1623
1,2.0,Keith Askins,28.0,75,14.0,1897,157,391,0.402,99,237,0.418,58,154,0.377,0.528,45,57,0.789,113,211,324,121,48,61,82,271,458
2,3.0,Bimbo Coles,27.0,52,52.0,1882,231,559,0.413,63,172,0.366,168,387,0.434,0.47,139,173,0.803,38,163,201,296,63,12,123,175,664
3,4.0,Rex Chapman,28.0,56,50.0,1865,289,679,0.426,125,337,0.371,164,342,0.48,0.518,83,113,0.735,22,123,145,166,45,10,79,117,786
4,5.0,Kurt Thomas,23.0,74,42.0,1655,274,547,0.501,0,2,0.0,274,545,0.503,0.501,118,178,0.663,122,317,439,46,47,36,98,271,666
5,6.0,Billy Owens,26.0,40,40.0,1388,239,473,0.505,0,6,0.0,239,467,0.512,0.505,112,177,0.633,94,192,286,134,30,22,113,132,590
6,7.0,Kevin Willis,33.0,47,42.0,1357,195,412,0.473,0,5,0.0,195,407,0.479,0.473,89,125,0.712,134,286,420,34,19,25,99,158,479
7,8.0,Tim Hardaway,29.0,28,28.0,1047,164,386,0.425,53,147,0.361,111,239,0.464,0.494,101,123,0.821,13,85,98,280,58,6,110,70,482
8,9.0,Kevin Gamble,30.0,44,13.0,1033,117,297,0.394,38,91,0.418,79,206,0.383,0.458,33,38,0.868,14,72,86,82,31,5,32,119,305
9,10.0,Walt Williams,25.0,28,28.0,788,124,268,0.463,56,123,0.455,68,145,0.469,0.567,33,60,0.55,37,75,112,65,32,16,48,87,337
10,11.0,Pete Myers,32.0,39,1.0,639,62,160,0.388,11,42,0.262,51,118,0.432,0.422,49,76,0.645,21,52,73,97,14,11,56,75,184
11,12.0,Chris Gatling,28.0,24,0.0,565,155,259,0.598,0,0,,155,259,0.598,0.598,55,75,0.733,51,124,175,17,17,11,35,82,365
12,13.0,Sasha Danilović,25.0,19,18.0,542,83,184,0.451,34,78,0.436,49,106,0.462,0.543,55,72,0.764,12,34,46,47,15,3,37,49,255
13,14.0,Tony Smith,27.0,25,1.0,410,46,101,0.455,13,39,0.333,33,62,0.532,0.52,4,9,0.444,6,33,39,68,16,5,26,46,109
14,15.0,Danny Schayes,36.0,32,6.0,399,32,94,0.34,0,0,,32,94,0.34,0.34,37,46,0.804,29,60,89,9,11,16,23,60,101
15,16.0,Terrence Rencher,22.0,34,1.0,397,32,99,0.323,9,29,0.31,23,70,0.329,0.369,30,43,0.698,9,33,42,54,16,1,41,36,103
16,17.0,Tyrone Corbin,33.0,22,0.0,354,38,92,0.413,2,6,0.333,36,86,0.419,0.424,23,28,0.821,26,39,65,23,16,3,17,51,101
17,18.0,Voshon Lenard,22.0,30,0.0,323,53,141,0.376,36,101,0.356,17,40,0.425,0.504,34,43,0.791,12,40,52,31,6,1,23,31,176
18,19.0,Ron Grandison,31.0,18,3.0,235,13,39,0.333,4,13,0.308,9,26,0.346,0.385,13,19,0.684,14,22,36,10,8,1,11,27,43
19,20.0,Stacey King,29.0,15,0.0,156,17,36,0.472,0,0,,17,36,0.472,0.472,4,8,0.5,9,14,23,2,7,2,18,39,38
20,21.0,Jeff Malone,34.0,7,0.0,103,13,33,0.394,0,0,,13,33,0.394,0.394,5,6,0.833,0,8,8,7,3,0,3,6,31
21,22.0,LeRon Ellis,26.0,12,1.0,74,5,22,0.227,0,0,,5,22,0.227,0.227,3,6,0.5,5,3,8,4,2,3,3,11,13
22,,,,82,,19780,2902,6348,0.457,552,1458,0.379,2350,4890,0.481,0.501,1553,2187,0.71,999,2495,3494,1752,574,439,1394,2158,7909
