,Rk,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,1.0,Richard Jefferson,28.0,82,82.0,2939,537,1222,0.439,116,292,0.397,421,930,0.453,0.487,417,518,0.805,57,317,374,199,66,14,165,252,1607
1,2.0,Ramon Sessions,22.0,79,39.0,2173,345,775,0.445,6,34,0.176,339,741,0.457,0.449,281,354,0.794,64,205,269,452,83,7,152,158,977
2,3.0,Luc Mbah a Moute,22.0,82,52.0,2114,227,491,0.462,0,4,0.0,227,487,0.466,0.462,140,192,0.729,189,298,487,87,87,45,100,204,594
3,4.0,Charlie Villanueva,24.0,78,47.0,2095,487,1089,0.447,89,258,0.345,398,831,0.479,0.488,201,240,0.838,154,366,520,137,50,56,138,254,1264
4,5.0,Luke Ridnour,27.0,72,50.0,2033,250,621,0.403,55,157,0.35,195,464,0.42,0.447,133,153,0.869,33,185,218,365,92,16,128,200,688
5,6.0,Charlie Bell,29.0,70,23.0,1783,217,524,0.414,87,240,0.363,130,284,0.458,0.497,66,80,0.825,32,102,134,151,50,7,76,138,587
6,7.0,Michael Redd,29.0,33,32.0,1203,249,547,0.455,70,191,0.366,179,356,0.503,0.519,131,161,0.814,24,83,107,88,35,2,53,45,699
7,8.0,Andrew Bogut,24.0,36,33.0,1124,183,317,0.577,0,0,,183,317,0.577,0.577,56,98,0.571,117,252,369,72,23,37,86,130,422
8,9.0,Francisco Elson,32.0,59,23.0,977,83,169,0.491,1,4,0.25,82,165,0.497,0.494,33,39,0.846,100,129,229,32,36,36,48,144,200
9,10.0,Dan Gadzuric,30.0,67,26.0,941,117,244,0.48,0,2,0.0,117,242,0.483,0.48,37,68,0.544,95,160,255,39,32,43,41,162,271
10,11.0,Joe Alexander,22.0,59,0.0,716,102,245,0.416,16,46,0.348,86,199,0.432,0.449,58,83,0.699,44,71,115,42,15,29,52,107,278
11,12.0,Malik Allen,30.0,49,3.0,579,73,170,0.429,0,1,0.0,73,169,0.432,0.429,10,21,0.476,35,68,103,35,7,12,20,89,156
12,13.0,Keith Bogans,28.0,29,0.0,485,56,149,0.376,32,92,0.348,24,57,0.421,0.483,31,33,0.939,16,75,91,33,20,2,22,44,175
13,14.0,Tyronn Lue,31.0,30,0.0,392,54,119,0.454,21,45,0.467,33,74,0.446,0.542,12,16,0.75,6,29,35,46,6,0,21,41,141
14,15.0,Damon Jones,32.0,18,0.0,108,11,34,0.324,11,28,0.393,0,6,0.0,0.485,0,0,,0,6,6,7,3,0,6,4,33
15,16.0,Austin Croshere,33.0,11,0.0,77,12,30,0.4,5,11,0.455,7,19,0.368,0.483,7,11,0.636,7,17,24,6,1,1,4,4,36
16,17.0,Eddie Gill,30.0,6,0.0,43,6,9,0.667,2,3,0.667,4,6,0.667,0.778,0,0,,0,4,4,11,3,1,5,10,14
17,,,,82,,19780,3009,6755,0.445,511,1408,0.363,2498,5347,0.467,0.483,1613,2067,0.78,973,2367,3340,1802,609,308,1154,1986,8142
