,Rk,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,1.0,Tony Campbell,27.0,82,81.0,3164,723,1581,0.457,9,54,0.167,714,1527,0.468,0.46,448,569,0.787,209,242,451,213,111,31,251,260,1903
1,2.0,Tyrone Corbin,27.0,82,80.0,3011,521,1083,0.481,0,11,0.0,521,1072,0.486,0.481,161,209,0.77,219,385,604,216,175,41,143,288,1203
2,3.0,Pooh Richardson,23.0,82,48.0,2581,426,925,0.461,23,83,0.277,403,842,0.479,0.473,63,107,0.589,55,162,217,554,133,25,141,143,938
3,4.0,Tod Murphy,26.0,82,59.0,2493,260,552,0.471,16,43,0.372,244,509,0.479,0.486,144,203,0.709,207,357,564,106,76,60,61,229,680
4,5.0,Sam Mitchell,26.0,80,30.0,2414,372,834,0.446,0,9,0.0,372,825,0.451,0.446,268,349,0.768,180,282,462,89,66,54,96,301,1012
5,6.0,Sidney Lowe,30.0,80,38.0,1744,73,229,0.319,2,9,0.222,71,220,0.323,0.323,39,54,0.722,41,122,163,337,73,4,63,114,187
6,7.0,Randy Breuer,29.0,51,47.0,1325,212,510,0.416,0,1,0.0,212,509,0.417,0.416,94,142,0.662,111,179,290,84,33,75,68,133,518
7,8.0,Scott Roth,26.0,71,3.0,1061,159,420,0.379,18,52,0.346,141,368,0.383,0.4,150,201,0.746,34,78,112,115,51,6,85,144,486
8,9.0,Donald Royal,23.0,66,0.0,746,117,255,0.459,0,1,0.0,117,254,0.461,0.459,153,197,0.777,69,68,137,43,32,8,81,107,387
9,10.0,Brad Lohaus,25.0,28,24.0,590,94,202,0.465,1,16,0.063,93,186,0.5,0.468,21,26,0.808,21,89,110,62,14,22,45,66,210
10,11.0,Doug West,22.0,52,0.0,378,53,135,0.393,3,11,0.273,50,124,0.403,0.404,26,32,0.813,24,46,70,18,10,6,31,61,135
11,12.0,Gary Leonard,22.0,22,0.0,127,13,31,0.419,0,1,0.0,13,30,0.433,0.419,6,14,0.429,10,17,27,1,3,9,8,26,32
12,13.0,Brad Sellers,27.0,14,0.0,113,19,56,0.339,0,2,0.0,19,54,0.352,0.339,9,12,0.75,8,11,19,1,6,3,12,11,47
13,14.0,Adrian Branch,26.0,11,0.0,91,25,61,0.41,1,1,1.0,24,60,0.4,0.418,14,22,0.636,8,12,20,4,6,0,8,14,65
14,15.0,Steve Johnson,32.0,4,0.0,17,0,2,0.0,0,0,,0,2,0.0,0.0,0,0,,0,3,3,1,0,0,6,4,0
15,,,,82,,19855,3067,6876,0.446,73,294,0.248,2994,6582,0.455,0.451,1596,2137,0.747,1196,2053,3249,1844,789,344,1197,1901,7803
