,Rk,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,1.0,Shawn Kemp,23.0,78,68.0,2582,515,1047,0.492,0,4,0.0,515,1043,0.494,0.492,358,503,0.712,287,546,833,155,119,146,217,327,1388
1,2.0,Gary Payton,24.0,82,78.0,2548,476,963,0.494,7,34,0.206,469,929,0.505,0.498,151,196,0.77,95,186,281,399,177,21,148,250,1110
2,3.0,Derrick McKey,26.0,77,68.0,2439,387,780,0.496,40,112,0.357,347,668,0.519,0.522,220,297,0.741,121,206,327,197,105,58,152,208,1034
3,4.0,Ricky Pierce,33.0,77,72.0,2218,524,1071,0.489,42,113,0.372,482,958,0.503,0.509,313,352,0.889,58,134,192,220,100,7,160,167,1403
4,5.0,Michael Cage,31.0,82,66.0,2156,219,416,0.526,0,1,0.0,219,415,0.528,0.526,61,130,0.469,268,391,659,69,76,46,59,183,499
5,6.0,Nate McMillan,28.0,73,25.0,1977,213,459,0.464,25,65,0.385,188,394,0.477,0.491,95,134,0.709,84,222,306,384,173,33,139,240,546
6,7.0,Eddie Johnson,33.0,82,0.0,1869,463,991,0.467,17,56,0.304,446,935,0.477,0.476,234,257,0.911,124,148,272,135,36,4,134,173,1177
7,8.0,Dana Barros,25.0,69,2.0,1243,214,474,0.451,64,169,0.379,150,305,0.492,0.519,49,59,0.831,18,89,107,151,63,3,58,78,541
8,9.0,Vincent Askew,26.0,64,4.0,1053,144,292,0.493,2,6,0.333,142,286,0.497,0.497,94,134,0.701,55,95,150,117,38,18,61,124,384
9,10.0,Sam Perkins,31.0,30,13.0,762,139,272,0.511,19,42,0.452,120,230,0.522,0.546,66,83,0.795,52,93,145,28,20,31,32,86,363
10,11.0,Benoit Benjamin,28.0,31,6.0,448,81,163,0.497,0,0,,81,163,0.497,0.497,47,67,0.701,27,86,113,12,17,35,42,73,209
11,12.0,Gerald Paddio,27.0,41,3.0,307,71,159,0.447,2,8,0.25,69,151,0.457,0.453,14,21,0.667,17,33,50,33,14,6,16,24,158
12,13.0,Steve Scheffler,25.0,29,5.0,166,25,48,0.521,0,0,,25,48,0.521,0.521,16,24,0.667,15,21,36,5,6,1,5,37,66
13,14.0,Rich King,23.0,3,0.0,12,2,5,0.4,0,0,,2,5,0.4,0.4,2,2,1.0,1,4,5,1,0,0,3,1,6
14,,,,82,,19780,3473,7140,0.486,218,610,0.357,3255,6530,0.498,0.502,1720,2259,0.761,1222,2254,3476,1906,944,409,1267,1971,8884
